,# edges,setting,accuracy,f1
0,0,retrain,0.6861861861861862,0.5990749801303107
1,0,unlearn,0.6861861861861862,0.5990749801303107
2,100,retrain,0.7102102102102102,0.6642333250606982
3,100,unlearn,0.5960960960960962,0.46299056064476013
4,200,retrain,0.6966966966966966,0.6468659055620454
5,200,unlearn,0.5975975975975976,0.4637965603255017
6,400,retrain,0.6696696696696697,0.5804944414865969
7,400,unlearn,0.5945945945945946,0.460690323376197
8,800,retrain,0.6396396396396397,0.5562345187910727
9,800,unlearn,0.5870870870870871,0.45601978338951543
10,1000,retrain,0.6156156156156156,0.5366129884106082
11,1000,unlearn,0.575075075075075,0.44628784286318535
12,0,retrain,0.6906906906906907,0.6029909091007677
13,0,unlearn,0.6906906906906907,0.6029909091007677
14,100,retrain,0.6681681681681682,0.5811756491436664
15,100,unlearn,0.4264264264264264,0.2963127130518435
16,200,retrain,0.5780780780780781,0.4881642540154972
17,200,unlearn,0.42042042042042044,0.29021818891883017
18,400,retrain,0.6441441441441441,0.5654894390709074
19,400,unlearn,0.4069069069069069,0.2769375901403655
20,800,retrain,0.5990990990990991,0.5064326852193739
21,800,unlearn,0.4009009009009009,0.270105143506678
22,1000,retrain,0.6636636636636637,0.6186676625862703
23,1000,unlearn,0.3933933933933934,0.26608408870251893
24,0,retrain,0.5960960960960962,0.5217904403613952
25,0,unlearn,0.5960960960960962,0.5217904403613952
26,100,retrain,0.7102102102102102,0.6190298384120226
27,100,unlearn,0.5615615615615616,0.4869175699155444
28,200,retrain,0.5375375375375375,0.4184251204448926
29,200,unlearn,0.5630630630630631,0.4876174156382005
30,400,retrain,0.6516516516516516,0.5586837465096771
31,400,unlearn,0.5615615615615616,0.48652799016193055
32,800,retrain,0.6576576576576577,0.5864163008429708
33,800,unlearn,0.5465465465465466,0.4739811110227527
34,1000,retrain,0.6051051051051051,0.525812838049714
35,1000,unlearn,0.5315315315315315,0.4627313496358374
36,0,retrain,0.6921921921921922,0.6000930604605256
37,0,unlearn,0.6921921921921922,0.6000930604605256
38,100,retrain,0.6381381381381381,0.5560918014939414
39,100,unlearn,0.5405405405405406,0.4081282684405383
40,200,retrain,0.7057057057057057,0.6144948705064637
41,200,unlearn,0.5555555555555556,0.4211677631578947
42,400,retrain,0.6861861861861862,0.5990140217435951
43,400,unlearn,0.5495495495495496,0.4137548241468277
44,800,retrain,0.6786786786786787,0.6317092501196555
45,800,unlearn,0.521021021021021,0.38825772570764966
46,1000,retrain,0.6396396396396397,0.5625316031343823
