,# edges,setting,accuracy,f1
0,0,retrain,0.8431734317343174,0.8417702891711453
1,0,unlearn,0.8431734317343174,0.8417702891711453
2,100,retrain,0.8339483394833949,0.8333021404803772
3,100,unlearn,0.8468634686346863,0.847089731806319
4,200,retrain,0.8431734317343174,0.8411909641689064
5,200,unlearn,0.8450184501845018,0.8458337417759763
6,400,retrain,0.8321033210332104,0.8329484358222877
7,400,unlearn,0.8431734317343174,0.8427961679854616
8,800,retrain,0.8247232472324724,0.8236743923098604
9,800,unlearn,0.8376383763837638,0.8341069312385897
10,1000,retrain,0.8154981549815498,0.8104952248107794
11,1000,unlearn,0.8321033210332104,0.831329033573008
12,0,retrain,0.8487084870848709,0.8461754817881227
13,0,unlearn,0.8487084870848709,0.8461754817881227
14,100,retrain,0.8523985239852399,0.8495889198318446
15,100,unlearn,0.8321033210332104,0.8233078024302837
16,200,retrain,0.8468634686346863,0.8478756640462526
17,200,unlearn,0.8302583025830258,0.821221227689007
18,400,retrain,0.8357933579335793,0.8318216895043208
19,400,unlearn,0.8339483394833949,0.82173364354302
20,800,retrain,0.8081180811808119,0.8030052316838004
21,800,unlearn,0.8247232472324724,0.8162432674048338
22,1000,retrain,0.7988929889298892,0.7912050292032908
23,1000,unlearn,0.8173431734317343,0.8091391355280529
24,0,retrain,0.8431734317343174,0.8411446564967112
25,0,unlearn,0.8431734317343174,0.8411446564967112
26,100,retrain,0.8394833948339483,0.8346729301178666
27,100,unlearn,0.8357933579335793,0.8337091998497999
28,200,retrain,0.8376383763837638,0.8287130748206655
29,200,unlearn,0.8376383763837638,0.8357461269905478
30,400,retrain,0.8339483394833949,0.8306055545695806
31,400,unlearn,0.8357933579335793,0.8356093241164222
32,800,retrain,0.8099630996309963,0.8091900483840038
33,800,unlearn,0.8339483394833949,0.8332929758537293
34,1000,retrain,0.8007380073800738,0.7969800320718171
35,1000,unlearn,0.8321033210332104,0.8293512194208683
36,0,retrain,0.8394833948339483,0.8350255127935053
37,0,unlearn,0.8394833948339483,0.8350255127935053
38,100,retrain,0.8450184501845018,0.8427883941438891
39,100,unlearn,0.8247232472324724,0.8143653500614718
40,200,retrain,0.8357933579335793,0.8321877892903772
41,200,unlearn,0.8247232472324724,0.8145791197798855
42,400,retrain,0.8376383763837638,0.8349086076985816
43,400,unlearn,0.8210332103321033,0.8089520506477663
44,800,retrain,0.8062730627306273,0.803882138776017
45,800,unlearn,0.8173431734317343,0.8059483707862052
46,1000,retrain,0.8154981549815498,0.8114291944056319
47,1000,unlearn,0.8228782287822878,0.8145497463820905
48,0,retrain,0.8523985239852399,0.8517803287406144
49,0,unlearn,0.8523985239852399,0.8517803287406144
50,100,retrain,0.8487084870848709,0.8472741996022767
51,100,unlearn,0.8339483394833949,0.8334878669326882
52,200,retrain,0.8505535055350554,0.842916615336877
53,200,unlearn,0.8394833948339483,0.8395914953805726
54,400,retrain,0.8321033210332104,0.829661198237142
55,400,unlearn,0.8394833948339483,0.8381375321421851
56,800,retrain,0.8302583025830258,0.8176792034295763
57,800,unlearn,0.8284132841328413,0.8232733868747026
58,1000,retrain,0.8007380073800738,0.7881037699826736
59,1000,unlearn,0.8228782287822878,0.8171261608299939
60,0,retrain,0.8487084870848709,0.8495309331977493
61,0,unlearn,0.8487084870848709,0.8495309331977493
62,100,retrain,0.8339483394833949,0.834558475782163
63,100,unlearn,0.8505535055350554,0.8506614431212894
64,200,retrain,0.8321033210332104,0.8308084920613906
