# edges,setting,accuracy
0,Retrain,0.872693727
0,ERAEDGE,0.872693727
100,Retrain,0.861623616
100,ERAEDGE,0.870848708
0,Retrain,0.867158672
0,ERAEDGE,0.867158672
100,Retrain,0.861623616
100,ERAEDGE,0.865313653
0,Retrain,0.86900369
0,ERAEDGE,0.86900369
100,Retrain,0.865313653
100,ERAEDGE,0.865313653
0,Retrain,0.861623616
0,ERAEDGE,0.861623616
100,Retrain,0.867158672
100,ERAEDGE,0.865313653
0,Retrain,0.872693727
0,ERAEDGE,0.872693727
100,Retrain,0.863468635
100,ERAEDGE,0.870848708
0,Retrain,0.859778598
0,ERAEDGE,0.859778598
100,Retrain,0.870848708
100,ERAEDGE,0.856088561
0,Retrain,0.870848708
0,ERAEDGE,0.870848708
100,Retrain,0.872693727
100,ERAEDGE,0.86900369
0,Retrain,0.865313653
0,ERAEDGE,0.865313653
100,Retrain,0.867158672
100,ERAEDGE,0.867158672
0,Retrain,0.86900369
0,ERAEDGE,0.86900369
100,Retrain,0.861623616
100,ERAEDGE,0.867158672
0,Retrain,0.872693727
0,ERAEDGE,0.872693727
100,Retrain,0.874538745
100,ERAEDGE,0.867158672
200,Retrain,0.861623616
400,Retrain,0.863468635
800,Retrain,0.863468635
1000,Retrain,0.857933579
200,Retrain,0.865313653
400,Retrain,0.857933579
800,Retrain,0.863468635
1000,Retrain,0.861623616
200,Retrain,0.872693727
400,Retrain,0.867158672
800,Retrain,0.870848708
1000,Retrain,0.870848708
200,Retrain,0.867158672
400,Retrain,0.870848708
800,Retrain,0.863468635
1000,Retrain,0.857933579
200,Retrain,0.867158672
400,Retrain,0.867158672
800,Retrain,0.859778598
1000,Retrain,0.850553506
200,Retrain,0.865313653
400,Retrain,0.86900369
800,Retrain,0.865313653
1000,Retrain,0.86900369
200,Retrain,0.861623616
400,Retrain,0.857933579
800,Retrain,0.865313653
1000,Retrain,0.870848708
200,Retrain,0.876383764
400,Retrain,0.876383764
800,Retrain,0.867158672
1000,Retrain,0.859778598
200,Retrain,0.86900369
400,Retrain,0.86900369
800,Retrain,0.865313653
1000,Retrain,0.852398524
200,Retrain,0.863468635
400,Retrain,0.863468635
800,Retrain,0.870848708
1000,Retrain,0.859778598
200,ERAEDGE,0.874538745
400,ERAEDGE,0.870848708
800,ERAEDGE,0.863468635
1000,ERAEDGE,0.867158672
200,ERAEDGE,0.857933579
400,ERAEDGE,0.861623616
800,ERAEDGE,0.861623616
1000,ERAEDGE,0.856088561
200,ERAEDGE,0.867158672
400,ERAEDGE,0.865313653
800,ERAEDGE,0.870848708
1000,ERAEDGE,0.867158672
200,ERAEDGE,0.859778598
400,ERAEDGE,0.865313653
800,ERAEDGE,0.859778598
1000,ERAEDGE,0.856088561
200,ERAEDGE,0.863468635
400,ERAEDGE,0.857933579
800,ERAEDGE,0.863468635
1000,ERAEDGE,0.854243542
200,ERAEDGE,0.863468635
400,ERAEDGE,0.867158672
800,ERAEDGE,0.859778598
1000,ERAEDGE,0.857933579
200,ERAEDGE,0.86900369
400,ERAEDGE,0.859778598
800,ERAEDGE,0.865313653
1000,ERAEDGE,0.863468635
200,ERAEDGE,0.865313653
400,ERAEDGE,0.865313653
800,ERAEDGE,0.872693727
1000,ERAEDGE,0.870848708
200,ERAEDGE,0.874538745
400,ERAEDGE,0.874538745
800,ERAEDGE,0.872693727
1000,ERAEDGE,0.86900369
200,ERAEDGE,0.861623616
400,ERAEDGE,0.863468635
800,ERAEDGE,0.859778598
1000,ERAEDGE,0.859778598
