,# edges,setting,accuracy,f1
0,0,retrain,0.8376383763837638,0.8285200093259778
1,0,unlearn,0.8376383763837638,0.8285200093259778
2,100,retrain,0.8265682656826568,0.8222077640084329
3,100,unlearn,0.8468634686346863,0.8424802394312234
4,200,retrain,0.8210332103321033,0.8158529906985692
5,200,unlearn,0.8357933579335793,0.8293140562949323
6,400,retrain,0.7988929889298892,0.7931840859057285
7,400,unlearn,0.8154981549815498,0.8135457845214671
8,800,retrain,0.7564575645756457,0.7526640963715808
9,800,unlearn,0.7915129151291513,0.7884097189266649
10,1000,retrain,0.7361623616236163,0.7330864038495888
11,1000,unlearn,0.8007380073800738,0.796156163191691
12,0,retrain,0.8394833948339483,0.8327603624380827
13,0,unlearn,0.8394833948339483,0.8327603624380827
14,100,retrain,0.8247232472324724,0.8175076256396033
15,100,unlearn,0.8357933579335793,0.8343075868070883
16,200,retrain,0.8210332103321033,0.8151325211927254
17,200,unlearn,0.8321033210332104,0.8242599501669813
18,400,retrain,0.8007380073800738,0.7926249676256931
19,400,unlearn,0.8265682656826568,0.8206252997204685
20,800,retrain,0.7564575645756457,0.7518628472435864
21,800,unlearn,0.8044280442804428,0.7969064677834066
22,1000,retrain,0.7361623616236163,0.7330568760657691
23,1000,unlearn,0.8044280442804428,0.7990189853219547
24,0,retrain,0.8339483394833949,0.8261186716232704
25,0,unlearn,0.8339483394833949,0.8261186716232704
26,100,retrain,0.8228782287822878,0.8168873130423606
27,100,unlearn,0.8284132841328413,0.8249810380391437
28,200,retrain,0.8247232472324724,0.8197214593217794
29,200,unlearn,0.8136531365313653,0.8048055207155221
30,400,retrain,0.8007380073800738,0.7954681685883754
31,400,unlearn,0.8025830258302583,0.7981340856098927
32,800,retrain,0.7546125461254612,0.7521899693388844
33,800,unlearn,0.7878228782287823,0.784790105349232
34,1000,retrain,0.7361623616236163,0.7344095835718889
35,1000,unlearn,0.7749077490774908,0.7715766436183481
36,0,retrain,0.8357933579335793,0.8297197532640919
37,0,unlearn,0.8357933579335793,0.8297197532640919
38,100,retrain,0.8284132841328413,0.8242796821357039
39,100,unlearn,0.8394833948339483,0.8381233967210179
40,200,retrain,0.8210332103321033,0.8158079959143402
41,200,unlearn,0.8284132841328413,0.8240993682950661
42,400,retrain,0.8007380073800738,0.7959200221974306
43,400,unlearn,0.8081180811808119,0.8067598087517279
44,800,retrain,0.7564575645756457,0.7521238815300452
45,800,unlearn,0.7915129151291513,0.7900108728751425
46,1000,retrain,0.7380073800738007,0.7353889729112789
47,1000,unlearn,0.7785977859778598,0.7788884688524621
48,0,retrain,0.8413284132841329,0.8326067275478114
49,0,unlearn,0.8413284132841329,0.8326067275478114
50,100,retrain,0.8247232472324724,0.8189722941095098
51,100,unlearn,0.8431734317343174,0.840467327804948
52,200,retrain,0.8191881918819188,0.814534346600525
53,200,unlearn,0.8265682656826568,0.8226214158671594
54,400,retrain,0.8025830258302583,0.797345114061077
55,400,unlearn,0.8062730627306273,0.8084335477662484
56,800,retrain,0.7546125461254612,0.748853122895582
57,800,unlearn,0.7859778597785978,0.7831218214134414
58,1000,retrain,0.7380073800738007,0.7360142372453673
59,1000,unlearn,0.7767527675276753,0.7770162626416991
60,0,retrain,0.8302583025830258,0.822203894349977
61,0,unlearn,0.8302583025830258,0.822203894349977
62,100,retrain,0.8265682656826568,0.8222469987740756
63,100,unlearn,0.8284132841328413,0.8256655128942789
64,200,retrain,0.8210332103321033,0.8155493791798636
65,200,unlearn,0.8099630996309963,0.8064088393090202
66,400,retrain,0.8044280442804428,0.7987873995629755
67,400,unlearn,0.8044280442804428,0.8035596137228095
68,800,retrain,0.7546125461254612,0.7505537737506874
69,800,unlearn,0.7878228782287823,0.7848071417292944
70,1000,retrain,0.7343173431734318,0.7326448821846485
71,1000,unlearn,0.7749077490774908,0.7747508650638066
72,0,retrain,0.8321033210332104,0.8253913697077868
73,0,unlearn,0.8321033210332104,0.8253913697077868
74,100,retrain,0.8265682656826568,0.8210363947907241
75,100,unlearn,0.8321033210332104,0.8312805236214549
76,200,retrain,0.8210332103321033,0.8173357558037116
77,200,unlearn,0.8265682656826568,0.8194302882940576
78,400,retrain,0.8025830258302583,0.7959853159859591
79,400,unlearn,0.8044280442804428,0.8031529846008979
80,800,retrain,0.7601476014760148,0.7568828118678714
81,800,unlearn,0.7915129151291513,0.7914138328021761
82,1000,retrain,0.7343173431734318,0.7302729314378491
83,1000,unlearn,0.7859778597785978,0.7848542479937093
84,0,retrain,0.8339483394833949,0.8258363266650945
85,0,unlearn,0.8339483394833949,0.8258363266650945
86,100,retrain,0.8247232472324724,0.8168591007053022
87,100,unlearn,0.8321033210332104,0.8256007790132862
88,200,retrain,0.8228782287822878,0.8184854397133617
89,200,unlearn,0.8302583025830258,0.8221889962364396
90,400,retrain,0.7988929889298892,0.7931840859057285
91,400,unlearn,0.8062730627306273,0.8009910758442789
92,800,retrain,0.7564575645756457,0.7524735318796952
93,800,unlearn,0.7859778597785978,0.7823279707114119
94,1000,retrain,0.7361623616236163,0.7350372464807594
95,1000,unlearn,0.7822878228782287,0.7797860701822029
96,0,retrain,0.8339483394833949,0.8244246301032874
97,0,unlearn,0.8339483394833949,0.8244246301032874
98,100,retrain,0.8265682656826568,0.8210363947907241
99,100,unlearn,0.8339483394833949,0.8307356404922347
100,200,retrain,0.8284132841328413,0.8247575316417327
101,200,unlearn,0.8339483394833949,0.8294447942911896
102,400,retrain,0.7970479704797048,0.7920738870610212
103,400,unlearn,0.8062730627306273,0.8064126123937437
104,800,retrain,0.7546125461254612,0.7505537737506874
105,800,unlearn,0.7841328413284133,0.7808933436755037
106,1000,retrain,0.7324723247232472,0.7283755825882073
107,1000,unlearn,0.7952029520295203,0.7871597680478828
108,0,retrain,0.8357933579335793,0.8294574593022979
109,0,unlearn,0.8357933579335793,0.8294574593022979
110,100,retrain,0.8228782287822878,0.8168692511619069
