# edges,setting,accuracy
0,Retrain,0.865313653
0,ERAEDGE,0.865313653
100,Retrain,0.863468635
100,ERAEDGE,0.856088561
0,Retrain,0.848708487
0,ERAEDGE,0.848708487
100,Retrain,0.854243542
100,ERAEDGE,0.841328413
0,Retrain,0.857933579
0,ERAEDGE,0.857933579
100,Retrain,0.852398524
100,ERAEDGE,0.854243542
0,Retrain,0.856088561
0,ERAEDGE,0.856088561
100,Retrain,0.86900369
100,ERAEDGE,0.852398524
0,Retrain,0.856088561
0,ERAEDGE,0.856088561
100,Retrain,0.854243542
100,ERAEDGE,0.856088561
0,Retrain,0.865313653
0,ERAEDGE,0.865313653
100,Retrain,0.867158672
100,ERAEDGE,0.852398524
0,Retrain,0.861623616
0,ERAEDGE,0.861623616
100,Retrain,0.848708487
100,ERAEDGE,0.863468635
0,Retrain,0.861623616
0,ERAEDGE,0.861623616
100,Retrain,0.854243542
100,ERAEDGE,0.865313653
0,Retrain,0.861623616
0,ERAEDGE,0.861623616
100,Retrain,0.857933579
100,ERAEDGE,0.859778598
0,Retrain,0.848708487
0,ERAEDGE,0.848708487
100,Retrain,0.859778598
100,ERAEDGE,0.850553506
200,Retrain,0.856088561
400,Retrain,0.835793358
800,Retrain,0.839483395
1000,Retrain,0.837638376
200,Retrain,0.857933579
400,Retrain,0.846863469
800,Retrain,0.850553506
1000,Retrain,0.84501845
200,Retrain,0.850553506
400,Retrain,0.837638376
800,Retrain,0.84501845
1000,Retrain,0.841328413
200,Retrain,0.854243542
400,Retrain,0.848708487
800,Retrain,0.848708487
1000,Retrain,0.832103321
200,Retrain,0.84501845
400,Retrain,0.837638376
800,Retrain,0.835793358
1000,Retrain,0.830258303
200,Retrain,0.856088561
400,Retrain,0.828413284
800,Retrain,0.839483395
1000,Retrain,0.846863469
200,Retrain,0.856088561
400,Retrain,0.848708487
800,Retrain,0.830258303
1000,Retrain,0.82103321
200,Retrain,0.841328413
400,Retrain,0.841328413
800,Retrain,0.832103321
1000,Retrain,0.828413284
200,Retrain,0.848708487
400,Retrain,0.852398524
800,Retrain,0.837638376
1000,Retrain,0.84501845
200,Retrain,0.846863469
400,Retrain,0.837638376
800,Retrain,0.848708487
1000,Retrain,0.837638376
200,ERAEDGE,0.846863469
400,ERAEDGE,0.843173432
800,ERAEDGE,0.826568266
1000,ERAEDGE,0.824723247
200,ERAEDGE,0.850553506
400,ERAEDGE,0.841328413
800,ERAEDGE,0.833948339
1000,ERAEDGE,0.832103321
200,ERAEDGE,0.854243542
400,ERAEDGE,0.848708487
800,ERAEDGE,0.843173432
1000,ERAEDGE,0.828413284
200,ERAEDGE,0.832103321
400,ERAEDGE,0.828413284
800,ERAEDGE,0.804428044
1000,ERAEDGE,0.795202952
200,ERAEDGE,0.846863469
400,ERAEDGE,0.841328413
800,ERAEDGE,0.830258303
1000,ERAEDGE,0.815498155
200,ERAEDGE,0.84501845
400,ERAEDGE,0.843173432
800,ERAEDGE,0.843173432
1000,ERAEDGE,0.835793358
200,ERAEDGE,0.846863469
400,ERAEDGE,0.848708487
800,ERAEDGE,0.843173432
1000,ERAEDGE,0.833948339
200,ERAEDGE,0.839483395
400,ERAEDGE,0.839483395
800,ERAEDGE,0.826568266
1000,ERAEDGE,0.82103321
200,ERAEDGE,0.837638376
400,ERAEDGE,0.835793358
800,ERAEDGE,0.808118081
1000,ERAEDGE,0.795202952
200,ERAEDGE,0.841328413
400,ERAEDGE,0.835793358
800,ERAEDGE,0.830258303
1000,ERAEDGE,0.826568266
