,# edges,setting,accuracy,f1
0,0,retrain,0.8468634686346863,0.8420361617640678
1,0,unlearn,0.8468634686346863,0.8420361617640678
2,100,retrain,0.8450184501845018,0.8414579100017044
3,100,unlearn,0.8431734317343174,0.8410714783414559
4,200,retrain,0.8321033210332104,0.8265711443588952
5,200,unlearn,0.8413284132841329,0.8379278703037529
6,400,retrain,0.8321033210332104,0.82393391448458
7,400,unlearn,0.8357933579335793,0.8294214768982954
8,800,retrain,0.8136531365313653,0.8128312924319853
9,800,unlearn,0.8154981549815498,0.7981665264518271
10,1000,retrain,0.8228782287822878,0.8111362869087962
11,1000,unlearn,0.8136531365313653,0.7974716520020625
12,0,retrain,0.8487084870848709,0.8478716554906952
13,0,unlearn,0.8487084870848709,0.8478716554906952
14,100,retrain,0.8431734317343174,0.8307350073077933
15,100,unlearn,0.8468634686346863,0.8432395228473336
16,200,retrain,0.8302583025830258,0.8254877898068111
17,200,unlearn,0.8413284132841329,0.8359813575994416
18,400,retrain,0.8357933579335793,0.8262823624333916
19,400,unlearn,0.8357933579335793,0.82755326472898
20,800,retrain,0.8044280442804428,0.7979218221327107
21,800,unlearn,0.8136531365313653,0.80893619314547
22,1000,retrain,0.7970479704797048,0.7916276935395824
23,1000,unlearn,0.8136531365313653,0.8065901767363487
24,0,retrain,0.8431734317343174,0.8367899194251354
25,0,unlearn,0.8431734317343174,0.8367899194251354
26,100,retrain,0.8431734317343174,0.8412640204274678
27,100,unlearn,0.8431734317343174,0.837722822891085
28,200,retrain,0.8431734317343174,0.8414753320591511
29,200,unlearn,0.8450184501845018,0.8413429958885664
30,400,retrain,0.8376383763837638,0.8276813870588395
31,400,unlearn,0.8413284132841329,0.836174991977323
32,800,retrain,0.8265682656826568,0.8200749237951558
33,800,unlearn,0.8321033210332104,0.8229491025038519
34,1000,retrain,0.8247232472324724,0.8218126804927447
35,1000,unlearn,0.8302583025830258,0.8211977330836351
36,0,retrain,0.8431734317343174,0.839598914169028
37,0,unlearn,0.8431734317343174,0.839598914169028
38,100,retrain,0.8357933579335793,0.8335181571298353
39,100,unlearn,0.8394833948339483,0.8333886059297012
40,200,retrain,0.8413284132841329,0.8418303342730816
41,200,unlearn,0.8339483394833949,0.8285281417958601
42,400,retrain,0.8302583025830258,0.827744566985788
43,400,unlearn,0.8247232472324724,0.8203388532587415
44,800,retrain,0.8081180811808119,0.7907643806429335
45,800,unlearn,0.8154981549815498,0.807791387657614
46,1000,retrain,0.7933579335793358,0.7836901867727805
47,1000,unlearn,0.8118081180811808,0.8121118152939543
48,0,retrain,0.8413284132841329,0.8370120407764904
49,0,unlearn,0.8413284132841329,0.8370120407764904
50,100,retrain,0.8523985239852399,0.8498545263985456
51,100,unlearn,0.8413284132841329,0.834519105636344
52,200,retrain,0.8376383763837638,0.838394788365189
53,200,unlearn,0.8394833948339483,0.833186329469412
54,400,retrain,0.8376383763837638,0.8274553152700921
55,400,unlearn,0.8431734317343174,0.8364482323774558
56,800,retrain,0.8321033210332104,0.8283514675648627
57,800,unlearn,0.8394833948339483,0.8276418093485942
58,1000,retrain,0.8265682656826568,0.8202352739680078
59,1000,unlearn,0.8339483394833949,0.8231433204865972
60,0,retrain,0.8413284132841329,0.842679299086315
61,0,unlearn,0.8413284132841329,0.842679299086315
62,100,retrain,0.8339483394833949,0.8290085376541929
63,100,unlearn,0.8302583025830258,0.8277021503902409
64,200,retrain,0.8302583025830258,0.8271139876190613
65,200,unlearn,0.8321033210332104,0.8305184142622565
66,400,retrain,0.8210332103321033,0.8137719786934793
67,400,unlearn,0.8191881918819188,0.8176491400918156
68,800,retrain,0.8339483394833949,0.8270855063625734
69,800,unlearn,0.8025830258302583,0.802201523754187
70,1000,retrain,0.8284132841328413,0.8238373586249519
71,1000,unlearn,0.8007380073800738,0.7998754064583468
72,0,retrain,0.8394833948339483,0.8250437377176816
73,0,unlearn,0.8394833948339483,0.8250437377176816
74,100,retrain,0.8173431734317343,0.8069430432833062
75,100,unlearn,0.8357933579335793,0.8207489696562101
76,200,retrain,0.8284132841328413,0.8219400405908137
77,200,unlearn,0.8302583025830258,0.8178453307213565
78,400,retrain,0.8376383763837638,0.8381008469878406
79,400,unlearn,0.8265682656826568,0.8153166566123089
80,800,retrain,0.8228782287822878,0.8204557331769775
81,800,unlearn,0.8154981549815498,0.8058967030331935
82,1000,retrain,0.8154981549815498,0.8127044565871765
83,1000,unlearn,0.8081180811808119,0.7967426713267277
84,0,retrain,0.8357933579335793,0.8268115942891818
85,0,unlearn,0.8357933579335793,0.8268115942891818
86,100,retrain,0.8394833948339483,0.8379437070075648
87,100,unlearn,0.8321033210332104,0.822733083786096
88,200,retrain,0.8394833948339483,0.8406502536583842
89,200,unlearn,0.8376383763837638,0.8321891643260422
90,400,retrain,0.8265682656826568,0.8263120557877786
91,400,unlearn,0.8339483394833949,0.8274810056601637
92,800,retrain,0.8099630996309963,0.8054527263456945
93,800,unlearn,0.8302583025830258,0.8169856564235835
94,1000,retrain,0.8136531365313653,0.8111246699101825
95,1000,unlearn,0.8302583025830258,0.8204138265957931
96,0,retrain,0.8468634686346863,0.8472490097532586
97,0,unlearn,0.8468634686346863,0.8472490097532586
98,100,retrain,0.8321033210332104,0.8172269317019553
99,100,unlearn,0.8450184501845018,0.8444313109411746
100,200,retrain,0.8357933579335793,0.8278904122534217
101,200,unlearn,0.8487084870848709,0.8494925782529422
102,400,retrain,0.8044280442804428,0.7788096986091972
103,400,unlearn,0.8376383763837638,0.8348563634403535
104,800,retrain,0.8210332103321033,0.8131515975152954
105,800,unlearn,0.8191881918819188,0.8081672225553932
106,1000,retrain,0.8007380073800738,0.7883518383228151
107,1000,unlearn,0.8247232472324724,0.8138462724606883
108,0,retrain,0.8487084870848709,0.8499527941448084
109,0,unlearn,0.8487084870848709,0.8499527941448084
110,100,retrain,0.8431734317343174,0.8382897107415996
111,100,unlearn,0.8431734317343174,0.8440808654046393
112,200,retrain,0.8265682656826568,0.8191144868534596
113,200,unlearn,0.8394833948339483,0.838893489722562
114,400,retrain,0.8302583025830258,0.8224367450855495
115,400,unlearn,0.8321033210332104,0.8297488387479109
116,800,retrain,0.8025830258302583,0.7943868296942281
117,800,unlearn,0.8210332103321033,0.8155361868153717
118,1000,retrain,0.8136531365313653,0.8103069346597174
119,1000,unlearn,0.8228782287822878,0.8175184825018819
