,# edges,setting,accuracy,f1
0,0,retrain,0.8357933579335793,0.8315776192467884
1,0,unlearn,0.8357933579335793,0.8315776192467884
2,100,retrain,0.8468634686346863,0.8433080558331447
3,100,unlearn,0.7841328413284133,0.6853543216558288
4,200,retrain,0.8339483394833949,0.8280587874639309
5,200,unlearn,0.7841328413284133,0.6876584003962952
6,400,retrain,0.7749077490774908,0.6875613967702917
7,400,unlearn,0.7841328413284133,0.6887558790205561
8,800,retrain,0.8081180811808119,0.7994754806945872
9,800,unlearn,0.7785977859778598,0.6829885448373766
10,1000,retrain,0.7730627306273062,0.7387110197322343
11,1000,unlearn,0.7785977859778598,0.6831522061429885
12,0,retrain,0.8376383763837638,0.832029170839604
13,0,unlearn,0.8376383763837638,0.832029170839604
14,100,retrain,0.7509225092250923,0.7129721113030694
15,100,unlearn,0.8025830258302583,0.7926065898565341
16,200,retrain,0.7822878228782287,0.700851970607183
17,200,unlearn,0.8062730627306273,0.8001817183976545
18,400,retrain,0.7564575645756457,0.7246065294451206
19,400,unlearn,0.8081180811808119,0.8041889568810994
20,800,retrain,0.8007380073800738,0.7933740445018641
21,800,unlearn,0.8118081180811808,0.806494501664817
22,1000,retrain,0.7472324723247232,0.6552503897735255
23,1000,unlearn,0.8025830258302583,0.7961626303239052
24,0,retrain,0.7822878228782287,0.7163665819110374
25,0,unlearn,0.7822878228782287,0.7163665819110374
26,100,retrain,0.8247232472324724,0.8239288949728735
27,100,unlearn,0.7472324723247232,0.5683322894946101
28,200,retrain,0.7841328413284133,0.7255802483450919
29,200,unlearn,0.7435424354243543,0.5654716428141677
30,400,retrain,0.8136531365313653,0.8032961786778957
31,400,unlearn,0.7472324723247232,0.5757179069411013
32,800,retrain,0.7712177121771218,0.7057072746510009
33,800,unlearn,0.7453874538745388,0.5677047931179139
34,1000,retrain,0.8247232472324724,0.8218506825921729
35,1000,unlearn,0.7453874538745388,0.5672861158036789
36,0,retrain,0.8302583025830258,0.8154177662647412
37,0,unlearn,0.8302583025830258,0.8154177662647412
38,100,retrain,0.7859778597785978,0.7662602310833931
39,100,unlearn,0.8025830258302583,0.7768670757626126
40,200,retrain,0.8265682656826568,0.8132618174982689
41,200,unlearn,0.7988929889298892,0.7674836238175292
42,400,retrain,0.7915129151291513,0.7036289134033494
43,400,unlearn,0.7896678966789668,0.7474963476644614
44,800,retrain,0.7583025830258303,0.7357616357003051
45,800,unlearn,0.7915129151291513,0.7555290913615152
46,1000,retrain,0.8025830258302583,0.7984545227810916
47,1000,unlearn,0.7915129151291513,0.7534327491610948
48,0,retrain,0.7896678966789668,0.6804171085512764
49,0,unlearn,0.7896678966789668,0.6804171085512764
50,100,retrain,0.8228782287822878,0.8194145093926973
51,100,unlearn,0.6752767527675276,0.49322435246683166
52,200,retrain,0.8191881918819188,0.8126430944510249
53,200,unlearn,0.6771217712177122,0.49538998280586527
54,400,retrain,0.8210332103321033,0.803977281913232
55,400,unlearn,0.6771217712177122,0.4946419689515435
56,800,retrain,0.7970479704797048,0.7815581484718759
57,800,unlearn,0.6789667896678967,0.49844918310003766
58,1000,retrain,0.8118081180811808,0.8035757632827075
59,1000,unlearn,0.6660516605166051,0.47721325673371157
60,0,retrain,0.7767527675276753,0.6963086263727761
61,0,unlearn,0.7767527675276753,0.6963086263727761
62,100,retrain,0.8154981549815498,0.8020248557633309
63,100,unlearn,0.6512915129151291,0.45230728847218976
64,200,retrain,0.8450184501845018,0.841632001406018
65,200,unlearn,0.6512915129151291,0.4551217359102215
66,400,retrain,0.8154981549815498,0.8084778946350842
67,400,unlearn,0.6549815498154982,0.4620869716251303
68,800,retrain,0.7933579335793358,0.7906240126973484
69,800,unlearn,0.6642066420664207,0.4840183884363716
70,1000,retrain,0.8247232472324724,0.8307450993933221
71,1000,unlearn,0.6623616236162362,0.47874215216650434
72,0,retrain,0.8339483394833949,0.8344450675643914
73,0,unlearn,0.8339483394833949,0.8344450675643914
74,100,retrain,0.8228782287822878,0.8107440296139449
75,100,unlearn,0.8025830258302583,0.7751336327410462
76,200,retrain,0.8044280442804428,0.796578563048221
77,200,unlearn,0.8044280442804428,0.7805460226704249
78,400,retrain,0.8191881918819188,0.8149839346552561
79,400,unlearn,0.8062730627306273,0.7817869514150972
