# edges,setting,accuracy
0,Retrain,0.855704698
0,ERAEDGE,0.855704698
100,Retrain,0.848993289
100,ERAEDGE,0.848993289
0,Retrain,0.855704698
0,ERAEDGE,0.855704698
100,Retrain,0.855704698
100,ERAEDGE,0.855704698
0,Retrain,0.862416107
0,ERAEDGE,0.862416107
100,Retrain,0.852348993
100,ERAEDGE,0.859060403
0,Retrain,0.852348993
0,ERAEDGE,0.852348993
100,Retrain,0.832214765
100,ERAEDGE,0.845637584
0,Retrain,0.862416107
0,ERAEDGE,0.862416107
100,Retrain,0.802013423
100,ERAEDGE,0.852348993
0,Retrain,0.812080537
0,ERAEDGE,0.812080537
100,Retrain,0.859060403
100,ERAEDGE,0.805369128
0,Retrain,0.852348993
0,ERAEDGE,0.852348993
100,Retrain,0.855704698
100,ERAEDGE,0.852348993
0,Retrain,0.838926174
0,ERAEDGE,0.838926174
100,Retrain,0.862416107
100,ERAEDGE,0.838926174
0,Retrain,0.865771812
0,ERAEDGE,0.865771812
100,Retrain,0.818791946
100,ERAEDGE,0.869127517
0,Retrain,0.859060403
0,ERAEDGE,0.859060403
100,Retrain,0.859060403
100,ERAEDGE,0.865771812
200,Retrain,0.838926174
400,Retrain,0.815436242
800,Retrain,0.859060403
1000,Retrain,0.818791946
200,Retrain,0.822147651
400,Retrain,0.818791946
800,Retrain,0.818791946
1000,Retrain,0.845637584
200,Retrain,0.83557047
400,Retrain,0.822147651
800,Retrain,0.818791946
1000,Retrain,0.862416107
200,Retrain,0.812080537
400,Retrain,0.838926174
800,Retrain,0.865771812
1000,Retrain,0.808724832
200,Retrain,0.852348993
400,Retrain,0.818791946
800,Retrain,0.82885906
1000,Retrain,0.848993289
200,Retrain,0.818791946
400,Retrain,0.838926174
800,Retrain,0.852348993
1000,Retrain,0.869127517
200,Retrain,0.865771812
400,Retrain,0.818791946
800,Retrain,0.832214765
1000,Retrain,0.852348993
200,Retrain,0.845637584
400,Retrain,0.875838926
800,Retrain,0.832214765
1000,Retrain,0.855704698
200,Retrain,0.818791946
400,Retrain,0.818791946
800,Retrain,0.818791946
1000,Retrain,0.818791946
200,Retrain,0.838926174
400,Retrain,0.82885906
800,Retrain,0.845637584
1000,Retrain,0.855704698
200,ERAEDGE,0.82885906
400,ERAEDGE,0.82885906
800,ERAEDGE,0.825503356
1000,ERAEDGE,0.825503356
200,ERAEDGE,0.825503356
400,ERAEDGE,0.822147651
800,ERAEDGE,0.818791946
1000,ERAEDGE,0.818791946
200,ERAEDGE,0.815436242
400,ERAEDGE,0.815436242
800,ERAEDGE,0.815436242
1000,ERAEDGE,0.815436242
200,ERAEDGE,0.822147651
400,ERAEDGE,0.822147651
800,ERAEDGE,0.818791946
1000,ERAEDGE,0.818791946
200,ERAEDGE,0.83557047
400,ERAEDGE,0.832214765
800,ERAEDGE,0.832214765
1000,ERAEDGE,0.83557047
200,ERAEDGE,0.822147651
400,ERAEDGE,0.818791946
800,ERAEDGE,0.822147651
1000,ERAEDGE,0.825503356
200,ERAEDGE,0.852348993
400,ERAEDGE,0.852348993
800,ERAEDGE,0.852348993
1000,ERAEDGE,0.852348993
200,ERAEDGE,0.852348993
400,ERAEDGE,0.852348993
800,ERAEDGE,0.852348993
1000,ERAEDGE,0.855704698
200,ERAEDGE,0.815436242
400,ERAEDGE,0.815436242
800,ERAEDGE,0.812080537
1000,ERAEDGE,0.812080537
200,ERAEDGE,0.845637584
400,ERAEDGE,0.848993289
800,ERAEDGE,0.848993289
1000,ERAEDGE,0.848993289
