,# edges,setting,accuracy,f1
0,0,retrain,0.8557046979865772,0.8556900726392251
1,0,unlearn,0.8557046979865772,0.8556900726392251
2,100,retrain,0.8657718120805369,0.8654749006861684
3,100,unlearn,0.8590604026845637,0.8590540540540541
4,200,retrain,0.8691275167785235,0.868948953012415
5,200,unlearn,0.8590604026845637,0.8590540540540541
6,400,retrain,0.8624161073825504,0.8624021622839124
7,400,unlearn,0.8590604026845637,0.8590540540540541
8,800,retrain,0.87248322147651,0.8723394660894661
9,800,unlearn,0.8590604026845637,0.8590540540540541
10,1000,retrain,0.8624161073825504,0.8623401498507126
11,1000,unlearn,0.8590604026845637,0.8590540540540541
12,0,retrain,0.8657718120805369,0.865717375630858
13,0,unlearn,0.8657718120805369,0.865717375630858
14,100,retrain,0.8624161073825504,0.8622904996449623
15,100,unlearn,0.8657718120805369,0.8657476235527324
16,200,retrain,0.8657718120805369,0.8656204906204906
17,200,unlearn,0.8657718120805369,0.8657476235527324
18,400,retrain,0.8657718120805369,0.8656204906204906
19,400,unlearn,0.8657718120805369,0.8657476235527324
20,800,retrain,0.8590604026845637,0.8590540540540541
21,800,unlearn,0.8657718120805369,0.8657476235527324
22,1000,retrain,0.8590604026845637,0.859035004730369
23,1000,unlearn,0.8624161073825504,0.8624021622839124
24,0,retrain,0.8557046979865772,0.8556640646999853
25,0,unlearn,0.8557046979865772,0.8556640646999853
26,100,retrain,0.87248322147651,0.8723394660894661
27,100,unlearn,0.8624161073825504,0.8624021622839124
28,200,retrain,0.8691275167785235,0.8690080362476471
29,200,unlearn,0.8624161073825504,0.8624021622839124
30,400,retrain,0.8590604026845637,0.859003244412401
31,400,unlearn,0.8624161073825504,0.8624021622839124
32,800,retrain,0.8657718120805369,0.8656204906204906
33,800,unlearn,0.8590604026845637,0.859035004730369
34,1000,retrain,0.8557046979865772,0.8555729630422776
35,1000,unlearn,0.8590604026845637,0.859035004730369
36,0,retrain,0.8691275167785235,0.8690080362476471
37,0,unlearn,0.8691275167785235,0.8690080362476471
38,100,retrain,0.8657718120805369,0.8656204906204906
39,100,unlearn,0.8691275167785235,0.8690080362476471
40,200,retrain,0.8624161073825504,0.8623401498507126
41,200,unlearn,0.8691275167785235,0.8690080362476471
42,400,retrain,0.8624161073825504,0.8623773640162651
43,400,unlearn,0.8657718120805369,0.8656750056344378
44,800,retrain,0.8657718120805369,0.865717375630858
45,800,unlearn,0.8657718120805369,0.8656750056344378
46,1000,retrain,0.8657718120805369,0.8656750056344378
47,1000,unlearn,0.8657718120805369,0.8656750056344378
