# edges,setting,accuracy
0,Retrain,0.748322148
0,ERAEDGE,0.748322148
100,Retrain,0.758389262
100,ERAEDGE,0.741610738
0,Retrain,0.758389262
0,ERAEDGE,0.758389262
100,Retrain,0.744966443
100,ERAEDGE,0.741610738
0,Retrain,0.751677852
0,ERAEDGE,0.751677852
100,Retrain,0.744966443
100,ERAEDGE,0.728187919
0,Retrain,0.768456376
0,ERAEDGE,0.768456376
100,Retrain,0.758389262
100,ERAEDGE,0.741610738
0,Retrain,0.758389262
0,ERAEDGE,0.758389262
100,Retrain,0.758389262
100,ERAEDGE,0.748322148
0,Retrain,0.751677852
0,ERAEDGE,0.751677852
100,Retrain,0.724832215
100,ERAEDGE,0.751677852
0,Retrain,0.748322148
0,ERAEDGE,0.748322148
100,Retrain,0.755033557
100,ERAEDGE,0.728187919
0,Retrain,0.724832215
0,ERAEDGE,0.724832215
100,Retrain,0.748322148
100,ERAEDGE,0.687919463
0,Retrain,0.744966443
0,ERAEDGE,0.744966443
100,Retrain,0.744966443
100,ERAEDGE,0.708053691
0,Retrain,0.748322148
0,ERAEDGE,0.748322148
100,Retrain,0.734899329
100,ERAEDGE,0.728187919
200,Retrain,0.768456376
400,Retrain,0.761744966
800,Retrain,0.765100671
1000,Retrain,0.734899329
200,Retrain,0.741610738
400,Retrain,0.751677852
800,Retrain,0.761744966
1000,Retrain,0.768456376
200,Retrain,0.755033557
400,Retrain,0.751677852
800,Retrain,0.758389262
1000,Retrain,0.761744966
200,Retrain,0.755033557
400,Retrain,0.775167785
800,Retrain,0.755033557
1000,Retrain,0.734899329
200,Retrain,0.765100671
400,Retrain,0.741610738
800,Retrain,0.748322148
1000,Retrain,0.755033557
200,Retrain,0.755033557
400,Retrain,0.758389262
800,Retrain,0.768456376
1000,Retrain,0.758389262
200,Retrain,0.751677852
400,Retrain,0.755033557
800,Retrain,0.755033557
1000,Retrain,0.755033557
200,Retrain,0.751677852
400,Retrain,0.755033557
800,Retrain,0.751677852
1000,Retrain,0.741610738
200,Retrain,0.758389262
400,Retrain,0.734899329
800,Retrain,0.751677852
1000,Retrain,0.771812081
200,Retrain,0.765100671
400,Retrain,0.761744966
800,Retrain,0.775167785
1000,Retrain,0.748322148
200,ERAEDGE,0.755033557
400,ERAEDGE,0.758389262
800,ERAEDGE,0.755033557
1000,ERAEDGE,0.755033557
200,ERAEDGE,0.758389262
400,ERAEDGE,0.758389262
800,ERAEDGE,0.755033557
1000,ERAEDGE,0.758389262
200,ERAEDGE,0.751677852
400,ERAEDGE,0.744966443
800,ERAEDGE,0.765100671
1000,ERAEDGE,0.771812081
200,ERAEDGE,0.755033557
400,ERAEDGE,0.758389262
800,ERAEDGE,0.765100671
1000,ERAEDGE,0.765100671
200,ERAEDGE,0.761744966
400,ERAEDGE,0.751677852
800,ERAEDGE,0.748322148
1000,ERAEDGE,0.748322148
200,ERAEDGE,0.771812081
400,ERAEDGE,0.768456376
800,ERAEDGE,0.781879195
1000,ERAEDGE,0.775167785
200,ERAEDGE,0.768456376
400,ERAEDGE,0.768456376
800,ERAEDGE,0.761744966
1000,ERAEDGE,0.765100671
200,ERAEDGE,0.755033557
400,ERAEDGE,0.751677852
800,ERAEDGE,0.748322148
1000,ERAEDGE,0.748322148
200,ERAEDGE,0.751677852
400,ERAEDGE,0.755033557
800,ERAEDGE,0.765100671
1000,ERAEDGE,0.758389262
200,ERAEDGE,0.761744966
400,ERAEDGE,0.761744966
800,ERAEDGE,0.758389262
1000,ERAEDGE,0.751677852
