,# edges,setting,accuracy,f1
0,0,retrain,0.8691275167785235,0.8690080362476471
1,0,unlearn,0.8691275167785235,0.8690080362476471
2,100,retrain,0.8624161073825504,0.8622904996449623
3,100,unlearn,0.87248322147651,0.8723394660894661
4,200,retrain,0.8590604026845637,0.8588314910895556
5,200,unlearn,0.8624161073825504,0.8600185603152961
6,400,retrain,0.8590604026845637,0.8588314910895556
7,400,unlearn,0.8557046979865772,0.853445416595185
8,800,retrain,0.8590604026845637,0.8586529340018972
9,800,unlearn,0.8523489932885906,0.851922121335321
10,1000,retrain,0.8557046979865772,0.8552335762300176
11,1000,unlearn,0.8523489932885906,0.852022390754785
12,0,retrain,0.8590604026845637,0.8589587559161596
13,0,unlearn,0.8590604026845637,0.8589587559161596
14,100,retrain,0.8590604026845637,0.8589587559161596
15,100,unlearn,0.8523489932885906,0.8490583413915366
16,200,retrain,0.8624161073825504,0.8622283865002311
17,200,unlearn,0.8557046979865772,0.8526364211373699
18,400,retrain,0.8657718120805369,0.865553801037672
19,400,unlearn,0.8557046979865772,0.8526364211373699
20,800,retrain,0.8557046979865772,0.8554295707113443
21,800,unlearn,0.8590604026845637,0.859003244412401
22,1000,retrain,0.8557046979865772,0.8552335762300176
23,1000,unlearn,0.8154362416107382,0.8094075236932379
24,0,retrain,0.8691275167785235,0.8690080362476471
25,0,unlearn,0.8691275167785235,0.8690080362476471
26,100,retrain,0.8590604026845637,0.8589587559161596
27,100,unlearn,0.87248322147651,0.8723394660894661
28,200,retrain,0.8657718120805369,0.865553801037672
29,200,unlearn,0.8590604026845637,0.8588314910895556
30,400,retrain,0.8590604026845637,0.8589015151515151
31,400,unlearn,0.8355704697986577,0.834209480556344
32,800,retrain,0.8590604026845637,0.8586529340018972
33,800,unlearn,0.8489932885906041,0.8485002541942044
34,1000,retrain,0.8557046979865772,0.8552335762300176
35,1000,unlearn,0.8523489932885906,0.8501622708780912
36,0,retrain,0.8624161073825504,0.8623773640162651
37,0,unlearn,0.8624161073825504,0.8623773640162651
38,100,retrain,0.8590604026845637,0.8589587559161596
39,100,unlearn,0.8657718120805369,0.865717375630858
40,200,retrain,0.8557046979865772,0.8555078199880474
41,200,unlearn,0.8657718120805369,0.8656204906204906
42,400,retrain,0.8624161073825504,0.8621537767247701
43,400,unlearn,0.8624161073825504,0.8623773640162651
44,800,retrain,0.8624161073825504,0.8620666297880988
45,800,unlearn,0.8489932885906041,0.8460796804517752
46,1000,retrain,0.8422818791946308,0.8419811586844925
47,1000,unlearn,0.8456375838926175,0.8428053759001881
48,0,retrain,0.8624161073825504,0.8623773640162651
49,0,unlearn,0.8624161073825504,0.8623773640162651
50,100,retrain,0.8590604026845637,0.8589587559161596
51,100,unlearn,0.8624161073825504,0.8621537767247701
52,200,retrain,0.8557046979865772,0.8555729630422776
53,200,unlearn,0.8590604026845637,0.8588314910895556
54,400,retrain,0.8624161073825504,0.8621537767247701
55,400,unlearn,0.8590604026845637,0.8588314910895556
56,800,retrain,0.8590604026845637,0.8586529340018972
57,800,unlearn,0.8691275167785235,0.8690080362476471
58,1000,retrain,0.8557046979865772,0.8552335762300176
59,1000,unlearn,0.8557046979865772,0.8554295707113443
60,0,retrain,0.8691275167785235,0.8690080362476471
61,0,unlearn,0.8691275167785235,0.8690080362476471
62,100,retrain,0.8624161073825504,0.8622904996449623
63,100,unlearn,0.87248322147651,0.8723912553527158
64,200,retrain,0.8590604026845637,0.8589015151515151
65,200,unlearn,0.8691275167785235,0.8690552644921412
66,400,retrain,0.8590604026845637,0.8588314910895556
67,400,unlearn,0.8691275167785235,0.8690552644921412
68,800,retrain,0.8590604026845637,0.8586529340018972
69,800,unlearn,0.8557046979865772,0.8554295707113443
70,1000,retrain,0.8557046979865772,0.8552335762300176
71,1000,unlearn,0.8657718120805369,0.8656204906204906
72,0,retrain,0.8557046979865772,0.855625035209284
73,0,unlearn,0.8557046979865772,0.855625035209284
74,100,retrain,0.8624161073825504,0.8622904996449623
75,100,unlearn,0.87248322147651,0.8723394660894661
76,200,retrain,0.8590604026845637,0.8588314910895556
77,200,unlearn,0.8557046979865772,0.8526364211373699
78,400,retrain,0.8624161073825504,0.8621537767247701
79,400,unlearn,0.8557046979865772,0.8526364211373699
80,800,retrain,0.8624161073825504,0.8620666297880988
81,800,unlearn,0.8523489932885906,0.852022390754785
82,1000,retrain,0.8523489932885906,0.8518083182640144
83,1000,unlearn,0.8523489932885906,0.852022390754785
84,0,retrain,0.8691275167785235,0.8690080362476471
85,0,unlearn,0.8691275167785235,0.8690080362476471
86,100,retrain,0.8590604026845637,0.8589587559161596
87,100,unlearn,0.8691275167785235,0.8668469232267453
88,200,retrain,0.8624161073825504,0.8622283865002311
89,200,unlearn,0.8657718120805369,0.8633090225219027
90,400,retrain,0.8624161073825504,0.8622283865002311
91,400,unlearn,0.8657718120805369,0.8633090225219027
92,800,retrain,0.8322147651006712,0.8277456647398843
93,800,unlearn,0.8624161073825504,0.8622283865002311
94,1000,retrain,0.8523489932885906,0.851922121335321
95,1000,unlearn,0.8590604026845637,0.8588314910895556
96,0,retrain,0.8624161073825504,0.8600185603152961
97,0,unlearn,0.8624161073825504,0.8600185603152961
98,100,retrain,0.8624161073825504,0.8622904996449623
99,100,unlearn,0.8657718120805369,0.865717375630858
100,200,retrain,0.8590604026845637,0.8588314910895556
101,200,unlearn,0.8590604026845637,0.8562040441176471
102,400,retrain,0.8624161073825504,0.8621537767247701
103,400,unlearn,0.8657718120805369,0.865717375630858
104,800,retrain,0.8624161073825504,0.8620666297880988
105,800,unlearn,0.8624161073825504,0.8597614866338394
106,1000,retrain,0.8557046979865772,0.8552335762300176
107,1000,unlearn,0.8657718120805369,0.8656750056344378
108,0,retrain,0.8691275167785235,0.8690080362476471
109,0,unlearn,0.8691275167785235,0.8690080362476471
110,100,retrain,0.8590604026845637,0.8589587559161596
111,100,unlearn,0.87248322147651,0.8723394660894661
112,200,retrain,0.8590604026845637,0.8588314910895556
113,200,unlearn,0.8691275167785235,0.8690080362476471
114,400,retrain,0.8557046979865772,0.8555729630422776
115,400,unlearn,0.8691275167785235,0.8690080362476471
116,800,retrain,0.8590604026845637,0.8586529340018972
117,800,unlearn,0.8691275167785235,0.8690080362476471
118,1000,retrain,0.8523489932885906,0.8518083182640144
119,1000,unlearn,0.8657718120805369,0.8656204906204906
