,# edges,setting,accuracy,f1
0,0,retrain,0.8758389261744967,0.8756021887516219
1,0,unlearn,0.8758389261744967,0.8756021887516219
2,100,retrain,0.87248322147651,0.8723912553527158
3,100,unlearn,0.8590604026845637,0.859003244412401
4,200,retrain,0.8791946308724832,0.8790584415584415
5,200,unlearn,0.8557046979865772,0.855625035209284
6,400,retrain,0.8590604026845637,0.8559193258737394
7,400,unlearn,0.8557046979865772,0.855625035209284
8,800,retrain,0.8624161073825504,0.859490541084469
9,800,unlearn,0.8557046979865772,0.8555729630422776
10,1000,retrain,0.8590604026845637,0.8587486457204767
11,1000,unlearn,0.8523489932885906,0.8521825396825397
12,0,retrain,0.8590604026845637,0.8588314910895556
13,0,unlearn,0.8590604026845637,0.8588314910895556
14,100,retrain,0.8657718120805369,0.8654749006861684
15,100,unlearn,0.8590604026845637,0.859035004730369
16,200,retrain,0.8657718120805369,0.8654749006861684
17,200,unlearn,0.8590604026845637,0.859035004730369
18,400,retrain,0.8691275167785235,0.8690552644921412
19,400,unlearn,0.8590604026845637,0.859035004730369
20,800,retrain,0.8624161073825504,0.8621537767247701
21,800,unlearn,0.8590604026845637,0.859003244412401
22,1000,retrain,0.8691275167785235,0.8690080362476471
23,1000,unlearn,0.8590604026845637,0.859003244412401
24,0,retrain,0.8657718120805369,0.865553801037672
25,0,unlearn,0.8657718120805369,0.865553801037672
26,100,retrain,0.8557046979865772,0.8523375471024095
27,100,unlearn,0.8422818791946308,0.8422801031496683
28,200,retrain,0.8624161073825504,0.859490541084469
29,200,unlearn,0.8389261744966443,0.8389189189189189
30,400,retrain,0.87248322147651,0.8723912553527158
31,400,unlearn,0.8355704697986577,0.8355538037051635
32,800,retrain,0.8691275167785235,0.8688779827381959
33,800,unlearn,0.8355704697986577,0.8355538037051635
34,1000,retrain,0.8624161073825504,0.8620666297880988
35,1000,unlearn,0.825503355704698,0.8254719106185521
36,0,retrain,0.8624161073825504,0.8622904996449623
37,0,unlearn,0.8624161073825504,0.8622904996449623
38,100,retrain,0.8657718120805369,0.865553801037672
39,100,unlearn,0.8590604026845637,0.859035004730369
40,200,retrain,0.8657718120805369,0.8654749006861684
41,200,unlearn,0.8557046979865772,0.8557030730943774
42,400,retrain,0.8624161073825504,0.8597614866338394
43,400,unlearn,0.8557046979865772,0.8557030730943774
44,800,retrain,0.8557046979865772,0.8523375471024095
45,800,unlearn,0.8557046979865772,0.8556900726392251
46,1000,retrain,0.8557046979865772,0.8526364211373699
47,1000,unlearn,0.8624161073825504,0.8623773640162651
48,0,retrain,0.8624161073825504,0.8621537767247701
49,0,unlearn,0.8624161073825504,0.8621537767247701
50,100,retrain,0.8557046979865772,0.8526364211373699
51,100,unlearn,0.8657718120805369,0.8656750056344378
52,200,retrain,0.8657718120805369,0.8656204906204906
53,200,unlearn,0.8657718120805369,0.8656750056344378
54,400,retrain,0.8624161073825504,0.8602619088465717
55,400,unlearn,0.8624161073825504,0.8622904996449623
56,800,retrain,0.87248322147651,0.8723394660894661
57,800,unlearn,0.8624161073825504,0.8622283865002311
58,1000,retrain,0.8624161073825504,0.8623401498507126
59,1000,unlearn,0.8590604026845637,0.8589015151515151
60,0,retrain,0.8657718120805369,0.8656750056344378
61,0,unlearn,0.8657718120805369,0.8656750056344378
62,100,retrain,0.8523489932885906,0.8493566176470588
63,100,unlearn,0.8523489932885906,0.8484161849710983
64,200,retrain,0.8523489932885906,0.8493566176470588
65,200,unlearn,0.8557046979865772,0.8520237889023616
66,400,retrain,0.8590604026845637,0.859035004730369
67,400,unlearn,0.8523489932885906,0.8484161849710983
68,800,retrain,0.8691275167785235,0.868948953012415
69,800,unlearn,0.8523489932885906,0.8484161849710983
70,1000,retrain,0.8557046979865772,0.8554295707113443
71,1000,unlearn,0.8523489932885906,0.8484161849710983
72,0,retrain,0.87248322147651,0.8723394660894661
73,0,unlearn,0.87248322147651,0.8723394660894661
74,100,retrain,0.8624161073825504,0.8622283865002311
75,100,unlearn,0.8590604026845637,0.859035004730369
76,200,retrain,0.8456375838926175,0.8428053759001881
77,200,unlearn,0.8590604026845637,0.859035004730369
78,400,retrain,0.8657718120805369,0.8656750056344378
79,400,unlearn,0.8590604026845637,0.859035004730369
80,800,retrain,0.8624161073825504,0.8622904996449623
81,800,unlearn,0.8624161073825504,0.8623773640162651
82,1000,retrain,0.8557046979865772,0.8555078199880474
83,1000,unlearn,0.8590604026845637,0.859003244412401
84,0,retrain,0.8590604026845637,0.8562040441176471
85,0,unlearn,0.8590604026845637,0.8562040441176471
86,100,retrain,0.87248322147651,0.8723912553527158
87,100,unlearn,0.8456375838926175,0.8415260115606936
88,200,retrain,0.8657718120805369,0.865553801037672
89,200,unlearn,0.8456375838926175,0.8415260115606936
90,400,retrain,0.8590604026845637,0.859035004730369
91,400,unlearn,0.8456375838926175,0.8415260115606936
92,800,retrain,0.8691275167785235,0.8690080362476471
93,800,unlearn,0.8456375838926175,0.8415260115606936
94,1000,retrain,0.87248322147651,0.8723912553527158
95,1000,unlearn,0.8456375838926175,0.8415260115606936
96,0,retrain,0.8657718120805369,0.865553801037672
97,0,unlearn,0.8657718120805369,0.865553801037672
98,100,retrain,0.8691275167785235,0.8690080362476471
99,100,unlearn,0.8288590604026845,0.8288108674348662
100,200,retrain,0.87248322147651,0.8723394660894661
101,200,unlearn,0.8288590604026845,0.8288108674348662
102,400,retrain,0.8758389261744967,0.8757255728503319
103,400,unlearn,0.8288590604026845,0.8288108674348662
104,800,retrain,0.8523489932885906,0.8487449243263196
105,800,unlearn,0.825503355704698,0.8254325883201155
106,1000,retrain,0.87248322147651,0.8722761109857884
107,1000,unlearn,0.825503355704698,0.8254719106185521
108,0,retrain,0.8657718120805369,0.865553801037672
109,0,unlearn,0.8657718120805369,0.865553801037672
110,100,retrain,0.87248322147651,0.8723912553527158
111,100,unlearn,0.8557046979865772,0.8556900726392251
112,200,retrain,0.8523489932885906,0.8496399247740929
113,200,unlearn,0.8557046979865772,0.8556900726392251
114,400,retrain,0.8624161073825504,0.8622283865002311
115,400,unlearn,0.8523489932885906,0.8523223859080056
116,800,retrain,0.8557046979865772,0.8552335762300176
117,800,unlearn,0.8523489932885906,0.8522891131939438
118,1000,retrain,0.8590604026845637,0.8567307692307693
119,1000,unlearn,0.8422818791946308,0.8422658933498508
