,# edges,setting,accuracy,f1
0,0,retrain,0.8624161073825504,0.8623773640162651
1,0,unlearn,0.8624161073825504,0.8623773640162651
2,100,retrain,0.8691275167785235,0.8690080362476471
3,100,unlearn,0.5134228187919463,0.3392461197339246
4,200,retrain,0.8657718120805369,0.8656750056344378
5,200,unlearn,0.5134228187919463,0.3392461197339246
6,400,retrain,0.8657718120805369,0.8656204906204906
7,400,unlearn,0.5134228187919463,0.3392461197339246
8,800,retrain,0.8657718120805369,0.8656204906204906
9,800,unlearn,0.5134228187919463,0.3392461197339246
10,1000,retrain,0.8657718120805369,0.8656204906204906
11,1000,unlearn,0.5134228187919463,0.3392461197339246
12,0,retrain,0.8691275167785235,0.868948953012415
13,0,unlearn,0.8691275167785235,0.868948953012415
14,100,retrain,0.8691275167785235,0.8690080362476471
15,100,unlearn,0.8590604026845637,0.8562040441176471
16,200,retrain,0.8657718120805369,0.865717375630858
17,200,unlearn,0.8590604026845637,0.8562040441176471
18,400,retrain,0.8691275167785235,0.8690080362476471
19,400,unlearn,0.8590604026845637,0.8562040441176471
20,800,retrain,0.87248322147651,0.8723912553527158
21,800,unlearn,0.8624161073825504,0.8597614866338394
22,1000,retrain,0.8691275167785235,0.8690080362476471
23,1000,unlearn,0.8624161073825504,0.8597614866338394
24,0,retrain,0.8691275167785235,0.8690080362476471
25,0,unlearn,0.8691275167785235,0.8690080362476471
26,100,retrain,0.8657718120805369,0.8656750056344378
27,100,unlearn,0.5134228187919463,0.3392461197339246
28,200,retrain,0.8624161073825504,0.8623773640162651
29,200,unlearn,0.5134228187919463,0.3392461197339246
30,400,retrain,0.8590604026845637,0.8564744736479979
31,400,unlearn,0.5134228187919463,0.3392461197339246
32,800,retrain,0.8657718120805369,0.8656750056344378
33,800,unlearn,0.5134228187919463,0.3392461197339246
34,1000,retrain,0.87248322147651,0.8723394660894661
35,1000,unlearn,0.5134228187919463,0.3392461197339246
36,0,retrain,0.8557046979865772,0.8526364211373699
37,0,unlearn,0.8557046979865772,0.8526364211373699
38,100,retrain,0.8624161073825504,0.8623773640162651
39,100,unlearn,0.8691275167785235,0.8687950868716061
40,200,retrain,0.8624161073825504,0.8623401498507126
41,200,unlearn,0.8657718120805369,0.8653837466684736
42,400,retrain,0.8624161073825504,0.8622904996449623
43,400,unlearn,0.8691275167785235,0.8687950868716061
44,800,retrain,0.8590604026845637,0.8588314910895556
45,800,unlearn,0.8657718120805369,0.8654749006861684
46,1000,retrain,0.8590604026845637,0.8588314910895556
47,1000,unlearn,0.8657718120805369,0.8654749006861684
48,0,retrain,0.8691275167785235,0.8690080362476471
49,0,unlearn,0.8691275167785235,0.8690080362476471
50,100,retrain,0.8624161073825504,0.8622904996449623
51,100,unlearn,0.8657718120805369,0.8656204906204906
52,200,retrain,0.8657718120805369,0.8656204906204906
53,200,unlearn,0.8657718120805369,0.8656204906204906
54,400,retrain,0.8657718120805369,0.8635531135531136
55,400,unlearn,0.8657718120805369,0.8656204906204906
56,800,retrain,0.8557046979865772,0.8526364211373699
57,800,unlearn,0.8691275167785235,0.8690080362476471
58,1000,retrain,0.8624161073825504,0.8623773640162651
59,1000,unlearn,0.8691275167785235,0.8690080362476471
60,0,retrain,0.8590604026845637,0.8564744736479979
61,0,unlearn,0.8590604026845637,0.8564744736479979
62,100,retrain,0.8691275167785235,0.8691260430390865
63,100,unlearn,0.8657718120805369,0.865553801037672
64,200,retrain,0.8624161073825504,0.8623773640162651
65,200,unlearn,0.8657718120805369,0.865553801037672
66,400,retrain,0.8590604026845637,0.859035004730369
67,400,unlearn,0.8657718120805369,0.865553801037672
68,800,retrain,0.8657718120805369,0.8656204906204906
69,800,unlearn,0.8657718120805369,0.865553801037672
70,1000,retrain,0.8557046979865772,0.8531901974038473
71,1000,unlearn,0.8624161073825504,0.860491670377602
72,0,retrain,0.8523489932885906,0.8493566176470588
73,0,unlearn,0.8523489932885906,0.8493566176470588
74,100,retrain,0.87248322147651,0.8723394660894661
75,100,unlearn,0.5234899328859061,0.4027213188798554
76,200,retrain,0.8691275167785235,0.8680442804428045
77,200,unlearn,0.5067114093959731,0.3695436293769699
78,400,retrain,0.8624161073825504,0.8622904996449623
79,400,unlearn,0.6778523489932886,0.6500464843176592
80,800,retrain,0.8758389261744967,0.8756021887516219
81,800,unlearn,0.4966442953020134,0.34877622377622375
82,1000,retrain,0.8758389261744967,0.8756021887516219
83,1000,unlearn,0.4899328859060403,0.33454780513604043
84,0,retrain,0.8657718120805369,0.865717375630858
85,0,unlearn,0.8657718120805369,0.865717375630858
86,100,retrain,0.8557046979865772,0.8529205835428073
87,100,unlearn,0.8590604026845637,0.8588314910895556
88,200,retrain,0.8557046979865772,0.8529205835428073
