,retrain-acc,unlearn-acc,retrain-time,unlearn-time,retrain-f1,unlearn-f1,blpa-acc,blpa-time,blpa-f1,blpa-#-shards,bekm-acc,bekm-time,bekm-f1,bekm-#-shards
200,0.838926174,0.832214765,6.922694206,1.21514535,0.838336347,0.83145559,0.649446494,34.49861884,0.622333905,17,0.483394834,40.5101974,0.454588385,19
400,0.838926174,0.832214765,5.010716915,0.897830486,0.838336347,0.83145559,0.643911439,39.54381728,0.615437428,20,0.483394834,44.59679341,0.455548321,20
600,0.842281879,0.82885906,4.20664382,0.900752306,0.841881259,0.828004934,0.640221402,42.7053299,0.610103099,20,0.481549815,42.66917872,0.457469024,20
800,0.832214765,0.82885906,4.320307732,1.118281126,0.831843626,0.828004934,0.638376384,42.63737082,0.610309135,20,0.47601476,49.43382096,0.451109013,20
1000,0.83557047,0.82885906,3.575039387,1.527354717,0.835152801,0.828004934,0.638376384,40.30117393,0.609255798,20,0.483394834,49.7187562,0.457687545,20
1200,0.808724832,0.825503356,3.695201159,0.67124939,0.803845488,0.824547101,0.640221402,42.89892435,0.608756383,20,0.483394834,49.55461907,0.456046035,20
1400,0.825503356,0.825503356,3.805659056,0.989129782,0.824998871,0.824547101,0.640221402,44.56695509,0.609479436,20,0.481549815,48.69511986,0.454329861,20
1600,0.812080537,0.832214765,2.036551237,0.752115488,0.807075145,0.831119373,0.636531365,48.69037366,0.605911851,20,0.47601476,47.0205605,0.449631446,20
1800,0.832214765,0.82885906,2.275007486,0.9005723,0.830927741,0.827646038,0.640221402,47.6285181,0.60957756,20,0.474169742,47.39162326,0.448552664,20
2000,0.845637584,0.82885906,2.423504829,0.804861546,0.844939143,0.827646038,0.636531365,47.99384713,0.605949486,20,0.479704797,45.21299028,0.452158589,20
