,# edges,setting,accuracy,privacy leakage,running time
0,100,random-O,0.0,0.86,0.0
1,100,random-R,0.6876876876876877,0.28,4.017135143280029
2,100,random-U,0.7222222222222222,0.29000000000000004,4.326588153839111
3,200,random-O,0.0,0.875,0.0
4,200,random-R,0.7072072072072072,0.37,4.626846790313721
5,200,random-U,0.7222222222222222,0.38,5.972152948379517
6,400,random-O,0.0,0.86,0.0
7,400,random-R,0.7012012012012012,0.23250000000000004,3.8755855560302734
8,400,random-U,0.7192192192192193,0.23750000000000004,4.640065431594849
9,800,random-O,0.0,0.8725,0.0
10,800,random-R,0.6816816816816816,0.24750000000000005,4.612519979476929
11,800,random-U,0.7162162162162162,0.38375000000000004,6.420699119567871
12,1000,random-O,0.0,0.863,0.0
13,1000,random-R,0.6411411411411412,0.33799999999999997,5.544066905975342
14,1000,random-U,0.7162162162162162,0.363,5.228759050369263
15,100,max-degree-O,0.0,0.81,0.0
16,100,max-degree-R,0.7192192192192193,0.33999999999999997,3.6621408462524414
17,100,max-degree-U,0.7192192192192193,0.18000000000000005,3.1344380378723145
18,200,max-degree-O,0.0,0.885,0.0
19,200,max-degree-R,0.7042042042042042,0.265,3.852949380874634
20,200,max-degree-U,0.7192192192192193,0.33999999999999997,3.0302066802978516
21,400,max-degree-O,0.0,0.7875,0.0
22,400,max-degree-R,0.7042042042042042,0.18500000000000005,4.14514946937561
23,400,max-degree-U,0.7222222222222222,0.18999999999999995,2.6228883266448975
24,800,max-degree-O,0.0,0.745,0.0
25,800,max-degree-R,0.7072072072072072,0.12,3.815883159637451
26,800,max-degree-U,0.7177177177177178,0.07999999999999996,4.613326549530029
27,1000,max-degree-O,0.0,0.726,0.0
28,1000,max-degree-R,0.6816816816816816,0.05500000000000005,3.795742988586426
29,1000,max-degree-U,0.7177177177177178,0.04700000000000004,2.8148138523101807
30,100,min-degree-O,0.0,0.89,0.0
31,100,min-degree-R,0.6951951951951952,0.020000000000000018,3.470566987991333
32,100,min-degree-U,0.7222222222222222,0.010000000000000009,2.7428035736083984
33,200,min-degree-O,0.0,0.91,0.0
34,200,min-degree-R,0.6756756756756757,0.010000000000000009,4.486672639846802
35,200,min-degree-U,0.7222222222222222,0.0050000000000000044,2.7516214847564697
36,400,min-degree-O,0.0,0.8675,0.0
37,400,min-degree-R,0.6441441441441441,0.0024999999999999467,3.7216150760650635
38,400,min-degree-U,0.7192192192192193,0.0024999999999999467,4.384958744049072
39,800,min-degree-O,0.0,0.88625,0.0
40,800,min-degree-R,0.5795795795795796,0.0024999999999999467,4.5275559425354
41,800,min-degree-U,0.7192192192192193,0.0050000000000000044,3.422036647796631
42,1000,min-degree-O,0.0,0.904,0.0
43,1000,min-degree-R,0.5555555555555556,0.0020000000000000018,4.015760660171509
44,1000,min-degree-U,0.7177177177177178,0.0020000000000000018,3.013718605041504
45,100,saliency-O,0.0,0.8,0.0
46,100,saliency-R,0.7102102102102102,0.010000000000000009,3.6060431003570557
47,100,saliency-U,0.7222222222222222,0.26,3.79209566116333
48,200,saliency-O,0.0,0.87,0.0
49,200,saliency-R,0.7162162162162162,0.010000000000000009,2.7177939414978027
50,200,saliency-U,0.7222222222222222,0.010000000000000009,3.501056671142578
51,400,saliency-O,0.0,0.8925,0.0
52,400,saliency-R,0.6921921921921922,0.0050000000000000044,3.6087093353271484
53,400,saliency-U,0.7222222222222222,0.0050000000000000044,1.8320739269256592
54,800,saliency-O,0.0,0.86375,0.0
55,800,saliency-R,0.7177177177177178,0.21125000000000005,3.5835111141204834
56,800,saliency-U,0.7222222222222222,0.0024999999999999467,2.5019819736480713
57,1000,saliency-O,0.0,0.831,0.0
58,1000,saliency-R,0.7237237237237237,0.0010000000000000009,3.7352256774902344
59,1000,saliency-U,0.7222222222222222,0.0010000000000000009,2.4736135005950928
60,100,random-O,0.0,0.84,0.0
61,100,random-R,0.6996996996996997,0.31999999999999995,4.387409210205078
62,100,random-U,0.7177177177177178,0.32999999999999996,2.4436097145080566
63,200,random-O,0.0,0.865,0.0
64,200,random-R,0.7012012012012012,0.25,2.99483585357666
65,200,random-U,0.7177177177177178,0.235,4.891221523284912
66,400,random-O,0.0,0.845,0.0
67,400,random-R,0.6711711711711712,0.24,3.849296808242798
68,400,random-U,0.7162162162162162,0.25249999999999995,3.180356740951538
69,800,random-O,0.0,0.85,0.0
70,800,random-R,0.6441441441441441,0.21499999999999997,3.852055549621582
