,# Layer,Setting,Accuracy
0,1,RI-original,0.7042042042042042
1,1,RI-retrain,0.6531531531531531
2,1,RI-ours,0.512012012012012
3,1,NF-original,0.6891891891891891
4,1,NF-retrain,0.6966966966966966
5,1,NF-ours,0.521021021021021
6,2,RI-original,0.6876876876876877
7,2,RI-retrain,0.6681681681681682
8,2,RI-ours,0.6876876876876877
9,2,NF-original,0.7057057057057057
10,2,NF-retrain,0.6606606606606606
11,2,NF-ours,0.6981981981981982
12,3,RI-original,0.6981981981981982
13,3,RI-retrain,0.6441441441441441
14,3,RI-ours,0.7012012012012012
15,3,NF-original,0.6876876876876877
16,3,NF-retrain,0.5900900900900901
17,3,NF-ours,0.539039039039039
18,4,RI-original,0.6861861861861862
19,4,RI-retrain,0.56006006006006
20,4,RI-ours,0.5915915915915916
21,4,NF-original,0.6156156156156156
22,4,NF-retrain,0.6261261261261262
23,4,NF-ours,0.512012012012012
24,5,RI-original,0.5885885885885885
25,5,RI-retrain,0.6591591591591591
26,5,RI-ours,0.5570570570570571
27,5,NF-original,0.6756756756756757
28,5,NF-retrain,0.6051051051051051
29,5,NF-ours,0.551051051051051
30,1,RI-original,0.7207207207207207
31,1,RI-retrain,0.7057057057057057
32,1,RI-ours,0.6846846846846847
33,1,NF-original,0.7012012012012012
34,1,NF-retrain,0.6981981981981982
35,1,NF-ours,0.6891891891891891
36,2,RI-original,0.6996996996996997
37,2,RI-retrain,0.7057057057057057
38,2,RI-ours,0.6096096096096096
39,2,NF-original,0.7042042042042042
40,2,NF-retrain,0.6816816816816816
41,2,NF-ours,0.6846846846846847
42,3,RI-original,0.6951951951951952
43,3,RI-retrain,0.6066066066066066
44,3,RI-ours,0.6951951951951952
45,3,NF-original,0.6936936936936937
46,3,NF-retrain,0.6396396396396397
47,3,NF-ours,0.6126126126126126
48,4,RI-original,0.5525525525525525
49,4,RI-retrain,0.6441441441441441
50,4,RI-ours,0.5345345345345346
51,4,NF-original,0.5180180180180181
52,4,NF-retrain,0.6336336336336337
53,4,NF-ours,0.26576576576576577
54,5,RI-original,0.5990990990990991
55,5,RI-retrain,0.539039039039039
56,5,RI-ours,0.481981981981982
57,5,NF-original,0.6666666666666666
58,5,NF-retrain,0.6786786786786787
59,5,NF-ours,0.43843843843843844
60,1,RI-original,0.7132132132132132
61,1,RI-retrain,0.6951951951951952
62,1,RI-ours,0.6981981981981982
63,1,NF-original,0.7222222222222222
64,1,NF-retrain,0.6486486486486487
65,1,NF-ours,0.6666666666666666
66,2,RI-original,0.7012012012012012
67,2,RI-retrain,0.6531531531531531
68,2,RI-ours,0.7027027027027027
69,2,NF-original,0.6966966966966966
70,2,NF-retrain,0.6621621621621622
71,2,NF-ours,0.5870870870870871
72,3,RI-original,0.7042042042042042
73,3,RI-retrain,0.575075075075075
74,3,RI-ours,0.6846846846846847
75,3,NF-original,0.6906906906906907
76,3,NF-retrain,0.6471471471471472
77,3,NF-ours,0.5930930930930931
78,4,RI-original,0.6096096096096096
79,4,RI-retrain,0.6186186186186187
80,4,RI-ours,0.38738738738738737
81,4,NF-original,0.6081081081081081
82,4,NF-retrain,0.6471471471471472
83,4,NF-ours,0.5990990990990991
84,5,RI-original,0.5615615615615616
85,5,RI-retrain,0.5345345345345346
86,5,RI-ours,0.4369369369369369
87,5,NF-original,0.6546546546546547
88,5,NF-retrain,0.5255255255255256
89,5,NF-ours,0.5135135135135135
90,1,RI-original,0.6981981981981982
91,1,RI-retrain,0.6831831831831832
92,1,RI-ours,0.5945945945945946
93,1,NF-original,0.7087087087087087
94,1,NF-retrain,0.6921921921921922
95,1,NF-ours,0.6471471471471472
96,2,RI-original,0.5480480480480481
97,2,RI-retrain,0.6621621621621622
98,2,RI-ours,0.5495495495495496
99,2,NF-original,0.7027027027027027
100,2,NF-retrain,0.6591591591591591
101,2,NF-ours,0.6981981981981982
102,3,RI-original,0.6141141141141141
103,3,RI-retrain,0.6696696696696697
104,3,RI-ours,0.5675675675675675
105,3,NF-original,0.575075075075075
106,3,NF-retrain,0.5690690690690691
107,3,NF-ours,0.512012012012012
108,4,RI-original,0.6891891891891891
109,4,RI-retrain,0.6681681681681682
110,4,RI-ours,0.6351351351351351
111,4,NF-original,0.6786786786786787
112,4,NF-retrain,0.6606606606606606
113,4,NF-ours,0.3663663663663664
114,5,RI-original,0.6711711711711712
115,5,RI-retrain,0.5
116,5,RI-ours,0.6036036036036037
117,5,NF-original,0.5420420420420421
118,5,NF-retrain,0.6411411411411412
119,5,NF-ours,0.26576576576576577
120,1,RI-original,0.7132132132132132
121,1,RI-retrain,0.6891891891891891
122,1,RI-ours,0.6066066066066066
123,1,NF-original,0.7102102102102102
124,1,NF-retrain,0.6741741741741741
125,1,NF-ours,0.6981981981981982
126,2,RI-original,0.6171171171171171
127,2,RI-retrain,0.6696696696696697
