,# Layer,Setting,Accuracy
0,1,RI-original,0.7087087087087087
1,1,RI-retrain,0.6576576576576577
2,1,RI-ours,0.5795795795795796
3,1,NF-original,0.7102102102102102
4,1,NF-retrain,0.6861861861861862
5,1,NF-ours,0.5435435435435435
6,2,RI-original,0.6996996996996997
7,2,RI-retrain,0.6681681681681682
8,2,RI-ours,0.6186186186186187
9,2,NF-original,0.7042042042042042
10,2,NF-retrain,0.6951951951951952
11,2,NF-ours,0.6006006006006006
12,3,RI-original,0.7057057057057057
13,3,RI-retrain,0.6411411411411412
14,3,RI-ours,0.35135135135135137
15,3,NF-original,0.6966966966966966
16,3,NF-retrain,0.5885885885885885
17,3,NF-ours,0.551051051051051
18,4,RI-original,0.6936936936936937
19,4,RI-retrain,0.6831831831831832
20,4,RI-ours,0.53003003003003
21,4,NF-original,0.6906906906906907
22,4,NF-retrain,0.6381381381381381
23,4,NF-ours,0.43843843843843844
24,5,RI-original,0.539039039039039
25,5,RI-retrain,0.5915915915915916
26,5,RI-ours,0.2972972972972973
27,5,NF-original,0.5630630630630631
28,5,NF-retrain,0.551051051051051
29,5,NF-ours,0.3303303303303303
30,1,RI-original,0.7177177177177178
31,1,RI-retrain,0.6666666666666666
32,1,RI-ours,0.3888888888888889
33,1,NF-original,0.7162162162162162
34,1,NF-retrain,0.6906906906906907
35,1,NF-ours,0.42492492492492495
36,2,RI-original,0.7162162162162162
37,2,RI-retrain,0.6681681681681682
38,2,RI-ours,0.5735735735735735
39,2,NF-original,0.6951951951951952
40,2,NF-retrain,0.6681681681681682
41,2,NF-ours,0.56006006006006
42,3,RI-original,0.7012012012012012
43,3,RI-retrain,0.6681681681681682
44,3,RI-ours,0.484984984984985
45,3,NF-original,0.7057057057057057
46,3,NF-retrain,0.6666666666666666
47,3,NF-ours,0.45795795795795796
48,4,RI-original,0.6906906906906907
49,4,RI-retrain,0.6396396396396397
50,4,RI-ours,0.5255255255255256
51,4,NF-original,0.5915915915915916
52,4,NF-retrain,0.6606606606606606
53,4,NF-ours,0.3783783783783784
54,5,RI-original,0.6096096096096096
55,5,RI-retrain,0.6111111111111112
56,5,RI-ours,0.2972972972972973
57,5,NF-original,0.6816816816816816
58,5,NF-retrain,0.6456456456456456
59,5,NF-ours,0.3228228228228228
60,1,RI-original,0.7012012012012012
61,1,RI-retrain,0.6876876876876877
62,1,RI-ours,0.5915915915915916
63,1,NF-original,0.6906906906906907
64,1,NF-retrain,0.6651651651651652
65,1,NF-ours,0.5615615615615616
66,2,RI-original,0.7162162162162162
67,2,RI-retrain,0.6576576576576577
68,2,RI-ours,0.5255255255255256
69,2,NF-original,0.7087087087087087
70,2,NF-retrain,0.6951951951951952
71,2,NF-ours,0.6921921921921922
72,3,RI-original,0.6156156156156156
73,3,RI-retrain,0.6651651651651652
74,3,RI-ours,0.42042042042042044
75,3,NF-original,0.7072072072072072
76,3,NF-retrain,0.6801801801801802
77,3,NF-ours,0.6066066066066066
78,4,RI-original,0.6666666666666666
79,4,RI-retrain,0.6306306306306306
80,4,RI-ours,0.466966966966967
81,4,NF-original,0.6636636636636637
82,4,NF-retrain,0.6831831831831832
83,4,NF-ours,0.49099099099099097
84,5,RI-original,0.4954954954954955
85,5,RI-retrain,0.6411411411411412
86,5,RI-ours,0.36936936936936937
87,5,NF-original,0.545045045045045
88,5,NF-retrain,0.5555555555555556
89,5,NF-ours,0.3813813813813814
90,1,RI-original,0.6996996996996997
91,1,RI-retrain,0.6741741741741741
92,1,RI-ours,0.5780780780780781
93,1,NF-original,0.7147147147147147
94,1,NF-retrain,0.6771771771771772
