,# Layer,Setting,Accuracy
0,1,RI-original,0.7057057057057057
1,1,RI-retrain,0.6531531531531531
2,1,RI-ours,0.5855855855855856
3,1,NF-original,0.6966966966966966
4,1,NF-retrain,0.6471471471471472
5,1,NF-ours,0.6516516516516516
6,2,RI-original,0.6891891891891891
7,2,RI-retrain,0.43843843843843844
8,2,RI-ours,0.2957957957957958
9,2,NF-original,0.6711711711711712
10,2,NF-retrain,0.45345345345345345
11,2,NF-ours,0.2972972972972973
12,3,RI-original,0.5165165165165165
13,3,RI-retrain,0.506006006006006
14,3,RI-ours,0.24024024024024024
15,3,NF-original,0.6351351351351351
16,3,NF-retrain,0.5435435435435435
17,3,NF-ours,0.15315315315315314
18,4,RI-original,0.6141141141141141
19,4,RI-retrain,0.5495495495495496
20,4,RI-ours,0.17567567567567569
21,4,NF-original,0.5540540540540541
22,4,NF-retrain,0.575075075075075
23,4,NF-ours,0.19369369369369369
24,1,RI-original,0.6906906906906907
25,1,RI-retrain,0.6471471471471472
26,1,RI-ours,0.6096096096096096
27,1,NF-original,0.6951951951951952
28,1,NF-retrain,0.6066066066066066
29,1,NF-ours,0.6546546546546547
30,2,RI-original,0.7012012012012012
31,2,RI-retrain,0.6366366366366366
32,2,RI-ours,0.43993993993993996
33,2,NF-original,0.6531531531531531
34,2,NF-retrain,0.46396396396396394
35,2,NF-ours,0.36186186186186187
36,3,RI-original,0.506006006006006
37,3,RI-retrain,0.34684684684684686
38,3,RI-ours,0.16816816816816818
39,3,NF-original,0.536036036036036
40,3,NF-retrain,0.5015015015015015
41,3,NF-ours,0.2882882882882883
42,4,RI-original,0.5135135135135135
43,4,RI-retrain,0.3918918918918919
44,4,RI-ours,0.18018018018018017
45,4,NF-original,0.5735735735735735
46,4,NF-retrain,0.509009009009009
47,4,NF-ours,0.23423423423423423
48,1,RI-original,0.6861861861861862
49,1,RI-retrain,0.6441441441441441
50,1,RI-ours,0.6006006006006006
51,1,NF-original,0.7027027027027027
52,1,NF-retrain,0.6636636636636637
53,1,NF-ours,0.5180180180180181
54,2,RI-original,0.6876876876876877
55,2,RI-retrain,0.46096096096096095
56,2,RI-ours,0.36786786786786785
57,2,NF-original,0.6906906906906907
58,2,NF-retrain,0.5720720720720721
59,2,NF-ours,0.3333333333333333
60,3,RI-original,0.5840840840840841
61,3,RI-retrain,0.6021021021021021
62,3,RI-ours,0.15615615615615616
63,3,NF-original,0.6411411411411412
64,3,NF-retrain,0.5885885885885885
65,3,NF-ours,0.16366366366366367
66,4,RI-original,0.43993993993993996
67,4,RI-retrain,0.4069069069069069
68,4,RI-ours,0.17567567567567569
69,4,NF-original,0.6621621621621622
70,4,NF-retrain,0.5480480480480481
71,4,NF-ours,0.13063063063063063
72,1,RI-original,0.7042042042042042
73,1,RI-retrain,0.6456456456456456
74,1,RI-ours,0.5615615615615616
75,1,NF-original,0.6936936936936937
76,1,NF-retrain,0.6546546546546547
77,1,NF-ours,0.551051051051051
78,2,RI-original,0.5990990990990991
79,2,RI-retrain,0.5870870870870871
80,2,RI-ours,0.1831831831831832
81,2,NF-original,0.7042042042042042
82,2,NF-retrain,0.3993993993993994
83,2,NF-ours,0.3213213213213213
84,3,RI-original,0.6171171171171171
85,3,RI-retrain,0.19369369369369369
86,3,RI-ours,0.23573573573573572
87,3,NF-original,0.6126126126126126
88,3,NF-retrain,0.6381381381381381
89,3,NF-ours,0.23423423423423423
90,4,RI-original,0.42792792792792794
91,4,RI-retrain,0.5555555555555556
92,4,RI-ours,0.08858858858858859
93,4,NF-original,0.6531531531531531
