,# Layer,Setting,Accuracy
0,1,RI-original,0.6981981981981982
1,1,RI-retrain,0.6621621621621622
2,1,RI-ours,0.33183183183183185
3,1,NF-original,0.6951951951951952
4,1,NF-retrain,0.6501501501501501
5,1,NF-ours,0.3588588588588589
6,2,RI-original,0.6096096096096096
7,2,RI-retrain,0.5585585585585585
8,2,RI-ours,0.4984984984984985
9,2,NF-original,0.6696696696696697
10,2,NF-retrain,0.6171171171171171
11,2,NF-ours,0.5345345345345346
12,3,RI-original,0.5315315315315315
13,3,RI-retrain,0.496996996996997
14,3,RI-ours,0.15015015015015015
15,3,NF-original,0.4009009009009009
16,3,NF-retrain,0.35285285285285284
17,3,NF-ours,0.2627627627627628
18,4,RI-original,0.4774774774774775
19,4,RI-retrain,0.46396396396396394
20,4,RI-ours,0.21771771771771772
21,4,NF-original,0.36036036036036034
22,4,NF-retrain,0.4924924924924925
23,4,NF-ours,0.21021021021021022
24,5,RI-original,0.42492492492492495
25,5,RI-retrain,0.4369369369369369
26,5,RI-ours,0.2702702702702703
27,5,NF-original,0.5945945945945946
28,5,NF-retrain,0.46396396396396394
29,5,NF-ours,0.17417417417417416
30,1,RI-original,0.6336336336336337
31,1,RI-retrain,0.6366366366366366
32,1,RI-ours,0.24024024024024024
33,1,NF-original,0.539039039039039
34,1,NF-retrain,0.5840840840840841
35,1,NF-ours,0.34534534534534533
36,2,RI-original,0.5405405405405406
37,2,RI-retrain,0.44744744744744747
38,2,RI-ours,0.4114114114114114
39,2,NF-original,0.3783783783783784
40,2,NF-retrain,0.487987987987988
41,2,NF-ours,0.2807807807807808
42,3,RI-original,0.5990990990990991
43,3,RI-retrain,0.545045045045045
44,3,RI-ours,0.1996996996996997
45,3,NF-original,0.5180180180180181
46,3,NF-retrain,0.506006006006006
47,3,NF-ours,0.3333333333333333
48,4,RI-original,0.36186186186186187
49,4,RI-retrain,0.46096096096096095
50,4,RI-ours,0.22972972972972974
51,4,NF-original,0.6201201201201201
52,4,NF-retrain,0.45345345345345345
53,4,NF-ours,0.3768768768768769
54,5,RI-original,0.44594594594594594
55,5,RI-retrain,0.5840840840840841
56,5,RI-ours,0.28378378378378377
57,5,NF-original,0.46096096096096095
58,5,NF-retrain,0.4744744744744745
59,5,NF-ours,0.24924924924924924
60,1,RI-original,0.6411411411411412
61,1,RI-retrain,0.6336336336336337
62,1,RI-ours,0.3258258258258258
63,1,NF-original,0.5765765765765766
64,1,NF-retrain,0.6381381381381381
65,1,NF-ours,0.42342342342342343
66,2,RI-original,0.6621621621621622
67,2,RI-retrain,0.5630630630630631
68,2,RI-ours,0.47897897897897895
69,2,NF-original,0.6906906906906907
70,2,NF-retrain,0.5
71,2,NF-ours,0.5555555555555556
72,3,RI-original,0.46996996996997
73,3,RI-retrain,0.5585585585585585
74,3,RI-ours,0.1996996996996997
75,3,NF-original,0.509009009009009
76,3,NF-retrain,0.5465465465465466
77,3,NF-ours,0.3138138138138138
78,4,RI-original,0.512012012012012
79,4,RI-retrain,0.44744744744744747
80,4,RI-ours,0.3108108108108108
81,4,NF-original,0.36786786786786785
82,4,NF-retrain,0.4894894894894895
83,4,NF-ours,0.24474474474474475
84,5,RI-original,0.5645645645645646
85,5,RI-retrain,0.551051051051051
86,5,RI-ours,0.1891891891891892
87,5,NF-original,0.44144144144144143
88,5,NF-retrain,0.4339339339339339
89,5,NF-ours,0.24174174174174173
90,1,RI-original,0.6501501501501501
91,1,RI-retrain,0.6636636636636637
92,1,RI-ours,0.3708708708708709
93,1,NF-original,0.6816816816816816
94,1,NF-retrain,0.6486486486486487
95,1,NF-ours,0.4189189189189189
96,2,RI-original,0.6261261261261262
97,2,RI-retrain,0.515015015015015
98,2,RI-ours,0.39039039039039036
99,2,NF-original,0.4369369369369369
100,2,NF-retrain,0.42492492492492495
101,2,NF-ours,0.33483483483483484
102,3,RI-original,0.6501501501501501
103,3,RI-retrain,0.5165165165165165
104,3,RI-ours,0.23423423423423423
105,3,NF-original,0.3738738738738739
106,3,NF-retrain,0.5405405405405406
107,3,NF-ours,0.24474474474474475
108,4,RI-original,0.5330330330330331
109,4,RI-retrain,0.45495495495495497
110,4,RI-ours,0.18618618618618618
111,4,NF-original,0.5630630630630631
112,4,NF-retrain,0.5585585585585585
113,4,NF-ours,0.33483483483483484
114,5,RI-original,0.4009009009009009
115,5,RI-retrain,0.524024024024024
116,5,RI-ours,0.2702702702702703
117,5,NF-original,0.4984984984984985
118,5,NF-retrain,0.6111111111111112
119,5,NF-ours,0.2732732732732733
120,1,RI-original,0.5915915915915916
121,1,RI-retrain,0.5525525525525525
122,1,RI-ours,0.28378378378378377
123,1,NF-original,0.7102102102102102
124,1,NF-retrain,0.6036036036036037
125,1,NF-ours,0.3228228228228228
126,2,RI-original,0.6336336336336337
127,2,RI-retrain,0.6381381381381381
128,2,RI-ours,0.545045045045045
129,2,NF-original,0.6456456456456456
130,2,NF-retrain,0.5705705705705706
131,2,NF-ours,0.3783783783783784
132,3,RI-original,0.509009009009009
133,3,RI-retrain,0.42342342342342343
134,3,RI-ours,0.28678678678678676
135,3,NF-original,0.5105105105105106
136,3,NF-retrain,0.4264264264264264
137,3,NF-ours,0.16666666666666666
138,4,RI-original,0.4804804804804805
139,4,RI-retrain,0.35585585585585583
140,4,RI-ours,0.23423423423423423
141,4,NF-original,0.44744744744744747
142,4,NF-retrain,0.5540540540540541
143,4,NF-ours,0.35435435435435436
144,5,RI-original,0.581081081081081
145,5,RI-retrain,0.3033033033033033
146,5,RI-ours,0.34984984984984985
147,5,NF-original,0.481981981981982
148,5,NF-retrain,0.33483483483483484
149,5,NF-ours,0.15465465465465467
150,1,RI-original,0.6876876876876877
151,1,RI-retrain,0.6471471471471472
152,1,RI-ours,0.36186186186186187
153,1,NF-original,0.5675675675675675
154,1,NF-retrain,0.6561561561561562
155,1,NF-ours,0.33183183183183185
156,2,RI-original,0.6381381381381381
157,2,RI-retrain,0.41291291291291293
158,2,RI-ours,0.42042042042042044
159,2,NF-original,0.503003003003003
160,2,NF-retrain,0.44744744744744747
161,2,NF-ours,0.44144144144144143
162,3,RI-original,0.5
163,3,RI-retrain,0.521021021021021
164,3,RI-ours,0.15165165165165165
165,3,NF-original,0.5285285285285285
166,3,NF-retrain,0.3228228228228228
167,3,NF-ours,0.33483483483483484
168,4,RI-original,0.481981981981982
169,4,RI-retrain,0.5915915915915916
170,4,RI-ours,0.3228228228228228
171,4,NF-original,0.5435435435435435
172,4,NF-retrain,0.5015015015015015
173,4,NF-ours,0.24024024024024024
174,5,RI-original,0.6231231231231231
175,5,RI-retrain,0.581081081081081
176,5,RI-ours,0.25075075075075076
177,5,NF-original,0.37537537537537535
178,5,NF-retrain,0.5495495495495496
179,5,NF-ours,0.2132132132132132
180,1,RI-original,0.6846846846846847
181,1,RI-retrain,0.6156156156156156
182,1,RI-ours,0.42492492492492495
183,1,NF-original,0.6216216216216216
184,1,NF-retrain,0.6231231231231231
185,1,NF-ours,0.4009009009009009
186,2,RI-original,0.6561561561561562
187,2,RI-retrain,0.6021021021021021
188,2,RI-ours,0.3918918918918919
189,2,NF-original,0.5165165165165165
190,2,NF-retrain,0.6096096096096096
191,2,NF-ours,0.5195195195195195
192,3,RI-original,0.466966966966967
193,3,RI-retrain,0.33183183183183185
194,3,RI-ours,0.23423423423423423
195,3,NF-original,0.40540540540540543
196,3,NF-retrain,0.29429429429429427
197,3,NF-ours,0.3138138138138138
198,4,RI-original,0.4624624624624625
199,4,RI-retrain,0.33633633633633636
200,4,RI-ours,0.24474474474474475
201,4,NF-original,0.5480480480480481
202,4,NF-retrain,0.30180180180180183
203,4,NF-ours,0.24924924924924924
204,5,RI-original,0.566066066066066
205,5,RI-retrain,0.5465465465465466
206,5,RI-ours,0.15765765765765766
207,5,NF-original,0.5105105105105106
208,5,NF-retrain,0.4744744744744745
209,5,NF-ours,0.17267267267267267
210,1,RI-original,0.6726726726726727
211,1,RI-retrain,0.6591591591591591
212,1,RI-ours,0.3978978978978979
213,1,NF-original,0.6696696696696697
214,1,NF-retrain,0.524024024024024
215,1,NF-ours,0.3108108108108108
216,2,RI-original,0.6501501501501501
217,2,RI-retrain,0.6291291291291291
218,2,RI-ours,0.521021021021021
219,2,NF-original,0.3408408408408408
220,2,NF-retrain,0.6396396396396397
221,2,NF-ours,0.17567567567567569
222,3,RI-original,0.34684684684684686
223,3,RI-retrain,0.5435435435435435
224,3,RI-ours,0.08858858858858859
225,3,NF-original,0.47297297297297297
226,3,NF-retrain,0.23423423423423423
227,3,NF-ours,0.22672672672672672
228,4,RI-original,0.5465465465465466
229,4,RI-retrain,0.44744744744744747
230,4,RI-ours,0.2222222222222222
231,4,NF-original,0.37537537537537535
232,4,NF-retrain,0.5255255255255256
233,4,NF-ours,0.15915915915915915
234,5,RI-original,0.4594594594594595
235,5,RI-retrain,0.509009009009009
236,5,RI-ours,0.15015015015015015
237,5,NF-original,0.53003003003003
238,5,NF-retrain,0.4369369369369369
239,5,NF-ours,0.2807807807807808
240,1,RI-original,0.6906906906906907
241,1,RI-retrain,0.5690690690690691
242,1,RI-ours,0.36036036036036034
243,1,NF-original,0.6891891891891891
244,1,NF-retrain,0.6546546546546547
245,1,NF-ours,0.44144144144144143
246,2,RI-original,0.575075075075075
247,2,RI-retrain,0.4039039039039039
248,2,RI-ours,0.5420420420420421
249,2,NF-original,0.6741741741741741
250,2,NF-retrain,0.45645645645645644
251,2,NF-ours,0.4114114114114114
252,3,RI-original,0.5315315315315315
253,3,RI-retrain,0.43093093093093093
254,3,RI-ours,0.09009009009009009
255,3,NF-original,0.17267267267267267
256,3,NF-retrain,0.5630630630630631
257,3,NF-ours,0.1996996996996997
258,4,RI-original,0.3888888888888889
259,4,RI-retrain,0.44294294294294295
260,4,RI-ours,0.25225225225225223
261,4,NF-original,0.3738738738738739
262,4,NF-retrain,0.33183183183183185
263,4,NF-ours,0.35435435435435436
264,5,RI-original,0.4864864864864865
265,5,RI-retrain,0.5825825825825826
266,5,RI-ours,0.15015015015015015
267,5,NF-original,0.5675675675675675
268,5,NF-retrain,0.47897897897897895
269,5,NF-ours,0.2042042042042042
270,1,RI-original,0.5690690690690691
271,1,RI-retrain,0.5555555555555556
272,1,RI-ours,0.2147147147147147
273,1,NF-original,0.6531531531531531
274,1,NF-retrain,0.6666666666666666
275,1,NF-ours,0.4219219219219219
276,2,RI-original,0.44144144144144143
277,2,RI-retrain,0.5915915915915916
278,2,RI-ours,0.3843843843843844
279,2,NF-original,0.6636636636636637
280,2,NF-retrain,0.5705705705705706
281,2,NF-ours,0.566066066066066
282,3,RI-original,0.512012012012012
283,3,RI-retrain,0.23873873873873874
284,3,RI-ours,0.16066066066066065
285,3,NF-original,0.5900900900900901
286,3,NF-retrain,0.56006006006006
287,3,NF-ours,0.33933933933933935
288,4,RI-original,0.4804804804804805
289,4,RI-retrain,0.5915915915915916
290,4,RI-ours,0.22672672672672672
291,4,NF-original,0.6261261261261262
292,4,NF-retrain,0.47897897897897895
293,4,NF-ours,0.24174174174174173
294,5,RI-original,0.47297297297297297
295,5,RI-retrain,0.5420420420420421
296,5,RI-ours,0.31681681681681684
297,5,NF-original,0.5915915915915916
298,5,NF-retrain,0.27627627627627627
299,5,NF-ours,0.3483483483483483
