,# Layer,Setting,Accuracy
0,1,RI-original,0.6966966966966966
1,1,RI-retrain,0.6546546546546547
2,1,RI-ours,0.5930930930930931
3,1,NF-original,0.7132132132132132
4,1,NF-retrain,0.5525525525525525
5,1,NF-ours,0.6711711711711712
6,2,RI-original,0.6771771771771772
7,2,RI-retrain,0.6561561561561562
8,2,RI-ours,0.5765765765765766
9,2,NF-original,0.5735735735735735
10,2,NF-retrain,0.4954954954954955
11,2,NF-ours,0.4174174174174174
12,3,RI-original,0.5285285285285285
13,3,RI-retrain,0.524024024024024
14,3,RI-ours,0.35585585585585583
15,3,NF-original,0.6696696696696697
16,3,NF-retrain,0.5765765765765766
17,3,NF-ours,0.6516516516516516
18,4,RI-original,0.4894894894894895
19,4,RI-retrain,0.24624624624624625
20,4,RI-ours,0.3963963963963964
21,4,NF-original,0.44594594594594594
22,4,NF-retrain,0.6516516516516516
23,4,NF-ours,0.2912912912912913
24,5,RI-original,0.43093093093093093
25,5,RI-retrain,0.3993993993993994
26,5,RI-ours,0.27177177177177175
27,5,NF-original,0.581081081081081
28,5,NF-retrain,0.6306306306306306
29,5,NF-ours,0.3858858858858859
30,1,RI-original,0.7027027027027027
31,1,RI-retrain,0.6471471471471472
32,1,RI-ours,0.6006006006006006
33,1,NF-original,0.7102102102102102
34,1,NF-retrain,0.6621621621621622
35,1,NF-ours,0.6696696696696697
36,2,RI-original,0.7087087087087087
37,2,RI-retrain,0.6621621621621622
38,2,RI-ours,0.6771771771771772
39,2,NF-original,0.6771771771771772
40,2,NF-retrain,0.506006006006006
41,2,NF-ours,0.5765765765765766
42,3,RI-original,0.6921921921921922
43,3,RI-retrain,0.493993993993994
44,3,RI-ours,0.5765765765765766
45,3,NF-original,0.3978978978978979
46,3,NF-retrain,0.481981981981982
47,3,NF-ours,0.31981981981981983
48,4,RI-original,0.34684684684684686
49,4,RI-retrain,0.5435435435435435
50,4,RI-ours,0.1996996996996997
51,4,NF-original,0.4894894894894895
52,4,NF-retrain,0.34984984984984985
53,4,NF-ours,0.3993993993993994
54,5,RI-original,0.35135135135135137
55,5,RI-retrain,0.38738738738738737
56,5,RI-ours,0.33183183183183185
57,5,NF-original,0.35735735735735735
58,5,NF-retrain,0.566066066066066
59,5,NF-ours,0.23423423423423423
60,1,RI-original,0.6426426426426426
