,# edges,setting,accuracy,privacy leakage,running time
0,100,random-O,0.0,0.82,0.0
1,100,random-R,0.8542435424354243,0.45999999999999996,7.4071269035339355
2,100,random-U,0.8523985239852399,0.5,4.02929162979126
3,200,random-O,0.0,0.785,0.0
4,200,random-R,0.8523985239852399,0.49,6.4613118171691895
5,200,random-U,0.8487084870848709,0.49,4.289319753646851
6,400,random-O,0.0,0.6825,0.0
7,400,random-R,0.8376383763837638,0.4325,6.954151153564453
8,400,random-U,0.8450184501845018,0.48,4.535205125808716
9,800,random-O,0.0,0.74,0.0
10,800,random-R,0.8173431734317343,0.395,6.23792028427124
11,800,random-U,0.8431734317343174,0.4225,4.390619277954102
12,1000,random-O,0.0,0.684,0.0
13,1000,random-R,0.8228782287822878,0.504,6.50576114654541
14,1000,random-U,0.8450184501845018,0.45899999999999996,4.35532283782959
15,100,max-degree-O,0.0,0.93,0.0
16,100,max-degree-R,0.8394833948339483,0.76,6.137853622436523
17,100,max-degree-U,0.8450184501845018,0.86,3.4887619018554688
18,200,max-degree-O,0.0,0.88,0.0
19,200,max-degree-R,0.8468634686346863,0.265,5.121619462966919
20,200,max-degree-U,0.8450184501845018,0.15500000000000003,2.850975751876831
21,400,max-degree-O,0.0,0.87,0.0
22,400,max-degree-R,0.8302583025830258,0.03749999999999998,5.267547369003296
23,400,max-degree-U,0.8413284132841329,0.03749999999999998,4.828935623168945
24,800,max-degree-O,0.0,0.84625,0.0
25,800,max-degree-R,0.8394833948339483,0.13749999999999996,5.365606069564819
26,800,max-degree-U,0.8339483394833949,0.05500000000000005,4.543741464614868
27,1000,max-degree-O,0.0,0.826,0.0
28,1000,max-degree-R,0.8339483394833949,0.08499999999999996,4.6365087032318115
29,1000,max-degree-U,0.8357933579335793,0.08399999999999996,4.774668455123901
30,100,min-degree-O,0.0,0.79,0.0
31,100,min-degree-R,0.8468634686346863,0.020000000000000018,6.452712535858154
32,100,min-degree-U,0.8560885608856088,0.020000000000000018,2.9777584075927734
33,200,min-degree-O,0.0,0.805,0.0
34,200,min-degree-R,0.8247232472324724,0.020000000000000018,5.238188743591309
35,200,min-degree-U,0.8505535055350554,0.020000000000000018,2.8226277828216553
36,400,min-degree-O,0.0,0.7575,0.0
37,400,min-degree-R,0.8228782287822878,0.03500000000000003,5.476170063018799
38,400,min-degree-U,0.8505535055350554,0.020000000000000018,2.419476270675659
39,800,min-degree-O,0.0,0.765,0.0
40,800,min-degree-R,0.7712177121771218,0.028750000000000053,4.329412460327148
41,800,min-degree-U,0.8468634686346863,0.02375000000000005,3.325512647628784
42,1000,min-degree-O,0.0,0.747,0.0
43,1000,min-degree-R,0.7564575645756457,0.05300000000000005,4.587395191192627
44,1000,min-degree-U,0.8450184501845018,0.049000000000000044,4.166215896606445
45,100,saliency-O,0.0,0.72,0.0
46,100,saliency-R,0.8505535055350554,0.63,5.882319450378418
47,100,saliency-U,0.8542435424354243,0.6699999999999999,5.272027254104614
48,200,saliency-O,0.0,0.775,0.0
49,200,saliency-R,0.8431734317343174,0.45999999999999996,6.504680871963501
50,200,saliency-U,0.8542435424354243,0.21999999999999997,2.5496087074279785
51,400,saliency-O,0.0,0.7575,0.0
52,400,saliency-R,0.8468634686346863,0.65,5.155134916305542
53,400,saliency-U,0.8542435424354243,0.65,3.6349563598632812
54,800,saliency-O,0.0,0.77375,0.0
55,800,saliency-R,0.8487084870848709,0.33625000000000005,5.407505035400391
56,800,saliency-U,0.8542435424354243,0.90625,2.809581756591797
57,1000,saliency-O,0.0,0.785,0.0
58,1000,saliency-R,0.8450184501845018,0.45299999999999996,5.962204694747925
59,1000,saliency-U,0.8542435424354243,0.855,3.7117257118225098
60,100,random-O,0.0,0.67,0.0
61,100,random-R,0.8394833948339483,0.54,6.778342247009277
62,100,random-U,0.8505535055350554,0.5,4.069733619689941
63,200,random-O,0.0,0.63,0.0
64,200,random-R,0.8431734317343174,0.45499999999999996,4.602358341217041
65,200,random-U,0.8523985239852399,0.45999999999999996,3.2096033096313477
66,400,random-O,0.0,0.6475,0.0
67,400,random-R,0.8265682656826568,0.48750000000000004,5.490691184997559
68,400,random-U,0.8468634686346863,0.41500000000000004,4.770895481109619
69,800,random-O,0.0,0.72625,0.0
70,800,random-R,0.8173431734317343,0.4225,4.3542420864105225
71,800,random-U,0.8321033210332104,0.45625000000000004,3.102137804031372
72,1000,random-O,0.0,0.764,0.0
73,1000,random-R,0.8136531365313653,0.41300000000000003,5.5541911125183105
74,1000,random-U,0.8302583025830258,0.42000000000000004,4.403914928436279
75,100,max-degree-O,0.0,0.95,0.0
76,100,max-degree-R,0.8468634686346863,0.8,5.419152498245239
77,100,max-degree-U,0.8450184501845018,0.9,3.3941071033477783
78,200,max-degree-O,0.0,0.925,0.0
79,200,max-degree-R,0.8413284132841329,0.29000000000000004,6.723636865615845
80,200,max-degree-U,0.8450184501845018,0.30500000000000005,3.0432474613189697
81,400,max-degree-O,0.0,0.8825,0.0
82,400,max-degree-R,0.8357933579335793,0.0675,7.541584253311157
83,400,max-degree-U,0.8413284132841329,0.1875,3.015324115753174
84,800,max-degree-O,0.0,0.8575,0.0
85,800,max-degree-R,0.8413284132841329,0.23124999999999996,5.913327217102051
86,800,max-degree-U,0.8339483394833949,0.23250000000000004,2.7220351696014404
87,1000,max-degree-O,0.0,0.815,0.0
88,1000,max-degree-R,0.8376383763837638,0.10499999999999998,6.090610980987549
89,1000,max-degree-U,0.8357933579335793,0.08299999999999996,2.707742691040039
90,100,min-degree-O,0.0,0.77,0.0
91,100,min-degree-R,0.8339483394833949,0.010000000000000009,6.13566255569458
92,100,min-degree-U,0.8560885608856088,0.010000000000000009,2.819160223007202
93,200,min-degree-O,0.0,0.82,0.0
94,200,min-degree-R,0.8376383763837638,0.0050000000000000044,5.045742988586426
95,200,min-degree-U,0.8505535055350554,0.265,3.2073731422424316
96,400,min-degree-O,0.0,0.785,0.0
97,400,min-degree-R,0.8081180811808119,0.01749999999999996,6.075754404067993
98,400,min-degree-U,0.8487084870848709,0.24,2.087076187133789
99,800,min-degree-O,0.0,0.75,0.0
100,800,min-degree-R,0.7712177121771218,0.036250000000000004,5.257187843322754
101,800,min-degree-U,0.8468634686346863,0.03374999999999995,3.601738452911377
102,1000,min-degree-O,0.0,0.795,0.0
103,1000,min-degree-R,0.7435424354243543,0.04400000000000004,5.846689224243164
104,1000,min-degree-U,0.8450184501845018,0.041000000000000036,3.0041451454162598
105,100,saliency-O,0.0,0.81,0.0
106,100,saliency-R,0.8487084870848709,0.07999999999999996,5.643616676330566
107,100,saliency-U,0.8542435424354243,0.63,2.4841842651367188
108,200,saliency-O,0.0,0.63,0.0
109,200,saliency-R,0.8542435424354243,0.0050000000000000044,4.826176881790161
110,200,saliency-U,0.8542435424354243,0.355,2.7764666080474854
111,400,saliency-O,0.0,0.755,0.0
112,400,saliency-R,0.8413284132841329,0.575,5.8693060874938965
113,400,saliency-U,0.8542435424354243,0.49750000000000005,2.040067434310913
114,800,saliency-O,0.0,0.7775,0.0
115,800,saliency-R,0.8505535055350554,0.51875,5.621688604354858
116,800,saliency-U,0.8542435424354243,0.5275000000000001,3.1679041385650635
117,1000,saliency-O,0.0,0.803,0.0
118,1000,saliency-R,0.8505535055350554,0.258,5.345317602157593
119,1000,saliency-U,0.8542435424354243,0.619,3.404790163040161
120,100,random-O,0.0,0.83,0.0
121,100,random-R,0.8487084870848709,0.43000000000000005,6.205308198928833
122,100,random-U,0.8523985239852399,0.32999999999999996,2.062135934829712
123,200,random-O,0.0,0.77,0.0
124,200,random-R,0.8339483394833949,0.42500000000000004,6.734036207199097
125,200,random-U,0.8450184501845018,0.44499999999999995,2.205662965774536
126,400,random-O,0.0,0.6275,0.0
127,400,random-R,0.8376383763837638,0.4225,5.82613205909729
128,400,random-U,0.8450184501845018,0.36750000000000005,2.2942795753479004
129,800,random-O,0.0,0.79125,0.0
130,800,random-R,0.8210332103321033,0.4575,5.590453147888184
131,800,random-U,0.8413284132841329,0.45375,3.1946659088134766
132,1000,random-O,0.0,0.769,0.0
133,1000,random-R,0.8081180811808119,0.406,7.384970188140869
134,1000,random-U,0.8376383763837638,0.40800000000000003,3.678011655807495
135,100,max-degree-O,0.0,0.92,0.0
136,100,max-degree-R,0.8413284132841329,0.89,4.440880060195923
137,100,max-degree-U,0.8450184501845018,0.86,2.967643976211548
138,200,max-degree-O,0.0,0.895,0.0
139,200,max-degree-R,0.8413284132841329,0.16500000000000004,4.581367015838623
140,200,max-degree-U,0.8450184501845018,0.15500000000000003,3.223311185836792
141,400,max-degree-O,0.0,0.9,0.0
142,400,max-degree-R,0.8302583025830258,0.03749999999999998,5.501516342163086
143,400,max-degree-U,0.8413284132841329,0.040000000000000036,3.2605249881744385
144,800,max-degree-O,0.0,0.84125,0.0
145,800,max-degree-R,0.8394833948339483,0.050000000000000044,5.530757665634155
146,800,max-degree-U,0.8339483394833949,0.03874999999999995,3.4705421924591064
147,1000,max-degree-O,0.0,0.813,0.0
148,1000,max-degree-R,0.8265682656826568,0.08999999999999997,6.876230955123901
149,1000,max-degree-U,0.8357933579335793,0.10199999999999998,2.717564105987549
150,100,min-degree-O,0.0,0.75,0.0
151,100,min-degree-R,0.8339483394833949,0.020000000000000018,6.546573877334595
152,100,min-degree-U,0.8560885608856088,0.010000000000000009,1.9985229969024658
153,200,min-degree-O,0.0,0.715,0.0
154,200,min-degree-R,0.8302583025830258,0.0050000000000000044,5.697088718414307
155,200,min-degree-U,0.8505535055350554,0.0050000000000000044,1.8920893669128418
156,400,min-degree-O,0.0,0.765,0.0
157,400,min-degree-R,0.8062730627306273,0.022499999999999964,6.586522579193115
158,400,min-degree-U,0.8487084870848709,0.022499999999999964,2.7720530033111572
159,800,min-degree-O,0.0,0.79125,0.0
160,800,min-degree-R,0.7712177121771218,0.03125,4.27307915687561
161,800,min-degree-U,0.8468634686346863,0.18374999999999997,2.484898567199707
162,1000,min-degree-O,0.0,0.776,0.0
163,1000,min-degree-R,0.7546125461254612,0.04500000000000004,5.902879238128662
