,# Layer,Setting,Accuracy
0,1,RI-original,0.8339483394833949
1,1,RI-retrain,0.8376383763837638
2,1,RI-ours,0.8450184501845018
3,1,NF-original,0.8394833948339483
4,1,NF-retrain,0.8376383763837638
5,1,NF-ours,0.8154981549815498
6,2,RI-original,0.8431734317343174
7,2,RI-retrain,0.8357933579335793
8,2,RI-ours,0.8523985239852399
9,2,NF-original,0.8357933579335793
10,2,NF-retrain,0.8265682656826568
11,2,NF-ours,0.8081180811808119
12,3,RI-original,0.8468634686346863
13,3,RI-retrain,0.8210332103321033
14,3,RI-ours,0.8487084870848709
15,3,NF-original,0.8081180811808119
16,3,NF-retrain,0.8247232472324724
17,3,NF-ours,0.7804428044280443
18,4,RI-original,0.8394833948339483
19,4,RI-retrain,0.7915129151291513
20,4,RI-ours,0.7915129151291513
21,4,NF-original,0.7804428044280443
22,4,NF-retrain,0.8228782287822878
23,4,NF-ours,0.7343173431734318
24,1,RI-original,0.8376383763837638
25,1,RI-retrain,0.8394833948339483
26,1,RI-ours,0.8228782287822878
27,1,NF-original,0.8394833948339483
28,1,NF-retrain,0.8321033210332104
29,1,NF-ours,0.8173431734317343
30,2,RI-original,0.8413284132841329
31,2,RI-retrain,0.8357933579335793
32,2,RI-ours,0.8339483394833949
33,2,NF-original,0.8376383763837638
34,2,NF-retrain,0.8376383763837638
35,2,NF-ours,0.8450184501845018
36,3,RI-original,0.8394833948339483
37,3,RI-retrain,0.8099630996309963
38,3,RI-ours,0.8357933579335793
39,3,NF-original,0.8579335793357934
40,3,NF-retrain,0.7841328413284133
41,3,NF-ours,0.8321033210332104
42,4,RI-original,0.8062730627306273
43,4,RI-retrain,0.8321033210332104
44,4,RI-ours,0.7177121771217713
45,4,NF-original,0.7915129151291513
46,4,NF-retrain,0.8302583025830258
47,4,NF-ours,0.7878228782287823
48,1,RI-original,0.8468634686346863
49,1,RI-retrain,0.8099630996309963
50,1,RI-ours,0.8376383763837638
51,1,NF-original,0.8431734317343174
52,1,NF-retrain,0.8136531365313653
53,1,NF-ours,0.8247232472324724
