,# Layer,Setting,Accuracy
0,1,RI-original,0.8431734317343174
1,1,RI-retrain,0.7970479704797048
2,1,RI-ours,0.8173431734317343
3,1,NF-original,0.8394833948339483
4,1,NF-retrain,0.8099630996309963
5,1,NF-ours,0.8173431734317343
6,2,RI-original,0.8044280442804428
7,2,RI-retrain,0.7859778597785978
8,2,RI-ours,0.5811808118081181
9,2,NF-original,0.8431734317343174
10,2,NF-retrain,0.7952029520295203
11,2,NF-ours,0.6992619926199262
12,3,RI-original,0.8284132841328413
13,3,RI-retrain,0.7343173431734318
14,3,RI-ours,0.3929889298892989
15,3,NF-original,0.8191881918819188
16,3,NF-retrain,0.7822878228782287
17,3,NF-ours,0.2767527675276753
18,4,RI-original,0.7859778597785978
19,4,RI-retrain,0.5996309963099631
20,4,RI-ours,0.3191881918819188
21,4,NF-original,0.7250922509225092
22,4,NF-retrain,0.7564575645756457
23,4,NF-ours,0.43357933579335795
24,1,RI-original,0.8357933579335793
25,1,RI-retrain,0.8044280442804428
26,1,RI-ours,0.8136531365313653
27,1,NF-original,0.8431734317343174
28,1,NF-retrain,0.7896678966789668
29,1,NF-ours,0.8099630996309963
30,2,RI-original,0.8081180811808119
31,2,RI-retrain,0.7878228782287823
32,2,RI-ours,0.6586715867158671
33,2,NF-original,0.8154981549815498
34,2,NF-retrain,0.7195571955719557
35,2,NF-ours,0.7084870848708487
36,3,RI-original,0.7933579335793358
37,3,RI-retrain,0.7675276752767528
38,3,RI-ours,0.4225092250922509
39,3,NF-original,0.7970479704797048
40,3,NF-retrain,0.7416974169741697
41,3,NF-ours,0.4225092250922509
42,4,RI-original,0.7398523985239852
43,4,RI-retrain,0.6125461254612546
44,4,RI-ours,0.13653136531365315
45,4,NF-original,0.7970479704797048
46,4,NF-retrain,0.6845018450184502
47,4,NF-ours,0.15867158671586715
48,1,RI-original,0.8394833948339483
49,1,RI-retrain,0.8099630996309963
50,1,RI-ours,0.8210332103321033
51,1,NF-original,0.8394833948339483
52,1,NF-retrain,0.7952029520295203
53,1,NF-ours,0.8062730627306273
54,2,RI-original,0.8044280442804428
55,2,RI-retrain,0.7712177121771218
56,2,RI-ours,0.5479704797047971
57,2,NF-original,0.8191881918819188
58,2,NF-retrain,0.7896678966789668
59,2,NF-ours,0.544280442804428
60,3,RI-original,0.8099630996309963
61,3,RI-retrain,0.6457564575645757
62,3,RI-ours,0.2952029520295203
63,3,NF-original,0.8191881918819188
64,3,NF-retrain,0.7841328413284133
65,3,NF-ours,0.33948339483394835
66,4,RI-original,0.7656826568265682
67,4,RI-retrain,0.488929889298893
68,4,RI-ours,0.3671586715867159
69,4,NF-original,0.8044280442804428
70,4,NF-retrain,0.7398523985239852
71,4,NF-ours,0.13653136531365315
72,1,RI-original,0.8468634686346863
73,1,RI-retrain,0.8099630996309963
74,1,RI-ours,0.8118081180811808
75,1,NF-original,0.8431734317343174
76,1,NF-retrain,0.8154981549815498
77,1,NF-ours,0.8228782287822878
78,2,RI-original,0.8154981549815498
79,2,RI-retrain,0.7250922509225092
80,2,RI-ours,0.5571955719557196
81,2,NF-original,0.8062730627306273
82,2,NF-retrain,0.7472324723247232
83,2,NF-ours,0.6217712177121771
84,3,RI-original,0.7878228782287823
85,3,RI-retrain,0.7546125461254612
86,3,RI-ours,0.42066420664206644
87,3,NF-original,0.8081180811808119
88,3,NF-retrain,0.7896678966789668
89,3,NF-ours,0.35424354243542433
90,4,RI-original,0.7361623616236163
91,4,RI-retrain,0.3856088560885609
92,4,RI-ours,0.15129151291512916
93,4,NF-original,0.7583025830258303
94,4,NF-retrain,0.7730627306273062
95,4,NF-ours,0.3339483394833948
96,1,RI-original,0.8376383763837638
97,1,RI-retrain,0.8191881918819188
98,1,RI-ours,0.8173431734317343
99,1,NF-original,0.8357933579335793
100,1,NF-retrain,0.8136531365313653
101,1,NF-ours,0.8265682656826568
102,2,RI-original,0.7915129151291513
103,2,RI-retrain,0.8136531365313653
104,2,RI-ours,0.6845018450184502
105,2,NF-original,0.8210332103321033
106,2,NF-retrain,0.7343173431734318
107,2,NF-ours,0.6346863468634686
108,3,RI-original,0.6881918819188192
109,3,RI-retrain,0.8154981549815498
110,3,RI-ours,0.1974169741697417
111,3,NF-original,0.8302583025830258
112,3,NF-retrain,0.7140221402214022
113,3,NF-ours,0.3966789667896679
114,4,RI-original,0.6291512915129152
115,4,RI-retrain,0.6568265682656826
116,4,RI-ours,0.06642066420664207
117,4,NF-original,0.8265682656826568
118,4,NF-retrain,0.7933579335793358
119,4,NF-ours,0.33210332103321033
120,1,RI-original,0.8394833948339483
121,1,RI-retrain,0.8044280442804428
122,1,RI-ours,0.8154981549815498
123,1,NF-original,0.8339483394833949
124,1,NF-retrain,0.8154981549815498
125,1,NF-ours,0.8210332103321033
126,2,RI-original,0.7878228782287823
127,2,RI-retrain,0.7804428044280443
128,2,RI-ours,0.6531365313653137
129,2,NF-original,0.8357933579335793
130,2,NF-retrain,0.8062730627306273
131,2,NF-ours,0.6789667896678967
132,3,RI-original,0.7896678966789668
133,3,RI-retrain,0.5166051660516605
134,3,RI-ours,0.474169741697417
135,3,NF-original,0.7970479704797048
136,3,NF-retrain,0.7490774907749077
137,3,NF-ours,0.37453874538745385
138,4,RI-original,0.6918819188191881
139,4,RI-retrain,0.7583025830258303
140,4,RI-ours,0.2915129151291513
141,4,NF-original,0.7952029520295203
142,4,NF-retrain,0.7306273062730627
143,4,NF-ours,0.13653136531365315
144,1,RI-original,0.8468634686346863
145,1,RI-retrain,0.8173431734317343
146,1,RI-ours,0.8099630996309963
147,1,NF-original,0.8265682656826568
148,1,NF-retrain,0.8118081180811808
149,1,NF-ours,0.8154981549815498
150,2,RI-original,0.7915129151291513
151,2,RI-retrain,0.7878228782287823
152,2,RI-ours,0.6955719557195572
153,2,NF-original,0.8228782287822878
154,2,NF-retrain,0.7675276752767528
155,2,NF-ours,0.6642066420664207
156,3,RI-original,0.8007380073800738
157,3,RI-retrain,0.7564575645756457
158,3,RI-ours,0.2859778597785978
159,3,NF-original,0.8210332103321033
160,3,NF-retrain,0.8081180811808119
161,3,NF-ours,0.2933579335793358
162,4,RI-original,0.6328413284132841
163,4,RI-retrain,0.7749077490774908
164,4,RI-ours,0.22324723247232472
165,4,NF-original,0.8099630996309963
166,4,NF-retrain,0.7601476014760148
167,4,NF-ours,0.13284132841328414
168,1,RI-original,0.8321033210332104
169,1,RI-retrain,0.7656826568265682
170,1,RI-ours,0.8062730627306273
171,1,NF-original,0.8376383763837638
172,1,NF-retrain,0.7988929889298892
173,1,NF-ours,0.8025830258302583
174,2,RI-original,0.7952029520295203
175,2,RI-retrain,0.7822878228782287
176,2,RI-ours,0.477859778597786
177,2,NF-original,0.8062730627306273
178,2,NF-retrain,0.7767527675276753
179,2,NF-ours,0.6586715867158671
180,3,RI-original,0.7619926199261993
181,3,RI-retrain,0.7416974169741697
182,3,RI-ours,0.2878228782287823
183,3,NF-original,0.7767527675276753
184,3,NF-retrain,0.7527675276752768
185,3,NF-ours,0.35977859778597787
186,4,RI-original,0.7841328413284133
187,4,RI-retrain,0.6236162361623616
188,4,RI-ours,0.23985239852398524
189,4,NF-original,0.7785977859778598
190,4,NF-retrain,0.7435424354243543
191,4,NF-ours,0.25830258302583026
192,1,RI-original,0.8265682656826568
193,1,RI-retrain,0.8136531365313653
194,1,RI-ours,0.7693726937269373
195,1,NF-original,0.8376383763837638
196,1,NF-retrain,0.8007380073800738
197,1,NF-ours,0.8118081180811808
198,2,RI-original,0.8321033210332104
199,2,RI-retrain,0.7712177121771218
200,2,RI-ours,0.6494464944649446
201,2,NF-original,0.8044280442804428
202,2,NF-retrain,0.7915129151291513
203,2,NF-ours,0.6180811808118081
204,3,RI-original,0.8136531365313653
205,3,RI-retrain,0.7638376383763837
206,3,RI-ours,0.44095940959409596
207,3,NF-original,0.7970479704797048
208,3,NF-retrain,0.7675276752767528
209,3,NF-ours,0.2859778597785978
