,# Layer,Setting,Accuracy
0,1,RI-original,0.7988929889298892
1,1,RI-retrain,0.8191881918819188
2,1,RI-ours,0.6512915129151291
3,1,NF-original,0.8191881918819188
4,1,NF-retrain,0.7361623616236163
5,1,NF-ours,0.6678966789667896
6,2,RI-original,0.7933579335793358
7,2,RI-retrain,0.7693726937269373
8,2,RI-ours,0.7287822878228782
9,2,NF-original,0.6180811808118081
10,2,NF-retrain,0.8099630996309963
11,2,NF-ours,0.525830258302583
12,3,RI-original,0.6309963099630996
13,3,RI-retrain,0.559040590405904
14,3,RI-ours,0.33579335793357934
15,3,NF-original,0.6808118081180812
16,3,NF-retrain,0.7324723247232472
17,3,NF-ours,0.42435424354243545
18,4,RI-original,0.492619926199262
19,4,RI-retrain,0.6014760147601476
20,4,RI-ours,0.34870848708487084
21,4,NF-original,0.6236162361623616
22,4,NF-retrain,0.7269372693726938
23,4,NF-ours,0.17343173431734318
24,5,RI-original,0.6088560885608856
25,5,RI-retrain,0.6992619926199262
26,5,RI-ours,0.1992619926199262
27,5,NF-original,0.3339483394833948
28,5,NF-retrain,0.6586715867158671
29,5,NF-ours,0.3339483394833948
30,1,RI-original,0.7749077490774908
31,1,RI-retrain,0.7970479704797048
32,1,RI-ours,0.6402214022140221
33,1,NF-original,0.8265682656826568
34,1,NF-retrain,0.7453874538745388
35,1,NF-ours,0.7527675276752768
36,2,RI-original,0.7841328413284133
37,2,RI-retrain,0.7712177121771218
38,2,RI-ours,0.6107011070110702
39,2,NF-original,0.8118081180811808
40,2,NF-retrain,0.7509225092250923
41,2,NF-ours,0.6697416974169742
42,3,RI-original,0.6937269372693727
43,3,RI-retrain,0.6365313653136532
44,3,RI-ours,0.18265682656826568
45,3,NF-original,0.6088560885608856
46,3,NF-retrain,0.7822878228782287
47,3,NF-ours,0.33210332103321033
48,4,RI-original,0.43726937269372695
49,4,RI-retrain,0.5
50,4,RI-ours,0.43726937269372695
51,4,NF-original,0.5867158671586716
52,4,NF-retrain,0.6383763837638377
53,4,NF-ours,0.46309963099630996
54,5,RI-original,0.4833948339483395
55,5,RI-retrain,0.7472324723247232
56,5,RI-ours,0.43726937269372695
57,5,NF-original,0.6217712177121771
58,5,NF-retrain,0.5608856088560885
59,5,NF-ours,0.2656826568265683
60,1,RI-original,0.8284132841328413
61,1,RI-retrain,0.7988929889298892
62,1,RI-ours,0.7066420664206642
63,1,NF-original,0.8265682656826568
64,1,NF-retrain,0.8228782287822878
65,1,NF-ours,0.7785977859778598
66,2,RI-original,0.7952029520295203
67,2,RI-retrain,0.6420664206642066
68,2,RI-ours,0.7361623616236163
69,2,NF-original,0.8154981549815498
70,2,NF-retrain,0.7121771217712177
71,2,NF-ours,0.6771217712177122
72,3,RI-original,0.5461254612546126
73,3,RI-retrain,0.6752767527675276
74,3,RI-ours,0.2656826568265683
75,3,NF-original,0.47601476014760147
76,3,NF-retrain,0.6199261992619927
77,3,NF-ours,0.13468634686346864
78,4,RI-original,0.7287822878228782
79,4,RI-retrain,0.5885608856088561
80,4,RI-ours,0.37453874538745385
81,4,NF-original,0.7380073800738007
82,4,NF-retrain,0.7269372693726938
83,4,NF-ours,0.3726937269372694
84,5,RI-original,0.6771217712177122
85,5,RI-retrain,0.7324723247232472
86,5,RI-ours,0.33948339483394835
87,5,NF-original,0.6402214022140221
88,5,NF-retrain,0.6107011070110702
89,5,NF-ours,0.3284132841328413
90,1,RI-original,0.8302583025830258
91,1,RI-retrain,0.8154981549815498
92,1,RI-ours,0.7361623616236163
93,1,NF-original,0.8431734317343174
94,1,NF-retrain,0.8044280442804428
95,1,NF-ours,0.7527675276752768
96,2,RI-original,0.7066420664206642
97,2,RI-retrain,0.8265682656826568
98,2,RI-ours,0.47601476014760147
99,2,NF-original,0.8210332103321033
100,2,NF-retrain,0.7546125461254612
101,2,NF-ours,0.5627306273062731
102,3,RI-original,0.6660516605166051
103,3,RI-retrain,0.6402214022140221
104,3,RI-ours,0.3800738007380074
105,3,NF-original,0.6900369003690037
106,3,NF-retrain,0.5313653136531366
107,3,NF-ours,0.492619926199262
108,4,RI-original,0.6273062730627307
109,4,RI-retrain,0.3062730627306273
110,4,RI-ours,0.35608856088560886
111,4,NF-original,0.5682656826568265
112,4,NF-retrain,0.6512915129151291
113,4,NF-ours,0.3376383763837638
114,5,RI-original,0.5756457564575646
115,5,RI-retrain,0.7287822878228782
116,5,RI-ours,0.3763837638376384
117,5,NF-original,0.7047970479704797
118,5,NF-retrain,0.577490774907749
119,5,NF-ours,0.3044280442804428
120,1,RI-original,0.8044280442804428
121,1,RI-retrain,0.7730627306273062
122,1,RI-ours,0.7195571955719557
123,1,NF-original,0.8081180811808119
124,1,NF-retrain,0.7952029520295203
125,1,NF-ours,0.7583025830258303
126,2,RI-original,0.7638376383763837
127,2,RI-retrain,0.7859778597785978
128,2,RI-ours,0.6199261992619927
129,2,NF-original,0.7619926199261993
130,2,NF-retrain,0.7583025830258303
131,2,NF-ours,0.6863468634686347
132,3,RI-original,0.7380073800738007
133,3,RI-retrain,0.7195571955719557
134,3,RI-ours,0.5461254612546126
135,3,NF-original,0.7564575645756457
136,3,NF-retrain,0.6383763837638377
137,3,NF-ours,0.4040590405904059
138,4,RI-original,0.7638376383763837
139,4,RI-retrain,0.7638376383763837
140,4,RI-ours,0.4059040590405904
141,4,NF-original,0.6365313653136532
142,4,NF-retrain,0.7453874538745388
143,4,NF-ours,0.43357933579335795
144,5,RI-original,0.7232472324723247
145,5,RI-retrain,0.551660516605166
146,5,RI-ours,0.3634686346863469
147,5,NF-original,0.518450184501845
148,5,NF-retrain,0.7343173431734318
149,5,NF-ours,0.3874538745387454
150,1,RI-original,0.8007380073800738
151,1,RI-retrain,0.8007380073800738
152,1,RI-ours,0.6586715867158671
153,1,NF-original,0.8302583025830258
154,1,NF-retrain,0.7730627306273062
155,1,NF-ours,0.7785977859778598
156,2,RI-original,0.7509225092250923
157,2,RI-retrain,0.7232472324723247
158,2,RI-ours,0.5719557195571956
159,2,NF-original,0.8357933579335793
160,2,NF-retrain,0.7453874538745388
161,2,NF-ours,0.7749077490774908
162,3,RI-original,0.7343173431734318
163,3,RI-retrain,0.7084870848708487
164,3,RI-ours,0.17158671586715868
165,3,NF-original,0.6808118081180812
166,3,NF-retrain,0.559040590405904
167,3,NF-ours,0.5756457564575646
168,4,RI-original,0.7269372693726938
169,4,RI-retrain,0.6642066420664207
170,4,RI-ours,0.4059040590405904
171,4,NF-original,0.7509225092250923
172,4,NF-retrain,0.6660516605166051
173,4,NF-ours,0.3062730627306273
174,5,RI-original,0.7583025830258303
175,5,RI-retrain,0.7343173431734318
176,5,RI-ours,0.15682656826568267
177,5,NF-original,0.6789667896678967
178,5,NF-retrain,0.5738007380073801
179,5,NF-ours,0.44649446494464945
180,1,RI-original,0.8228782287822878
181,1,RI-retrain,0.8247232472324724
182,1,RI-ours,0.551660516605166
183,1,NF-original,0.8394833948339483
184,1,NF-retrain,0.8025830258302583
185,1,NF-ours,0.7416974169741697
186,2,RI-original,0.8025830258302583
187,2,RI-retrain,0.7269372693726938
188,2,RI-ours,0.6365313653136532
189,2,NF-original,0.7693726937269373
190,2,NF-retrain,0.7527675276752768
191,2,NF-ours,0.3007380073800738
192,3,RI-original,0.6642066420664207
193,3,RI-retrain,0.7343173431734318
194,3,RI-ours,0.16974169741697417
195,3,NF-original,0.7822878228782287
196,3,NF-retrain,0.5645756457564576
197,3,NF-ours,0.5092250922509225
198,4,RI-original,0.7232472324723247
199,4,RI-retrain,0.6697416974169742
200,4,RI-ours,0.43357933579335795
201,4,NF-original,0.6494464944649446
202,4,NF-retrain,0.466789667896679
203,4,NF-ours,0.3726937269372694
204,5,RI-original,0.6236162361623616
205,5,RI-retrain,0.5756457564575646
206,5,RI-ours,0.2952029520295203
207,5,NF-original,0.6937269372693727
208,5,NF-retrain,0.5940959409594095
209,5,NF-ours,0.3505535055350554
210,1,RI-original,0.8099630996309963
211,1,RI-retrain,0.7675276752767528
212,1,RI-ours,0.7306273062730627
213,1,NF-original,0.8265682656826568
214,1,NF-retrain,0.7933579335793358
215,1,NF-ours,0.7675276752767528
216,2,RI-original,0.6033210332103321
217,2,RI-retrain,0.7583025830258303
218,2,RI-ours,0.522140221402214
219,2,NF-original,0.8284132841328413
220,2,NF-retrain,0.7472324723247232
221,2,NF-ours,0.7047970479704797
222,3,RI-original,0.6070110701107011
223,3,RI-retrain,0.6070110701107011
224,3,RI-ours,0.4040590405904059
225,3,NF-original,0.5202952029520295
226,3,NF-retrain,0.6180811808118081
227,3,NF-ours,0.466789667896679
228,4,RI-original,0.6771217712177122
229,4,RI-retrain,0.5682656826568265
230,4,RI-ours,0.3025830258302583
231,4,NF-original,0.7675276752767528
232,4,NF-retrain,0.7066420664206642
233,4,NF-ours,0.4317343173431734
234,5,RI-original,0.6365313653136532
235,5,RI-retrain,0.6457564575645757
236,5,RI-ours,0.3505535055350554
237,5,NF-original,0.6291512915129152
238,5,NF-retrain,0.3726937269372694
239,5,NF-ours,0.3191881918819188
240,1,RI-original,0.8357933579335793
241,1,RI-retrain,0.8007380073800738
242,1,RI-ours,0.7195571955719557
243,1,NF-original,0.6937269372693727
244,1,NF-retrain,0.7435424354243543
245,1,NF-ours,0.5313653136531366
246,2,RI-original,0.6549815498154982
247,2,RI-retrain,0.7601476014760148
248,2,RI-ours,0.46863468634686345
249,2,NF-original,0.7214022140221402
250,2,NF-retrain,0.8081180811808119
251,2,NF-ours,0.6143911439114391
252,3,RI-original,0.540590405904059
253,3,RI-retrain,0.7453874538745388
254,3,RI-ours,0.13653136531365315
255,3,NF-original,0.6586715867158671
256,3,NF-retrain,0.6531365313653137
257,3,NF-ours,0.39114391143911437
258,4,RI-original,0.4188191881918819
259,4,RI-retrain,0.7380073800738007
260,4,RI-ours,0.33025830258302585
261,4,NF-original,0.6346863468634686
262,4,NF-retrain,0.7435424354243543
263,4,NF-ours,0.4261992619926199
264,5,RI-original,0.6992619926199262
265,5,RI-retrain,0.7398523985239852
266,5,RI-ours,0.22324723247232472
267,5,NF-original,0.7712177121771218
268,5,NF-retrain,0.7103321033210332
269,5,NF-ours,0.5553505535055351
270,1,RI-original,0.8302583025830258
271,1,RI-retrain,0.7767527675276753
272,1,RI-ours,0.6217712177121771
273,1,NF-original,0.8081180811808119
274,1,NF-retrain,0.8007380073800738
275,1,NF-ours,0.6199261992619927
276,2,RI-original,0.6881918819188192
277,2,RI-retrain,0.7730627306273062
278,2,RI-ours,0.45571955719557194
279,2,NF-original,0.8081180811808119
280,2,NF-retrain,0.7509225092250923
281,2,NF-ours,0.7564575645756457
282,3,RI-original,0.6309963099630996
283,3,RI-retrain,0.6734317343173432
284,3,RI-ours,0.4059040590405904
285,3,NF-original,0.7066420664206642
286,3,NF-retrain,0.7287822878228782
287,3,NF-ours,0.5350553505535055
288,4,RI-original,0.6642066420664207
289,4,RI-retrain,0.6881918819188192
