,# Layer,Setting,Accuracy
0,1,RI-original,0.8357933579335793
1,1,RI-retrain,0.7952029520295203
2,1,RI-ours,0.7988929889298892
3,1,NF-original,0.8321033210332104
4,1,NF-retrain,0.8025830258302583
5,1,NF-ours,0.8081180811808119
6,2,RI-original,0.8191881918819188
7,2,RI-retrain,0.6439114391143912
8,2,RI-ours,0.7693726937269373
9,2,NF-original,0.8136531365313653
10,2,NF-retrain,0.7730627306273062
11,2,NF-ours,0.8191881918819188
12,3,RI-original,0.7416974169741697
13,3,RI-retrain,0.43357933579335795
14,3,RI-ours,0.7398523985239852
15,3,NF-original,0.6974169741697417
16,3,NF-retrain,0.5535055350553506
17,3,NF-ours,0.6881918819188192
18,4,RI-original,0.5940959409594095
19,4,RI-retrain,0.5535055350553506
20,4,RI-ours,0.4280442804428044
21,4,NF-original,0.7527675276752768
22,4,NF-retrain,0.4354243542435424
23,4,NF-ours,0.6734317343173432
24,5,RI-original,0.566420664206642
25,5,RI-retrain,0.7841328413284133
26,5,RI-ours,0.496309963099631
27,5,NF-original,0.5645756457564576
28,5,NF-retrain,0.4261992619926199
29,5,NF-ours,0.5313653136531366
30,1,RI-original,0.7988929889298892
31,1,RI-retrain,0.8154981549815498
32,1,RI-ours,0.7767527675276753
33,1,NF-original,0.8321033210332104
34,1,NF-retrain,0.7952029520295203
35,1,NF-ours,0.8173431734317343
36,2,RI-original,0.6771217712177122
37,2,RI-retrain,0.8118081180811808
38,2,RI-ours,0.6070110701107011
39,2,NF-original,0.7619926199261993
40,2,NF-retrain,0.6974169741697417
41,2,NF-ours,0.7564575645756457
42,3,RI-original,0.7324723247232472
43,3,RI-retrain,0.8302583025830258
44,3,RI-ours,0.7047970479704797
45,3,NF-original,0.7564575645756457
46,3,NF-retrain,0.8062730627306273
47,3,NF-ours,0.7361623616236163
48,4,RI-original,0.6734317343173432
49,4,RI-retrain,0.6476014760147601
50,4,RI-ours,0.6568265682656826
51,4,NF-original,0.8025830258302583
52,4,NF-retrain,0.5682656826568265
53,4,NF-ours,0.7767527675276753
54,5,RI-original,0.566420664206642
55,5,RI-retrain,0.6033210332103321
56,5,RI-ours,0.5387453874538746
57,5,NF-original,0.6309963099630996
58,5,NF-retrain,0.7546125461254612
59,5,NF-ours,0.6143911439114391
60,1,RI-original,0.8376383763837638
61,1,RI-retrain,0.8154981549815498
62,1,RI-ours,0.8136531365313653
63,1,NF-original,0.7952029520295203
