,# edges,setting,accuracy,running time
0,100,random-R,0.7147147147147147,4.703490495681763
1,100,random-U,0.6831831831831832,7.985211133956909
2,200,random-R,0.7132132132132132,4.32502818107605
3,200,random-U,0.6861861861861862,6.618080139160156
4,400,random-R,0.6996996996996997,4.724764823913574
5,400,random-U,0.6831831831831832,6.147867918014526
6,800,random-R,0.6621621621621622,4.721818447113037
7,800,random-U,0.6786786786786787,7.6488938331604
8,1000,random-R,0.6381381381381381,4.1671061515808105
9,1000,random-U,0.6711711711711712,7.884288311004639
10,100,max-degree-R,0.7072072072072072,3.0035367012023926
11,100,max-degree-U,0.6816816816816816,3.934558391571045
12,200,max-degree-R,0.7057057057057057,3.5283944606781006
13,200,max-degree-U,0.6756756756756757,8.405219793319702
14,400,max-degree-R,0.7132132132132132,3.476548671722412
15,400,max-degree-U,0.6696696696696697,7.992934226989746
16,800,max-degree-R,0.6951951951951952,2.933558940887451
17,800,max-degree-U,0.6696696696696697,3.6081879138946533
18,1000,max-degree-R,0.6891891891891891,4.186323404312134
19,1000,max-degree-U,0.6696696696696697,5.676128387451172
20,100,min-degree-R,0.7057057057057057,3.2963132858276367
21,100,min-degree-U,0.6816816816816816,4.9180214405059814
22,200,min-degree-R,0.6831831831831832,3.6471750736236572
23,200,min-degree-U,0.6801801801801802,5.208631992340088
24,400,min-degree-R,0.6516516516516516,4.303549528121948
25,400,min-degree-U,0.6816816816816816,7.858934164047241
26,800,min-degree-R,0.6006006006006006,3.750565767288208
27,800,min-degree-U,0.6771771771771772,5.682495594024658
28,1000,min-degree-R,0.5420420420420421,4.730160236358643
29,1000,min-degree-U,0.6771771771771772,5.808395862579346
30,100,saliency-R,0.7252252252252253,3.9265153408050537
31,100,saliency-U,0.6816816816816816,8.58322811126709
32,200,saliency-R,0.7162162162162162,3.7640719413757324
33,200,saliency-U,0.6816816816816816,4.5242228507995605
34,400,saliency-R,0.7147147147147147,3.3903656005859375
35,400,saliency-U,0.6816816816816816,7.710952043533325
36,800,saliency-R,0.7102102102102102,3.707411289215088
37,800,saliency-U,0.6816816816816816,3.5888044834136963
38,1000,saliency-R,0.7132132132132132,4.346161365509033
39,1000,saliency-U,0.6816816816816816,6.78112006187439
40,100,random-R,0.7072072072072072,3.320821762084961
41,100,random-U,0.6831831831831832,6.542577505111694
42,200,random-R,0.6996996996996997,3.8517091274261475
43,200,random-U,0.6786786786786787,6.6765758991241455
44,400,random-R,0.6696696696696697,3.0504910945892334
45,400,random-U,0.6756756756756757,3.930605888366699
46,800,random-R,0.6306306306306306,3.5592312812805176
47,800,random-U,0.6801801801801802,6.022273302078247
48,1000,random-R,0.6516516516516516,4.472721815109253
49,1000,random-U,0.6741741741741741,5.151248455047607
50,100,max-degree-R,0.7192192192192193,3.1357429027557373
51,100,max-degree-U,0.6816816816816816,5.279057502746582
52,200,max-degree-R,0.7162162162162162,2.782938003540039
53,200,max-degree-U,0.6756756756756757,4.152539014816284
54,400,max-degree-R,0.7147147147147147,2.481476068496704
55,400,max-degree-U,0.6696696696696697,8.325002431869507
56,800,max-degree-R,0.7027027027027027,4.086821556091309
57,800,max-degree-U,0.6696696696696697,4.32742166519165
58,1000,max-degree-R,0.6936936936936937,3.678429126739502
59,1000,max-degree-U,0.6696696696696697,6.053141117095947
60,100,min-degree-R,0.7012012012012012,3.191544771194458
61,100,min-degree-U,0.6816816816816816,5.764432668685913
62,200,min-degree-R,0.6876876876876877,3.1564159393310547
63,200,min-degree-U,0.6801801801801802,4.476735353469849
64,400,min-degree-R,0.6501501501501501,3.598520517349243
65,400,min-degree-U,0.6816816816816816,7.676454067230225
66,800,min-degree-R,0.5675675675675675,3.5630640983581543
67,800,min-degree-U,0.6771771771771772,5.466601133346558
68,1000,min-degree-R,0.5795795795795796,3.6588010787963867
69,1000,min-degree-U,0.6786786786786787,3.6702418327331543
70,100,saliency-R,0.7177177177177178,3.5731747150421143
71,100,saliency-U,0.6816816816816816,6.047445297241211
72,200,saliency-R,0.7177177177177178,3.9347422122955322
73,200,saliency-U,0.6816816816816816,4.289039373397827
74,400,saliency-R,0.7147147147147147,3.7913122177124023
75,400,saliency-U,0.6816816816816816,6.16242790222168
76,800,saliency-R,0.7087087087087087,3.302837371826172
77,800,saliency-U,0.6816816816816816,6.443604230880737
78,1000,saliency-R,0.7222222222222222,2.941692590713501
79,1000,saliency-U,0.6816816816816816,6.7417755126953125
80,100,random-R,0.7147147147147147,3.279862403869629
81,100,random-U,0.6846846846846847,5.714856386184692
82,200,random-R,0.6996996996996997,3.292586326599121
83,200,random-U,0.6861861861861862,3.3427236080169678
84,400,random-R,0.6861861861861862,2.8163559436798096
85,400,random-U,0.6831831831831832,5.086690664291382
86,800,random-R,0.6561561561561562,3.6726205348968506
87,800,random-U,0.6771771771771772,5.786149263381958
88,1000,random-R,0.6516516516516516,3.924067497253418
89,1000,random-U,0.6756756756756757,8.773886442184448
90,100,max-degree-R,0.7117117117117117,4.275480508804321
91,100,max-degree-U,0.6816816816816816,6.169086456298828
92,200,max-degree-R,0.7117117117117117,3.853816509246826
93,200,max-degree-U,0.6756756756756757,8.509165525436401
94,400,max-degree-R,0.7027027027027027,4.213027715682983
95,400,max-degree-U,0.6696696696696697,11.582404375076294
96,800,max-degree-R,0.6906906906906907,3.530754566192627
97,800,max-degree-U,0.6696696696696697,6.868617534637451
98,1000,max-degree-R,0.6876876876876877,3.6878983974456787
99,1000,max-degree-U,0.6696696696696697,6.730280876159668
100,100,min-degree-R,0.6996996996996997,3.6124396324157715
101,100,min-degree-U,0.6816816816816816,4.822544813156128
102,200,min-degree-R,0.6816816816816816,3.96221923828125
103,200,min-degree-U,0.6801801801801802,5.1176323890686035
104,400,min-degree-R,0.6531531531531531,4.076639652252197
105,400,min-degree-U,0.6816816816816816,4.291843891143799
106,800,min-degree-R,0.5765765765765766,3.6091861724853516
107,800,min-degree-U,0.6771771771771772,5.5611279010772705
108,1000,min-degree-R,0.5495495495495496,3.4747862815856934
109,1000,min-degree-U,0.6786786786786787,8.69412899017334
110,100,saliency-R,0.7222222222222222,3.445589065551758
111,100,saliency-U,0.6816816816816816,7.848566293716431
112,200,saliency-R,0.7192192192192193,3.8189728260040283
113,200,saliency-U,0.6816816816816816,4.776280403137207
114,400,saliency-R,0.7117117117117117,3.755302906036377
115,400,saliency-U,0.6816816816816816,6.50982141494751
116,800,saliency-R,0.7162162162162162,3.8318023681640625
117,800,saliency-U,0.6816816816816816,5.68361759185791
118,1000,saliency-R,0.7147147147147147,3.3076417446136475
119,1000,saliency-U,0.6816816816816816,5.137203216552734
120,100,random-R,0.7117117117117117,3.567897081375122
121,100,random-U,0.6831831831831832,5.314856290817261
122,200,random-R,0.7147147147147147,3.2590479850769043
123,200,random-U,0.6846846846846847,5.78171443939209
124,400,random-R,0.7042042042042042,4.395753622055054
125,400,random-U,0.6831831831831832,7.375084400177002
126,800,random-R,0.6606606606606606,3.19753098487854
127,800,random-U,0.6801801801801802,5.968773126602173
128,1000,random-R,0.6651651651651652,4.236848592758179
129,1000,random-U,0.6831831831831832,9.330505847930908
130,100,max-degree-R,0.7192192192192193,3.6434671878814697
131,100,max-degree-U,0.6816816816816816,5.0147621631622314
132,200,max-degree-R,0.6951951951951952,4.073410749435425
133,200,max-degree-U,0.6756756756756757,8.859960556030273
134,400,max-degree-R,0.7042042042042042,3.8075685501098633
