,# edges,setting,accuracy,running time
0,100,random-R,0.6996996996996997,2.888301372528076
1,100,random-U,0.6981981981981982,3.7329602241516113
2,200,random-R,0.6831831831831832,3.2009449005126953
3,200,random-U,0.6981981981981982,3.429826021194458
4,400,random-R,0.6666666666666666,2.632878065109253
5,400,random-U,0.6966966966966966,2.9582083225250244
6,800,random-R,0.6456456456456456,4.028329849243164
7,800,random-U,0.6876876876876877,4.4182024002075195
8,1000,random-R,0.6351351351351351,2.872222900390625
9,1000,random-U,0.6921921921921922,4.133219003677368
10,100,max-degree-R,0.7087087087087087,3.5256431102752686
11,100,max-degree-U,0.7072072072072072,4.871459722518921
12,200,max-degree-R,0.7102102102102102,3.147833824157715
13,200,max-degree-U,0.7072072072072072,2.919898271560669
14,400,max-degree-R,0.6936936936936937,2.766148805618286
15,400,max-degree-U,0.7012012012012012,4.262206554412842
16,800,max-degree-R,0.6981981981981982,2.56392240524292
17,800,max-degree-U,0.6981981981981982,5.441317319869995
18,1000,max-degree-R,0.6711711711711712,2.6443562507629395
19,1000,max-degree-U,0.6966966966966966,3.510542392730713
20,100,min-degree-R,0.6771771771771772,2.9321372509002686
21,100,min-degree-U,0.7087087087087087,5.373627662658691
22,200,min-degree-R,0.6561561561561562,2.765941619873047
23,200,min-degree-U,0.7042042042042042,3.088130235671997
24,400,min-degree-R,0.6171171171171171,2.9172868728637695
25,400,min-degree-U,0.6981981981981982,2.8253393173217773
26,800,min-degree-R,0.5480480480480481,2.7813973426818848
27,800,min-degree-U,0.6906906906906907,4.60874342918396
28,1000,min-degree-R,0.5165165165165165,3.631053924560547
29,1000,min-degree-U,0.6876876876876877,4.015220880508423
30,100,saliency-R,0.7042042042042042,3.3035144805908203
31,100,saliency-U,0.7012012012012012,4.554194688796997
32,200,saliency-R,0.6756756756756757,2.909022808074951
33,200,saliency-U,0.6981981981981982,3.9039084911346436
34,400,saliency-R,0.6561561561561562,2.9251792430877686
35,400,saliency-U,0.6981981981981982,4.572298288345337
