,# edges,setting,accuracy,running time
0,100,random-R,0.8210332103321033,5.15470290184021
1,100,random-U,0.8228782287822878,3.468707323074341
2,200,random-R,0.8228782287822878,4.215634822845459
3,200,random-U,0.8228782287822878,3.0304219722747803
4,400,random-R,0.8044280442804428,4.97348952293396
5,400,random-U,0.8210332103321033,2.7579636573791504
6,800,random-R,0.7933579335793358,4.066425085067749
7,800,random-U,0.8173431734317343,2.7788474559783936
8,1000,random-R,0.7933579335793358,4.456645488739014
9,1000,random-U,0.8154981549815498,2.5894112586975098
10,100,max-degree-R,0.8191881918819188,3.0139245986938477
11,100,max-degree-U,0.8247232472324724,1.4647786617279053
12,200,max-degree-R,0.8228782287822878,3.5773301124572754
13,200,max-degree-U,0.8265682656826568,1.5460212230682373
14,400,max-degree-R,0.8228782287822878,4.070462703704834
15,400,max-degree-U,0.8228782287822878,1.32291579246521
16,800,max-degree-R,0.8081180811808119,3.8978590965270996
17,800,max-degree-U,0.8173431734317343,0.9931938648223877
18,1000,max-degree-R,0.8007380073800738,3.916102409362793
19,1000,max-degree-U,0.8173431734317343,1.441542625427246
20,100,min-degree-R,0.8136531365313653,3.5383665561676025
21,100,min-degree-U,0.8265682656826568,1.4140870571136475
22,200,min-degree-R,0.8265682656826568,3.937225341796875
23,200,min-degree-U,0.8228782287822878,2.645934820175171
24,400,min-degree-R,0.7952029520295203,3.187321186065674
25,400,min-degree-U,0.8210332103321033,1.9692468643188477
26,800,min-degree-R,0.7619926199261993,3.636751890182495
27,800,min-degree-U,0.8099630996309963,1.5729868412017822
28,1000,min-degree-R,0.7416974169741697,3.6932971477508545
29,1000,min-degree-U,0.8062730627306273,1.3669073581695557
30,100,saliency-R,0.8247232472324724,3.540436267852783
31,100,saliency-U,0.8265682656826568,4.308247089385986
32,200,saliency-R,0.8247232472324724,3.861665725708008
33,200,saliency-U,0.8265682656826568,1.9284486770629883
34,400,saliency-R,0.8228782287822878,2.883519411087036
35,400,saliency-U,0.8265682656826568,2.0789594650268555
36,800,saliency-R,0.8265682656826568,3.045731782913208
37,800,saliency-U,0.8265682656826568,1.9755468368530273
38,1000,saliency-R,0.8265682656826568,3.5017142295837402
39,1000,saliency-U,0.8265682656826568,1.810473918914795
40,100,random-R,0.8265682656826568,3.401104688644409
41,100,random-U,0.8247232472324724,1.1134004592895508
42,200,random-R,0.8191881918819188,3.41740345954895
43,200,random-U,0.8228782287822878,2.2855148315429688
44,400,random-R,0.8099630996309963,4.239491701126099
45,400,random-U,0.8191881918819188,1.542994737625122
46,800,random-R,0.8099630996309963,3.9334146976470947
47,800,random-U,0.8210332103321033,1.3517725467681885
48,1000,random-R,0.7896678966789668,3.4627888202667236
49,1000,random-U,0.8173431734317343,2.471859931945801
50,100,max-degree-R,0.8265682656826568,3.839461088180542
51,100,max-degree-U,0.8247232472324724,1.2474942207336426
52,200,max-degree-R,0.8265682656826568,4.295276165008545
53,200,max-degree-U,0.8265682656826568,1.9908356666564941
54,400,max-degree-R,0.8173431734317343,2.8159754276275635
55,400,max-degree-U,0.8228782287822878,2.8200619220733643
56,800,max-degree-R,0.8099630996309963,3.893350839614868
57,800,max-degree-U,0.8173431734317343,1.338897943496704
58,1000,max-degree-R,0.8118081180811808,3.6741955280303955
59,1000,max-degree-U,0.8173431734317343,1.3706622123718262
60,100,min-degree-R,0.8228782287822878,3.7901949882507324
61,100,min-degree-U,0.8265682656826568,1.8803772926330566
62,200,min-degree-R,0.8247232472324724,3.6229963302612305
63,200,min-degree-U,0.8228782287822878,2.5153748989105225
64,400,min-degree-R,0.8007380073800738,3.7584176063537598
65,400,min-degree-U,0.8210332103321033,3.127100944519043
66,800,min-degree-R,0.7490774907749077,2.8255624771118164
67,800,min-degree-U,0.8099630996309963,1.7183542251586914
68,1000,min-degree-R,0.7214022140221402,2.594860792160034
69,1000,min-degree-U,0.8062730627306273,2.029068946838379
70,100,saliency-R,0.8228782287822878,3.8204169273376465
71,100,saliency-U,0.8265682656826568,2.6393887996673584
72,200,saliency-R,0.8284132841328413,3.491475820541382
73,200,saliency-U,0.8265682656826568,2.9860711097717285
74,400,saliency-R,0.8284132841328413,4.0682713985443115
75,400,saliency-U,0.8265682656826568,2.951524496078491
76,800,saliency-R,0.8265682656826568,3.991764545440674
77,800,saliency-U,0.8265682656826568,2.169313669204712
78,1000,saliency-R,0.8376383763837638,3.969099760055542
79,1000,saliency-U,0.8265682656826568,2.045070171356201
80,100,random-R,0.8044280442804428,3.61405348777771
81,100,random-U,0.8265682656826568,1.9571278095245361
82,200,random-R,0.8339483394833949,4.519994020462036
83,200,random-U,0.8247232472324724,1.7187108993530273
84,400,random-R,0.8265682656826568,3.4276394844055176
85,400,random-U,0.8265682656826568,2.313366174697876
86,800,random-R,0.8118081180811808,3.4625868797302246
87,800,random-U,0.8228782287822878,2.494447946548462
88,1000,random-R,0.8118081180811808,3.971853733062744
89,1000,random-U,0.8284132841328413,1.588120460510254
90,100,max-degree-R,0.8228782287822878,4.000596046447754
91,100,max-degree-U,0.8247232472324724,1.9964525699615479
92,200,max-degree-R,0.8099630996309963,3.8309807777404785
93,200,max-degree-U,0.8265682656826568,1.552274227142334
94,400,max-degree-R,0.8118081180811808,3.8714141845703125
95,400,max-degree-U,0.8228782287822878,2.0514814853668213
96,800,max-degree-R,0.8118081180811808,3.3210556507110596
97,800,max-degree-U,0.8173431734317343,1.326624870300293
98,1000,max-degree-R,0.8284132841328413,4.690979719161987
99,1000,max-degree-U,0.8173431734317343,2.2951409816741943
100,100,min-degree-R,0.8302583025830258,4.037749767303467
101,100,min-degree-U,0.8265682656826568,1.8083209991455078
102,200,min-degree-R,0.8025830258302583,3.5855324268341064
103,200,min-degree-U,0.8228782287822878,2.6877148151397705
104,400,min-degree-R,0.7933579335793358,3.7081429958343506
105,400,min-degree-U,0.8210332103321033,1.697709083557129
106,800,min-degree-R,0.7527675276752768,3.192889451980591
107,800,min-degree-U,0.8099630996309963,2.103001117706299
108,1000,min-degree-R,0.7287822878228782,3.193249225616455
109,1000,min-degree-U,0.8062730627306273,1.442997694015503
110,100,saliency-R,0.8302583025830258,3.302251100540161
111,100,saliency-U,0.8265682656826568,1.6558325290679932
112,200,saliency-R,0.8394833948339483,3.3105015754699707
113,200,saliency-U,0.8265682656826568,2.9503228664398193
114,400,saliency-R,0.8062730627306273,3.2339372634887695
115,400,saliency-U,0.8265682656826568,1.9136309623718262
116,800,saliency-R,0.8265682656826568,3.913280963897705
117,800,saliency-U,0.8265682656826568,2.44637393951416
118,1000,saliency-R,0.8210332103321033,3.958271026611328
119,1000,saliency-U,0.8265682656826568,2.0762996673583984
120,100,random-R,0.8284132841328413,3.384169340133667
121,100,random-U,0.8302583025830258,1.9697990417480469
122,200,random-R,0.8228782287822878,2.85054874420166
123,200,random-U,0.8302583025830258,2.896252155303955
124,400,random-R,0.8118081180811808,4.492650270462036
125,400,random-U,0.8265682656826568,1.8077797889709473
126,800,random-R,0.8265682656826568,3.532723903656006
127,800,random-U,0.8247232472324724,1.6326487064361572
128,1000,random-R,0.8265682656826568,3.4363420009613037
129,1000,random-U,0.8228782287822878,2.0913803577423096
130,100,max-degree-R,0.8302583025830258,3.6639888286590576
131,100,max-degree-U,0.8247232472324724,1.7179369926452637
132,200,max-degree-R,0.8265682656826568,2.8255414962768555
133,200,max-degree-U,0.8265682656826568,1.4227871894836426
134,400,max-degree-R,0.8247232472324724,4.495900630950928
135,400,max-degree-U,0.8228782287822878,1.3886308670043945
136,800,max-degree-R,0.8062730627306273,4.123847723007202
137,800,max-degree-U,0.8173431734317343,1.2759783267974854
138,1000,max-degree-R,0.8062730627306273,3.86422061920166
139,1000,max-degree-U,0.8173431734317343,2.719930410385132
140,100,min-degree-R,0.8154981549815498,3.9246068000793457
141,100,min-degree-U,0.8265682656826568,1.3318874835968018
142,200,min-degree-R,0.8118081180811808,3.727541923522949
143,200,min-degree-U,0.8228782287822878,3.512800693511963
144,400,min-degree-R,0.7952029520295203,3.996574640274048
145,400,min-degree-U,0.8210332103321033,2.906184196472168
146,800,min-degree-R,0.7583025830258303,3.7830708026885986
147,800,min-degree-U,0.8099630996309963,2.4373655319213867
148,1000,min-degree-R,0.7361623616236163,3.4063918590545654
149,1000,min-degree-U,0.8062730627306273,1.5085082054138184
150,100,saliency-R,0.8284132841328413,3.759148597717285
151,100,saliency-U,0.8265682656826568,2.9928202629089355
152,200,saliency-R,0.8247232472324724,3.501106023788452
153,200,saliency-U,0.8265682656826568,2.4747743606567383
154,400,saliency-R,0.8210332103321033,3.8781814575195312
155,400,saliency-U,0.8265682656826568,2.887051582336426
156,800,saliency-R,0.8173431734317343,3.3185057640075684
157,800,saliency-U,0.8265682656826568,2.264584541320801
158,1000,saliency-R,0.8450184501845018,3.3141300678253174
159,1000,saliency-U,0.8265682656826568,2.2638533115386963
160,100,random-R,0.8339483394833949,2.8891098499298096
161,100,random-U,0.8284132841328413,2.336699962615967
162,200,random-R,0.8302583025830258,3.775822877883911
163,200,random-U,0.8284132841328413,1.605501651763916
164,400,random-R,0.8210332103321033,3.222532272338867
165,400,random-U,0.8284132841328413,1.419778823852539
166,800,random-R,0.7933579335793358,3.531390905380249
167,800,random-U,0.8247232472324724,1.8856935501098633
168,1000,random-R,0.7896678966789668,3.5777533054351807
169,1000,random-U,0.8210332103321033,1.5890674591064453
170,100,max-degree-R,0.8247232472324724,3.172433853149414
171,100,max-degree-U,0.8247232472324724,1.3443617820739746
172,200,max-degree-R,0.8302583025830258,4.3825647830963135
173,200,max-degree-U,0.8265682656826568,1.3413851261138916
174,400,max-degree-R,0.8210332103321033,4.198201417922974
175,400,max-degree-U,0.8228782287822878,2.001492738723755
176,800,max-degree-R,0.8136531365313653,4.278988599777222
177,800,max-degree-U,0.8173431734317343,1.1933321952819824
178,1000,max-degree-R,0.8191881918819188,3.7768173217773438
179,1000,max-degree-U,0.8173431734317343,2.0295138359069824
180,100,min-degree-R,0.8099630996309963,3.4330382347106934
181,100,min-degree-U,0.8265682656826568,1.8498599529266357
182,200,min-degree-R,0.8118081180811808,3.6135575771331787
183,200,min-degree-U,0.8228782287822878,2.5585358142852783
184,400,min-degree-R,0.7952029520295203,4.02785325050354
185,400,min-degree-U,0.8210332103321033,2.865905284881592
186,800,min-degree-R,0.7490774907749077,3.400075674057007
187,800,min-degree-U,0.8099630996309963,2.283271074295044
188,1000,min-degree-R,0.7269372693726938,3.1373770236968994
189,1000,min-degree-U,0.8062730627306273,1.4395630359649658
190,100,saliency-R,0.8357933579335793,3.6569931507110596
191,100,saliency-U,0.8265682656826568,2.9370932579040527
192,200,saliency-R,0.8376383763837638,3.6549618244171143
193,200,saliency-U,0.8265682656826568,2.322023868560791
194,400,saliency-R,0.8136531365313653,3.3417563438415527
195,400,saliency-U,0.8265682656826568,3.434901237487793
196,800,saliency-R,0.8228782287822878,3.768429756164551
197,800,saliency-U,0.8265682656826568,2.1606481075286865
198,1000,saliency-R,0.8265682656826568,3.1637372970581055
199,1000,saliency-U,0.8265682656826568,2.066215753555298
200,100,random-R,0.8339483394833949,3.5122406482696533
201,100,random-U,0.8284132841328413,1.855841875076294
202,200,random-R,0.8265682656826568,3.8661348819732666
203,200,random-U,0.8247232472324724,1.6838364601135254
204,400,random-R,0.8228782287822878,3.165308952331543
205,400,random-U,0.8247232472324724,1.8529682159423828
206,800,random-R,0.8025830258302583,3.579965829849243
207,800,random-U,0.8191881918819188,2.758070707321167
208,1000,random-R,0.7952029520295203,3.552910804748535
209,1000,random-U,0.8247232472324724,1.9012398719787598
210,100,max-degree-R,0.8154981549815498,3.676628828048706
211,100,max-degree-U,0.8247232472324724,1.280930519104004
212,200,max-degree-R,0.8228782287822878,3.468817949295044
213,200,max-degree-U,0.8265682656826568,1.6175239086151123
214,400,max-degree-R,0.8321033210332104,3.343794584274292
215,400,max-degree-U,0.8228782287822878,1.4454333782196045
216,800,max-degree-R,0.8118081180811808,2.654484987258911
217,800,max-degree-U,0.8173431734317343,1.6068449020385742
218,1000,max-degree-R,0.8099630996309963,3.064749240875244
219,1000,max-degree-U,0.8173431734317343,1.9874267578125
220,100,min-degree-R,0.8173431734317343,4.225309610366821
221,100,min-degree-U,0.8265682656826568,1.2937824726104736
222,200,min-degree-R,0.8173431734317343,3.2500646114349365
223,200,min-degree-U,0.8228782287822878,2.6934361457824707
224,400,min-degree-R,0.8044280442804428,3.4525883197784424
225,400,min-degree-U,0.8210332103321033,2.462601661682129
226,800,min-degree-R,0.7638376383763837,3.630321741104126
227,800,min-degree-U,0.8099630996309963,2.227890968322754
