,# edges,setting,accuracy,running time
0,100,random-R,0.8265682656826568,2.192272663116455
1,100,random-U,0.8302583025830258,3.5465810298919678
2,200,random-R,0.8357933579335793,2.0948822498321533
3,200,random-U,0.8321033210332104,3.564741849899292
4,400,random-R,0.8394833948339483,2.033531427383423
5,400,random-U,0.8321033210332104,3.0038793087005615
6,800,random-R,0.8173431734317343,1.9466073513031006
7,800,random-U,0.8210332103321033,3.517873525619507
8,1000,random-R,0.8118081180811808,1.9384582042694092
9,1000,random-U,0.8099630996309963,3.512878894805908
10,100,max-degree-R,0.8394833948339483,2.0784242153167725
11,100,max-degree-U,0.8265682656826568,4.435834646224976
12,200,max-degree-R,0.8394833948339483,1.9928724765777588
13,200,max-degree-U,0.8265682656826568,3.303788661956787
14,400,max-degree-R,0.8210332103321033,2.106625556945801
15,400,max-degree-U,0.8265682656826568,3.2097866535186768
16,800,max-degree-R,0.8321033210332104,2.093229293823242
17,800,max-degree-U,0.8191881918819188,2.942821741104126
18,1000,max-degree-R,0.8357933579335793,1.9123570919036865
19,1000,max-degree-U,0.8228782287822878,2.9548094272613525
20,100,min-degree-R,0.8376383763837638,1.9622845649719238
21,100,min-degree-U,0.8339483394833949,3.297485589981079
22,200,min-degree-R,0.8284132841328413,2.0483546257019043
23,200,min-degree-U,0.8376383763837638,4.4286885261535645
24,400,min-degree-R,0.8081180811808119,2.0369443893432617
25,400,min-degree-U,0.8357933579335793,3.614926815032959
26,800,min-degree-R,0.7638376383763837,2.1173222064971924
27,800,min-degree-U,0.8321033210332104,3.533597230911255
28,1000,min-degree-R,0.6752767527675276,1.9490406513214111
29,1000,min-degree-U,0.8413284132841329,3.5652058124542236
30,100,saliency-R,0.8376383763837638,2.1392765045166016
31,100,saliency-U,0.8339483394833949,3.415343999862671
32,200,saliency-R,0.8413284132841329,2.055894374847412
33,200,saliency-U,0.8321033210332104,2.858490467071533
34,400,saliency-R,0.8394833948339483,1.992647409439087
35,400,saliency-U,0.8284132841328413,2.314080238342285
36,800,saliency-R,0.8394833948339483,2.152022123336792
37,800,saliency-U,0.8265682656826568,3.2083027362823486
38,1000,saliency-R,0.8413284132841329,1.862029790878296
39,1000,saliency-U,0.8265682656826568,2.890357494354248
40,100,random-R,0.8376383763837638,2.4112155437469482
41,100,random-U,0.8321033210332104,4.097536325454712
42,200,random-R,0.8302583025830258,2.208038330078125
43,200,random-U,0.8302583025830258,2.641099214553833
44,400,random-R,0.8173431734317343,2.0228941440582275
45,400,random-U,0.8247232472324724,3.249556064605713
46,800,random-R,0.8136531365313653,2.055337905883789
47,800,random-U,0.8191881918819188,2.2725558280944824
48,1000,random-R,0.7952029520295203,1.8593990802764893
49,1000,random-U,0.8228782287822878,3.162566661834717
50,100,max-degree-R,0.8431734317343174,2.134007215499878
51,100,max-degree-U,0.8265682656826568,3.462632417678833
52,200,max-degree-R,0.8468634686346863,2.0297231674194336
53,200,max-degree-U,0.8265682656826568,3.1166670322418213
54,400,max-degree-R,0.8394833948339483,2.0217573642730713
55,400,max-degree-U,0.8265682656826568,2.8677256107330322
56,800,max-degree-R,0.8339483394833949,2.303494691848755
57,800,max-degree-U,0.8191881918819188,4.1812779903411865
58,1000,max-degree-R,0.8394833948339483,1.9518938064575195
59,1000,max-degree-U,0.8228782287822878,3.972588539123535
60,100,min-degree-R,0.8376383763837638,2.001735210418701
61,100,min-degree-U,0.8339483394833949,3.51637601852417
62,200,min-degree-R,0.8265682656826568,2.1444458961486816
63,200,min-degree-U,0.8376383763837638,3.190114974975586
64,400,min-degree-R,0.8062730627306273,2.1006414890289307
65,400,min-degree-U,0.8357933579335793,2.611726999282837
66,800,min-degree-R,0.7693726937269373,1.975048303604126
67,800,min-degree-U,0.8321033210332104,4.132169008255005
