,# Layer,Setting,Accuracy
0,1,RI-original,0.6981981981981982
1,1,RI-retrain,0.6141141141141141
2,1,RI-ours,0.6771771771771772
3,1,NF-original,0.6876876876876877
4,1,NF-retrain,0.6576576576576577
5,1,NF-ours,0.6786786786786787
6,2,RI-original,0.7162162162162162
7,2,RI-retrain,0.6471471471471472
8,2,RI-ours,0.7012012012012012
9,2,NF-original,0.7087087087087087
10,2,NF-retrain,0.6666666666666666
11,2,NF-ours,0.6891891891891891
12,3,RI-original,0.7192192192192193
13,3,RI-retrain,0.6411411411411412
14,3,RI-ours,0.5975975975975976
15,3,NF-original,0.6981981981981982
16,3,NF-retrain,0.6621621621621622
17,3,NF-ours,0.6801801801801802
18,4,RI-original,0.7027027027027027
19,4,RI-retrain,0.6576576576576577
20,4,RI-ours,0.5420420420420421
21,4,NF-original,0.6801801801801802
22,4,NF-retrain,0.6531531531531531
23,4,NF-ours,0.6636636636636637
24,1,RI-original,0.6936936936936937
25,1,RI-retrain,0.6516516516516516
26,1,RI-ours,0.6681681681681682
27,1,NF-original,0.6951951951951952
28,1,NF-retrain,0.6246246246246246
29,1,NF-ours,0.6936936936936937
30,2,RI-original,0.7117117117117117
31,2,RI-retrain,0.6516516516516516
32,2,RI-ours,0.6741741741741741
33,2,NF-original,0.7087087087087087
34,2,NF-retrain,0.6351351351351351
35,2,NF-ours,0.6996996996996997
36,3,RI-original,0.6996996996996997
37,3,RI-retrain,0.6591591591591591
38,3,RI-ours,0.5825825825825826
39,3,NF-original,0.7072072072072072
40,3,NF-retrain,0.6201201201201201
41,3,NF-ours,0.6996996996996997
42,4,RI-original,0.56006006006006
43,4,RI-retrain,0.6126126126126126
44,4,RI-ours,0.3153153153153153
45,4,NF-original,0.6831831831831832
46,4,NF-retrain,0.6306306306306306
47,4,NF-ours,0.6786786786786787
48,1,RI-original,0.7027027027027027
49,1,RI-retrain,0.6171171171171171
50,1,RI-ours,0.6876876876876877
51,1,NF-original,0.6891891891891891
52,1,NF-retrain,0.6456456456456456
53,1,NF-ours,0.6621621621621622
54,2,RI-original,0.7177177177177178
55,2,RI-retrain,0.6381381381381381
56,2,RI-ours,0.6951951951951952
57,2,NF-original,0.7057057057057057
58,2,NF-retrain,0.6636636636636637
59,2,NF-ours,0.6846846846846847
60,3,RI-original,0.7027027027027027
61,3,RI-retrain,0.6486486486486487
62,3,RI-ours,0.45795795795795796
63,3,NF-original,0.7057057057057057
64,3,NF-retrain,0.6576576576576577
65,3,NF-ours,0.6861861861861862
66,4,RI-original,0.6966966966966966
67,4,RI-retrain,0.566066066066066
68,4,RI-ours,0.5255255255255256
69,4,NF-original,0.6981981981981982
70,4,NF-retrain,0.6531531531531531
71,4,NF-ours,0.6741741741741741
72,1,RI-original,0.6921921921921922
73,1,RI-retrain,0.6216216216216216
74,1,RI-ours,0.6846846846846847
75,1,NF-original,0.7117117117117117
76,1,NF-retrain,0.6561561561561562
77,1,NF-ours,0.6906906906906907
78,2,RI-original,0.7297297297297297
79,2,RI-retrain,0.6426426426426426
80,2,RI-ours,0.6726726726726727
81,2,NF-original,0.7072072072072072
82,2,NF-retrain,0.6231231231231231
83,2,NF-ours,0.6951951951951952
84,3,RI-original,0.7027027027027027
85,3,RI-retrain,0.6366366366366366
86,3,RI-ours,0.5840840840840841
87,3,NF-original,0.7087087087087087
88,3,NF-retrain,0.6801801801801802
89,3,NF-ours,0.5795795795795796
90,4,RI-original,0.6981981981981982
91,4,RI-retrain,0.6276276276276276
92,4,RI-ours,0.545045045045045
93,4,NF-original,0.7162162162162162
94,4,NF-retrain,0.6456456456456456
95,4,NF-ours,0.7012012012012012
96,1,RI-original,0.7132132132132132
97,1,RI-retrain,0.6186186186186187
98,1,RI-ours,0.7072072072072072
99,1,NF-original,0.6996996996996997
100,1,NF-retrain,0.6396396396396397
101,1,NF-ours,0.6921921921921922
102,2,RI-original,0.7147147147147147
103,2,RI-retrain,0.6426426426426426
104,2,RI-ours,0.5945945945945946
105,2,NF-original,0.7147147147147147
106,2,NF-retrain,0.6606606606606606
107,2,NF-ours,0.7012012012012012
108,3,RI-original,0.7042042042042042
109,3,RI-retrain,0.6561561561561562
110,3,RI-ours,0.7087087087087087
111,3,NF-original,0.7072072072072072
112,3,NF-retrain,0.6546546546546547
113,3,NF-ours,0.7087087087087087
114,4,RI-original,0.7147147147147147
115,4,RI-retrain,0.6246246246246246
116,4,RI-ours,0.5555555555555556
117,4,NF-original,0.6831831831831832
118,4,NF-retrain,0.6276276276276276
119,4,NF-ours,0.6816816816816816
120,1,RI-original,0.7072072072072072
121,1,RI-retrain,0.6576576576576577
122,1,RI-ours,0.6756756756756757
123,1,NF-original,0.6831831831831832
124,1,NF-retrain,0.6111111111111112
125,1,NF-ours,0.6726726726726727
126,2,RI-original,0.7192192192192193
127,2,RI-retrain,0.6711711711711712
128,2,RI-ours,0.6561561561561562
129,2,NF-original,0.7237237237237237
130,2,NF-retrain,0.6681681681681682
131,2,NF-ours,0.7162162162162162
132,3,RI-original,0.7087087087087087
133,3,RI-retrain,0.6801801801801802
134,3,RI-ours,0.4984984984984985
135,3,NF-original,0.7087087087087087
136,3,NF-retrain,0.6636636636636637
137,3,NF-ours,0.5375375375375375
138,4,RI-original,0.6051051051051051
139,4,RI-retrain,0.6501501501501501
140,4,RI-ours,0.5930930930930931
141,4,NF-original,0.6981981981981982
142,4,NF-retrain,0.6546546546546547
143,4,NF-ours,0.6921921921921922
144,1,RI-original,0.6996996996996997
145,1,RI-retrain,0.6366366366366366
146,1,RI-ours,0.6936936936936937
147,1,NF-original,0.7012012012012012
148,1,NF-retrain,0.5960960960960962
149,1,NF-ours,0.6876876876876877
150,2,RI-original,0.7312312312312312
151,2,RI-retrain,0.6336336336336337
