,# Layer,Setting,Accuracy
0,1,RI-original,0.8228782287822878
1,1,RI-retrain,0.8339483394833949
2,1,RI-ours,0.8284132841328413
3,1,NF-original,0.8468634686346863
4,1,NF-retrain,0.8487084870848709
5,1,NF-ours,0.8376383763837638
6,2,RI-original,0.8726937269372693
7,2,RI-retrain,0.8450184501845018
8,2,RI-ours,0.8579335793357934
9,2,NF-original,0.8726937269372693
10,2,NF-retrain,0.8431734317343174
11,2,NF-ours,0.8708487084870848
12,3,RI-original,0.8782287822878229
13,3,RI-retrain,0.8468634686346863
14,3,RI-ours,0.8616236162361623
15,3,NF-original,0.8800738007380073
16,3,NF-retrain,0.8394833948339483
17,3,NF-ours,0.8671586715867159
18,4,RI-original,0.8634686346863468
19,4,RI-retrain,0.8616236162361623
20,4,RI-ours,0.8247232472324724
21,4,NF-original,0.8782287822878229
22,4,NF-retrain,0.7933579335793358
23,4,NF-ours,0.8653136531365314
24,1,RI-original,0.8413284132841329
25,1,RI-retrain,0.8099630996309963
26,1,RI-ours,0.8173431734317343
27,1,NF-original,0.8450184501845018
28,1,NF-retrain,0.8173431734317343
29,1,NF-ours,0.8321033210332104
30,2,RI-original,0.8653136531365314
31,2,RI-retrain,0.8062730627306273
32,2,RI-ours,0.8634686346863468
33,2,NF-original,0.8597785977859779
34,2,NF-retrain,0.8191881918819188
35,2,NF-ours,0.8468634686346863
36,3,RI-original,0.8616236162361623
37,3,RI-retrain,0.7915129151291513
38,3,RI-ours,0.8579335793357934
39,3,NF-original,0.8782287822878229
40,3,NF-retrain,0.8118081180811808
41,3,NF-ours,0.8653136531365314
42,4,RI-original,0.8560885608856088
43,4,RI-retrain,0.8431734317343174
44,4,RI-ours,0.8394833948339483
45,4,NF-original,0.8690036900369004
46,4,NF-retrain,0.7675276752767528
47,4,NF-ours,0.8468634686346863
48,1,RI-original,0.8431734317343174
49,1,RI-retrain,0.8247232472324724
50,1,RI-ours,0.8357933579335793
51,1,NF-original,0.8431734317343174
52,1,NF-retrain,0.8284132841328413
53,1,NF-ours,0.8450184501845018
54,2,RI-original,0.8634686346863468
55,2,RI-retrain,0.8284132841328413
56,2,RI-ours,0.8505535055350554
57,2,NF-original,0.8505535055350554
58,2,NF-retrain,0.8247232472324724
59,2,NF-ours,0.8505535055350554
60,3,RI-original,0.8745387453874539
61,3,RI-retrain,0.8431734317343174
62,3,RI-ours,0.8726937269372693
63,3,NF-original,0.8726937269372693
64,3,NF-retrain,0.8376383763837638
65,3,NF-ours,0.8671586715867159
66,4,RI-original,0.8690036900369004
67,4,RI-retrain,0.8173431734317343
68,4,RI-ours,0.8394833948339483
69,4,NF-original,0.8800738007380073
70,4,NF-retrain,0.8413284132841329
71,4,NF-ours,0.8265682656826568
72,1,RI-original,0.8394833948339483
73,1,RI-retrain,0.8247232472324724
74,1,RI-ours,0.8265682656826568
75,1,NF-original,0.8505535055350554
76,1,NF-retrain,0.8154981549815498
77,1,NF-ours,0.8376383763837638
