,# Layer,Setting,Accuracy
0,1,RI-original,0.7012012012012012
1,1,RI-retrain,0.6336336336336337
2,1,RI-ours,0.6771771771771772
3,1,NF-original,0.7012012012012012
4,1,NF-retrain,0.6351351351351351
5,1,NF-ours,0.6816816816816816
6,2,RI-original,0.7177177177177178
7,2,RI-retrain,0.6531531531531531
8,2,RI-ours,0.5645645645645646
9,2,NF-original,0.7027027027027027
10,2,NF-retrain,0.6516516516516516
11,2,NF-ours,0.5585585585585585
12,3,RI-original,0.7102102102102102
13,3,RI-retrain,0.6426426426426426
14,3,RI-ours,0.6036036036036037
15,3,NF-original,0.6921921921921922
16,3,NF-retrain,0.6786786786786787
17,3,NF-ours,0.5255255255255256
18,4,RI-original,0.5795795795795796
19,4,RI-retrain,0.5825825825825826
20,4,RI-ours,0.3738738738738739
21,4,NF-original,0.7042042042042042
22,4,NF-retrain,0.6516516516516516
23,4,NF-ours,0.44894894894894893
24,1,RI-original,0.7087087087087087
25,1,RI-retrain,0.6306306306306306
26,1,RI-ours,0.6891891891891891
27,1,NF-original,0.6996996996996997
28,1,NF-retrain,0.6306306306306306
29,1,NF-ours,0.7027027027027027
30,2,RI-original,0.7012012012012012
31,2,RI-retrain,0.6456456456456456
32,2,RI-ours,0.4159159159159159
33,2,NF-original,0.7147147147147147
34,2,NF-retrain,0.6621621621621622
35,2,NF-ours,0.5780780780780781
36,3,RI-original,0.7057057057057057
37,3,RI-retrain,0.6111111111111112
38,3,RI-ours,0.5165165165165165
39,3,NF-original,0.7117117117117117
40,3,NF-retrain,0.6396396396396397
41,3,NF-ours,0.5585585585585585
42,4,RI-original,0.7012012012012012
43,4,RI-retrain,0.6426426426426426
44,4,RI-ours,0.4084084084084084
45,4,NF-original,0.7012012012012012
46,4,NF-retrain,0.6351351351351351
47,4,NF-ours,0.5975975975975976
48,1,RI-original,0.6906906906906907
49,1,RI-retrain,0.6561561561561562
50,1,RI-ours,0.6936936936936937
51,1,NF-original,0.6996996996996997
52,1,NF-retrain,0.6336336336336337
53,1,NF-ours,0.7012012012012012
54,2,RI-original,0.7132132132132132
55,2,RI-retrain,0.6621621621621622
56,2,RI-ours,0.56006006006006
57,2,NF-original,0.7117117117117117
58,2,NF-retrain,0.6771771771771772
59,2,NF-ours,0.6066066066066066
60,3,RI-original,0.7147147147147147
61,3,RI-retrain,0.6591591591591591
62,3,RI-ours,0.7027027027027027
63,3,NF-original,0.7222222222222222
64,3,NF-retrain,0.6471471471471472
65,3,NF-ours,0.539039039039039
66,4,RI-original,0.6126126126126126
67,4,RI-retrain,0.6666666666666666
68,4,RI-ours,0.49099099099099097
69,4,NF-original,0.7012012012012012
70,4,NF-retrain,0.6531531531531531
71,4,NF-ours,0.5555555555555556
72,1,RI-original,0.6921921921921922
73,1,RI-retrain,0.6546546546546547
74,1,RI-ours,0.6681681681681682
75,1,NF-original,0.6891891891891891
76,1,NF-retrain,0.6591591591591591
77,1,NF-ours,0.6966966966966966
78,2,RI-original,0.7027027027027027
79,2,RI-retrain,0.6351351351351351
80,2,RI-ours,0.5795795795795796
81,2,NF-original,0.7012012012012012
82,2,NF-retrain,0.6606606606606606
83,2,NF-ours,0.536036036036036
84,3,RI-original,0.6951951951951952
85,3,RI-retrain,0.6321321321321322
86,3,RI-ours,0.6831831831831832
87,3,NF-original,0.7207207207207207
88,3,NF-retrain,0.6411411411411412
89,3,NF-ours,0.5480480480480481
90,4,RI-original,0.6861861861861862
91,4,RI-retrain,0.53003003003003
92,4,RI-ours,0.5585585585585585
93,4,NF-original,0.6531531531531531
94,4,NF-retrain,0.6591591591591591
95,4,NF-ours,0.37237237237237236
96,1,RI-original,0.7132132132132132
97,1,RI-retrain,0.6336336336336337
98,1,RI-ours,0.7087087087087087
99,1,NF-original,0.7102102102102102
100,1,NF-retrain,0.6396396396396397
101,1,NF-ours,0.7027027027027027
102,2,RI-original,0.7162162162162162
103,2,RI-retrain,0.6591591591591591
104,2,RI-ours,0.5465465465465466
105,2,NF-original,0.7222222222222222
106,2,NF-retrain,0.6381381381381381
107,2,NF-ours,0.5915915915915916
108,3,RI-original,0.6951951951951952
109,3,RI-retrain,0.6576576576576577
110,3,RI-ours,0.5465465465465466
111,3,NF-original,0.6846846846846847
112,3,NF-retrain,0.6501501501501501
113,3,NF-ours,0.5720720720720721
114,4,RI-original,0.6891891891891891
115,4,RI-retrain,0.6456456456456456
116,4,RI-ours,0.5780780780780781
117,4,NF-original,0.7177177177177178
118,4,NF-retrain,0.6486486486486487
119,4,NF-ours,0.32732732732732733
120,1,RI-original,0.7132132132132132
121,1,RI-retrain,0.6591591591591591
122,1,RI-ours,0.6891891891891891
123,1,NF-original,0.6951951951951952
124,1,NF-retrain,0.6381381381381381
125,1,NF-ours,0.6726726726726727
126,2,RI-original,0.7132132132132132
127,2,RI-retrain,0.6561561561561562
128,2,RI-ours,0.4444444444444444
129,2,NF-original,0.6936936936936937
130,2,NF-retrain,0.6441441441441441
131,2,NF-ours,0.6051051051051051
132,3,RI-original,0.6951951951951952
133,3,RI-retrain,0.6426426426426426
134,3,RI-ours,0.6636636636636637
135,3,NF-original,0.7222222222222222
136,3,NF-retrain,0.6486486486486487
137,3,NF-ours,0.6246246246246246
138,4,RI-original,0.6561561561561562
139,4,RI-retrain,0.6471471471471472
140,4,RI-ours,0.43093093093093093
141,4,NF-original,0.6996996996996997
142,4,NF-retrain,0.6396396396396397
143,4,NF-ours,0.5615615615615616
144,1,RI-original,0.6966966966966966
145,1,RI-retrain,0.6441441441441441
146,1,RI-ours,0.6636636636636637
147,1,NF-original,0.6981981981981982
148,1,NF-retrain,0.6171171171171171
149,1,NF-ours,0.6666666666666666
150,2,RI-original,0.7072072072072072
151,2,RI-retrain,0.6276276276276276
152,2,RI-ours,0.512012012012012
153,2,NF-original,0.7177177177177178
154,2,NF-retrain,0.6321321321321322
155,2,NF-ours,0.5375375375375375
156,3,RI-original,0.6951951951951952
157,3,RI-retrain,0.6441441441441441
158,3,RI-ours,0.5900900900900901
159,3,NF-original,0.7057057057057057
160,3,NF-retrain,0.6276276276276276
161,3,NF-ours,0.5255255255255256
162,4,RI-original,0.7042042042042042
163,4,RI-retrain,0.6261261261261262
164,4,RI-ours,0.6261261261261262
165,4,NF-original,0.6876876876876877
166,4,NF-retrain,0.5285285285285285
167,4,NF-ours,0.5780780780780781
168,1,RI-original,0.6921921921921922
169,1,RI-retrain,0.6471471471471472
170,1,RI-ours,0.6711711711711712
171,1,NF-original,0.7117117117117117
172,1,NF-retrain,0.6261261261261262
173,1,NF-ours,0.7027027027027027
174,2,RI-original,0.7012012012012012
175,2,RI-retrain,0.6441441441441441
176,2,RI-ours,0.6771771771771772
177,2,NF-original,0.7117117117117117
178,2,NF-retrain,0.6216216216216216
179,2,NF-ours,0.566066066066066
180,3,RI-original,0.7132132132132132
181,3,RI-retrain,0.6516516516516516
182,3,RI-ours,0.5480480480480481
183,3,NF-original,0.6771771771771772
184,3,NF-retrain,0.6396396396396397
185,3,NF-ours,0.6621621621621622
186,4,RI-original,0.6216216216216216
187,4,RI-retrain,0.4519519519519519
188,4,RI-ours,0.5915915915915916
189,4,NF-original,0.6936936936936937
190,4,NF-retrain,0.6351351351351351
191,4,NF-ours,0.6171171171171171
192,1,RI-original,0.6936936936936937
193,1,RI-retrain,0.6576576576576577
194,1,RI-ours,0.6921921921921922
195,1,NF-original,0.7087087087087087
196,1,NF-retrain,0.6111111111111112
197,1,NF-ours,0.6636636636636637
198,2,RI-original,0.7147147147147147
199,2,RI-retrain,0.6621621621621622
200,2,RI-ours,0.5855855855855856
201,2,NF-original,0.6966966966966966
202,2,NF-retrain,0.6651651651651652
203,2,NF-ours,0.4864864864864865
204,3,RI-original,0.7207207207207207
205,3,RI-retrain,0.6306306306306306
206,3,RI-ours,0.6606606606606606
207,3,NF-original,0.7072072072072072
208,3,NF-retrain,0.6426426426426426
209,3,NF-ours,0.5825825825825826
210,4,RI-original,0.5900900900900901
211,4,RI-retrain,0.6321321321321322
