,# Layer,Setting,Accuracy
0,1,RI-original,0.8590604026845637
1,1,RI-retrain,0.8624161073825504
2,1,RI-ours,0.8624161073825504
3,1,NF-original,0.8624161073825504
4,1,NF-retrain,0.8590604026845637
5,1,NF-ours,0.8288590604026845
6,2,RI-original,0.8624161073825504
7,2,RI-retrain,0.8456375838926175
8,2,RI-ours,0.8187919463087249
9,2,NF-original,0.8557046979865772
10,2,NF-retrain,0.8691275167785235
11,2,NF-ours,0.8422818791946308
12,3,RI-original,0.8322147651006712
13,3,RI-retrain,0.8523489932885906
14,3,RI-ours,0.5033557046979866
15,3,NF-original,0.5134228187919463
16,3,NF-retrain,0.8523489932885906
17,3,NF-ours,0.5134228187919463
18,4,RI-original,0.825503355704698
19,4,RI-retrain,0.8389261744966443
20,4,RI-ours,0.5134228187919463
21,4,NF-original,0.8523489932885906
22,4,NF-retrain,0.8456375838926175
23,4,NF-ours,0.2483221476510067
24,1,RI-original,0.8624161073825504
25,1,RI-retrain,0.8624161073825504
26,1,RI-ours,0.825503355704698
27,1,NF-original,0.8691275167785235
28,1,NF-retrain,0.8691275167785235
29,1,NF-ours,0.8489932885906041
30,2,RI-original,0.8557046979865772
31,2,RI-retrain,0.8657718120805369
32,2,RI-ours,0.7315436241610739
33,2,NF-original,0.8624161073825504
34,2,NF-retrain,0.8657718120805369
35,2,NF-ours,0.8523489932885906
36,3,RI-original,0.8322147651006712
37,3,RI-retrain,0.8489932885906041
38,3,RI-ours,0.5134228187919463
39,3,NF-original,0.8624161073825504
40,3,NF-retrain,0.8657718120805369
41,3,NF-ours,0.5234899328859061
42,4,RI-original,0.8624161073825504
43,4,RI-retrain,0.4865771812080537
44,4,RI-ours,0.4865771812080537
45,4,NF-original,0.8557046979865772
46,4,NF-retrain,0.87248322147651
47,4,NF-ours,0.5268456375838926
48,1,RI-original,0.8624161073825504
49,1,RI-retrain,0.8590604026845637
50,1,RI-ours,0.8154362416107382
51,1,NF-original,0.87248322147651
52,1,NF-retrain,0.8590604026845637
53,1,NF-ours,0.87248322147651
54,2,RI-original,0.8691275167785235
55,2,RI-retrain,0.8691275167785235
56,2,RI-ours,0.8523489932885906
57,2,NF-original,0.87248322147651
58,2,NF-retrain,0.8523489932885906
59,2,NF-ours,0.8422818791946308
60,3,RI-original,0.8456375838926175
61,3,RI-retrain,0.8389261744966443
62,3,RI-ours,0.4865771812080537
63,3,NF-original,0.8422818791946308
64,3,NF-retrain,0.8691275167785235
65,3,NF-ours,0.4865771812080537
66,4,RI-original,0.8120805369127517
67,4,RI-retrain,0.4865771812080537
68,4,RI-ours,0.5201342281879194
69,4,NF-original,0.8523489932885906
70,4,NF-retrain,0.8523489932885906
71,4,NF-ours,0.4798657718120805
72,1,RI-original,0.8657718120805369
73,1,RI-retrain,0.8691275167785235
74,1,RI-ours,0.8657718120805369
75,1,NF-original,0.8657718120805369
76,1,NF-retrain,0.8691275167785235
77,1,NF-ours,0.8322147651006712
78,2,RI-original,0.8657718120805369
79,2,RI-retrain,0.8590604026845637
80,2,RI-ours,0.8322147651006712
81,2,NF-original,0.87248322147651
82,2,NF-retrain,0.8590604026845637
83,2,NF-ours,0.8288590604026845
84,3,RI-original,0.4865771812080537
85,3,RI-retrain,0.8389261744966443
86,3,RI-ours,0.4865771812080537
87,3,NF-original,0.8489932885906041
88,3,NF-retrain,0.7785234899328859
89,3,NF-ours,0.17785234899328858
90,4,RI-original,0.4865771812080537
91,4,RI-retrain,0.8322147651006712
92,4,RI-ours,0.4865771812080537
93,4,NF-original,0.8422818791946308
94,4,NF-retrain,0.8590604026845637
95,4,NF-ours,0.4865771812080537
96,1,RI-original,0.8691275167785235
97,1,RI-retrain,0.8691275167785235
98,1,RI-ours,0.8624161073825504
99,1,NF-original,0.87248322147651
100,1,NF-retrain,0.8691275167785235
101,1,NF-ours,0.8691275167785235
102,2,RI-original,0.8624161073825504
103,2,RI-retrain,0.8758389261744967
104,2,RI-ours,0.8557046979865772
105,2,NF-original,0.8523489932885906
106,2,NF-retrain,0.8691275167785235
107,2,NF-ours,0.7516778523489933
108,3,RI-original,0.8355704697986577
109,3,RI-retrain,0.8557046979865772
110,3,RI-ours,0.5570469798657718
111,3,NF-original,0.8489932885906041
112,3,NF-retrain,0.8590604026845637
113,3,NF-ours,0.5570469798657718
114,4,RI-original,0.8657718120805369
115,4,RI-retrain,0.7785234899328859
116,4,RI-ours,0.5167785234899329
117,4,NF-original,0.5134228187919463
118,4,NF-retrain,0.8523489932885906
119,4,NF-ours,0.5134228187919463
120,1,RI-original,0.8590604026845637
121,1,RI-retrain,0.8624161073825504
122,1,RI-ours,0.8422818791946308
123,1,NF-original,0.8657718120805369
124,1,NF-retrain,0.87248322147651
125,1,NF-ours,0.8322147651006712
126,2,RI-original,0.8624161073825504
127,2,RI-retrain,0.8624161073825504
128,2,RI-ours,0.8288590604026845
129,2,NF-original,0.8557046979865772
130,2,NF-retrain,0.8758389261744967
131,2,NF-ours,0.8389261744966443
132,3,RI-original,0.8355704697986577
133,3,RI-retrain,0.87248322147651
134,3,RI-ours,0.5134228187919463
135,3,NF-original,0.8456375838926175
136,3,NF-retrain,0.87248322147651
137,3,NF-ours,0.3187919463087248
138,4,RI-original,0.4865771812080537
139,4,RI-retrain,0.8355704697986577
140,4,RI-ours,0.4865771812080537
141,4,NF-original,0.8523489932885906
142,4,NF-retrain,0.8389261744966443
143,4,NF-ours,0.5134228187919463
144,1,RI-original,0.8624161073825504
145,1,RI-retrain,0.8624161073825504
146,1,RI-ours,0.785234899328859
147,1,NF-original,0.8657718120805369
148,1,NF-retrain,0.8590604026845637
149,1,NF-ours,0.8288590604026845
150,2,RI-original,0.8657718120805369
151,2,RI-retrain,0.8557046979865772
152,2,RI-ours,0.7416107382550335
153,2,NF-original,0.8456375838926175
154,2,NF-retrain,0.8557046979865772
155,2,NF-ours,0.8691275167785235
156,3,RI-original,0.8355704697986577
157,3,RI-retrain,0.8624161073825504
158,3,RI-ours,0.4865771812080537
159,3,NF-original,0.87248322147651
160,3,NF-retrain,0.8422818791946308
161,3,NF-ours,0.4865771812080537
162,4,RI-original,0.5201342281879194
163,4,RI-retrain,0.6241610738255033
164,4,RI-ours,0.4865771812080537
165,4,NF-original,0.8557046979865772
166,4,NF-retrain,0.8691275167785235
167,4,NF-ours,0.5134228187919463
168,1,RI-original,0.8657718120805369
169,1,RI-retrain,0.8557046979865772
170,1,RI-ours,0.8590604026845637
171,1,NF-original,0.8590604026845637
172,1,NF-retrain,0.8657718120805369
173,1,NF-ours,0.825503355704698
174,2,RI-original,0.8489932885906041
175,2,RI-retrain,0.8590604026845637
176,2,RI-ours,0.8456375838926175
177,2,NF-original,0.8422818791946308
