,# edges,setting,privacy leakage
0,100,random-O,0.78
1,100,random-R,0.27
2,100,random-U,0.29000000000000004
3,200,random-O,0.865
4,200,random-R,0.27
5,200,random-U,0.29000000000000004
6,300,random-O,0.9166666666666666
7,300,random-R,0.22666666666666668
8,300,random-U,0.19999999999999996
9,400,random-O,0.87
10,400,random-R,0.19999999999999996
11,400,random-U,0.15500000000000003
12,500,random-O,0.76
13,500,random-R,0.30000000000000004
14,500,random-U,0.366
15,100,max-degree-O,0.76
16,100,max-degree-R,0.21999999999999997
17,100,max-degree-U,0.18999999999999995
18,200,max-degree-O,0.885
19,200,max-degree-R,0.255
20,200,max-degree-U,0.22499999999999998
21,300,max-degree-O,0.8066666666666666
22,300,max-degree-R,0.43999999999999995
23,300,max-degree-U,0.31666666666666665
24,400,max-degree-O,0.8225
25,400,max-degree-R,0.25749999999999995
26,400,max-degree-U,0.25
27,500,max-degree-O,0.802
28,500,max-degree-R,0.19599999999999995
29,500,max-degree-U,0.16400000000000003
30,100,min-degree-O,0.87
31,100,min-degree-R,0.010000000000000009
32,100,min-degree-U,0.020000000000000018
33,200,min-degree-O,0.88
34,200,min-degree-R,0.010000000000000009
35,200,min-degree-U,0.010000000000000009
36,300,min-degree-O,0.8466666666666667
37,300,min-degree-R,0.0033333333333332993
38,300,min-degree-U,0.00666666666666671
39,400,min-degree-O,0.885
40,400,min-degree-R,0.0024999999999999467
41,400,min-degree-U,0.0050000000000000044
42,500,min-degree-O,0.844
43,500,min-degree-R,0.0020000000000000018
44,500,min-degree-U,0.0020000000000000018
45,100,saliency-O,0.9
46,100,saliency-R,0.020000000000000018
47,100,saliency-U,0.020000000000000018
48,200,saliency-O,0.815
49,200,saliency-R,0.0050000000000000044
50,200,saliency-U,0.0050000000000000044
51,300,saliency-O,0.8666666666666667
52,300,saliency-R,0.00666666666666671
53,300,saliency-U,0.00666666666666671
54,400,saliency-O,0.9
55,400,saliency-R,0.0024999999999999467
56,400,saliency-U,0.0050000000000000044
57,500,saliency-O,0.858
58,500,saliency-R,0.0040000000000000036
59,500,saliency-U,0.0040000000000000036
60,100,random-O,0.91
61,100,random-R,0.24
62,100,random-U,0.24
63,200,random-O,0.87
64,200,random-R,0.255
65,200,random-U,0.26
66,300,random-O,0.9233333333333333
67,300,random-R,0.2866666666666666
68,300,random-U,0.2366666666666667
69,400,random-O,0.885
70,400,random-R,0.18000000000000005
71,400,random-U,0.1925
72,500,random-O,0.812
73,500,random-R,0.238
74,500,random-U,0.20199999999999996
75,100,max-degree-O,0.76
76,100,max-degree-R,0.27
77,100,max-degree-U,0.20999999999999996
78,200,max-degree-O,0.795
79,200,max-degree-R,0.27
80,200,max-degree-U,0.265
81,300,max-degree-O,0.7866666666666666
82,300,max-degree-R,0.32666666666666666
83,300,max-degree-U,0.21666666666666667
84,400,max-degree-O,0.79
85,400,max-degree-R,0.16500000000000004
86,400,max-degree-U,0.16000000000000003
87,500,max-degree-O,0.788
88,500,max-degree-R,0.18600000000000005
89,500,max-degree-U,0.18200000000000005
90,100,min-degree-O,0.88
91,100,min-degree-R,0.010000000000000009
92,100,min-degree-U,0.020000000000000018
93,200,min-degree-O,0.915
94,200,min-degree-R,0.010000000000000009
95,200,min-degree-U,0.010000000000000009
96,300,min-degree-O,0.8933333333333333
97,300,min-degree-R,0.00666666666666671
98,300,min-degree-U,0.0033333333333332993
99,400,min-degree-O,0.8825
100,400,min-degree-R,0.0050000000000000044
101,400,min-degree-U,0.0024999999999999467
102,500,min-degree-O,0.852
103,500,min-degree-R,0.0040000000000000036
104,500,min-degree-U,0.0040000000000000036
105,100,saliency-O,0.84
106,100,saliency-R,0.010000000000000009
107,100,saliency-U,0.010000000000000009
108,200,saliency-O,0.825
109,200,saliency-R,0.010000000000000009
110,200,saliency-U,0.010000000000000009
111,300,saliency-O,0.8466666666666667
112,300,saliency-R,0.0033333333333332993
113,300,saliency-U,0.0033333333333332993
114,400,saliency-O,0.8625
115,400,saliency-R,0.0050000000000000044
116,400,saliency-U,0.0050000000000000044
117,500,saliency-O,0.876
118,500,saliency-R,0.0040000000000000036
119,500,saliency-U,0.0020000000000000018
120,100,random-O,0.86
121,100,random-R,0.31999999999999995
122,100,random-U,0.29000000000000004
123,200,random-O,0.915
124,200,random-R,0.33499999999999996
125,200,random-U,0.365
126,300,random-O,0.8566666666666667
127,300,random-R,0.25
128,300,random-U,0.21999999999999997
129,400,random-O,0.695
130,400,random-R,0.23750000000000004
131,400,random-U,0.21999999999999997
