,# edges,setting,privacy leakage
0,100,random-O,0.88
1,100,random-R,0.30000000000000004
2,100,random-U,0.18999999999999995
3,200,random-O,0.9
4,200,random-R,0.27
5,200,random-U,0.20499999999999996
6,300,random-O,0.9166666666666666
7,300,random-R,0.26
8,300,random-U,0.22666666666666668
9,400,random-O,0.8425
10,400,random-R,0.22499999999999998
11,400,random-U,0.1975
12,500,random-O,0.87
13,500,random-R,0.254
14,500,random-U,0.21599999999999997
15,100,max-degree-O,0.78
16,100,max-degree-R,0.19999999999999996
17,100,max-degree-U,0.18000000000000005
18,200,max-degree-O,0.81
19,200,max-degree-R,0.20499999999999996
20,200,max-degree-U,0.21999999999999997
21,300,max-degree-O,0.7733333333333333
22,300,max-degree-R,0.28
23,300,max-degree-U,0.2766666666666666
24,400,max-degree-O,0.8175
25,400,max-degree-R,0.22250000000000003
26,400,max-degree-U,0.15749999999999997
27,500,max-degree-O,0.802
28,500,max-degree-R,0.16800000000000004
29,500,max-degree-U,0.15800000000000003
30,100,min-degree-O,0.88
31,100,min-degree-R,0.020000000000000018
32,100,min-degree-U,0.020000000000000018
33,200,min-degree-O,0.87
34,200,min-degree-R,0.0050000000000000044
35,200,min-degree-U,0.0050000000000000044
36,300,min-degree-O,0.9
37,300,min-degree-R,0.0033333333333332993
38,300,min-degree-U,0.0033333333333332993
39,400,min-degree-O,0.8775
40,400,min-degree-R,0.0024999999999999467
41,400,min-degree-U,0.0050000000000000044
42,500,min-degree-O,0.878
43,500,min-degree-R,0.0020000000000000018
44,500,min-degree-U,0.0020000000000000018
45,100,saliency-O,0.75
46,100,saliency-R,0.020000000000000018
47,100,saliency-U,0.21999999999999997
48,200,saliency-O,0.845
49,200,saliency-R,0.03500000000000003
50,200,saliency-U,0.025000000000000022
51,300,saliency-O,0.8966666666666666
52,300,saliency-R,0.010000000000000009
53,300,saliency-U,0.010000000000000009
54,400,saliency-O,0.8975
55,400,saliency-R,0.020000000000000018
56,400,saliency-U,0.02749999999999997
57,500,saliency-O,0.894
58,500,saliency-R,0.014000000000000012
59,500,saliency-U,0.010000000000000009
60,100,random-O,0.88
61,100,random-R,0.26
