,# edges,setting,privacy leakage
0,100,random-O,0.68
1,100,random-R,0.45999999999999996
2,100,random-U,0.48
3,200,random-O,0.78
4,200,random-R,0.43999999999999995
5,200,random-U,0.45999999999999996
6,300,random-O,0.6566666666666666
7,300,random-R,0.4666666666666667
8,300,random-U,0.44666666666666666
9,400,random-O,0.7425
10,400,random-R,0.42000000000000004
11,400,random-U,0.47250000000000003
12,500,random-O,0.778
13,500,random-R,0.364
14,500,random-U,0.396
15,100,max-degree-O,0.93
16,100,max-degree-R,0.79
17,100,max-degree-U,0.73
18,200,max-degree-O,0.855
19,200,max-degree-R,0.17000000000000004
20,200,max-degree-U,0.16000000000000003
21,300,max-degree-O,0.8966666666666666
22,300,max-degree-R,0.29333333333333333
23,300,max-degree-U,0.31666666666666665
24,400,max-degree-O,0.885
25,400,max-degree-R,0.04749999999999999
26,400,max-degree-U,0.03749999999999998
27,500,max-degree-O,0.854
28,500,max-degree-R,0.16400000000000003
29,500,max-degree-U,0.14200000000000002
30,100,min-degree-O,0.74
31,100,min-degree-R,0.020000000000000018
32,100,min-degree-U,0.16000000000000003
33,200,min-degree-O,0.805
34,200,min-degree-R,0.010000000000000009
35,200,min-degree-U,0.015000000000000013
36,300,min-degree-O,0.8233333333333334
37,300,min-degree-R,0.00666666666666671
38,300,min-degree-U,0.01666666666666672
39,400,min-degree-O,0.79
40,400,min-degree-R,0.135
41,400,min-degree-U,0.025000000000000022
42,500,min-degree-O,0.772
43,500,min-degree-R,0.020000000000000018
44,500,min-degree-U,0.01200000000000001
45,100,saliency-O,0.86
46,100,saliency-R,0.69
47,100,saliency-U,0.65
48,200,saliency-O,0.8
49,200,saliency-R,0.16000000000000003
50,200,saliency-U,0.745
51,300,saliency-O,0.8033333333333333
52,300,saliency-R,0.00666666666666671
53,300,saliency-U,0.6266666666666667
54,400,saliency-O,0.75
55,400,saliency-R,0.47750000000000004
56,400,saliency-U,0.785
57,500,saliency-O,0.91
58,500,saliency-R,0.6819999999999999
59,500,saliency-U,0.714
60,100,random-O,0.72
61,100,random-R,0.5
62,100,random-U,0.38
63,200,random-O,0.715
64,200,random-R,0.49
65,200,random-U,0.44999999999999996
66,300,random-O,0.6566666666666666
67,300,random-R,0.38
68,300,random-U,0.43000000000000005
69,400,random-O,0.8025
70,400,random-R,0.515
71,400,random-U,0.44499999999999995
72,500,random-O,0.668
73,500,random-R,0.384
74,500,random-U,0.382
75,100,max-degree-O,0.95
76,100,max-degree-R,0.94
77,100,max-degree-U,0.87
78,200,max-degree-O,0.935
79,200,max-degree-R,0.31499999999999995
80,200,max-degree-U,0.32999999999999996
81,300,max-degree-O,0.9166666666666666
82,300,max-degree-R,0.18000000000000005
83,300,max-degree-U,0.17000000000000004
84,400,max-degree-O,0.91
85,400,max-degree-R,0.040000000000000036
86,400,max-degree-U,0.04500000000000004
87,500,max-degree-O,0.864
88,500,max-degree-R,0.06399999999999995
89,500,max-degree-U,0.06399999999999995
90,100,min-degree-O,0.77
91,100,min-degree-R,0.010000000000000009
92,100,min-degree-U,0.010000000000000009
93,200,min-degree-O,0.83
94,200,min-degree-R,0.255
95,200,min-degree-U,0.030000000000000027
96,300,min-degree-O,0.78
97,300,min-degree-R,0.0033333333333332993
98,300,min-degree-U,0.020000000000000018
99,400,min-degree-O,0.7525
100,400,min-degree-R,0.012499999999999956
101,400,min-degree-U,0.01749999999999996
102,500,min-degree-O,0.79
103,500,min-degree-R,0.026000000000000023
104,500,min-degree-U,0.02200000000000002
105,100,saliency-O,0.74
106,100,saliency-R,0.72
107,100,saliency-U,0.63
108,200,saliency-O,0.715
109,200,saliency-R,0.0050000000000000044
110,200,saliency-U,0.010000000000000009
111,300,saliency-O,0.76
112,300,saliency-R,0.6266666666666667
113,300,saliency-U,0.6066666666666667
114,400,saliency-O,0.835
115,400,saliency-R,0.6125
116,400,saliency-U,0.3275
117,500,saliency-O,0.818
118,500,saliency-R,0.742
119,500,saliency-U,0.756
120,100,random-O,0.87
121,100,random-R,0.52
122,100,random-U,0.44999999999999996
123,200,random-O,0.72
124,200,random-R,0.44499999999999995
125,200,random-U,0.45999999999999996
126,300,random-O,0.7533333333333333
