,# edges,setting,privacy leakage
0,100,random-O,0.86
1,100,random-R,0.5900000000000001
2,100,random-U,0.5
3,200,random-O,0.735
4,200,random-R,0.495
5,200,random-U,0.5349999999999999
6,300,random-O,0.8033333333333333
7,300,random-R,0.42000000000000004
8,300,random-U,0.3666666666666667
9,400,random-O,0.76
10,400,random-R,0.47
11,400,random-U,0.45499999999999996
12,500,random-O,0.786
13,500,random-R,0.43999999999999995
14,500,random-U,0.43200000000000005
15,100,max-degree-O,0.98
16,100,max-degree-R,0.97
17,100,max-degree-U,0.94
18,200,max-degree-O,0.975
19,200,max-degree-R,0.33499999999999996
20,200,max-degree-U,0.17500000000000004
21,300,max-degree-O,0.98
22,300,max-degree-R,0.18666666666666665
23,300,max-degree-U,0.16333333333333333
24,400,max-degree-O,0.955
25,400,max-degree-R,0.20999999999999996
26,400,max-degree-U,0.21750000000000003
27,500,max-degree-O,0.932
28,500,max-degree-R,0.062000000000000055
29,500,max-degree-U,0.242
30,100,min-degree-O,0.77
31,100,min-degree-R,0.14
32,100,min-degree-U,0.010000000000000009
33,200,min-degree-O,0.84
34,200,min-degree-R,0.015000000000000013
35,200,min-degree-U,0.010000000000000009
36,300,min-degree-O,0.7833333333333333
37,300,min-degree-R,0.010000000000000009
38,300,min-degree-U,0.01666666666666672
39,400,min-degree-O,0.77
40,400,min-degree-R,0.022499999999999964
41,400,min-degree-U,0.020000000000000018
42,500,min-degree-O,0.812
43,500,min-degree-R,0.18000000000000005
44,500,min-degree-U,0.030000000000000027
45,100,saliency-O,0.81
46,100,saliency-R,0.06000000000000005
47,100,saliency-U,0.07999999999999996
48,200,saliency-O,0.805
49,200,saliency-R,0.14
50,200,saliency-U,0.15500000000000003
51,300,saliency-O,0.7933333333333333
52,300,saliency-R,0.16000000000000003
53,300,saliency-U,0.16000000000000003
54,400,saliency-O,0.725
55,400,saliency-R,0.14
56,400,saliency-U,0.13749999999999996
57,500,saliency-O,0.744
58,500,saliency-R,0.16200000000000003
59,500,saliency-U,0.15400000000000003
60,100,random-O,0.8
61,100,random-R,0.42000000000000004
62,100,random-U,0.39
63,200,random-O,0.82
64,200,random-R,0.495
65,200,random-U,0.505
66,300,random-O,0.64
67,300,random-R,0.42333333333333334
68,300,random-U,0.3933333333333333
69,400,random-O,0.7925
70,400,random-R,0.41500000000000004
71,400,random-U,0.39749999999999996
72,500,random-O,0.654
73,500,random-R,0.476
74,500,random-U,0.354
75,100,max-degree-O,0.99
76,100,max-degree-R,0.94
77,100,max-degree-U,0.98
78,200,max-degree-O,0.975
79,200,max-degree-R,0.24
80,200,max-degree-U,0.19499999999999995
81,300,max-degree-O,0.9666666666666667
82,300,max-degree-R,0.2866666666666666
83,300,max-degree-U,0.25
84,400,max-degree-O,0.935
85,400,max-degree-R,0.040000000000000036
86,400,max-degree-U,0.21750000000000003
87,500,max-degree-O,0.958
88,500,max-degree-R,0.20999999999999996
89,500,max-degree-U,0.15600000000000003
90,100,min-degree-O,0.75
91,100,min-degree-R,0.010000000000000009
92,100,min-degree-U,0.10999999999999999
93,200,min-degree-O,0.76
94,200,min-degree-R,0.010000000000000009
95,200,min-degree-U,0.0050000000000000044
96,300,min-degree-O,0.82
97,300,min-degree-R,0.22333333333333338
98,300,min-degree-U,0.00666666666666671
99,400,min-degree-O,0.7475
100,400,min-degree-R,0.015000000000000013
101,400,min-degree-U,0.012499999999999956
102,500,min-degree-O,0.786
103,500,min-degree-R,0.236
104,500,min-degree-U,0.22399999999999998
105,100,saliency-O,0.82
106,100,saliency-R,0.07999999999999996
107,100,saliency-U,0.06999999999999995
108,200,saliency-O,0.815
109,200,saliency-R,0.12
110,200,saliency-U,0.10999999999999999
111,300,saliency-O,0.8
112,300,saliency-R,0.11333333333333329
113,300,saliency-U,0.11333333333333329
114,400,saliency-O,0.7975
115,400,saliency-R,0.11499999999999999
116,400,saliency-U,0.11499999999999999
117,500,saliency-O,0.788
118,500,saliency-R,0.242
119,500,saliency-U,0.15000000000000002
120,100,random-O,0.73
121,100,random-R,0.52
122,100,random-U,0.56
123,200,random-O,0.855
124,200,random-R,0.43999999999999995
125,200,random-U,0.505
126,300,random-O,0.6566666666666666
127,300,random-R,0.3766666666666667
128,300,random-U,0.37
129,400,random-O,0.7675
130,400,random-R,0.5275000000000001
131,400,random-U,0.5225
132,500,random-O,0.668
133,500,random-R,0.40800000000000003
134,500,random-U,0.42800000000000005
135,100,max-degree-O,0.98
136,100,max-degree-R,0.9299999999999999
137,100,max-degree-U,0.92
138,200,max-degree-O,0.96
139,200,max-degree-R,0.30500000000000005
140,200,max-degree-U,0.16500000000000004
141,300,max-degree-O,0.9533333333333334
142,300,max-degree-R,0.17000000000000004
143,300,max-degree-U,0.2466666666666667
144,400,max-degree-O,0.95
145,400,max-degree-R,0.18000000000000005
146,400,max-degree-U,0.0675
147,500,max-degree-O,0.964
148,500,max-degree-R,0.06599999999999995
149,500,max-degree-U,0.24
150,100,min-degree-O,0.79
151,100,min-degree-R,0.010000000000000009
152,100,min-degree-U,0.010000000000000009
153,200,min-degree-O,0.855
154,200,min-degree-R,0.010000000000000009
155,200,min-degree-U,0.010000000000000009
156,300,min-degree-O,0.83
157,300,min-degree-R,0.010000000000000009
158,300,min-degree-U,0.010000000000000009
159,400,min-degree-O,0.775
160,400,min-degree-R,0.25
161,400,min-degree-U,0.23750000000000004
162,500,min-degree-O,0.808
163,500,min-degree-R,0.03400000000000003
164,500,min-degree-U,0.02400000000000002
165,100,saliency-O,0.79
166,100,saliency-R,0.06000000000000005
167,100,saliency-U,0.08999999999999997
168,200,saliency-O,0.75
169,200,saliency-R,0.32999999999999996
170,200,saliency-U,0.245
171,300,saliency-O,0.78
172,300,saliency-R,0.1166666666666667
173,300,saliency-U,0.1433333333333333
174,400,saliency-O,0.8225
175,400,saliency-R,0.14249999999999996
176,400,saliency-U,0.11750000000000005
177,500,saliency-O,0.802
178,500,saliency-R,0.14800000000000002
179,500,saliency-U,0.14200000000000002
180,100,random-O,0.86
181,100,random-R,0.49
182,100,random-U,0.45999999999999996
183,200,random-O,0.79
184,200,random-R,0.43999999999999995
185,200,random-U,0.46499999999999997
186,300,random-O,0.65
187,300,random-R,0.37
188,300,random-U,0.35
189,400,random-O,0.82
190,400,random-R,0.4625
191,400,random-U,0.47250000000000003
192,500,random-O,0.768
193,500,random-R,0.474
194,500,random-U,0.45799999999999996
195,100,max-degree-O,0.99
196,100,max-degree-R,0.9
197,100,max-degree-U,0.92
198,200,max-degree-O,0.98
199,200,max-degree-R,0.21499999999999997
200,200,max-degree-U,0.16500000000000004
201,300,max-degree-O,0.9633333333333334
202,300,max-degree-R,0.2733333333333333
203,300,max-degree-U,0.30333333333333334
204,400,max-degree-O,0.9425
205,400,max-degree-R,0.04500000000000004
206,400,max-degree-U,0.04249999999999998
207,500,max-degree-O,0.936
208,500,max-degree-R,0.062000000000000055
209,500,max-degree-U,0.06799999999999995
210,100,min-degree-O,0.75
211,100,min-degree-R,0.010000000000000009
212,100,min-degree-U,0.020000000000000018
213,200,min-degree-O,0.815
214,200,min-degree-R,0.010000000000000009
215,200,min-degree-U,0.0050000000000000044
216,300,min-degree-O,0.7533333333333333
217,300,min-degree-R,0.01666666666666672
218,300,min-degree-U,0.010000000000000009
219,400,min-degree-O,0.7925
220,400,min-degree-R,0.01749999999999996
221,400,min-degree-U,0.01749999999999996
222,500,min-degree-O,0.774
223,500,min-degree-R,0.02400000000000002
224,500,min-degree-U,0.018000000000000016
225,100,saliency-O,0.7
226,100,saliency-R,0.06999999999999995
227,100,saliency-U,0.06999999999999995
228,200,saliency-O,0.8
229,200,saliency-R,0.13
230,200,saliency-U,0.10499999999999998
231,300,saliency-O,0.8
232,300,saliency-R,0.12
233,300,saliency-U,0.1433333333333333
234,400,saliency-O,0.7525
235,400,saliency-R,0.255
236,400,saliency-U,0.14500000000000002
237,500,saliency-O,0.762
238,500,saliency-R,0.17600000000000005
239,500,saliency-U,0.19399999999999995
240,100,random-O,0.71
241,100,random-R,0.49
242,100,random-U,0.43999999999999995
243,200,random-O,0.8
244,200,random-R,0.45499999999999996
245,200,random-U,0.46499999999999997
246,300,random-O,0.8366666666666667
247,300,random-R,0.44333333333333336
248,300,random-U,0.4033333333333333
249,400,random-O,0.8175
250,400,random-R,0.48
251,400,random-U,0.37
252,500,random-O,0.774
253,500,random-R,0.44599999999999995
254,500,random-U,0.41400000000000003
255,100,max-degree-O,0.98
256,100,max-degree-R,0.88
257,100,max-degree-U,0.91
258,200,max-degree-O,0.965
259,200,max-degree-R,0.31499999999999995
260,200,max-degree-U,0.265
261,300,max-degree-O,0.9633333333333334
262,300,max-degree-R,0.3466666666666667
263,300,max-degree-U,0.25
264,400,max-degree-O,0.9475
265,400,max-degree-R,0.040000000000000036
266,400,max-degree-U,0.040000000000000036
267,500,max-degree-O,0.94
268,500,max-degree-R,0.06999999999999995
269,500,max-degree-U,0.06000000000000005
270,100,min-degree-O,0.77
271,100,min-degree-R,0.010000000000000009
272,100,min-degree-U,0.010000000000000009
273,200,min-degree-O,0.82
274,200,min-degree-R,0.010000000000000009
275,200,min-degree-U,0.010000000000000009
276,300,min-degree-O,0.7633333333333333
277,300,min-degree-R,0.01666666666666672
278,300,min-degree-U,0.00666666666666671
279,400,min-degree-O,0.8175
280,400,min-degree-R,0.012499999999999956
281,400,min-degree-U,0.012499999999999956
282,500,min-degree-O,0.77
283,500,min-degree-R,0.02400000000000002
284,500,min-degree-U,0.030000000000000027
285,100,saliency-O,0.71
286,100,saliency-R,0.10999999999999999
287,100,saliency-U,0.10999999999999999
288,200,saliency-O,0.775
289,200,saliency-R,0.10999999999999999
290,200,saliency-U,0.10499999999999998
291,300,saliency-O,0.7966666666666666
292,300,saliency-R,0.1333333333333333
293,300,saliency-U,0.13666666666666671
294,400,saliency-O,0.755
295,400,saliency-R,0.32999999999999996
296,400,saliency-U,0.35
297,500,saliency-O,0.736
298,500,saliency-R,0.18400000000000005
299,500,saliency-U,0.17000000000000004
300,100,random-O,0.71
301,100,random-R,0.43000000000000005
302,100,random-U,0.47
303,200,random-O,0.645
304,200,random-R,0.48
305,200,random-U,0.43999999999999995
306,300,random-O,0.6566666666666666
307,300,random-R,0.44666666666666666
308,300,random-U,0.41666666666666663
309,400,random-O,0.6475
310,400,random-R,0.41500000000000004
311,400,random-U,0.4425
312,500,random-O,0.784
313,500,random-R,0.42600000000000005
314,500,random-U,0.378
315,100,max-degree-O,0.99
316,100,max-degree-R,0.89
317,100,max-degree-U,0.9299999999999999
318,200,max-degree-O,0.96
319,200,max-degree-R,0.17000000000000004
320,200,max-degree-U,0.15500000000000003
321,300,max-degree-O,0.9633333333333334
322,300,max-degree-R,0.31999999999999995
323,300,max-degree-U,0.18000000000000005
324,400,max-degree-O,0.96
325,400,max-degree-R,0.04749999999999999
326,400,max-degree-U,0.04749999999999999
327,500,max-degree-O,0.946
328,500,max-degree-R,0.06999999999999995
329,500,max-degree-U,0.06799999999999995
330,100,min-degree-O,0.77
331,100,min-degree-R,0.020000000000000018
332,100,min-degree-U,0.020000000000000018
333,200,min-degree-O,0.765
334,200,min-degree-R,0.0050000000000000044
335,200,min-degree-U,0.0050000000000000044
336,300,min-degree-O,0.7933333333333333
337,300,min-degree-R,0.010000000000000009
338,300,min-degree-U,0.22999999999999998
339,400,min-degree-O,0.765
340,400,min-degree-R,0.020000000000000018
341,400,min-degree-U,0.23750000000000004
342,500,min-degree-O,0.726
343,500,min-degree-R,0.02400000000000002
344,500,min-degree-U,0.020000000000000018
345,100,saliency-O,0.78
346,100,saliency-R,0.07999999999999996
347,100,saliency-U,0.06000000000000005
348,200,saliency-O,0.79
349,200,saliency-R,0.25
350,200,saliency-U,0.15000000000000002
351,300,saliency-O,0.82
352,300,saliency-R,0.1333333333333333
353,300,saliency-U,0.23333333333333328
354,400,saliency-O,0.77
355,400,saliency-R,0.3175
356,400,saliency-U,0.32999999999999996
357,500,saliency-O,0.776
358,500,saliency-R,0.30800000000000005
359,500,saliency-U,0.132
360,100,random-O,0.74
361,100,random-R,0.42000000000000004
362,100,random-U,0.39
363,200,random-O,0.845
364,200,random-R,0.47
365,200,random-U,0.41000000000000003
366,300,random-O,0.71
367,300,random-R,0.43333333333333335
368,300,random-U,0.41000000000000003
369,400,random-O,0.77
370,400,random-R,0.395
371,400,random-U,0.405
372,500,random-O,0.664
373,500,random-R,0.506
374,500,random-U,0.42200000000000004
375,100,max-degree-O,0.97
376,100,max-degree-R,0.9299999999999999
377,100,max-degree-U,0.92
378,200,max-degree-O,0.97
379,200,max-degree-R,0.20499999999999996
380,200,max-degree-U,0.16500000000000004
381,300,max-degree-O,0.9533333333333334
382,300,max-degree-R,0.31333333333333335
383,300,max-degree-U,0.16333333333333333
384,400,max-degree-O,0.9575
385,400,max-degree-R,0.1925
386,400,max-degree-U,0.17000000000000004
387,500,max-degree-O,0.942
388,500,max-degree-R,0.09999999999999998
389,500,max-degree-U,0.15200000000000002
390,100,min-degree-O,0.72
391,100,min-degree-R,0.18999999999999995
392,100,min-degree-U,0.12
393,200,min-degree-O,0.815
394,200,min-degree-R,0.010000000000000009
395,200,min-degree-U,0.265
396,300,min-degree-O,0.7733333333333333
397,300,min-degree-R,0.17000000000000004
398,300,min-degree-U,0.19999999999999996
399,400,min-degree-O,0.7525
400,400,min-degree-R,0.022499999999999964
401,400,min-degree-U,0.010000000000000009
402,500,min-degree-O,0.764
403,500,min-degree-R,0.02200000000000002
404,500,min-degree-U,0.018000000000000016
405,100,saliency-O,0.74
406,100,saliency-R,0.14
407,100,saliency-U,0.06000000000000005
408,200,saliency-O,0.775
409,200,saliency-R,0.14500000000000002
410,200,saliency-U,0.14
411,300,saliency-O,0.7633333333333333
412,300,saliency-R,0.15000000000000002
413,300,saliency-U,0.1466666666666666
414,400,saliency-O,0.7975
415,400,saliency-R,0.14249999999999996
416,400,saliency-U,0.15500000000000003
417,500,saliency-O,0.812
418,500,saliency-R,0.14400000000000002
419,500,saliency-U,0.14200000000000002
420,100,random-O,0.66
421,100,random-R,0.41000000000000003
422,100,random-U,0.47
423,200,random-O,0.755
424,200,random-R,0.44999999999999996
425,200,random-U,0.47
426,300,random-O,0.7866666666666666
427,300,random-R,0.44999999999999996
428,300,random-U,0.4733333333333334
429,400,random-O,0.8125
430,400,random-R,0.42000000000000004
431,400,random-U,0.42000000000000004
432,500,random-O,0.636
433,500,random-R,0.42800000000000005
434,500,random-U,0.45999999999999996
435,100,max-degree-O,0.97
436,100,max-degree-R,0.97
437,100,max-degree-U,0.95
438,200,max-degree-O,0.975
439,200,max-degree-R,0.25
440,200,max-degree-U,0.245
441,300,max-degree-O,0.9666666666666667
442,300,max-degree-R,0.25
443,300,max-degree-U,0.3533333333333334
444,400,max-degree-O,0.95
445,400,max-degree-R,0.04249999999999998
446,400,max-degree-U,0.03249999999999997
447,500,max-degree-O,0.946
448,500,max-degree-R,0.18999999999999995
449,500,max-degree-U,0.14400000000000002
450,100,min-degree-O,0.77
451,100,min-degree-R,0.010000000000000009
452,100,min-degree-U,0.010000000000000009
453,200,min-degree-O,0.82
454,200,min-degree-R,0.25
455,200,min-degree-U,0.20499999999999996
456,300,min-degree-O,0.8166666666666667
457,300,min-degree-R,0.01666666666666672
458,300,min-degree-U,0.00666666666666671
459,400,min-degree-O,0.7675
460,400,min-degree-R,0.03749999999999998
461,400,min-degree-U,0.01749999999999996
462,500,min-degree-O,0.812
463,500,min-degree-R,0.15200000000000002
464,500,min-degree-U,0.016000000000000014
465,100,saliency-O,0.8
466,100,saliency-R,0.12
467,100,saliency-U,0.030000000000000027
468,200,saliency-O,0.69
469,200,saliency-R,0.15000000000000002
470,200,saliency-U,0.11499999999999999
