,# edges,setting,privacy leakage
0,100,random-O,0.61
1,100,random-R,0.48
2,100,random-U,0.44999999999999996
3,200,random-O,0.625
4,200,random-R,0.42500000000000004
5,200,random-U,0.495
6,300,random-O,0.6766666666666666
7,300,random-R,0.47
8,300,random-U,0.5
9,400,random-O,0.6575
10,400,random-R,0.4575
11,400,random-U,0.47
12,500,random-O,0.676
13,500,random-R,0.44199999999999995
14,500,random-U,0.494
15,100,max-degree-O,0.83
16,100,max-degree-R,0.7
17,100,max-degree-U,0.6
18,200,max-degree-O,0.72
19,200,max-degree-R,0.6799999999999999
20,200,max-degree-U,0.685
21,300,max-degree-O,0.8033333333333333
22,300,max-degree-R,0.74
23,300,max-degree-U,0.7066666666666667
24,400,max-degree-O,0.81
25,400,max-degree-R,0.6950000000000001
26,400,max-degree-U,0.6425000000000001
27,500,max-degree-O,0.77
28,500,max-degree-R,0.6759999999999999
29,500,max-degree-U,0.6
30,100,min-degree-O,0.68
31,100,min-degree-R,0.18000000000000005
32,100,min-degree-U,0.19999999999999996
33,200,min-degree-O,0.47
34,200,min-degree-R,0.275
35,200,min-degree-U,0.27
36,300,min-degree-O,0.5033333333333333
37,300,min-degree-R,0.21333333333333337
38,300,min-degree-U,0.29333333333333333
39,400,min-degree-O,0.6525
40,400,min-degree-R,0.22250000000000003
41,400,min-degree-U,0.2975
42,500,min-degree-O,0.54
43,500,min-degree-R,0.276
44,500,min-degree-U,0.268
45,100,saliency-O,0.49
46,100,saliency-R,0.17000000000000004
47,100,saliency-U,0.41000000000000003
48,200,saliency-O,0.625
49,200,saliency-R,0.0050000000000000044
50,200,saliency-U,0.15500000000000003
51,300,saliency-O,0.5533333333333333
52,300,saliency-R,0.13
53,300,saliency-U,0.13
54,400,saliency-O,0.62
55,400,saliency-R,0.12250000000000005
56,400,saliency-U,0.13249999999999995
57,500,saliency-O,0.658
58,500,saliency-R,0.14800000000000002
59,500,saliency-U,0.45799999999999996
60,100,random-O,0.72
61,100,random-R,0.35
62,100,random-U,0.41000000000000003
63,200,random-O,0.705
64,200,random-R,0.46499999999999997
65,200,random-U,0.5
66,300,random-O,0.6733333333333333
67,300,random-R,0.43999999999999995
68,300,random-U,0.47
69,400,random-O,0.7375
70,400,random-R,0.49250000000000005
71,400,random-U,0.4475
72,500,random-O,0.666
73,500,random-R,0.46599999999999997
74,500,random-U,0.42600000000000005
75,100,max-degree-O,0.85
76,100,max-degree-R,0.78
77,100,max-degree-U,0.5900000000000001
78,200,max-degree-O,0.785
79,200,max-degree-R,0.72
80,200,max-degree-U,0.64
81,300,max-degree-O,0.82
82,300,max-degree-R,0.6666666666666667
83,300,max-degree-U,0.5900000000000001
84,400,max-degree-O,0.8075
85,400,max-degree-R,0.6699999999999999
86,400,max-degree-U,0.575
87,500,max-degree-O,0.78
88,500,max-degree-R,0.6699999999999999
89,500,max-degree-U,0.5920000000000001
90,100,min-degree-O,0.49
91,100,min-degree-R,0.18999999999999995
92,100,min-degree-U,0.22999999999999998
93,200,min-degree-O,0.635
94,200,min-degree-R,0.19499999999999995
95,200,min-degree-U,0.255
96,300,min-degree-O,0.5233333333333333
97,300,min-degree-R,0.2366666666666667
98,300,min-degree-U,0.27
99,400,min-degree-O,0.5275
100,400,min-degree-R,0.275
101,400,min-degree-U,0.2925
102,500,min-degree-O,0.532
103,500,min-degree-R,0.26
104,500,min-degree-U,0.28600000000000003
105,100,saliency-O,0.58
106,100,saliency-R,0.010000000000000009
107,100,saliency-U,0.27
108,200,saliency-O,0.555
109,200,saliency-R,0.125
110,200,saliency-U,0.10999999999999999
111,300,saliency-O,0.5066666666666667
112,300,saliency-R,0.22999999999999998
113,300,saliency-U,0.31333333333333335
114,400,saliency-O,0.6625
115,400,saliency-R,0.15500000000000003
116,400,saliency-U,0.0024999999999999467
117,500,saliency-O,0.626
118,500,saliency-R,0.0020000000000000018
119,500,saliency-U,0.0020000000000000018
120,100,random-O,0.62
121,100,random-R,0.42000000000000004
122,100,random-U,0.43000000000000005
123,200,random-O,0.655
124,200,random-R,0.46499999999999997
125,200,random-U,0.47
126,300,random-O,0.6633333333333333
