,# edges,setting,privacy leakage
0,100,random-O,0.68
1,100,random-R,0.48
2,100,random-U,0.42000000000000004
3,200,random-O,0.665
4,200,random-R,0.35
5,200,random-U,0.39
6,300,random-O,0.69
7,300,random-R,0.43999999999999995
8,300,random-U,0.41666666666666663
9,400,random-O,0.6775
10,400,random-R,0.41000000000000003
11,400,random-U,0.44499999999999995
12,500,random-O,0.662
13,500,random-R,0.44599999999999995
14,500,random-U,0.41000000000000003
15,100,max-degree-O,0.87
16,100,max-degree-R,0.76
17,100,max-degree-U,0.77
18,200,max-degree-O,0.88
19,200,max-degree-R,0.685
20,200,max-degree-U,0.765
21,300,max-degree-O,0.8566666666666667
22,300,max-degree-R,0.7633333333333333
23,300,max-degree-U,0.7366666666666667
24,400,max-degree-O,0.84
25,400,max-degree-R,0.7075
26,400,max-degree-U,0.7324999999999999
27,500,max-degree-O,0.844
28,500,max-degree-R,0.69
29,500,max-degree-U,0.712
30,100,min-degree-O,0.46
31,100,min-degree-R,0.19999999999999996
32,100,min-degree-U,0.17000000000000004
33,200,min-degree-O,0.525
34,200,min-degree-R,0.20999999999999996
35,200,min-degree-U,0.245
36,300,min-degree-O,0.5466666666666666
37,300,min-degree-R,0.22333333333333338
38,300,min-degree-U,0.24
39,400,min-degree-O,0.5725
40,400,min-degree-R,0.18500000000000005
41,400,min-degree-U,0.24
42,500,min-degree-O,0.598
43,500,min-degree-R,0.274
44,500,min-degree-U,0.264
45,100,saliency-O,0.58
46,100,saliency-R,0.16000000000000003
47,100,saliency-U,0.15000000000000002
48,200,saliency-O,0.525
49,200,saliency-R,0.245
50,200,saliency-U,0.22499999999999998
51,300,saliency-O,0.5633333333333334
52,300,saliency-R,0.2733333333333333
53,300,saliency-U,0.29666666666666663
54,400,saliency-O,0.5125
55,400,saliency-R,0.30000000000000004
56,400,saliency-U,0.3075
57,500,saliency-O,0.572
58,500,saliency-R,0.31599999999999995
59,500,saliency-U,0.31399999999999995
60,100,random-O,0.69
61,100,random-R,0.44999999999999996
62,100,random-U,0.39
63,200,random-O,0.66
64,200,random-R,0.48
65,200,random-U,0.385
66,300,random-O,0.6733333333333333
67,300,random-R,0.43999999999999995
68,300,random-U,0.48
69,400,random-O,0.6725
70,400,random-R,0.41500000000000004
71,400,random-U,0.4475
72,500,random-O,0.68
73,500,random-R,0.44799999999999995
74,500,random-U,0.484
75,100,max-degree-O,0.9
76,100,max-degree-R,0.76
77,100,max-degree-U,0.76
78,200,max-degree-O,0.865
79,200,max-degree-R,0.73
80,200,max-degree-U,0.7
81,300,max-degree-O,0.88
82,300,max-degree-R,0.7433333333333334
83,300,max-degree-U,0.6766666666666667
84,400,max-degree-O,0.8625
85,400,max-degree-R,0.75
86,400,max-degree-U,0.6975
