,# edges,setting,accuracy,privacy leakage,running time
0,100,random-O,0.0,0.66,0.0
1,100,random-R,0.8624161073825504,0.53,3.197563648223877
2,100,random-U,0.8691275167785235,0.43999999999999995,5.117569923400879
3,200,random-O,0.0,0.625,0.0
4,200,random-R,0.8624161073825504,0.44499999999999995,2.862448215484619
5,200,random-U,0.8691275167785235,0.44999999999999996,3.815892219543457
6,400,random-O,0.0,0.655,0.0
7,400,random-R,0.8657718120805369,0.4525,2.78829288482666
8,400,random-U,0.8691275167785235,0.45999999999999996,4.504014015197754
9,800,random-O,0.0,0.67,0.0
10,800,random-R,0.8624161073825504,0.475,3.679865837097168
11,800,random-U,0.87248322147651,0.47124999999999995,5.1099042892456055
12,1000,random-O,0.0,0.647,0.0
13,1000,random-R,0.8557046979865772,0.482,3.8097753524780273
14,1000,random-U,0.87248322147651,0.477,4.560194969177246
15,100,max-degree-O,0.0,0.85,0.0
16,100,max-degree-R,0.8590604026845637,0.71,2.5408999919891357
17,100,max-degree-U,0.8691275167785235,0.69,3.1381475925445557
18,200,max-degree-O,0.0,0.795,0.0
19,200,max-degree-R,0.8624161073825504,0.6799999999999999,2.5759811401367188
20,200,max-degree-U,0.8691275167785235,0.6,2.1591975688934326
21,400,max-degree-O,0.0,0.7425,0.0
22,400,max-degree-R,0.8691275167785235,0.6475,2.715090036392212
23,400,max-degree-U,0.87248322147651,0.625,2.8103697299957275
24,800,max-degree-O,0.0,0.7725,0.0
25,800,max-degree-R,0.8557046979865772,0.59875,2.7157366275787354
26,800,max-degree-U,0.87248322147651,0.60625,2.9376795291900635
27,1000,max-degree-O,0.0,0.761,0.0
28,1000,max-degree-R,0.8657718120805369,0.5860000000000001,3.125575065612793
29,1000,max-degree-U,0.8691275167785235,0.56,4.1342198848724365
30,100,min-degree-O,0.0,0.59,0.0
31,100,min-degree-R,0.8758389261744967,0.16000000000000003,3.0307457447052
32,100,min-degree-U,0.87248322147651,0.21999999999999997,3.5695343017578125
33,200,min-degree-O,0.0,0.52,0.0
34,200,min-degree-R,0.8691275167785235,0.16500000000000004,4.059748411178589
35,200,min-degree-U,0.8691275167785235,0.25,3.9654295444488525
36,400,min-degree-O,0.0,0.52,0.0
37,400,min-degree-R,0.8657718120805369,0.28500000000000003,3.633268356323242
38,400,min-degree-U,0.8691275167785235,0.2875,4.572096824645996
39,800,min-degree-O,0.0,0.55125,0.0
40,800,min-degree-R,0.8657718120805369,0.26875000000000004,3.614901542663574
41,800,min-degree-U,0.8657718120805369,0.27,5.741363048553467
42,1000,min-degree-O,0.0,0.56,0.0
43,1000,min-degree-R,0.8657718120805369,0.28400000000000003,4.026638507843018
44,1000,min-degree-U,0.8657718120805369,0.30900000000000005,5.469177007675171
45,100,saliency-O,0.0,0.52,0.0
46,100,saliency-R,0.8557046979865772,0.14,2.0193898677825928
47,100,saliency-U,0.8691275167785235,0.31000000000000005,5.010574817657471
48,200,saliency-O,0.0,0.51,0.0
49,200,saliency-R,0.8590604026845637,0.09999999999999998,2.5596492290496826
50,200,saliency-U,0.8691275167785235,0.31999999999999995,2.7030599117279053
51,400,saliency-O,0.0,0.52,0.0
52,400,saliency-R,0.8691275167785235,0.11750000000000005,2.5355846881866455
53,400,saliency-U,0.8691275167785235,0.25249999999999995,2.8712785243988037
54,800,saliency-O,0.0,0.49625,0.0
55,800,saliency-R,0.8691275167785235,0.0625,3.105283737182617
56,800,saliency-U,0.8691275167785235,0.09499999999999997,5.319080114364624
57,1000,saliency-O,0.0,0.516,0.0
58,1000,saliency-R,0.8624161073825504,0.122,2.9206173419952393
59,1000,saliency-U,0.8691275167785235,0.0010000000000000009,3.656895160675049
60,100,random-O,0.0,0.71,0.0
61,100,random-R,0.8590604026845637,0.5,2.535539388656616
62,100,random-U,0.8691275167785235,0.51,2.362152099609375
63,200,random-O,0.0,0.625,0.0
64,200,random-R,0.8691275167785235,0.47,2.614013910293579
65,200,random-U,0.8691275167785235,0.44499999999999995,2.5528790950775146
66,400,random-O,0.0,0.665,0.0
67,400,random-R,0.8691275167785235,0.4675,2.628098964691162
68,400,random-U,0.8691275167785235,0.48750000000000004,3.1763596534729004
69,800,random-O,0.0,0.66,0.0
70,800,random-R,0.8557046979865772,0.43000000000000005,2.4175305366516113
71,800,random-U,0.8691275167785235,0.4675,4.352256536483765
72,1000,random-O,0.0,0.675,0.0
73,1000,random-R,0.8758389261744967,0.45999999999999996,2.7631356716156006
74,1000,random-U,0.8691275167785235,0.46599999999999997,4.642870187759399
75,100,max-degree-O,0.0,0.73,0.0
76,100,max-degree-R,0.8590604026845637,0.7,2.4746742248535156
77,100,max-degree-U,0.8691275167785235,0.7,1.551506519317627
78,200,max-degree-O,0.0,0.81,0.0
79,200,max-degree-R,0.8657718120805369,0.665,2.9298388957977295
