,# Layer,Setting,Accuracy
0,1,RI-original,0.8624161073825504
1,1,RI-retrain,0.8691275167785235
2,1,RI-ours,0.8590604026845637
3,1,NF-original,0.8691275167785235
4,1,NF-retrain,0.8523489932885906
5,1,NF-ours,0.8691275167785235
6,2,RI-original,0.8557046979865772
7,2,RI-retrain,0.8657718120805369
8,2,RI-ours,0.8557046979865772
9,2,NF-original,0.8489932885906041
10,2,NF-retrain,0.8657718120805369
11,2,NF-ours,0.8489932885906041
12,3,RI-original,0.8691275167785235
13,3,RI-retrain,0.87248322147651
14,3,RI-ours,0.8590604026845637
15,3,NF-original,0.8758389261744967
16,3,NF-retrain,0.8624161073825504
17,3,NF-ours,0.87248322147651
18,4,RI-original,0.8557046979865772
19,4,RI-retrain,0.8590604026845637
20,4,RI-ours,0.8590604026845637
21,4,NF-original,0.8691275167785235
22,4,NF-retrain,0.8691275167785235
23,4,NF-ours,0.8624161073825504
24,5,RI-original,0.8624161073825504
25,5,RI-retrain,0.8691275167785235
26,5,RI-ours,0.8590604026845637
27,5,NF-original,0.8691275167785235
28,5,NF-retrain,0.8624161073825504
29,5,NF-ours,0.8657718120805369
30,1,RI-original,0.8489932885906041
31,1,RI-retrain,0.87248322147651
32,1,RI-ours,0.8657718120805369
33,1,NF-original,0.8624161073825504
34,1,NF-retrain,0.8456375838926175
35,1,NF-ours,0.8657718120805369
36,2,RI-original,0.8523489932885906
37,2,RI-retrain,0.87248322147651
38,2,RI-ours,0.8523489932885906
39,2,NF-original,0.8523489932885906
40,2,NF-retrain,0.87248322147651
41,2,NF-ours,0.8557046979865772
42,3,RI-original,0.8691275167785235
43,3,RI-retrain,0.8691275167785235
44,3,RI-ours,0.8624161073825504
45,3,NF-original,0.8557046979865772
46,3,NF-retrain,0.8758389261744967
47,3,NF-ours,0.8624161073825504
48,4,RI-original,0.8590604026845637
49,4,RI-retrain,0.8758389261744967
50,4,RI-ours,0.785234899328859
51,4,NF-original,0.8657718120805369
52,4,NF-retrain,0.8691275167785235
53,4,NF-ours,0.8657718120805369
54,5,RI-original,0.8691275167785235
55,5,RI-retrain,0.8791946308724832
56,5,RI-ours,0.8691275167785235
57,5,NF-original,0.8691275167785235
58,5,NF-retrain,0.8758389261744967
59,5,NF-ours,0.8691275167785235
60,1,RI-original,0.8691275167785235
61,1,RI-retrain,0.8590604026845637
62,1,RI-ours,0.8557046979865772
63,1,NF-original,0.8590604026845637
64,1,NF-retrain,0.8691275167785235
65,1,NF-ours,0.8624161073825504
66,2,RI-original,0.8523489932885906
67,2,RI-retrain,0.8691275167785235
68,2,RI-ours,0.8557046979865772
69,2,NF-original,0.8590604026845637
70,2,NF-retrain,0.8590604026845637
71,2,NF-ours,0.8590604026845637
72,3,RI-original,0.8523489932885906
73,3,RI-retrain,0.87248322147651
74,3,RI-ours,0.8523489932885906
75,3,NF-original,0.8657718120805369
76,3,NF-retrain,0.8624161073825504
77,3,NF-ours,0.8758389261744967
78,4,RI-original,0.8624161073825504
79,4,RI-retrain,0.8691275167785235
80,4,RI-ours,0.8590604026845637
81,4,NF-original,0.8557046979865772
82,4,NF-retrain,0.87248322147651
83,4,NF-ours,0.8657718120805369
84,5,RI-original,0.8691275167785235
85,5,RI-retrain,0.87248322147651
86,5,RI-ours,0.8456375838926175
87,5,NF-original,0.8657718120805369
88,5,NF-retrain,0.8523489932885906
89,5,NF-ours,0.8624161073825504
90,1,RI-original,0.8557046979865772
91,1,RI-retrain,0.8691275167785235
92,1,RI-ours,0.8590604026845637
93,1,NF-original,0.8355704697986577
94,1,NF-retrain,0.8523489932885906
95,1,NF-ours,0.8422818791946308
96,2,RI-original,0.8489932885906041
97,2,RI-retrain,0.87248322147651
98,2,RI-ours,0.8523489932885906
99,2,NF-original,0.8523489932885906
100,2,NF-retrain,0.8691275167785235
101,2,NF-ours,0.8557046979865772
102,3,RI-original,0.8691275167785235
103,3,RI-retrain,0.87248322147651
104,3,RI-ours,0.8657718120805369
105,3,NF-original,0.87248322147651
106,3,NF-retrain,0.8557046979865772
107,3,NF-ours,0.8657718120805369
108,4,RI-original,0.87248322147651
109,4,RI-retrain,0.8657718120805369
110,4,RI-ours,0.8691275167785235
111,4,NF-original,0.8758389261744967
112,4,NF-retrain,0.8657718120805369
113,4,NF-ours,0.8758389261744967
114,5,RI-original,0.8657718120805369
115,5,RI-retrain,0.8624161073825504
116,5,RI-ours,0.8691275167785235
117,5,NF-original,0.87248322147651
118,5,NF-retrain,0.8691275167785235
119,5,NF-ours,0.8691275167785235
120,1,RI-original,0.8557046979865772
121,1,RI-retrain,0.8590604026845637
122,1,RI-ours,0.8523489932885906
123,1,NF-original,0.8691275167785235
124,1,NF-retrain,0.8657718120805369
125,1,NF-ours,0.8624161073825504
126,2,RI-original,0.8523489932885906
127,2,RI-retrain,0.8657718120805369
128,2,RI-ours,0.8523489932885906
129,2,NF-original,0.8758389261744967
130,2,NF-retrain,0.8657718120805369
131,2,NF-ours,0.8557046979865772
132,3,RI-original,0.8691275167785235
133,3,RI-retrain,0.8624161073825504
134,3,RI-ours,0.8657718120805369
135,3,NF-original,0.8657718120805369
136,3,NF-retrain,0.8657718120805369
137,3,NF-ours,0.8624161073825504
138,4,RI-original,0.8590604026845637
139,4,RI-retrain,0.8624161073825504
140,4,RI-ours,0.8624161073825504
141,4,NF-original,0.8657718120805369
142,4,NF-retrain,0.8557046979865772
143,4,NF-ours,0.8691275167785235
144,5,RI-original,0.87248322147651
145,5,RI-retrain,0.8624161073825504
146,5,RI-ours,0.8691275167785235
147,5,NF-original,0.87248322147651
148,5,NF-retrain,0.8557046979865772
149,5,NF-ours,0.8691275167785235
150,1,RI-original,0.87248322147651
151,1,RI-retrain,0.8557046979865772
152,1,RI-ours,0.87248322147651
153,1,NF-original,0.8657718120805369
154,1,NF-retrain,0.8557046979865772
155,1,NF-ours,0.8657718120805369
156,2,RI-original,0.8691275167785235
157,2,RI-retrain,0.8590604026845637
158,2,RI-ours,0.8624161073825504
159,2,NF-original,0.8691275167785235
160,2,NF-retrain,0.8557046979865772
161,2,NF-ours,0.8691275167785235
162,3,RI-original,0.87248322147651
163,3,RI-retrain,0.8624161073825504
164,3,RI-ours,0.8657718120805369
165,3,NF-original,0.8691275167785235
166,3,NF-retrain,0.8590604026845637
167,3,NF-ours,0.8691275167785235
168,4,RI-original,0.87248322147651
169,4,RI-retrain,0.8590604026845637
170,4,RI-ours,0.8691275167785235
171,4,NF-original,0.8557046979865772
172,4,NF-retrain,0.8624161073825504
173,4,NF-ours,0.8624161073825504
174,5,RI-original,0.87248322147651
175,5,RI-retrain,0.8657718120805369
176,5,RI-ours,0.8489932885906041
177,5,NF-original,0.8657718120805369
178,5,NF-retrain,0.8523489932885906
179,5,NF-ours,0.8523489932885906
180,1,RI-original,0.8657718120805369
181,1,RI-retrain,0.8657718120805369
182,1,RI-ours,0.87248322147651
183,1,NF-original,0.8557046979865772
184,1,NF-retrain,0.87248322147651
185,1,NF-ours,0.8624161073825504
186,2,RI-original,0.8489932885906041
187,2,RI-retrain,0.8657718120805369
188,2,RI-ours,0.8557046979865772
189,2,NF-original,0.8557046979865772
190,2,NF-retrain,0.8590604026845637
191,2,NF-ours,0.8557046979865772
192,3,RI-original,0.87248322147651
193,3,RI-retrain,0.8657718120805369
194,3,RI-ours,0.8758389261744967
195,3,NF-original,0.8691275167785235
196,3,NF-retrain,0.8624161073825504
197,3,NF-ours,0.8691275167785235
198,4,RI-original,0.8758389261744967
199,4,RI-retrain,0.8791946308724832
200,4,RI-ours,0.87248322147651
201,4,NF-original,0.8557046979865772
202,4,NF-retrain,0.8691275167785235
203,4,NF-ours,0.8590604026845637
204,5,RI-original,0.8691275167785235
205,5,RI-retrain,0.8691275167785235
206,5,RI-ours,0.8691275167785235
207,5,NF-original,0.8590604026845637
208,5,NF-retrain,0.87248322147651
209,5,NF-ours,0.8590604026845637
210,1,RI-original,0.8657718120805369
211,1,RI-retrain,0.8657718120805369
212,1,RI-ours,0.8624161073825504
213,1,NF-original,0.8590604026845637
214,1,NF-retrain,0.8657718120805369
215,1,NF-ours,0.8590604026845637
216,2,RI-original,0.8624161073825504
217,2,RI-retrain,0.8523489932885906
218,2,RI-ours,0.8691275167785235
219,2,NF-original,0.8557046979865772
220,2,NF-retrain,0.8590604026845637
221,2,NF-ours,0.8624161073825504
222,3,RI-original,0.8590604026845637
223,3,RI-retrain,0.8691275167785235
224,3,RI-ours,0.8523489932885906
225,3,NF-original,0.8691275167785235
226,3,NF-retrain,0.8557046979865772
227,3,NF-ours,0.8657718120805369
228,4,RI-original,0.8691275167785235
229,4,RI-retrain,0.8691275167785235
230,4,RI-ours,0.8657718120805369
231,4,NF-original,0.87248322147651
232,4,NF-retrain,0.8657718120805369
233,4,NF-ours,0.8624161073825504
234,5,RI-original,0.8657718120805369
235,5,RI-retrain,0.8691275167785235
236,5,RI-ours,0.8624161073825504
237,5,NF-original,0.8624161073825504
238,5,NF-retrain,0.87248322147651
239,5,NF-ours,0.8657718120805369
240,1,RI-original,0.8557046979865772
241,1,RI-retrain,0.8557046979865772
242,1,RI-ours,0.8456375838926175
243,1,NF-original,0.8691275167785235
244,1,NF-retrain,0.8590604026845637
245,1,NF-ours,0.8691275167785235
246,2,RI-original,0.8624161073825504
247,2,RI-retrain,0.8590604026845637
248,2,RI-ours,0.8657718120805369
249,2,NF-original,0.8624161073825504
250,2,NF-retrain,0.8557046979865772
251,2,NF-ours,0.8624161073825504
252,3,RI-original,0.8691275167785235
253,3,RI-retrain,0.8590604026845637
