,# edges,setting,accuracy,privacy leakage,running time
0,100,random-O,0.0,0.71,0.0
1,100,random-R,0.8691275167785235,0.45999999999999996,1.8835909366607666
2,100,random-U,0.8624161073825504,0.47,0.9145214557647705
3,200,random-O,0.0,0.715,0.0
4,200,random-R,0.87248322147651,0.475,1.9175026416778564
5,200,random-U,0.8624161073825504,0.44999999999999996,1.429774284362793
6,400,random-O,0.0,0.66,0.0
7,400,random-R,0.8624161073825504,0.4,2.0090956687927246
8,400,random-U,0.8624161073825504,0.35750000000000004,1.6555328369140625
9,800,random-O,0.0,0.66,0.0
10,800,random-R,0.8624161073825504,0.45375,2.0804989337921143
11,800,random-U,0.8590604026845637,0.38875000000000004,2.1166324615478516
12,1000,random-O,0.0,0.691,0.0
13,1000,random-R,0.8624161073825504,0.405,1.8695294857025146
14,1000,random-U,0.8624161073825504,0.43500000000000005,2.1962456703186035
15,100,max-degree-O,0.0,0.9,0.0
16,100,max-degree-R,0.8691275167785235,0.74,1.8823070526123047
17,100,max-degree-U,0.8590604026845637,0.74,0.9040565490722656
18,200,max-degree-O,0.0,0.87,0.0
19,200,max-degree-R,0.8624161073825504,0.7,2.0182487964630127
20,200,max-degree-U,0.8590604026845637,0.7,0.9139561653137207
21,400,max-degree-O,0.0,0.8325,0.0
22,400,max-degree-R,0.8691275167785235,0.7175,2.1580941677093506
23,400,max-degree-U,0.8624161073825504,0.7075,1.3255696296691895
24,800,max-degree-O,0.0,0.80375,0.0
25,800,max-degree-R,0.87248322147651,0.6575,1.9890074729919434
26,800,max-degree-U,0.8590604026845637,0.635,1.7688863277435303
27,1000,max-degree-O,0.0,0.801,0.0
28,1000,max-degree-R,0.8691275167785235,0.6,1.9904711246490479
29,1000,max-degree-U,0.8590604026845637,0.6,1.9327764511108398
30,100,min-degree-O,0.0,0.6,0.0
31,100,min-degree-R,0.8758389261744967,0.14,1.9655547142028809
32,100,min-degree-U,0.8691275167785235,0.20999999999999996,1.1223437786102295
33,200,min-degree-O,0.0,0.565,0.0
34,200,min-degree-R,0.8657718120805369,0.17500000000000004,2.3928840160369873
35,200,min-degree-U,0.8657718120805369,0.19499999999999995,0.9614934921264648
36,400,min-degree-O,0.0,0.5775,0.0
37,400,min-degree-R,0.8657718120805369,0.235,2.305055856704712
38,400,min-degree-U,0.8657718120805369,0.245,1.3360631465911865
39,800,min-degree-O,0.0,0.5425,0.0
40,800,min-degree-R,0.8590604026845637,0.25,3.03200101852417
41,800,min-degree-U,0.8624161073825504,0.24375000000000002,2.9955337047576904
42,1000,min-degree-O,0.0,0.527,0.0
43,1000,min-degree-R,0.8691275167785235,0.246,2.1937592029571533
44,1000,min-degree-U,0.8624161073825504,0.241,2.757044553756714
45,100,saliency-O,0.0,0.51,0.0
46,100,saliency-R,0.8691275167785235,0.17000000000000004,2.5751278400421143
47,100,saliency-U,0.8624161073825504,0.15000000000000002,1.0352327823638916
48,200,saliency-O,0.0,0.595,0.0
49,200,saliency-R,0.8624161073825504,0.24,1.9472651481628418
50,200,saliency-U,0.8657718120805369,0.22499999999999998,1.0019221305847168
51,400,saliency-O,0.0,0.56,0.0
52,400,saliency-R,0.87248322147651,0.30500000000000005,1.9528322219848633
53,400,saliency-U,0.8657718120805369,0.29500000000000004,1.132286548614502
54,800,saliency-O,0.0,0.58625,0.0
55,800,saliency-R,0.8590604026845637,0.35124999999999995,1.9674296379089355
56,800,saliency-U,0.8590604026845637,0.34624999999999995,2.065538167953491
57,1000,saliency-O,0.0,0.622,0.0
58,1000,saliency-R,0.8590604026845637,0.358,1.9753563404083252
59,1000,saliency-U,0.8590604026845637,0.37,2.2006070613861084
60,100,random-O,0.0,0.7,0.0
61,100,random-R,0.87248322147651,0.48,1.9176549911499023
62,100,random-U,0.8624161073825504,0.45999999999999996,0.8082537651062012
63,200,random-O,0.0,0.685,0.0
64,200,random-R,0.8691275167785235,0.505,1.6162879467010498
65,200,random-U,0.8624161073825504,0.47,0.9997904300689697
66,400,random-O,0.0,0.6675,0.0
67,400,random-R,0.8590604026845637,0.4525,1.9221885204315186
68,400,random-U,0.8624161073825504,0.45499999999999996,1.3856210708618164
69,800,random-O,0.0,0.69875,0.0
70,800,random-R,0.8691275167785235,0.43875,1.996180772781372
71,800,random-U,0.8624161073825504,0.42374999999999996,1.9437615871429443
72,1000,random-O,0.0,0.682,0.0
73,1000,random-R,0.8590604026845637,0.42900000000000005,2.1038098335266113
74,1000,random-U,0.8624161073825504,0.42200000000000004,2.132817506790161
75,100,max-degree-O,0.0,0.88,0.0
76,100,max-degree-R,0.8590604026845637,0.74,2.349921464920044
77,100,max-degree-U,0.8590604026845637,0.7,0.8259615898132324
78,200,max-degree-O,0.0,0.88,0.0
79,200,max-degree-R,0.8624161073825504,0.76,1.8648276329040527
80,200,max-degree-U,0.8590604026845637,0.6799999999999999,0.9935302734375
81,400,max-degree-O,0.0,0.8425,0.0
82,400,max-degree-R,0.8624161073825504,0.6875,2.12127947807312
83,400,max-degree-U,0.8624161073825504,0.72,1.3179047107696533
84,800,max-degree-O,0.0,0.81625,0.0
85,800,max-degree-R,0.8657718120805369,0.65125,1.817873477935791
86,800,max-degree-U,0.8590604026845637,0.66875,2.1538124084472656
87,1000,max-degree-O,0.0,0.743,0.0
88,1000,max-degree-R,0.8657718120805369,0.621,1.890183925628662
89,1000,max-degree-U,0.8590604026845637,0.629,2.050801992416382
90,100,min-degree-O,0.0,0.57,0.0
91,100,min-degree-R,0.8624161073825504,0.12,2.9411017894744873
92,100,min-degree-U,0.8691275167785235,0.22999999999999998,1.0146605968475342
93,200,min-degree-O,0.0,0.585,0.0
94,200,min-degree-R,0.87248322147651,0.26,2.198671340942383
95,200,min-degree-U,0.8657718120805369,0.22499999999999998,0.9938771724700928
96,400,min-degree-O,0.0,0.51,0.0
97,400,min-degree-R,0.87248322147651,0.2025,1.8539574146270752
98,400,min-degree-U,0.8657718120805369,0.22750000000000004,1.443359613418579
99,800,min-degree-O,0.0,0.55375,0.0
100,800,min-degree-R,0.8590604026845637,0.24624999999999997,2.2344539165496826
101,800,min-degree-U,0.8624161073825504,0.245,2.4187936782836914
102,1000,min-degree-O,0.0,0.57,0.0
103,1000,min-degree-R,0.8691275167785235,0.21099999999999997,1.9189515113830566
104,1000,min-degree-U,0.8624161073825504,0.252,2.657071113586426
105,100,saliency-O,0.0,0.51,0.0
106,100,saliency-R,0.8657718120805369,0.13,2.120473623275757
107,100,saliency-U,0.8624161073825504,0.16000000000000003,0.9512033462524414
108,200,saliency-O,0.0,0.575,0.0
109,200,saliency-R,0.8624161073825504,0.235,1.692115306854248
110,200,saliency-U,0.8657718120805369,0.235,0.8458418846130371
111,400,saliency-O,0.0,0.53,0.0
112,400,saliency-R,0.8691275167785235,0.3025,1.6261522769927979
113,400,saliency-U,0.8657718120805369,0.2975,1.254042625427246
114,800,saliency-O,0.0,0.60375,0.0
115,800,saliency-R,0.8590604026845637,0.36750000000000005,2.223666191101074
116,800,saliency-U,0.8590604026845637,0.3425,1.897545576095581
117,1000,saliency-O,0.0,0.608,0.0
118,1000,saliency-R,0.87248322147651,0.362,1.6526198387145996
119,1000,saliency-U,0.8590604026845637,0.33999999999999997,2.0956766605377197
120,100,random-O,0.0,0.7,0.0
121,100,random-R,0.8657718120805369,0.44999999999999996,2.1666083335876465
122,100,random-U,0.8624161073825504,0.47,1.0037128925323486
123,200,random-O,0.0,0.685,0.0
124,200,random-R,0.8624161073825504,0.47,1.900763988494873
125,200,random-U,0.8590604026845637,0.47,0.9497847557067871
126,400,random-O,0.0,0.705,0.0
127,400,random-R,0.8691275167785235,0.4625,2.0039117336273193
128,400,random-U,0.8590604026845637,0.42000000000000004,1.4619483947753906
129,800,random-O,0.0,0.7,0.0
130,800,random-R,0.8691275167785235,0.485,1.9721808433532715
131,800,random-U,0.8557046979865772,0.46125000000000005,2.271817684173584
132,1000,random-O,0.0,0.687,0.0
133,1000,random-R,0.8624161073825504,0.43400000000000005,2.115813732147217
134,1000,random-U,0.8590604026845637,0.405,2.6981289386749268
135,100,max-degree-O,0.0,0.88,0.0
136,100,max-degree-R,0.8657718120805369,0.78,1.9632461071014404
137,100,max-degree-U,0.8590604026845637,0.73,0.8071994781494141
138,200,max-degree-O,0.0,0.865,0.0
139,200,max-degree-R,0.8624161073825504,0.755,2.1579034328460693
140,200,max-degree-U,0.8590604026845637,0.76,0.9474663734436035
141,400,max-degree-O,0.0,0.8325,0.0
142,400,max-degree-R,0.8624161073825504,0.6825,2.153446674346924
143,400,max-degree-U,0.8624161073825504,0.7,1.304410457611084
144,800,max-degree-O,0.0,0.80875,0.0
145,800,max-degree-R,0.8590604026845637,0.6325000000000001,2.3086273670196533
146,800,max-degree-U,0.8590604026845637,0.62,1.6219115257263184
147,1000,max-degree-O,0.0,0.763,0.0
148,1000,max-degree-R,0.8691275167785235,0.5820000000000001,2.1932671070098877
149,1000,max-degree-U,0.8590604026845637,0.622,2.209530830383301
150,100,min-degree-O,0.0,0.63,0.0
151,100,min-degree-R,0.8557046979865772,0.20999999999999996,3.0410513877868652
152,100,min-degree-U,0.8691275167785235,0.18999999999999995,1.211489200592041
153,200,min-degree-O,0.0,0.58,0.0
154,200,min-degree-R,0.8691275167785235,0.20999999999999996,1.9788031578063965
155,200,min-degree-U,0.8657718120805369,0.21499999999999997,0.9720902442932129
156,400,min-degree-O,0.0,0.5375,0.0
157,400,min-degree-R,0.8657718120805369,0.23250000000000004,2.3680074214935303
158,400,min-degree-U,0.8657718120805369,0.24750000000000005,2.0158708095550537
