,# Layer,Setting,Accuracy
0,1,RI-original,0.8624161073825504
1,1,RI-retrain,0.8691275167785235
2,1,RI-ours,0.8624161073825504
3,1,NF-original,0.8657718120805369
4,1,NF-retrain,0.8624161073825504
5,1,NF-ours,0.8691275167785235
6,2,RI-original,0.87248322147651
7,2,RI-retrain,0.8624161073825504
8,2,RI-ours,0.87248322147651
9,2,NF-original,0.8624161073825504
10,2,NF-retrain,0.8624161073825504
11,2,NF-ours,0.8624161073825504
12,3,RI-original,0.8657718120805369
13,3,RI-retrain,0.8624161073825504
14,3,RI-ours,0.8624161073825504
15,3,NF-original,0.8657718120805369
16,3,NF-retrain,0.8624161073825504
17,3,NF-ours,0.8691275167785235
18,4,RI-original,0.8657718120805369
19,4,RI-retrain,0.8624161073825504
20,4,RI-ours,0.8657718120805369
21,4,NF-original,0.8657718120805369
22,4,NF-retrain,0.8657718120805369
23,4,NF-ours,0.8624161073825504
24,5,RI-original,0.8624161073825504
25,5,RI-retrain,0.8624161073825504
26,5,RI-ours,0.825503355704698
27,5,NF-original,0.8691275167785235
28,5,NF-retrain,0.8657718120805369
29,5,NF-ours,0.8557046979865772
30,1,RI-original,0.8691275167785235
31,1,RI-retrain,0.8691275167785235
32,1,RI-ours,0.87248322147651
33,1,NF-original,0.8691275167785235
34,1,NF-retrain,0.8691275167785235
35,1,NF-ours,0.8691275167785235
36,2,RI-original,0.8624161073825504
37,2,RI-retrain,0.8691275167785235
38,2,RI-ours,0.8624161073825504
39,2,NF-original,0.8691275167785235
40,2,NF-retrain,0.8624161073825504
41,2,NF-ours,0.8691275167785235
42,3,RI-original,0.8624161073825504
43,3,RI-retrain,0.87248322147651
44,3,RI-ours,0.8624161073825504
45,3,NF-original,0.8624161073825504
46,3,NF-retrain,0.8691275167785235
47,3,NF-ours,0.8624161073825504
48,4,RI-original,0.8624161073825504
49,4,RI-retrain,0.8691275167785235
50,4,RI-ours,0.8624161073825504
51,4,NF-original,0.8657718120805369
52,4,NF-retrain,0.8657718120805369
53,4,NF-ours,0.8657718120805369
54,5,RI-original,0.8691275167785235
55,5,RI-retrain,0.8624161073825504
56,5,RI-ours,0.8624161073825504
57,5,NF-original,0.8624161073825504
58,5,NF-retrain,0.8691275167785235
59,5,NF-ours,0.8523489932885906
60,1,RI-original,0.8624161073825504
61,1,RI-retrain,0.8691275167785235
62,1,RI-ours,0.8624161073825504
63,1,NF-original,0.8691275167785235
64,1,NF-retrain,0.8624161073825504
65,1,NF-ours,0.8691275167785235
66,2,RI-original,0.8624161073825504
67,2,RI-retrain,0.8624161073825504
68,2,RI-ours,0.8657718120805369
69,2,NF-original,0.8624161073825504
70,2,NF-retrain,0.8691275167785235
71,2,NF-ours,0.8590604026845637
72,3,RI-original,0.8624161073825504
73,3,RI-retrain,0.8624161073825504
74,3,RI-ours,0.8624161073825504
75,3,NF-original,0.8657718120805369
76,3,NF-retrain,0.8691275167785235
77,3,NF-ours,0.8624161073825504
78,4,RI-original,0.8657718120805369
79,4,RI-retrain,0.8691275167785235
80,4,RI-ours,0.8624161073825504
81,4,NF-original,0.8691275167785235
82,4,NF-retrain,0.8624161073825504
83,4,NF-ours,0.8590604026845637
84,5,RI-original,0.8691275167785235
85,5,RI-retrain,0.8624161073825504
86,5,RI-ours,0.8557046979865772
87,5,NF-original,0.8657718120805369
88,5,NF-retrain,0.8657718120805369
89,5,NF-ours,0.8456375838926175
90,1,RI-original,0.8691275167785235
91,1,RI-retrain,0.8590604026845637
92,1,RI-ours,0.8691275167785235
93,1,NF-original,0.8691275167785235
94,1,NF-retrain,0.8657718120805369
95,1,NF-ours,0.8691275167785235
96,2,RI-original,0.8624161073825504
97,2,RI-retrain,0.8557046979865772
98,2,RI-ours,0.8590604026845637
99,2,NF-original,0.8657718120805369
100,2,NF-retrain,0.8557046979865772
101,2,NF-ours,0.8624161073825504
102,3,RI-original,0.8657718120805369
103,3,RI-retrain,0.8657718120805369
104,3,RI-ours,0.8624161073825504
105,3,NF-original,0.8691275167785235
106,3,NF-retrain,0.8590604026845637
107,3,NF-ours,0.8624161073825504
108,4,RI-original,0.8691275167785235
109,4,RI-retrain,0.8590604026845637
110,4,RI-ours,0.8657718120805369
111,4,NF-original,0.8657718120805369
112,4,NF-retrain,0.8657718120805369
113,4,NF-ours,0.8624161073825504
114,5,RI-original,0.8691275167785235
115,5,RI-retrain,0.8657718120805369
116,5,RI-ours,0.8691275167785235
117,5,NF-original,0.8624161073825504
118,5,NF-retrain,0.8657718120805369
119,5,NF-ours,0.8322147651006712
120,1,RI-original,0.8691275167785235
121,1,RI-retrain,0.8624161073825504
122,1,RI-ours,0.8691275167785235
123,1,NF-original,0.8624161073825504
124,1,NF-retrain,0.8624161073825504
125,1,NF-ours,0.8657718120805369
126,2,RI-original,0.8624161073825504
127,2,RI-retrain,0.8691275167785235
128,2,RI-ours,0.8657718120805369
129,2,NF-original,0.8624161073825504
130,2,NF-retrain,0.8624161073825504
131,2,NF-ours,0.8590604026845637
132,3,RI-original,0.8657718120805369
133,3,RI-retrain,0.8657718120805369
134,3,RI-ours,0.8657718120805369
135,3,NF-original,0.8624161073825504
136,3,NF-retrain,0.8657718120805369
137,3,NF-ours,0.8691275167785235
138,4,RI-original,0.8657718120805369
139,4,RI-retrain,0.8657718120805369
140,4,RI-ours,0.8624161073825504
141,4,NF-original,0.8657718120805369
142,4,NF-retrain,0.8624161073825504
143,4,NF-ours,0.8557046979865772
144,5,RI-original,0.8624161073825504
145,5,RI-retrain,0.8624161073825504
146,5,RI-ours,0.8590604026845637
147,5,NF-original,0.8691275167785235
148,5,NF-retrain,0.8691275167785235
149,5,NF-ours,0.87248322147651
150,1,RI-original,0.8691275167785235
151,1,RI-retrain,0.8691275167785235
152,1,RI-ours,0.8691275167785235
153,1,NF-original,0.87248322147651
154,1,NF-retrain,0.87248322147651
155,1,NF-ours,0.8691275167785235
156,2,RI-original,0.8624161073825504
157,2,RI-retrain,0.8691275167785235
158,2,RI-ours,0.8624161073825504
159,2,NF-original,0.8657718120805369
160,2,NF-retrain,0.8691275167785235
161,2,NF-ours,0.8691275167785235
162,3,RI-original,0.8624161073825504
163,3,RI-retrain,0.8624161073825504
164,3,RI-ours,0.8624161073825504
165,3,NF-original,0.8590604026845637
166,3,NF-retrain,0.87248322147651
167,3,NF-ours,0.8657718120805369
168,4,RI-original,0.8624161073825504
169,4,RI-retrain,0.8657718120805369
170,4,RI-ours,0.8389261744966443
171,4,NF-original,0.8657718120805369
172,4,NF-retrain,0.8657718120805369
173,4,NF-ours,0.8624161073825504
174,5,RI-original,0.8154362416107382
175,5,RI-retrain,0.8691275167785235
176,5,RI-ours,0.4865771812080537
177,5,NF-original,0.8657718120805369
178,5,NF-retrain,0.8691275167785235
179,5,NF-ours,0.8657718120805369
180,1,RI-original,0.8624161073825504
181,1,RI-retrain,0.8624161073825504
182,1,RI-ours,0.8624161073825504
183,1,NF-original,0.8691275167785235
184,1,NF-retrain,0.8691275167785235
185,1,NF-ours,0.8691275167785235
186,2,RI-original,0.8624161073825504
187,2,RI-retrain,0.8624161073825504
188,2,RI-ours,0.8624161073825504
189,2,NF-original,0.8624161073825504
190,2,NF-retrain,0.8624161073825504
191,2,NF-ours,0.8624161073825504
192,3,RI-original,0.8657718120805369
193,3,RI-retrain,0.8624161073825504
194,3,RI-ours,0.8624161073825504
195,3,NF-original,0.87248322147651
196,3,NF-retrain,0.8523489932885906
197,3,NF-ours,0.8691275167785235
198,4,RI-original,0.8657718120805369
199,4,RI-retrain,0.8624161073825504
200,4,RI-ours,0.87248322147651
201,4,NF-original,0.87248322147651
202,4,NF-retrain,0.8624161073825504
203,4,NF-ours,0.8557046979865772
204,5,RI-original,0.8657718120805369
205,5,RI-retrain,0.8657718120805369
206,5,RI-ours,0.8590604026845637
207,5,NF-original,0.8657718120805369
208,5,NF-retrain,0.8691275167785235
209,5,NF-ours,0.8657718120805369
210,1,RI-original,0.8691275167785235
211,1,RI-retrain,0.8657718120805369
212,1,RI-ours,0.8691275167785235
213,1,NF-original,0.8657718120805369
214,1,NF-retrain,0.8691275167785235
215,1,NF-ours,0.8657718120805369
216,2,RI-original,0.8657718120805369
217,2,RI-retrain,0.8657718120805369
218,2,RI-ours,0.8657718120805369
219,2,NF-original,0.8590604026845637
220,2,NF-retrain,0.8691275167785235
221,2,NF-ours,0.8657718120805369
222,3,RI-original,0.825503355704698
223,3,RI-retrain,0.87248322147651
224,3,RI-ours,0.7516778523489933
225,3,NF-original,0.8624161073825504
226,3,NF-retrain,0.8691275167785235
227,3,NF-ours,0.8624161073825504
228,4,RI-original,0.8657718120805369
229,4,RI-retrain,0.8758389261744967
230,4,RI-ours,0.8590604026845637
231,4,NF-original,0.8624161073825504
232,4,NF-retrain,0.8691275167785235
233,4,NF-ours,0.8624161073825504
234,5,RI-original,0.8657718120805369
235,5,RI-retrain,0.87248322147651
236,5,RI-ours,0.8657718120805369
237,5,NF-original,0.8657718120805369
238,5,NF-retrain,0.8691275167785235
239,5,NF-ours,0.8624161073825504
240,1,RI-original,0.8691275167785235
241,1,RI-retrain,0.8691275167785235
242,1,RI-ours,0.8657718120805369
243,1,NF-original,0.8691275167785235
244,1,NF-retrain,0.8691275167785235
245,1,NF-ours,0.8691275167785235
246,2,RI-original,0.8624161073825504
247,2,RI-retrain,0.8590604026845637
248,2,RI-ours,0.8590604026845637
249,2,NF-original,0.87248322147651
250,2,NF-retrain,0.8590604026845637
251,2,NF-ours,0.8624161073825504
252,3,RI-original,0.8590604026845637
253,3,RI-retrain,0.8590604026845637
