,# Layer,Setting,Accuracy
0,1,RI-original,0.8456375838926175
1,1,RI-retrain,0.8590604026845637
2,1,RI-ours,0.8053691275167785
3,1,NF-original,0.8590604026845637
4,1,NF-retrain,0.8691275167785235
5,1,NF-ours,0.8456375838926175
6,2,RI-original,0.8322147651006712
7,2,RI-retrain,0.8590604026845637
8,2,RI-ours,0.802013422818792
9,2,NF-original,0.8590604026845637
10,2,NF-retrain,0.8657718120805369
11,2,NF-ours,0.8557046979865772
12,3,RI-original,0.8389261744966443
13,3,RI-retrain,0.4865771812080537
14,3,RI-ours,0.5134228187919463
15,3,NF-original,0.8456375838926175
16,3,NF-retrain,0.7919463087248322
17,3,NF-ours,0.761744966442953
18,4,RI-original,0.7751677852348994
19,4,RI-retrain,0.5503355704697986
20,4,RI-ours,0.4865771812080537
21,4,NF-original,0.4597315436241611
22,4,NF-retrain,0.6208053691275168
23,4,NF-ours,0.4664429530201342
24,5,RI-original,0.4865771812080537
25,5,RI-retrain,0.7651006711409396
26,5,RI-ours,0.5234899328859061
27,5,NF-original,0.8590604026845637
28,5,NF-retrain,0.4899328859060403
29,5,NF-ours,0.47651006711409394
30,1,RI-original,0.8590604026845637
31,1,RI-retrain,0.8557046979865772
32,1,RI-ours,0.8489932885906041
33,1,NF-original,0.8489932885906041
34,1,NF-retrain,0.8422818791946308
35,1,NF-ours,0.8489932885906041
36,2,RI-original,0.8489932885906041
37,2,RI-retrain,0.8624161073825504
38,2,RI-ours,0.8053691275167785
39,2,NF-original,0.7953020134228188
40,2,NF-retrain,0.8489932885906041
41,2,NF-ours,0.5134228187919463
42,3,RI-original,0.5134228187919463
43,3,RI-retrain,0.8456375838926175
44,3,RI-ours,0.5134228187919463
45,3,NF-original,0.5134228187919463
46,3,NF-retrain,0.7785234899328859
47,3,NF-ours,0.5134228187919463
48,4,RI-original,0.8120805369127517
49,4,RI-retrain,0.8557046979865772
50,4,RI-ours,0.7080536912751678
51,4,NF-original,0.5436241610738255
52,4,NF-retrain,0.5167785234899329
53,4,NF-ours,0.5134228187919463
54,5,RI-original,0.8355704697986577
