,# Layer,Setting,Accuracy
0,1,RI-original,0.8590604026845637
1,1,RI-retrain,0.8624161073825504
2,1,RI-ours,0.8657718120805369
3,1,NF-original,0.8590604026845637
4,1,NF-retrain,0.8624161073825504
5,1,NF-ours,0.8624161073825504
6,2,RI-original,0.8590604026845637
7,2,RI-retrain,0.8557046979865772
8,2,RI-ours,0.8590604026845637
9,2,NF-original,0.8657718120805369
10,2,NF-retrain,0.87248322147651
11,2,NF-ours,0.8590604026845637
12,3,RI-original,0.5134228187919463
13,3,RI-retrain,0.8557046979865772
14,3,RI-ours,0.5134228187919463
15,3,NF-original,0.8657718120805369
16,3,NF-retrain,0.8624161073825504
17,3,NF-ours,0.8624161073825504
18,4,RI-original,0.8557046979865772
19,4,RI-retrain,0.8624161073825504
20,4,RI-ours,0.8590604026845637
21,4,NF-original,0.87248322147651
22,4,NF-retrain,0.8557046979865772
23,4,NF-ours,0.8624161073825504
24,1,RI-original,0.8557046979865772
25,1,RI-retrain,0.8691275167785235
26,1,RI-ours,0.8624161073825504
27,1,NF-original,0.8657718120805369
28,1,NF-retrain,0.8422818791946308
29,1,NF-ours,0.8590604026845637
30,2,RI-original,0.8523489932885906
31,2,RI-retrain,0.8624161073825504
32,2,RI-ours,0.8557046979865772
33,2,NF-original,0.8691275167785235
34,2,NF-retrain,0.8590604026845637
35,2,NF-ours,0.8590604026845637
36,3,RI-original,0.8657718120805369
37,3,RI-retrain,0.8691275167785235
38,3,RI-ours,0.8691275167785235
39,3,NF-original,0.8624161073825504
40,3,NF-retrain,0.8691275167785235
41,3,NF-ours,0.8624161073825504
42,4,RI-original,0.8221476510067114
43,4,RI-retrain,0.8691275167785235
44,4,RI-ours,0.6241610738255033
45,4,NF-original,0.8557046979865772
46,4,NF-retrain,0.8590604026845637
47,4,NF-ours,0.8624161073825504
48,1,RI-original,0.8657718120805369
49,1,RI-retrain,0.8590604026845637
50,1,RI-ours,0.8590604026845637
51,1,NF-original,0.8590604026845637
52,1,NF-retrain,0.8590604026845637
53,1,NF-ours,0.8590604026845637
54,2,RI-original,0.8624161073825504
55,2,RI-retrain,0.8691275167785235
56,2,RI-ours,0.8590604026845637
57,2,NF-original,0.8624161073825504
58,2,NF-retrain,0.8557046979865772
59,2,NF-ours,0.8523489932885906
60,3,RI-original,0.87248322147651
61,3,RI-retrain,0.8657718120805369
62,3,RI-ours,0.8691275167785235
63,3,NF-original,0.8624161073825504
64,3,NF-retrain,0.8657718120805369
65,3,NF-ours,0.8590604026845637
66,4,RI-original,0.8557046979865772
67,4,RI-retrain,0.8557046979865772
68,4,RI-ours,0.8557046979865772
69,4,NF-original,0.87248322147651
70,4,NF-retrain,0.8624161073825504
71,4,NF-ours,0.87248322147651
72,1,RI-original,0.8590604026845637
73,1,RI-retrain,0.8590604026845637
74,1,RI-ours,0.8590604026845637
75,1,NF-original,0.8590604026845637
76,1,NF-retrain,0.8657718120805369
77,1,NF-ours,0.8624161073825504
78,2,RI-original,0.8691275167785235
79,2,RI-retrain,0.8557046979865772
80,2,RI-ours,0.8624161073825504
81,2,NF-original,0.8657718120805369
82,2,NF-retrain,0.8691275167785235
83,2,NF-ours,0.8624161073825504
84,3,RI-original,0.8590604026845637
85,3,RI-retrain,0.87248322147651
86,3,RI-ours,0.8624161073825504
87,3,NF-original,0.8657718120805369
88,3,NF-retrain,0.87248322147651
89,3,NF-ours,0.87248322147651
90,4,RI-original,0.8624161073825504
91,4,RI-retrain,0.5637583892617449
92,4,RI-ours,0.8657718120805369
93,4,NF-original,0.8422818791946308
94,4,NF-retrain,0.87248322147651
95,4,NF-ours,0.8456375838926175
96,1,RI-original,0.8657718120805369
97,1,RI-retrain,0.8657718120805369
98,1,RI-ours,0.8657718120805369
99,1,NF-original,0.8590604026845637
100,1,NF-retrain,0.8657718120805369
101,1,NF-ours,0.8590604026845637
102,2,RI-original,0.8624161073825504
103,2,RI-retrain,0.87248322147651
104,2,RI-ours,0.8657718120805369
105,2,NF-original,0.8624161073825504
106,2,NF-retrain,0.8557046979865772
107,2,NF-ours,0.8590604026845637
108,3,RI-original,0.8657718120805369
109,3,RI-retrain,0.87248322147651
110,3,RI-ours,0.8590604026845637
111,3,NF-original,0.8657718120805369
112,3,NF-retrain,0.8691275167785235
113,3,NF-ours,0.8590604026845637
114,4,RI-original,0.5771812080536913
115,4,RI-retrain,0.8657718120805369
116,4,RI-ours,0.5973154362416108
117,4,NF-original,0.8691275167785235
118,4,NF-retrain,0.8758389261744967
119,4,NF-ours,0.87248322147651
120,1,RI-original,0.8657718120805369
121,1,RI-retrain,0.8590604026845637
122,1,RI-ours,0.8489932885906041
123,1,NF-original,0.8590604026845637
124,1,NF-retrain,0.8691275167785235
125,1,NF-ours,0.8590604026845637
126,2,RI-original,0.8691275167785235
127,2,RI-retrain,0.8523489932885906
128,2,RI-ours,0.8557046979865772
129,2,NF-original,0.8624161073825504
130,2,NF-retrain,0.8691275167785235
131,2,NF-ours,0.8557046979865772
132,3,RI-original,0.8691275167785235
133,3,RI-retrain,0.8691275167785235
134,3,RI-ours,0.8691275167785235
135,3,NF-original,0.8624161073825504
136,3,NF-retrain,0.8523489932885906
137,3,NF-ours,0.8590604026845637
138,4,RI-original,0.8523489932885906
139,4,RI-retrain,0.8557046979865772
140,4,RI-ours,0.8523489932885906
141,4,NF-original,0.87248322147651
142,4,NF-retrain,0.87248322147651
143,4,NF-ours,0.8691275167785235
144,1,RI-original,0.8590604026845637
145,1,RI-retrain,0.8590604026845637
146,1,RI-ours,0.8557046979865772
147,1,NF-original,0.8657718120805369
148,1,NF-retrain,0.8557046979865772
149,1,NF-ours,0.8624161073825504
150,2,RI-original,0.8624161073825504
151,2,RI-retrain,0.8624161073825504
152,2,RI-ours,0.8557046979865772
153,2,NF-original,0.8624161073825504
154,2,NF-retrain,0.8691275167785235
155,2,NF-ours,0.8557046979865772
156,3,RI-original,0.8691275167785235
157,3,RI-retrain,0.8691275167785235
158,3,RI-ours,0.8758389261744967
159,3,NF-original,0.8691275167785235
160,3,NF-retrain,0.8557046979865772
161,3,NF-ours,0.8691275167785235
162,4,RI-original,0.8691275167785235
163,4,RI-retrain,0.8557046979865772
164,4,RI-ours,0.8691275167785235
165,4,NF-original,0.87248322147651
166,4,NF-retrain,0.8691275167785235
167,4,NF-ours,0.8691275167785235
168,1,RI-original,0.8657718120805369
169,1,RI-retrain,0.8590604026845637
170,1,RI-ours,0.8657718120805369
171,1,NF-original,0.8590604026845637
172,1,NF-retrain,0.8590604026845637
173,1,NF-ours,0.8590604026845637
174,2,RI-original,0.8691275167785235
175,2,RI-retrain,0.8590604026845637
176,2,RI-ours,0.8657718120805369
177,2,NF-original,0.8691275167785235
