,# Layer,Setting,Accuracy
0,1,RI-original,0.8691275167785235
1,1,RI-retrain,0.8657718120805369
2,1,RI-ours,0.8691275167785235
3,1,NF-original,0.8590604026845637
4,1,NF-retrain,0.8590604026845637
5,1,NF-ours,0.8557046979865772
6,2,RI-original,0.8590604026845637
7,2,RI-retrain,0.8489932885906041
8,2,RI-ours,0.8624161073825504
9,2,NF-original,0.8557046979865772
10,2,NF-retrain,0.8691275167785235
11,2,NF-ours,0.8624161073825504
12,3,RI-original,0.8590604026845637
13,3,RI-retrain,0.8657718120805369
14,3,RI-ours,0.8691275167785235
15,3,NF-original,0.8557046979865772
16,3,NF-retrain,0.8657718120805369
17,3,NF-ours,0.8590604026845637
18,4,RI-original,0.8624161073825504
19,4,RI-retrain,0.8657718120805369
20,4,RI-ours,0.8691275167785235
21,4,NF-original,0.8657718120805369
22,4,NF-retrain,0.8657718120805369
23,4,NF-ours,0.8691275167785235
24,5,RI-original,0.8691275167785235
25,5,RI-retrain,0.8691275167785235
26,5,RI-ours,0.8691275167785235
27,5,NF-original,0.87248322147651
28,5,NF-retrain,0.87248322147651
29,5,NF-ours,0.8691275167785235
30,1,RI-original,0.8624161073825504
31,1,RI-retrain,0.8557046979865772
32,1,RI-ours,0.8624161073825504
33,1,NF-original,0.8456375838926175
34,1,NF-retrain,0.8590604026845637
35,1,NF-ours,0.8590604026845637
36,2,RI-original,0.8691275167785235
37,2,RI-retrain,0.8557046979865772
38,2,RI-ours,0.8657718120805369
39,2,NF-original,0.8657718120805369
40,2,NF-retrain,0.8523489932885906
41,2,NF-ours,0.8590604026845637
42,3,RI-original,0.87248322147651
43,3,RI-retrain,0.8657718120805369
44,3,RI-ours,0.87248322147651
45,3,NF-original,0.8657718120805369
46,3,NF-retrain,0.8557046979865772
47,3,NF-ours,0.8590604026845637
48,4,RI-original,0.87248322147651
49,4,RI-retrain,0.87248322147651
50,4,RI-ours,0.87248322147651
51,4,NF-original,0.87248322147651
52,4,NF-retrain,0.8624161073825504
53,4,NF-ours,0.8691275167785235
54,5,RI-original,0.87248322147651
55,5,RI-retrain,0.87248322147651
56,5,RI-ours,0.8691275167785235
57,5,NF-original,0.4865771812080537
58,5,NF-retrain,0.8657718120805369
59,5,NF-ours,0.4865771812080537
60,1,RI-original,0.8691275167785235
61,1,RI-retrain,0.8691275167785235
62,1,RI-ours,0.8557046979865772
63,1,NF-original,0.8590604026845637
64,1,NF-retrain,0.8590604026845637
65,1,NF-ours,0.8590604026845637
66,2,RI-original,0.8590604026845637
67,2,RI-retrain,0.8691275167785235
68,2,RI-ours,0.8590604026845637
69,2,NF-original,0.8523489932885906
70,2,NF-retrain,0.8557046979865772
71,2,NF-ours,0.8523489932885906
72,3,RI-original,0.8691275167785235
73,3,RI-retrain,0.87248322147651
74,3,RI-ours,0.8691275167785235
75,3,NF-original,0.8489932885906041
76,3,NF-retrain,0.8422818791946308
77,3,NF-ours,0.8489932885906041
78,4,RI-original,0.8590604026845637
79,4,RI-retrain,0.87248322147651
80,4,RI-ours,0.8523489932885906
81,4,NF-original,0.8624161073825504
82,4,NF-retrain,0.8691275167785235
83,4,NF-ours,0.8657718120805369
84,5,RI-original,0.87248322147651
85,5,RI-retrain,0.87248322147651
86,5,RI-ours,0.8758389261744967
87,5,NF-original,0.8691275167785235
88,5,NF-retrain,0.8657718120805369
89,5,NF-ours,0.8691275167785235
90,1,RI-original,0.8624161073825504
91,1,RI-retrain,0.8590604026845637
92,1,RI-ours,0.8624161073825504
93,1,NF-original,0.8557046979865772
94,1,NF-retrain,0.8657718120805369
95,1,NF-ours,0.8557046979865772
96,2,RI-original,0.8624161073825504
97,2,RI-retrain,0.8657718120805369
98,2,RI-ours,0.8657718120805369
99,2,NF-original,0.8590604026845637
100,2,NF-retrain,0.8624161073825504
101,2,NF-ours,0.8590604026845637
102,3,RI-original,0.8557046979865772
103,3,RI-retrain,0.87248322147651
104,3,RI-ours,0.8624161073825504
105,3,NF-original,0.87248322147651
106,3,NF-retrain,0.87248322147651
107,3,NF-ours,0.8691275167785235
108,4,RI-original,0.8758389261744967
109,4,RI-retrain,0.8657718120805369
110,4,RI-ours,0.8758389261744967
111,4,NF-original,0.8691275167785235
112,4,NF-retrain,0.8657718120805369
113,4,NF-ours,0.87248322147651
114,5,RI-original,0.87248322147651
115,5,RI-retrain,0.87248322147651
116,5,RI-ours,0.87248322147651
117,5,NF-original,0.8523489932885906
118,5,NF-retrain,0.87248322147651
119,5,NF-ours,0.8590604026845637
120,1,RI-original,0.8691275167785235
121,1,RI-retrain,0.8657718120805369
122,1,RI-ours,0.8624161073825504
123,1,NF-original,0.8523489932885906
124,1,NF-retrain,0.8590604026845637
125,1,NF-ours,0.8523489932885906
126,2,RI-original,0.8557046979865772
127,2,RI-retrain,0.8657718120805369
128,2,RI-ours,0.8557046979865772
129,2,NF-original,0.8691275167785235
130,2,NF-retrain,0.8624161073825504
131,2,NF-ours,0.8657718120805369
132,3,RI-original,0.8691275167785235
133,3,RI-retrain,0.8590604026845637
134,3,RI-ours,0.8691275167785235
135,3,NF-original,0.5771812080536913
136,3,NF-retrain,0.8657718120805369
137,3,NF-ours,0.5906040268456376
138,4,RI-original,0.8624161073825504
139,4,RI-retrain,0.87248322147651
140,4,RI-ours,0.7550335570469798
141,4,NF-original,0.87248322147651
142,4,NF-retrain,0.8624161073825504
143,4,NF-ours,0.87248322147651
144,5,RI-original,0.8590604026845637
145,5,RI-retrain,0.8624161073825504
146,5,RI-ours,0.8523489932885906
147,5,NF-original,0.87248322147651
148,5,NF-retrain,0.8758389261744967
149,5,NF-ours,0.8758389261744967
150,1,RI-original,0.8624161073825504
151,1,RI-retrain,0.8590604026845637
152,1,RI-ours,0.8624161073825504
153,1,NF-original,0.8590604026845637
154,1,NF-retrain,0.8691275167785235
155,1,NF-ours,0.8590604026845637
156,2,RI-original,0.8590604026845637
157,2,RI-retrain,0.87248322147651
158,2,RI-ours,0.8624161073825504
159,2,NF-original,0.8691275167785235
160,2,NF-retrain,0.8590604026845637
161,2,NF-ours,0.8657718120805369
162,3,RI-original,0.87248322147651
163,3,RI-retrain,0.87248322147651
164,3,RI-ours,0.87248322147651
165,3,NF-original,0.8624161073825504
166,3,NF-retrain,0.8691275167785235
167,3,NF-ours,0.8624161073825504
168,4,RI-original,0.8624161073825504
169,4,RI-retrain,0.8590604026845637
170,4,RI-ours,0.8590604026845637
171,4,NF-original,0.87248322147651
172,4,NF-retrain,0.87248322147651
173,4,NF-ours,0.87248322147651
174,5,RI-original,0.8691275167785235
175,5,RI-retrain,0.8422818791946308
176,5,RI-ours,0.87248322147651
177,5,NF-original,0.87248322147651
178,5,NF-retrain,0.87248322147651
179,5,NF-ours,0.8691275167785235
180,1,RI-original,0.8691275167785235
181,1,RI-retrain,0.8489932885906041
182,1,RI-ours,0.8557046979865772
183,1,NF-original,0.8624161073825504
184,1,NF-retrain,0.8557046979865772
185,1,NF-ours,0.8557046979865772
186,2,RI-original,0.87248322147651
187,2,RI-retrain,0.8523489932885906
188,2,RI-ours,0.8691275167785235
189,2,NF-original,0.8590604026845637
190,2,NF-retrain,0.8657718120805369
191,2,NF-ours,0.8590604026845637
192,3,RI-original,0.8557046979865772
193,3,RI-retrain,0.8691275167785235
194,3,RI-ours,0.8557046979865772
195,3,NF-original,0.8624161073825504
196,3,NF-retrain,0.8557046979865772
197,3,NF-ours,0.8624161073825504
198,4,RI-original,0.8657718120805369
199,4,RI-retrain,0.8657718120805369
200,4,RI-ours,0.8691275167785235
201,4,NF-original,0.8590604026845637
202,4,NF-retrain,0.87248322147651
203,4,NF-ours,0.8590604026845637
204,5,RI-original,0.8657718120805369
205,5,RI-retrain,0.8657718120805369
206,5,RI-ours,0.8557046979865772
207,5,NF-original,0.8657718120805369
208,5,NF-retrain,0.8758389261744967
209,5,NF-ours,0.8758389261744967
210,1,RI-original,0.8657718120805369
211,1,RI-retrain,0.8691275167785235
212,1,RI-ours,0.8691275167785235
213,1,NF-original,0.8657718120805369
214,1,NF-retrain,0.8691275167785235
215,1,NF-ours,0.8389261744966443
216,2,RI-original,0.8624161073825504
217,2,RI-retrain,0.8691275167785235
218,2,RI-ours,0.8557046979865772
219,2,NF-original,0.8557046979865772
220,2,NF-retrain,0.87248322147651
221,2,NF-ours,0.8590604026845637
222,3,RI-original,0.8691275167785235
223,3,RI-retrain,0.8624161073825504
224,3,RI-ours,0.8691275167785235
225,3,NF-original,0.8691275167785235
226,3,NF-retrain,0.8691275167785235
227,3,NF-ours,0.8691275167785235
228,4,RI-original,0.87248322147651
229,4,RI-retrain,0.87248322147651
230,4,RI-ours,0.87248322147651
231,4,NF-original,0.8624161073825504
232,4,NF-retrain,0.8691275167785235
233,4,NF-ours,0.8590604026845637
234,5,RI-original,0.8557046979865772
235,5,RI-retrain,0.8489932885906041
236,5,RI-ours,0.8590604026845637
237,5,NF-original,0.8657718120805369
238,5,NF-retrain,0.87248322147651
239,5,NF-ours,0.8657718120805369
240,1,RI-original,0.8624161073825504
241,1,RI-retrain,0.8523489932885906
242,1,RI-ours,0.8590604026845637
243,1,NF-original,0.8691275167785235
244,1,NF-retrain,0.8624161073825504
245,1,NF-ours,0.8691275167785235
246,2,RI-original,0.8691275167785235
247,2,RI-retrain,0.8657718120805369
248,2,RI-ours,0.8624161073825504
249,2,NF-original,0.8624161073825504
250,2,NF-retrain,0.8523489932885906
251,2,NF-ours,0.8523489932885906
252,3,RI-original,0.8691275167785235
253,3,RI-retrain,0.8691275167785235
254,3,RI-ours,0.8657718120805369
255,3,NF-original,0.8590604026845637
256,3,NF-retrain,0.8691275167785235
257,3,NF-ours,0.8557046979865772
258,4,RI-original,0.8590604026845637
259,4,RI-retrain,0.8691275167785235
260,4,RI-ours,0.8523489932885906
261,4,NF-original,0.8657718120805369
262,4,NF-retrain,0.8691275167785235
263,4,NF-ours,0.8657718120805369
264,5,RI-original,0.87248322147651
265,5,RI-retrain,0.8624161073825504
266,5,RI-ours,0.87248322147651
267,5,NF-original,0.8557046979865772
268,5,NF-retrain,0.8624161073825504
269,5,NF-ours,0.8557046979865772
270,1,RI-original,0.8557046979865772
271,1,RI-retrain,0.8456375838926175
272,1,RI-ours,0.8489932885906041
273,1,NF-original,0.8590604026845637
274,1,NF-retrain,0.8624161073825504
275,1,NF-ours,0.8557046979865772
276,2,RI-original,0.8590604026845637
277,2,RI-retrain,0.8657718120805369
278,2,RI-ours,0.8557046979865772
279,2,NF-original,0.8691275167785235
280,2,NF-retrain,0.8624161073825504
281,2,NF-ours,0.8657718120805369
282,3,RI-original,0.87248322147651
283,3,RI-retrain,0.8557046979865772
284,3,RI-ours,0.8691275167785235
285,3,NF-original,0.8657718120805369
286,3,NF-retrain,0.8691275167785235
287,3,NF-ours,0.8557046979865772
288,4,RI-original,0.8557046979865772
289,4,RI-retrain,0.8624161073825504
290,4,RI-ours,0.8624161073825504
291,4,NF-original,0.8691275167785235
292,4,NF-retrain,0.8557046979865772
293,4,NF-ours,0.8691275167785235
294,5,RI-original,0.8691275167785235
295,5,RI-retrain,0.8758389261744967
296,5,RI-ours,0.87248322147651
297,5,NF-original,0.8624161073825504
298,5,NF-retrain,0.8657718120805369
299,5,NF-ours,0.8624161073825504
