,# Layer,Setting,Accuracy
0,1,RI-original,0.6861861861861862
1,1,RI-retrain,0.6486486486486487
2,1,RI-ours,0.6426426426426426
3,1,NF-original,0.6996996996996997
4,1,NF-retrain,0.6471471471471472
5,1,NF-ours,0.6621621621621622
6,2,RI-original,0.7087087087087087
7,2,RI-retrain,0.6231231231231231
8,2,RI-ours,0.521021021021021
9,2,NF-original,0.6801801801801802
10,2,NF-retrain,0.5765765765765766
11,2,NF-ours,0.6531531531531531
12,3,RI-original,0.7057057057057057
13,3,RI-retrain,0.6021021021021021
14,3,RI-ours,0.6636636636636637
15,3,NF-original,0.6711711711711712
16,3,NF-retrain,0.512012012012012
17,3,NF-ours,0.6456456456456456
18,4,RI-original,0.6726726726726727
19,4,RI-retrain,0.35435435435435436
20,4,RI-ours,0.5615615615615616
21,4,NF-original,0.6831831831831832
22,4,NF-retrain,0.6006006006006006
23,4,NF-ours,0.6291291291291291
24,1,RI-original,0.7042042042042042
25,1,RI-retrain,0.6471471471471472
26,1,RI-ours,0.6441441441441441
27,1,NF-original,0.7042042042042042
28,1,NF-retrain,0.6276276276276276
29,1,NF-ours,0.6636636636636637
30,2,RI-original,0.6021021021021021
31,2,RI-retrain,0.6531531531531531
32,2,RI-ours,0.4159159159159159
33,2,NF-original,0.6831831831831832
34,2,NF-retrain,0.6546546546546547
35,2,NF-ours,0.6231231231231231
36,3,RI-original,0.6861861861861862
37,3,RI-retrain,0.5645645645645646
38,3,RI-ours,0.6516516516516516
39,3,NF-original,0.5720720720720721
40,3,NF-retrain,0.5990990990990991
41,3,NF-ours,0.566066066066066
42,4,RI-original,0.45045045045045046
43,4,RI-retrain,0.6141141141141141
44,4,RI-ours,0.26426426426426425
45,4,NF-original,0.6471471471471472
46,4,NF-retrain,0.3933933933933934
47,4,NF-ours,0.5465465465465466
48,1,RI-original,0.7162162162162162
49,1,RI-retrain,0.6576576576576577
50,1,RI-ours,0.6531531531531531
51,1,NF-original,0.7072072072072072
52,1,NF-retrain,0.6561561561561562
53,1,NF-ours,0.6456456456456456
54,2,RI-original,0.7102102102102102
55,2,RI-retrain,0.5960960960960962
56,2,RI-ours,0.5495495495495496
57,2,NF-original,0.6786786786786787
58,2,NF-retrain,0.6366366366366366
59,2,NF-ours,0.5705705705705706
60,3,RI-original,0.6981981981981982
61,3,RI-retrain,0.6201201201201201
62,3,RI-ours,0.6711711711711712
63,3,NF-original,0.6306306306306306
64,3,NF-retrain,0.5720720720720721
65,3,NF-ours,0.5990990990990991
66,4,RI-original,0.5420420420420421
67,4,RI-retrain,0.25375375375375375
68,4,RI-ours,0.37537537537537535
69,4,NF-original,0.5615615615615616
70,4,NF-retrain,0.6276276276276276
71,4,NF-ours,0.5255255255255256
72,1,RI-original,0.7042042042042042
73,1,RI-retrain,0.6261261261261262
74,1,RI-ours,0.6891891891891891
75,1,NF-original,0.6996996996996997
76,1,NF-retrain,0.6441441441441441
77,1,NF-ours,0.6711711711711712
78,2,RI-original,0.7192192192192193
79,2,RI-retrain,0.6501501501501501
80,2,RI-ours,0.6126126126126126
81,2,NF-original,0.6996996996996997
82,2,NF-retrain,0.6411411411411412
83,2,NF-ours,0.5525525525525525
84,3,RI-original,0.6816816816816816
85,3,RI-retrain,0.34384384384384387
86,3,RI-ours,0.6321321321321322
87,3,NF-original,0.6006006006006006
88,3,NF-retrain,0.37237237237237236
89,3,NF-ours,0.5630630630630631
90,4,RI-original,0.6876876876876877
91,4,RI-retrain,0.3708708708708709
92,4,RI-ours,0.5870870870870871
93,4,NF-original,0.4024024024024024
94,4,NF-retrain,0.53003003003003
95,4,NF-ours,0.35585585585585583
96,1,RI-original,0.6846846846846847
97,1,RI-retrain,0.6366366366366366
98,1,RI-ours,0.6486486486486487
99,1,NF-original,0.7042042042042042
100,1,NF-retrain,0.6066066066066066
101,1,NF-ours,0.6606606606606606
102,2,RI-original,0.6996996996996997
103,2,RI-retrain,0.6486486486486487
104,2,RI-ours,0.6261261261261262
105,2,NF-original,0.6876876876876877
106,2,NF-retrain,0.6216216216216216
107,2,NF-ours,0.5705705705705706
108,3,RI-original,0.6891891891891891
109,3,RI-retrain,0.5960960960960962
110,3,RI-ours,0.6531531531531531
111,3,NF-original,0.6321321321321322
112,3,NF-retrain,0.487987987987988
113,3,NF-ours,0.5900900900900901
114,4,RI-original,0.4369369369369369
115,4,RI-retrain,0.4339339339339339
116,4,RI-ours,0.3183183183183183
117,4,NF-original,0.6576576576576577
118,4,NF-retrain,0.6036036036036037
119,4,NF-ours,0.466966966966967
120,1,RI-original,0.6981981981981982
121,1,RI-retrain,0.6306306306306306
122,1,RI-ours,0.6726726726726727
123,1,NF-original,0.7072072072072072
124,1,NF-retrain,0.6276276276276276
125,1,NF-ours,0.6696696696696697
126,2,RI-original,0.6726726726726727
127,2,RI-retrain,0.6336336336336337
128,2,RI-ours,0.6006006006006006
129,2,NF-original,0.6906906906906907
130,2,NF-retrain,0.6171171171171171
131,2,NF-ours,0.493993993993994
132,3,RI-original,0.6591591591591591
133,3,RI-retrain,0.6426426426426426
134,3,RI-ours,0.6081081081081081
135,3,NF-original,0.6681681681681682
136,3,NF-retrain,0.4954954954954955
137,3,NF-ours,0.6321321321321322
138,4,RI-original,0.3918918918918919
139,4,RI-retrain,0.34384384384384387
140,4,RI-ours,0.2987987987987988
141,4,NF-original,0.6576576576576577
142,4,NF-retrain,0.6486486486486487
143,4,NF-ours,0.496996996996997
144,1,RI-original,0.7147147147147147
145,1,RI-retrain,0.6141141141141141
146,1,RI-ours,0.6606606606606606
147,1,NF-original,0.7012012012012012
148,1,NF-retrain,0.6096096096096096
149,1,NF-ours,0.6606606606606606
150,2,RI-original,0.6906906906906907
151,2,RI-retrain,0.5480480480480481
152,2,RI-ours,0.48348348348348347
153,2,NF-original,0.7027027027027027
154,2,NF-retrain,0.6156156156156156
155,2,NF-ours,0.5855855855855856
156,3,RI-original,0.5555555555555556
157,3,RI-retrain,0.566066066066066
158,3,RI-ours,0.521021021021021
159,3,NF-original,0.7162162162162162
160,3,NF-retrain,0.4804804804804805
161,3,NF-ours,0.6696696696696697
162,4,RI-original,0.515015015015015
163,4,RI-retrain,0.5705705705705706
164,4,RI-ours,0.503003003003003
165,4,NF-original,0.6771771771771772
166,4,NF-retrain,0.3708708708708709
167,4,NF-ours,0.6411411411411412
168,1,RI-original,0.7027027027027027
169,1,RI-retrain,0.6381381381381381
170,1,RI-ours,0.6531531531531531
171,1,NF-original,0.7102102102102102
172,1,NF-retrain,0.6471471471471472
173,1,NF-ours,0.6666666666666666
174,2,RI-original,0.7057057057057057
175,2,RI-retrain,0.6126126126126126
176,2,RI-ours,0.6066066066066066
177,2,NF-original,0.7012012012012012
178,2,NF-retrain,0.5870870870870871
179,2,NF-ours,0.6411411411411412
180,3,RI-original,0.6606606606606606
181,3,RI-retrain,0.5180180180180181
182,3,RI-ours,0.6366366366366366
183,3,NF-original,0.6906906906906907
184,3,NF-retrain,0.5735735735735735
185,3,NF-ours,0.6711711711711712
186,4,RI-original,0.5540540540540541
187,4,RI-retrain,0.4159159159159159
188,4,RI-ours,0.5375375375375375
189,4,NF-original,0.6156156156156156
190,4,NF-retrain,0.5435435435435435
191,4,NF-ours,0.47597597597597596
192,1,RI-original,0.7087087087087087
193,1,RI-retrain,0.6546546546546547
194,1,RI-ours,0.6396396396396397
195,1,NF-original,0.6921921921921922
196,1,NF-retrain,0.6456456456456456
197,1,NF-ours,0.6156156156156156
198,2,RI-original,0.6666666666666666
199,2,RI-retrain,0.43843843843843844
200,2,RI-ours,0.4024024024024024
201,2,NF-original,0.6831831831831832
202,2,NF-retrain,0.6531531531531531
203,2,NF-ours,0.5195195195195195
204,3,RI-original,0.5225225225225225
205,3,RI-retrain,0.3993993993993994
206,3,RI-ours,0.49099099099099097
207,3,NF-original,0.7237237237237237
208,3,NF-retrain,0.6321321321321322
209,3,NF-ours,0.6906906906906907
210,4,RI-original,0.503003003003003
211,4,RI-retrain,0.3918918918918919
212,4,RI-ours,0.3933933933933934
213,4,NF-original,0.6801801801801802
214,4,NF-retrain,0.6246246246246246
215,4,NF-ours,0.6336336336336337
216,1,RI-original,0.7042042042042042
217,1,RI-retrain,0.6426426426426426
218,1,RI-ours,0.6666666666666666
219,1,NF-original,0.6876876876876877
220,1,NF-retrain,0.6216216216216216
221,1,NF-ours,0.6606606606606606
222,2,RI-original,0.7117117117117117
223,2,RI-retrain,0.5930930930930931
224,2,RI-ours,0.566066066066066
225,2,NF-original,0.493993993993994
226,2,NF-retrain,0.6201201201201201
227,2,NF-ours,0.3588588588588589
228,3,RI-original,0.7147147147147147
229,3,RI-retrain,0.45045045045045046
230,3,RI-ours,0.6951951951951952
231,3,NF-original,0.6126126126126126
232,3,NF-retrain,0.6351351351351351
233,3,NF-ours,0.5840840840840841
234,4,RI-original,0.6561561561561562
235,4,RI-retrain,0.5855855855855856
236,4,RI-ours,0.581081081081081
237,4,NF-original,0.6831831831831832
238,4,NF-retrain,0.6096096096096096
239,4,NF-ours,0.5525525525525525
