,# Layer,Setting,Accuracy
0,1,RI-original,0.8782287822878229
1,1,RI-retrain,0.8487084870848709
2,1,RI-ours,0.8542435424354243
3,1,NF-original,0.8653136531365314
4,1,NF-retrain,0.8560885608856088
5,1,NF-ours,0.8542435424354243
6,2,RI-original,0.8560885608856088
7,2,RI-retrain,0.8505535055350554
8,2,RI-ours,0.8487084870848709
9,2,NF-original,0.8597785977859779
10,2,NF-retrain,0.8376383763837638
11,2,NF-ours,0.8523985239852399
12,3,RI-original,0.8523985239852399
13,3,RI-retrain,0.7250922509225092
14,3,RI-ours,0.8173431734317343
15,3,NF-original,0.8081180811808119
16,3,NF-retrain,0.7121771217712177
17,3,NF-ours,0.7878228782287823
18,4,RI-original,0.7822878228782287
19,4,RI-retrain,0.466789667896679
20,4,RI-ours,0.5738007380073801
21,4,NF-original,0.8044280442804428
22,4,NF-retrain,0.7398523985239852
23,4,NF-ours,0.511070110701107
24,1,RI-original,0.8763837638376384
25,1,RI-retrain,0.8339483394833949
26,1,RI-ours,0.8302583025830258
27,1,NF-original,0.8560885608856088
28,1,NF-retrain,0.8413284132841329
29,1,NF-ours,0.8228782287822878
30,2,RI-original,0.8284132841328413
31,2,RI-retrain,0.8191881918819188
32,2,RI-ours,0.7933579335793358
33,2,NF-original,0.8542435424354243
34,2,NF-retrain,0.8413284132841329
35,2,NF-ours,0.8025830258302583
36,3,RI-original,0.8118081180811808
37,3,RI-retrain,0.7841328413284133
38,3,RI-ours,0.7066420664206642
39,3,NF-original,0.8745387453874539
40,3,NF-retrain,0.8081180811808119
41,3,NF-ours,0.8321033210332104
42,4,RI-original,0.8062730627306273
43,4,RI-retrain,0.5959409594095941
44,4,RI-ours,0.6199261992619927
45,4,NF-original,0.7343173431734318
46,4,NF-retrain,0.7822878228782287
47,4,NF-ours,0.7084870848708487
48,1,RI-original,0.8690036900369004
49,1,RI-retrain,0.8413284132841329
50,1,RI-ours,0.8560885608856088
51,1,NF-original,0.8708487084870848
52,1,NF-retrain,0.8413284132841329
53,1,NF-ours,0.8505535055350554
54,2,RI-original,0.8782287822878229
55,2,RI-retrain,0.8579335793357934
56,2,RI-ours,0.8579335793357934
57,2,NF-original,0.8247232472324724
58,2,NF-retrain,0.7601476014760148
59,2,NF-ours,0.7878228782287823
60,3,RI-original,0.8634686346863468
61,3,RI-retrain,0.8191881918819188
62,3,RI-ours,0.7785977859778598
63,3,NF-original,0.8579335793357934
64,3,NF-retrain,0.7435424354243543
65,3,NF-ours,0.7730627306273062
66,4,RI-original,0.7435424354243543
67,4,RI-retrain,0.6992619926199262
68,4,RI-ours,0.6586715867158671
69,4,NF-original,0.7896678966789668
70,4,NF-retrain,0.7435424354243543
71,4,NF-ours,0.6033210332103321
72,1,RI-original,0.8782287822878229
73,1,RI-retrain,0.8302583025830258
74,1,RI-ours,0.8597785977859779
75,1,NF-original,0.8726937269372693
76,1,NF-retrain,0.8302583025830258
77,1,NF-ours,0.8431734317343174
78,2,RI-original,0.8800738007380073
79,2,RI-retrain,0.8081180811808119
80,2,RI-ours,0.8653136531365314
81,2,NF-original,0.8671586715867159
82,2,NF-retrain,0.8173431734317343
83,2,NF-ours,0.8062730627306273
84,3,RI-original,0.8579335793357934
85,3,RI-retrain,0.7767527675276753
86,3,RI-ours,0.8210332103321033
87,3,NF-original,0.8487084870848709
88,3,NF-retrain,0.7988929889298892
89,3,NF-ours,0.7767527675276753
90,4,RI-original,0.6568265682656826
91,4,RI-retrain,0.7841328413284133
92,4,RI-ours,0.3856088560885609
93,4,NF-original,0.8247232472324724
94,4,NF-retrain,0.7583025830258303
95,4,NF-ours,0.7140221402214022
96,1,RI-original,0.8800738007380073
97,1,RI-retrain,0.8247232472324724
98,1,RI-ours,0.8431734317343174
99,1,NF-original,0.8819188191881919
100,1,NF-retrain,0.8302583025830258
101,1,NF-ours,0.8542435424354243
102,2,RI-original,0.8025830258302583
103,2,RI-retrain,0.8376383763837638
104,2,RI-ours,0.7583025830258303
105,2,NF-original,0.8007380073800738
106,2,NF-retrain,0.8376383763837638
107,2,NF-ours,0.7859778597785978
108,3,RI-original,0.8523985239852399
109,3,RI-retrain,0.7084870848708487
110,3,RI-ours,0.7435424354243543
111,3,NF-original,0.8690036900369004
112,3,NF-retrain,0.8265682656826568
113,3,NF-ours,0.8154981549815498
114,4,RI-original,0.7822878228782287
115,4,RI-retrain,0.6937269372693727
116,4,RI-ours,0.4446494464944649
117,4,NF-original,0.8118081180811808
118,4,NF-retrain,0.7140221402214022
119,4,NF-ours,0.6088560885608856
120,1,RI-original,0.8745387453874539
121,1,RI-retrain,0.8413284132841329
122,1,RI-ours,0.8413284132841329
123,1,NF-original,0.8634686346863468
124,1,NF-retrain,0.8560885608856088
125,1,NF-ours,0.8247232472324724
126,2,RI-original,0.8708487084870848
127,2,RI-retrain,0.8247232472324724
128,2,RI-ours,0.8542435424354243
129,2,NF-original,0.8265682656826568
130,2,NF-retrain,0.8690036900369004
131,2,NF-ours,0.8099630996309963
132,3,RI-original,0.8505535055350554
133,3,RI-retrain,0.8357933579335793
134,3,RI-ours,0.7822878228782287
135,3,NF-original,0.8634686346863468
136,3,NF-retrain,0.8597785977859779
137,3,NF-ours,0.8136531365313653
138,4,RI-original,0.518450184501845
139,4,RI-retrain,0.44649446494464945
140,4,RI-ours,0.44280442804428044
141,4,NF-original,0.7859778597785978
142,4,NF-retrain,0.8191881918819188
143,4,NF-ours,0.6051660516605166
144,1,RI-original,0.8560885608856088
145,1,RI-retrain,0.8321033210332104
146,1,RI-ours,0.7859778597785978
147,1,NF-original,0.8653136531365314
148,1,NF-retrain,0.8357933579335793
149,1,NF-ours,0.8413284132841329
150,2,RI-original,0.8634686346863468
151,2,RI-retrain,0.7988929889298892
152,2,RI-ours,0.8523985239852399
153,2,NF-original,0.8413284132841329
154,2,NF-retrain,0.8357933579335793
155,2,NF-ours,0.8081180811808119
156,3,RI-original,0.8154981549815498
157,3,RI-retrain,0.7527675276752768
158,3,RI-ours,0.7011070110701108
159,3,NF-original,0.8800738007380073
160,3,NF-retrain,0.7398523985239852
161,3,NF-ours,0.8560885608856088
162,4,RI-original,0.8634686346863468
163,4,RI-retrain,0.540590405904059
164,4,RI-ours,0.7269372693726938
165,4,NF-original,0.7140221402214022
166,4,NF-retrain,0.7416974169741697
167,4,NF-ours,0.6180811808118081
168,1,RI-original,0.8708487084870848
169,1,RI-retrain,0.8228782287822878
170,1,RI-ours,0.8468634686346863
171,1,NF-original,0.8671586715867159
172,1,NF-retrain,0.8413284132841329
173,1,NF-ours,0.8431734317343174
174,2,RI-original,0.8413284132841329
175,2,RI-retrain,0.7749077490774908
176,2,RI-ours,0.8081180811808119
177,2,NF-original,0.8173431734317343
178,2,NF-retrain,0.7564575645756457
179,2,NF-ours,0.7952029520295203
