,# edges,setting,accuracy,privacy leakage
0,200,random-O,0.0,0.345
1,200,random-R,0.7747747747747747,0.805
2,200,random-U,0.7582582582582582,0.82
3,400,random-O,0.0,0.305
4,400,random-R,0.7642642642642643,0.7625
5,400,random-U,0.7552552552552553,0.755
6,600,random-O,0.0,0.325
7,600,random-R,0.7627627627627628,0.77
8,600,random-U,0.7522522522522522,0.7466666666666667
9,800,random-O,0.0,0.31375
10,800,random-R,0.7657657657657657,0.78375
11,800,random-U,0.7537537537537538,0.77625
12,1000,random-O,0.0,0.311
13,1000,random-R,0.7552552552552553,0.979
14,1000,random-U,0.7552552552552553,0.78
15,1200,random-O,0.0,0.31
16,1200,random-R,0.7582582582582582,0.785
17,1200,random-U,0.7522522522522522,0.8183333333333334
18,1400,random-O,0.0,0.29285714285714287
19,1400,random-R,0.7402402402402403,0.8085714285714286
20,1400,random-U,0.7612612612612613,0.8071428571428572
21,1600,random-O,0.0,0.33125
22,1600,random-R,0.7417417417417418,0.8475
23,1600,random-U,0.7567567567567568,0.8975
24,1800,random-O,0.0,0.30777777777777776
25,1800,random-R,0.7432432432432432,0.8972222222222223
26,1800,random-U,0.7522522522522522,0.8316666666666667
27,2000,random-O,0.0,0.3495
28,2000,random-R,0.7522522522522522,0.8345
29,2000,random-U,0.7507507507507507,0.849
30,200,max-degree-O,0.0,0.695
31,200,max-degree-R,0.7762762762762763,0.765
32,200,max-degree-U,0.7597597597597597,0.725
33,400,max-degree-O,0.0,0.62
34,400,max-degree-R,0.7702702702702703,0.9825
35,400,max-degree-U,0.7597597597597597,0.86
36,600,max-degree-O,0.0,0.6316666666666667
37,600,max-degree-R,0.7627627627627628,0.8216666666666667
38,600,max-degree-U,0.7582582582582582,0.8816666666666667
39,800,max-degree-O,0.0,0.53125
40,800,max-degree-R,0.7687687687687688,0.8975
41,800,max-degree-U,0.7522522522522522,0.88625
42,1000,max-degree-O,0.0,0.523
43,1000,max-degree-R,0.7627627627627628,0.901
44,1000,max-degree-U,0.7507507507507507,0.909
45,1200,max-degree-O,0.0,0.5116666666666667
46,1200,max-degree-R,0.7747747747747747,0.8991666666666667
47,1200,max-degree-U,0.7477477477477478,0.8991666666666667
48,1400,max-degree-O,0.0,0.5385714285714286
49,1400,max-degree-R,0.7732732732732732,0.9528571428571428
50,1400,max-degree-U,0.7492492492492493,0.9421428571428572
51,1600,max-degree-O,0.0,0.529375
52,1600,max-degree-R,0.7762762762762763,0.968125
53,1600,max-degree-U,0.7477477477477478,0.955625
54,1800,max-degree-O,0.0,0.5094444444444445
55,1800,max-degree-R,0.7762762762762763,0.9744444444444444
56,1800,max-degree-U,0.7462462462462462,0.9677777777777777
57,2000,max-degree-O,0.0,0.4435
58,2000,max-degree-R,0.7702702702702703,0.978
59,2000,max-degree-U,0.7462462462462462,0.984
60,200,min-degree-O,0.0,0.0
61,200,min-degree-R,0.7792792792792793,1.0
62,200,min-degree-U,0.7612612612612613,1.0
63,400,min-degree-O,0.0,0.0075
64,400,min-degree-R,0.7642642642642643,1.0
65,400,min-degree-U,0.7612612612612613,1.0
66,600,min-degree-O,0.0,0.03166666666666667
67,600,min-degree-R,0.7597597597597597,1.0
68,600,min-degree-U,0.7522522522522522,0.9983333333333333
69,800,min-degree-O,0.0,0.0
70,800,min-degree-R,0.7612612612612613,1.0
71,800,min-degree-U,0.7567567567567568,0.995
72,1000,min-degree-O,0.0,0.002
73,1000,min-degree-R,0.7627627627627628,0.991
74,1000,min-degree-U,0.7552552552552553,0.994
75,1200,min-degree-O,0.0,0.0008333333333333334
76,1200,min-degree-R,0.7537537537537538,0.9991666666666666
77,1200,min-degree-U,0.7567567567567568,0.995
78,1400,min-degree-O,0.0,0.002857142857142857
79,1400,min-degree-R,0.7627627627627628,0.9921428571428571
80,1400,min-degree-U,0.7567567567567568,0.995
81,1600,min-degree-O,0.0,0.059375
82,1600,min-degree-R,0.7567567567567568,0.99125
83,1600,min-degree-U,0.7507507507507507,0.99125
84,1800,min-degree-O,0.0,0.11277777777777778
85,1800,min-degree-R,0.7552552552552553,0.9844444444444445
86,1800,min-degree-U,0.7462462462462462,0.9794444444444445
87,2000,min-degree-O,0.0,0.0975
88,2000,min-degree-R,0.7477477477477478,1.0
89,2000,min-degree-U,0.7432432432432432,0.984
90,200,saliency-O,0.0,1.0
91,200,saliency-R,0.7717717717717718,1.0
92,200,saliency-U,0.7582582582582582,1.0
93,400,saliency-O,0.0,0.0
94,400,saliency-R,0.7747747747747747,1.0
95,400,saliency-U,0.7582582582582582,1.0
96,600,saliency-O,0.0,0.0
97,600,saliency-R,0.7732732732732732,1.0
98,600,saliency-U,0.7582582582582582,1.0
99,800,saliency-O,0.0,1.0
100,800,saliency-R,0.7702702702702703,1.0
101,800,saliency-U,0.7582582582582582,1.0
102,1000,saliency-O,0.0,0.0
103,1000,saliency-R,0.7612612612612613,1.0
104,1000,saliency-U,0.7582582582582582,1.0
105,1200,saliency-O,0.0,0.0
106,1200,saliency-R,0.7582582582582582,1.0
107,1200,saliency-U,0.7582582582582582,1.0
108,1400,saliency-O,0.0,0.0
109,1400,saliency-R,0.7702702702702703,1.0
110,1400,saliency-U,0.7582582582582582,1.0
111,1600,saliency-O,0.0,0.0
112,1600,saliency-R,0.7612612612612613,1.0
113,1600,saliency-U,0.7582582582582582,1.0
114,1800,saliency-O,0.0,0.0
115,1800,saliency-R,0.7657657657657657,1.0
116,1800,saliency-U,0.7582582582582582,1.0
117,2000,saliency-O,0.0,0.0
118,2000,saliency-R,0.7702702702702703,1.0
119,2000,saliency-U,0.7582582582582582,1.0
120,200,random-O,0.0,0.26
121,200,random-R,0.7612612612612613,0.93
122,200,random-U,0.7657657657657657,0.8
123,400,random-O,0.0,0.3175
124,400,random-R,0.7702702702702703,0.8025
125,400,random-U,0.7642642642642643,0.9575
126,600,random-O,0.0,0.2833333333333333
127,600,random-R,0.7672672672672672,0.8116666666666666
128,600,random-U,0.7612612612612613,0.8166666666666667
129,800,random-O,0.0,0.2575
130,800,random-R,0.7762762762762763,0.8375
131,800,random-U,0.7612612612612613,0.87125
132,1000,random-O,0.0,0.258
133,1000,random-R,0.7672672672672672,0.822
134,1000,random-U,0.7552552552552553,0.832
135,1200,random-O,0.0,0.23916666666666667
136,1200,random-R,0.7807807807807807,0.8391666666666666
137,1200,random-U,0.7552552552552553,0.8616666666666667
138,1400,random-O,0.0,0.23785714285714285
139,1400,random-R,0.7672672672672672,0.8357142857142857
140,1400,random-U,0.7522522522522522,0.9014285714285715
141,1600,random-O,0.0,0.24
142,1600,random-R,0.7612612612612613,0.824375
143,1600,random-U,0.7537537537537538,0.82
144,1800,random-O,0.0,0.1527777777777778
145,1800,random-R,0.7552552552552553,0.8188888888888889
146,1800,random-U,0.7492492492492493,0.8244444444444444
147,2000,random-O,0.0,0.247
148,2000,random-R,0.7522522522522522,0.988
149,2000,random-U,0.7477477477477478,0.8805
150,200,max-degree-O,0.0,0.575
151,200,max-degree-R,0.7702702702702703,0.72
152,200,max-degree-U,0.7627627627627628,0.805
153,400,max-degree-O,0.0,0.5825
154,400,max-degree-R,0.7672672672672672,0.8225
155,400,max-degree-U,0.7657657657657657,0.86
156,600,max-degree-O,0.0,0.5066666666666667
157,600,max-degree-R,0.7687687687687688,0.8933333333333333
158,600,max-degree-U,0.7642642642642643,0.8683333333333333
159,800,max-degree-O,0.0,0.51875
160,800,max-degree-R,0.7627627627627628,0.99375
161,800,max-degree-U,0.7642642642642643,0.89
162,1000,max-degree-O,0.0,0.17
163,1000,max-degree-R,0.7702702702702703,0.892
164,1000,max-degree-U,0.7627627627627628,0.904
165,1200,max-degree-O,0.0,0.2275
166,1200,max-degree-R,0.7762762762762763,0.9308333333333333
167,1200,max-degree-U,0.7612612612612613,0.9858333333333333
168,1400,max-degree-O,0.0,0.20285714285714285
169,1400,max-degree-R,0.7747747747747747,0.94
170,1400,max-degree-U,0.7597597597597597,0.9628571428571429
171,1600,max-degree-O,0.0,0.31375
172,1600,max-degree-R,0.7672672672672672,0.98125
173,1600,max-degree-U,0.7567567567567568,0.968125
174,1800,max-degree-O,0.0,0.05277777777777778
175,1800,max-degree-R,0.7702702702702703,0.96
176,1800,max-degree-U,0.7537537537537538,0.9638888888888889
177,2000,max-degree-O,0.0,0.437
178,2000,max-degree-R,0.7762762762762763,0.9755
179,2000,max-degree-U,0.7582582582582582,0.97
180,200,min-degree-O,0.0,0.0
181,200,min-degree-R,0.7777777777777778,1.0
182,200,min-degree-U,0.7642642642642643,1.0
183,400,min-degree-O,0.0,0.0
184,400,min-degree-R,0.7537537537537538,1.0
185,400,min-degree-U,0.7672672672672672,1.0
186,600,min-degree-O,0.0,0.0033333333333333335
187,600,min-degree-R,0.7582582582582582,0.9983333333333333
188,600,min-degree-U,0.7627627627627628,1.0
189,800,min-degree-O,0.0,0.01
190,800,min-degree-R,0.7522522522522522,1.0
191,800,min-degree-U,0.7627627627627628,0.99875
192,1000,min-degree-O,0.0,0.048
193,1000,min-degree-R,0.7777777777777778,0.994
194,1000,min-degree-U,0.7627627627627628,0.997
195,1200,min-degree-O,0.0,0.015833333333333335
196,1200,min-degree-R,0.7597597597597597,0.9933333333333333
197,1200,min-degree-U,0.7597597597597597,0.9966666666666667
198,1400,min-degree-O,0.0,0.03142857142857143
199,1400,min-degree-R,0.7612612612612613,0.995
200,1400,min-degree-U,0.7597597597597597,0.995
201,1600,min-degree-O,0.0,0.06375
202,1600,min-degree-R,0.7597597597597597,0.9875
203,1600,min-degree-U,0.7567567567567568,0.998125
204,1800,min-degree-O,0.0,0.009444444444444445
205,1800,min-degree-R,0.7477477477477478,0.9838888888888889
206,1800,min-degree-U,0.7567567567567568,0.9827777777777778
207,2000,min-degree-O,0.0,0.1105
208,2000,min-degree-R,0.7462462462462462,0.9875
209,2000,min-degree-U,0.7552552552552553,0.9865
210,200,saliency-O,0.0,0.0
211,200,saliency-R,0.7732732732732732,1.0
212,200,saliency-U,0.7672672672672672,1.0
213,400,saliency-O,0.0,0.0
214,400,saliency-R,0.7657657657657657,1.0
215,400,saliency-U,0.7672672672672672,1.0
216,600,saliency-O,0.0,0.0
217,600,saliency-R,0.7642642642642643,1.0
218,600,saliency-U,0.7672672672672672,1.0
219,800,saliency-O,0.0,0.0
220,800,saliency-R,0.7672672672672672,1.0
221,800,saliency-U,0.7672672672672672,1.0
222,1000,saliency-O,0.0,0.0
223,1000,saliency-R,0.7732732732732732,1.0
224,1000,saliency-U,0.7672672672672672,1.0
225,1200,saliency-O,0.0,0.0
226,1200,saliency-R,0.7627627627627628,1.0
227,1200,saliency-U,0.7672672672672672,1.0
228,1400,saliency-O,0.0,0.0
229,1400,saliency-R,0.7717717717717718,1.0
230,1400,saliency-U,0.7672672672672672,1.0
231,1600,saliency-O,0.0,0.0
232,1600,saliency-R,0.7732732732732732,1.0
233,1600,saliency-U,0.7672672672672672,1.0
234,1800,saliency-O,0.0,0.0
235,1800,saliency-R,0.7642642642642643,1.0
236,1800,saliency-U,0.7672672672672672,1.0
237,2000,saliency-O,0.0,0.0
238,2000,saliency-R,0.7747747747747747,1.0
239,2000,saliency-U,0.7672672672672672,1.0
240,200,random-O,0.0,0.28
241,200,random-R,0.7732732732732732,0.895
242,200,random-U,0.7687687687687688,0.83
243,400,random-O,0.0,0.29
244,400,random-R,0.7657657657657657,0.7975
245,400,random-U,0.7687687687687688,0.8225
246,600,random-O,0.0,0.28
247,600,random-R,0.7732732732732732,0.805
248,600,random-U,0.7672672672672672,0.875
249,800,random-O,0.0,0.3175
250,800,random-R,0.7732732732732732,0.7725
251,800,random-U,0.7657657657657657,0.79625
252,1000,random-O,0.0,0.269
253,1000,random-R,0.7732732732732732,0.94
254,1000,random-U,0.7612612612612613,0.817
255,1200,random-O,0.0,0.32916666666666666
256,1200,random-R,0.7582582582582582,0.8308333333333333
257,1200,random-U,0.7642642642642643,0.8183333333333334
258,1400,random-O,0.0,0.34285714285714286
259,1400,random-R,0.7612612612612613,0.8485714285714285
260,1400,random-U,0.7597597597597597,0.8021428571428572
261,1600,random-O,0.0,0.31625
262,1600,random-R,0.7597597597597597,0.950625
263,1600,random-U,0.7582582582582582,0.818125
264,1800,random-O,0.0,0.3372222222222222
265,1800,random-R,0.7597597597597597,0.7938888888888889
266,1800,random-U,0.7507507507507507,0.8
267,2000,random-O,0.0,0.358
268,2000,random-R,0.7477477477477478,0.844
269,2000,random-U,0.7432432432432432,0.857
270,200,max-degree-O,0.0,0.705
271,200,max-degree-R,0.7612612612612613,0.71
272,200,max-degree-U,0.7642642642642643,0.725
273,400,max-degree-O,0.0,0.62
274,400,max-degree-R,0.7717717717717718,0.99
275,400,max-degree-U,0.7657657657657657,0.8175
276,600,max-degree-O,0.0,0.6
277,600,max-degree-R,0.7657657657657657,0.84
278,600,max-degree-U,0.7657657657657657,0.8233333333333334
279,800,max-degree-O,0.0,0.51375
280,800,max-degree-R,0.7732732732732732,0.8675
281,800,max-degree-U,0.7657657657657657,0.87
282,1000,max-degree-O,0.0,0.535
283,1000,max-degree-R,0.7672672672672672,0.864
284,1000,max-degree-U,0.7672672672672672,0.866
285,1200,max-degree-O,0.0,0.4608333333333333
286,1200,max-degree-R,0.7732732732732732,0.915
287,1200,max-degree-U,0.7657657657657657,0.9166666666666666
288,1400,max-degree-O,0.0,0.4207142857142857
289,1400,max-degree-R,0.7702702702702703,0.9685714285714285
290,1400,max-degree-U,0.7657657657657657,0.9778571428571429
291,1600,max-degree-O,0.0,0.481875
292,1600,max-degree-R,0.7702702702702703,0.95875
293,1600,max-degree-U,0.7627627627627628,0.966875
294,1800,max-degree-O,0.0,0.5133333333333333
295,1800,max-degree-R,0.7672672672672672,0.965
296,1800,max-degree-U,0.7597597597597597,0.9694444444444444
297,2000,max-degree-O,0.0,0.4295
298,2000,max-degree-R,0.7732732732732732,0.98
299,2000,max-degree-U,0.7597597597597597,0.9835
300,200,min-degree-O,0.0,1.0
301,200,min-degree-R,0.7687687687687688,1.0
302,200,min-degree-U,0.7672672672672672,1.0
303,400,min-degree-O,0.0,0.0125
304,400,min-degree-R,0.7627627627627628,1.0
305,400,min-degree-U,0.7657657657657657,1.0
306,600,min-degree-O,0.0,0.023333333333333334
307,600,min-degree-R,0.7387387387387387,1.0
308,600,min-degree-U,0.7627627627627628,0.9983333333333333
309,800,min-degree-O,0.0,0.0375
310,800,min-degree-R,0.7462462462462462,1.0
311,800,min-degree-U,0.7642642642642643,0.9975
312,1000,min-degree-O,0.0,0.051
313,1000,min-degree-R,0.7522522522522522,0.996
314,1000,min-degree-U,0.7612612612612613,0.997
315,1200,min-degree-O,0.0,0.075
316,1200,min-degree-R,0.7522522522522522,0.9991666666666666
317,1200,min-degree-U,0.7612612612612613,0.9966666666666667
318,1400,min-degree-O,0.0,0.08071428571428571
319,1400,min-degree-R,0.7522522522522522,0.9907142857142858
320,1400,min-degree-U,0.7567567567567568,0.9914285714285714
321,1600,min-degree-O,0.0,0.066875
322,1600,min-degree-R,0.7552552552552553,0.9875
323,1600,min-degree-U,0.7552552552552553,0.99
324,1800,min-degree-O,0.0,0.10166666666666667
325,1800,min-degree-R,0.7522522522522522,0.9883333333333333
326,1800,min-degree-U,0.7537537537537538,0.9883333333333333
327,2000,min-degree-O,0.0,0.113
328,2000,min-degree-R,0.7462462462462462,0.9865
329,2000,min-degree-U,0.7477477477477478,0.9895
330,200,saliency-O,0.0,1.0
331,200,saliency-R,0.7642642642642643,1.0
