,# edges,setting,Accuracy
0,200,random-R,0.7597597597597597
1,400,random-R,0.7582582582582582
2,600,random-R,0.7672672672672672
3,800,random-R,0.7612612612612613
4,1000,random-R,0.7552552552552553
5,1200,random-R,0.7597597597597597
6,1400,random-R,0.7567567567567568
7,1600,random-R,0.7537537537537538
8,1800,random-R,0.7522522522522522
9,2000,random-R,0.7597597597597597
10,200,random-U,0.7612612612612613
11,400,random-U,0.7522522522522522
12,600,random-U,0.7612612612612613
13,800,random-U,0.7582582582582582
14,1000,random-U,0.7582582582582582
15,1200,random-U,0.7552552552552553
16,1400,random-U,0.7537537537537538
17,1600,random-U,0.7462462462462462
18,1800,random-U,0.7477477477477478
19,2000,random-U,0.7432432432432432
20,200,max-degree-R,0.7762762762762763
21,400,max-degree-R,0.7732732732732732
22,600,max-degree-R,0.7672672672672672
23,800,max-degree-R,0.7702702702702703
24,1000,max-degree-R,0.7837837837837838
25,1200,max-degree-R,0.7732732732732732
26,1400,max-degree-R,0.7732732732732732
27,1600,max-degree-R,0.7717717717717718
28,1800,max-degree-R,0.7672672672672672
29,2000,max-degree-R,0.7882882882882883
30,200,max-degree-U,0.7717717717717718
31,400,max-degree-U,0.7717717717717718
32,600,max-degree-U,0.7687687687687688
33,800,max-degree-U,0.7687687687687688
34,1000,max-degree-U,0.7702702702702703
35,1200,max-degree-U,0.7702702702702703
36,1400,max-degree-U,0.7642642642642643
37,1600,max-degree-U,0.7612612612612613
38,1800,max-degree-U,0.7597597597597597
39,2000,max-degree-U,0.7627627627627628
40,200,min-degree-R,0.7657657657657657
41,400,min-degree-R,0.7672672672672672
42,600,min-degree-R,0.7582582582582582
43,800,min-degree-R,0.7597597597597597
44,1000,min-degree-R,0.7687687687687688
45,1200,min-degree-R,0.7612612612612613
46,1400,min-degree-R,0.7582582582582582
47,1600,min-degree-R,0.7627627627627628
48,1800,min-degree-R,0.7537537537537538
49,2000,min-degree-R,0.7552552552552553
50,200,min-degree-U,0.7687687687687688
51,400,min-degree-U,0.7672672672672672
52,600,min-degree-U,0.7642642642642643
53,800,min-degree-U,0.7642642642642643
54,1000,min-degree-U,0.7582582582582582
55,1200,min-degree-U,0.7567567567567568
56,1400,min-degree-U,0.7567567567567568
57,1600,min-degree-U,0.7537537537537538
58,1800,min-degree-U,0.7492492492492493
59,2000,min-degree-U,0.7432432432432432
