,# edges,setting,Accuracy
0,200,random-R,0.8154981549815498
1,400,random-R,0.8136531365313653
2,600,random-R,0.8136531365313653
3,800,random-R,0.7933579335793358
4,1000,random-R,0.8062730627306273
5,1200,random-R,0.8025830258302583
6,1400,random-R,0.7952029520295203
7,1600,random-R,0.7952029520295203
8,1800,random-R,0.7619926199261993
9,2000,random-R,0.7638376383763837
10,200,random-U,0.8284132841328413
11,400,random-U,0.8302583025830258
12,600,random-U,0.8321033210332104
13,800,random-U,0.8284132841328413
14,1000,random-U,0.8265682656826568
15,1200,random-U,0.8247232472324724
16,1400,random-U,0.8191881918819188
17,1600,random-U,0.8173431734317343
18,1800,random-U,0.8154981549815498
19,2000,random-U,0.8081180811808119
20,200,max-degree-R,0.8265682656826568
21,400,max-degree-R,0.8284132841328413
22,600,max-degree-R,0.8136531365313653
23,800,max-degree-R,0.8210332103321033
24,1000,max-degree-R,0.8154981549815498
25,1200,max-degree-R,0.8154981549815498
26,1400,max-degree-R,0.8173431734317343
27,1600,max-degree-R,0.7915129151291513
28,1800,max-degree-R,0.7822878228782287
29,2000,max-degree-R,0.7878228782287823
30,200,max-degree-U,0.8265682656826568
31,400,max-degree-U,0.8247232472324724
32,600,max-degree-U,0.8210332103321033
33,800,max-degree-U,0.8173431734317343
34,1000,max-degree-U,0.8154981549815498
35,1200,max-degree-U,0.8154981549815498
36,1400,max-degree-U,0.8136531365313653
37,1600,max-degree-U,0.8173431734317343
38,1800,max-degree-U,0.8191881918819188
39,2000,max-degree-U,0.8154981549815498
40,200,min-degree-R,0.8007380073800738
41,400,min-degree-R,0.8044280442804428
42,600,min-degree-R,0.7933579335793358
43,800,min-degree-R,0.7804428044280443
44,1000,min-degree-R,0.7619926199261993
45,1200,min-degree-R,0.7656826568265682
46,1400,min-degree-R,0.7583025830258303
47,1600,min-degree-R,0.7693726937269373
48,1800,min-degree-R,0.7859778597785978
49,2000,min-degree-R,0.7527675276752768
50,200,min-degree-U,0.8265682656826568
51,400,min-degree-U,0.8228782287822878
52,600,min-degree-U,0.8154981549815498
53,800,min-degree-U,0.8191881918819188
54,1000,min-degree-U,0.8154981549815498
55,1200,min-degree-U,0.8118081180811808
56,1400,min-degree-U,0.8118081180811808
57,1600,min-degree-U,0.8062730627306273
58,1800,min-degree-U,0.8081180811808119
59,2000,min-degree-U,0.8007380073800738
60,200,saliency-R,0.8099630996309963
61,400,saliency-R,0.8210332103321033
62,600,saliency-R,0.8228782287822878
63,800,saliency-R,0.8191881918819188
64,1000,saliency-R,0.8136531365313653
65,1200,saliency-R,0.8210332103321033
66,1400,saliency-R,0.8210332103321033
67,1600,saliency-R,0.8081180811808119
68,1800,saliency-R,0.8099630996309963
69,2000,saliency-R,0.8007380073800738
70,200,saliency-U,0.8284132841328413
71,400,saliency-U,0.8284132841328413
72,600,saliency-U,0.8284132841328413
73,800,saliency-U,0.8284132841328413
74,1000,saliency-U,0.8284132841328413
