,# edges,setting,accuracy,privacy leakage
0,200,random-O,0.0,0.315
1,200,random-R,0.8726937269372693,0.71
2,200,random-U,0.8579335793357934,0.72
3,400,random-O,0.0,0.35
4,400,random-R,0.8708487084870848,0.8575
5,400,random-U,0.8542435424354243,0.7475
6,600,random-O,0.0,0.37166666666666665
7,600,random-R,0.8653136531365314,0.6616666666666666
8,600,random-U,0.8597785977859779,0.72
9,800,random-O,0.0,0.33
10,800,random-R,0.8653136531365314,0.6775
11,800,random-U,0.8616236162361623,0.7375
12,1000,random-O,0.0,0.348
13,1000,random-R,0.8523985239852399,0.793
14,1000,random-U,0.8597785977859779,0.676
15,1200,random-O,0.0,0.4033333333333333
16,1200,random-R,0.8597785977859779,0.8466666666666667
17,1200,random-U,0.8653136531365314,0.6975
18,1400,random-O,0.0,0.4057142857142857
19,1400,random-R,0.8579335793357934,0.6964285714285714
20,1400,random-U,0.8616236162361623,0.7542857142857143
21,1600,random-O,0.0,0.389375
22,1600,random-R,0.8708487084870848,0.79
23,1600,random-U,0.8597785977859779,0.74125
24,1800,random-O,0.0,0.3616666666666667
25,1800,random-R,0.8597785977859779,0.7222222222222222
26,1800,random-U,0.8634686346863468,0.7355555555555555
27,2000,random-O,0.0,0.3985
28,2000,random-R,0.8634686346863468,0.693
29,2000,random-U,0.8634686346863468,0.732
30,200,max-degree-O,0.0,0.8
31,200,max-degree-R,0.8745387453874539,0.87
32,200,max-degree-U,0.8579335793357934,0.895
33,400,max-degree-O,0.0,0.675
34,400,max-degree-R,0.8616236162361623,0.975
35,400,max-degree-U,0.8523985239852399,0.965
36,600,max-degree-O,0.0,0.6633333333333333
37,600,max-degree-R,0.8634686346863468,0.87
38,600,max-degree-U,0.8523985239852399,0.9383333333333334
39,800,max-degree-O,0.0,0.53625
40,800,max-degree-R,0.8653136531365314,0.9525
41,800,max-degree-U,0.8523985239852399,0.9975
42,1000,max-degree-O,0.0,0.603
43,1000,max-degree-R,0.8671586715867159,0.933
44,1000,max-degree-U,0.8560885608856088,0.928
45,1200,max-degree-O,0.0,0.5783333333333334
46,1200,max-degree-R,0.8616236162361623,0.9108333333333334
47,1200,max-degree-U,0.8560885608856088,0.9891666666666666
48,1400,max-degree-O,0.0,0.5435714285714286
49,1400,max-degree-R,0.8579335793357934,0.9714285714285714
50,1400,max-degree-U,0.8523985239852399,0.9442857142857143
51,1600,max-degree-O,0.0,0.555
52,1600,max-degree-R,0.8597785977859779,0.950625
53,1600,max-degree-U,0.8523985239852399,0.95125
54,1800,max-degree-O,0.0,0.5355555555555556
55,1800,max-degree-R,0.8523985239852399,0.9638888888888889
56,1800,max-degree-U,0.8523985239852399,0.9655555555555555
57,2000,max-degree-O,0.0,0.548
58,2000,max-degree-R,0.8487084870848709,0.9935
59,2000,max-degree-U,0.8523985239852399,0.948
60,200,min-degree-O,0.0,0.035
61,200,min-degree-R,0.8653136531365314,0.98
62,200,min-degree-U,0.8579335793357934,1.0
63,400,min-degree-O,0.0,0.0825
64,400,min-degree-R,0.8542435424354243,0.9775
65,400,min-degree-U,0.8597785977859779,0.99
66,600,min-degree-O,0.0,0.09
67,600,min-degree-R,0.8579335793357934,0.9716666666666667
68,600,min-degree-U,0.8560885608856088,0.9733333333333334
69,800,min-degree-O,0.0,0.1225
70,800,min-degree-R,0.8579335793357934,0.98375
71,800,min-degree-U,0.8579335793357934,0.975
72,1000,min-degree-O,0.0,0.143
