,# edges,setting,Accuracy
0,200,random-R,0.8321033210332104
1,400,random-R,0.8321033210332104
2,600,random-R,0.8210332103321033
3,800,random-R,0.8173431734317343
4,1000,random-R,0.8099630996309963
5,1200,random-R,0.7952029520295203
6,1400,random-R,0.7988929889298892
7,1600,random-R,0.7970479704797048
8,1800,random-R,0.7896678966789668
9,2000,random-R,0.7841328413284133
10,200,random-U,0.8394833948339483
11,400,random-U,0.8284132841328413
12,600,random-U,0.8302583025830258
13,800,random-U,0.8265682656826568
14,1000,random-U,0.8247232472324724
15,1200,random-U,0.8210332103321033
16,1400,random-U,0.8210332103321033
17,1600,random-U,0.8191881918819188
18,1800,random-U,0.8191881918819188
19,2000,random-U,0.8154981549815498
20,200,max-degree-R,0.8284132841328413
21,400,max-degree-R,0.8265682656826568
22,600,max-degree-R,0.8284132841328413
23,800,max-degree-R,0.8321033210332104
24,1000,max-degree-R,0.8247232472324724
25,1200,max-degree-R,0.8247232472324724
26,1400,max-degree-R,0.8191881918819188
27,1600,max-degree-R,0.8044280442804428
28,1800,max-degree-R,0.8081180811808119
29,2000,max-degree-R,0.7952029520295203
30,200,max-degree-U,0.8339483394833949
31,400,max-degree-U,0.8302583025830258
32,600,max-degree-U,0.8265682656826568
33,800,max-degree-U,0.8265682656826568
34,1000,max-degree-U,0.8228782287822878
35,1200,max-degree-U,0.8210332103321033
36,1400,max-degree-U,0.8210332103321033
37,1600,max-degree-U,0.8154981549815498
38,1800,max-degree-U,0.8173431734317343
39,2000,max-degree-U,0.8154981549815498
40,200,min-degree-R,0.8210332103321033
41,400,min-degree-R,0.8044280442804428
42,600,min-degree-R,0.7952029520295203
43,800,min-degree-R,0.7970479704797048
44,1000,min-degree-R,0.7896678966789668
45,1200,min-degree-R,0.7859778597785978
46,1400,min-degree-R,0.7859778597785978
47,1600,min-degree-R,0.7785977859778598
48,1800,min-degree-R,0.7859778597785978
49,2000,min-degree-R,0.7638376383763837
50,200,min-degree-U,0.8339483394833949
51,400,min-degree-U,0.8302583025830258
52,600,min-degree-U,0.8210332103321033
53,800,min-degree-U,0.8284132841328413
54,1000,min-degree-U,0.8247232472324724
55,1200,min-degree-U,0.8210332103321033
56,1400,min-degree-U,0.8136531365313653
57,1600,min-degree-U,0.8136531365313653
58,1800,min-degree-U,0.8136531365313653
59,2000,min-degree-U,0.8081180811808119
60,200,saliency-R,0.8357933579335793
61,400,saliency-R,0.8302583025830258
62,600,saliency-R,0.8284132841328413
63,800,saliency-R,0.8247232472324724
64,1000,saliency-R,0.8302583025830258
65,1200,saliency-R,0.8265682656826568
