,# edges,setting,Accuracy
0,200,random-R,0.8726937269372693
1,400,random-R,0.8634686346863468
2,600,random-R,0.8763837638376384
3,800,random-R,0.8708487084870848
4,1000,random-R,0.8745387453874539
5,1200,random-R,0.8616236162361623
6,1400,random-R,0.8837638376383764
7,1600,random-R,0.8634686346863468
8,1800,random-R,0.8597785977859779
9,2000,random-R,0.8579335793357934
10,200,random-U,0.8708487084870848
11,400,random-U,0.8708487084870848
12,600,random-U,0.8653136531365314
13,800,random-U,0.8579335793357934
14,1000,random-U,0.8634686346863468
15,1200,random-U,0.8653136531365314
16,1400,random-U,0.8690036900369004
17,1600,random-U,0.8634686346863468
18,1800,random-U,0.8653136531365314
19,2000,random-U,0.8653136531365314
20,200,max-degree-R,0.8671586715867159
21,400,max-degree-R,0.8579335793357934
22,600,max-degree-R,0.8671586715867159
23,800,max-degree-R,0.8671586715867159
24,1000,max-degree-R,0.8690036900369004
25,1200,max-degree-R,0.8579335793357934
26,1400,max-degree-R,0.8597785977859779
27,1600,max-degree-R,0.8653136531365314
28,1800,max-degree-R,0.8653136531365314
29,2000,max-degree-R,0.8597785977859779
30,200,max-degree-U,0.8653136531365314
31,400,max-degree-U,0.8579335793357934
32,600,max-degree-U,0.8653136531365314
33,800,max-degree-U,0.8653136531365314
34,1000,max-degree-U,0.8653136531365314
35,1200,max-degree-U,0.8579335793357934
36,1400,max-degree-U,0.8523985239852399
37,1600,max-degree-U,0.8579335793357934
38,1800,max-degree-U,0.8579335793357934
39,2000,max-degree-U,0.8579335793357934
40,200,min-degree-R,0.8616236162361623
41,400,min-degree-R,0.8505535055350554
42,600,min-degree-R,0.8487084870848709
43,800,min-degree-R,0.8468634686346863
44,1000,min-degree-R,0.8468634686346863
45,1200,min-degree-R,0.8634686346863468
46,1400,min-degree-R,0.8597785977859779
47,1600,min-degree-R,0.8542435424354243
48,1800,min-degree-R,0.8523985239852399
49,2000,min-degree-R,0.8376383763837638
50,200,min-degree-U,0.8579335793357934
51,400,min-degree-U,0.8542435424354243
52,600,min-degree-U,0.8487084870848709
53,800,min-degree-U,0.8505535055350554
54,1000,min-degree-U,0.8579335793357934
55,1200,min-degree-U,0.8542435424354243
56,1400,min-degree-U,0.8597785977859779
57,1600,min-degree-U,0.8560885608856088
58,1800,min-degree-U,0.8523985239852399
59,2000,min-degree-U,0.8505535055350554
60,200,saliency-R,0.8726937269372693
61,400,saliency-R,0.8708487084870848
