,# edges,setting,Accuracy
0,200,random-R,0.8321033210332104
1,400,random-R,0.8265682656826568
2,600,random-R,0.8099630996309963
3,800,random-R,0.8099630996309963
4,1000,random-R,0.8099630996309963
5,1200,random-R,0.8081180811808119
6,1400,random-R,0.7952029520295203
7,1600,random-R,0.7822878228782287
8,1800,random-R,0.7785977859778598
9,2000,random-R,0.7712177121771218
10,200,random-U,0.8357933579335793
11,400,random-U,0.8394833948339483
12,600,random-U,0.8357933579335793
13,800,random-U,0.8357933579335793
14,1000,random-U,0.8284132841328413
15,1200,random-U,0.8265682656826568
16,1400,random-U,0.8228782287822878
17,1600,random-U,0.8284132841328413
18,1800,random-U,0.8247232472324724
19,2000,random-U,0.8210332103321033
20,200,max-degree-R,0.8450184501845018
21,400,max-degree-R,0.8413284132841329
22,600,max-degree-R,0.8099630996309963
23,800,max-degree-R,0.8357933579335793
24,1000,max-degree-R,0.8081180811808119
25,1200,max-degree-R,0.8173431734317343
26,1400,max-degree-R,0.8210332103321033
27,1600,max-degree-R,0.7915129151291513
28,1800,max-degree-R,0.8118081180811808
29,2000,max-degree-R,0.8007380073800738
30,200,max-degree-U,0.8394833948339483
31,400,max-degree-U,0.8394833948339483
32,600,max-degree-U,0.8394833948339483
33,800,max-degree-U,0.8394833948339483
34,1000,max-degree-U,0.8357933579335793
35,1200,max-degree-U,0.8302583025830258
36,1400,max-degree-U,0.8265682656826568
37,1600,max-degree-U,0.8228782287822878
38,1800,max-degree-U,0.8210332103321033
39,2000,max-degree-U,0.8191881918819188
40,200,min-degree-R,0.8321033210332104
41,400,min-degree-R,0.7859778597785978
42,600,min-degree-R,0.8044280442804428
43,800,min-degree-R,0.7896678966789668
44,1000,min-degree-R,0.7952029520295203
45,1200,min-degree-R,0.7933579335793358
46,1400,min-degree-R,0.7859778597785978
47,1600,min-degree-R,0.7859778597785978
48,1800,min-degree-R,0.7859778597785978
49,2000,min-degree-R,0.7693726937269373
50,200,min-degree-U,0.8394833948339483
51,400,min-degree-U,0.8413284132841329
52,600,min-degree-U,0.8321033210332104
53,800,min-degree-U,0.8339483394833949
54,1000,min-degree-U,0.8284132841328413
55,1200,min-degree-U,0.8284132841328413
56,1400,min-degree-U,0.8302583025830258
57,1600,min-degree-U,0.8265682656826568
58,1800,min-degree-U,0.8210332103321033
59,2000,min-degree-U,0.8154981549815498
60,200,saliency-R,0.8265682656826568
61,400,saliency-R,0.8450184501845018
62,600,saliency-R,0.8431734317343174
63,800,saliency-R,0.8247232472324724
64,1000,saliency-R,0.8431734317343174
65,1200,saliency-R,0.8450184501845018
66,1400,saliency-R,0.8468634686346863
67,1600,saliency-R,0.8265682656826568
68,1800,saliency-R,0.8413284132841329
69,2000,saliency-R,0.8450184501845018
70,200,saliency-U,0.8413284132841329
71,400,saliency-U,0.8413284132841329
72,600,saliency-U,0.8413284132841329
73,800,saliency-U,0.8413284132841329
74,1000,saliency-U,0.8431734317343174
75,1200,saliency-U,0.8413284132841329
76,1400,saliency-U,0.8413284132841329
77,1600,saliency-U,0.8413284132841329
78,1800,saliency-U,0.8413284132841329
79,2000,saliency-U,0.8413284132841329
80,200,random-R,0.8284132841328413
81,400,random-R,0.8284132841328413
82,600,random-R,0.8265682656826568
83,800,random-R,0.8210332103321033
84,1000,random-R,0.8191881918819188
85,1200,random-R,0.8228782287822878
86,1400,random-R,0.7767527675276753
87,1600,random-R,0.8099630996309963
88,1800,random-R,0.8099630996309963
89,2000,random-R,0.8025830258302583
90,200,random-U,0.8357933579335793
91,400,random-U,0.8321033210332104
92,600,random-U,0.8284132841328413
93,800,random-U,0.8265682656826568
94,1000,random-U,0.8210332103321033
95,1200,random-U,0.8247232472324724
96,1400,random-U,0.8228782287822878
97,1600,random-U,0.8247232472324724
98,1800,random-U,0.8265682656826568
99,2000,random-U,0.8284132841328413
100,200,max-degree-R,0.8357933579335793
101,400,max-degree-R,0.8210332103321033
102,600,max-degree-R,0.8321033210332104
103,800,max-degree-R,0.8394833948339483
104,1000,max-degree-R,0.8284132841328413
105,1200,max-degree-R,0.8191881918819188
106,1400,max-degree-R,0.8154981549815498
107,1600,max-degree-R,0.8136531365313653
108,1800,max-degree-R,0.8025830258302583
109,2000,max-degree-R,0.8062730627306273
110,200,max-degree-U,0.8339483394833949
111,400,max-degree-U,0.8284132841328413
112,600,max-degree-U,0.8284132841328413
113,800,max-degree-U,0.8228782287822878
114,1000,max-degree-U,0.8210332103321033
115,1200,max-degree-U,0.8191881918819188
116,1400,max-degree-U,0.8136531365313653
117,1600,max-degree-U,0.8099630996309963
118,1800,max-degree-U,0.8081180811808119
119,2000,max-degree-U,0.8062730627306273
120,200,min-degree-R,0.8376383763837638
121,400,min-degree-R,0.8136531365313653
122,600,min-degree-R,0.8044280442804428
123,800,min-degree-R,0.7693726937269373
124,1000,min-degree-R,0.7472324723247232
125,1200,min-degree-R,0.7915129151291513
126,1400,min-degree-R,0.7896678966789668
127,1600,min-degree-R,0.7841328413284133
128,1800,min-degree-R,0.7878228782287823
129,2000,min-degree-R,0.7583025830258303
130,200,min-degree-U,0.8376383763837638
131,400,min-degree-U,0.8357933579335793
132,600,min-degree-U,0.8302583025830258
133,800,min-degree-U,0.8321033210332104
134,1000,min-degree-U,0.8247232472324724
135,1200,min-degree-U,0.8191881918819188
136,1400,min-degree-U,0.8154981549815498
137,1600,min-degree-U,0.8099630996309963
138,1800,min-degree-U,0.8062730627306273
139,2000,min-degree-U,0.8044280442804428
140,200,saliency-R,0.8339483394833949
141,400,saliency-R,0.8357933579335793
142,600,saliency-R,0.8487084870848709
143,800,saliency-R,0.8357933579335793
144,1000,saliency-R,0.8302583025830258
145,1200,saliency-R,0.8413284132841329
146,1400,saliency-R,0.8284132841328413
147,1600,saliency-R,0.8210332103321033
148,1800,saliency-R,0.8468634686346863
149,2000,saliency-R,0.8394833948339483
150,200,saliency-U,0.8376383763837638
151,400,saliency-U,0.8394833948339483
152,600,saliency-U,0.8394833948339483
153,800,saliency-U,0.8394833948339483
154,1000,saliency-U,0.8394833948339483
155,1200,saliency-U,0.8376383763837638
156,1400,saliency-U,0.8376383763837638
157,1600,saliency-U,0.8376383763837638
158,1800,saliency-U,0.8376383763837638
159,2000,saliency-U,0.8376383763837638
160,200,random-R,0.8210332103321033
161,400,random-R,0.8284132841328413
162,600,random-R,0.8247232472324724
163,800,random-R,0.8154981549815498
164,1000,random-R,0.8376383763837638
165,1200,random-R,0.8136531365313653
166,1400,random-R,0.8247232472324724
167,1600,random-R,0.8154981549815498
168,1800,random-R,0.8062730627306273
169,2000,random-R,0.7859778597785978
170,200,random-U,0.8450184501845018
171,400,random-U,0.8394833948339483
172,600,random-U,0.8376383763837638
173,800,random-U,0.8357933579335793
174,1000,random-U,0.8357933579335793
175,1200,random-U,0.8339483394833949
176,1400,random-U,0.8376383763837638
177,1600,random-U,0.8357933579335793
178,1800,random-U,0.8284132841328413
179,2000,random-U,0.8210332103321033
180,200,max-degree-R,0.8302583025830258
181,400,max-degree-R,0.8284132841328413
182,600,max-degree-R,0.8284132841328413
183,800,max-degree-R,0.8247232472324724
184,1000,max-degree-R,0.8154981549815498
185,1200,max-degree-R,0.8265682656826568
186,1400,max-degree-R,0.8284132841328413
187,1600,max-degree-R,0.7970479704797048
188,1800,max-degree-R,0.7712177121771218
189,2000,max-degree-R,0.8044280442804428
190,200,max-degree-U,0.8487084870848709
191,400,max-degree-U,0.8394833948339483
192,600,max-degree-U,0.8394833948339483
193,800,max-degree-U,0.8376383763837638
194,1000,max-degree-U,0.8376383763837638
195,1200,max-degree-U,0.8357933579335793
196,1400,max-degree-U,0.8284132841328413
197,1600,max-degree-U,0.8228782287822878
198,1800,max-degree-U,0.8210332103321033
199,2000,max-degree-U,0.8210332103321033
200,200,min-degree-R,0.8302583025830258
201,400,min-degree-R,0.8118081180811808
202,600,min-degree-R,0.7749077490774908
203,800,min-degree-R,0.8136531365313653
204,1000,min-degree-R,0.7859778597785978
205,1200,min-degree-R,0.7804428044280443
206,1400,min-degree-R,0.7804428044280443
207,1600,min-degree-R,0.7859778597785978
