,# edges,setting,Accuracy
0,200,random-R,0.8247232472324724
1,400,random-R,0.8302583025830258
2,600,random-R,0.8210332103321033
3,800,random-R,0.8228782287822878
4,1000,random-R,0.8118081180811808
5,1200,random-R,0.8154981549815498
6,1400,random-R,0.7822878228782287
7,1600,random-R,0.7952029520295203
8,1800,random-R,0.7804428044280443
9,2000,random-R,0.7878228782287823
10,200,random-U,0.8376383763837638
11,400,random-U,0.8376383763837638
12,600,random-U,0.8284132841328413
13,800,random-U,0.8284132841328413
14,1000,random-U,0.8247232472324724
15,1200,random-U,0.8247232472324724
16,1400,random-U,0.8265682656826568
17,1600,random-U,0.8228782287822878
18,1800,random-U,0.8191881918819188
19,2000,random-U,0.8154981549815498
20,200,max-degree-R,0.8357933579335793
21,400,max-degree-R,0.8247232472324724
22,600,max-degree-R,0.8247232472324724
23,800,max-degree-R,0.8376383763837638
24,1000,max-degree-R,0.8228782287822878
25,1200,max-degree-R,0.8302583025830258
26,1400,max-degree-R,0.8191881918819188
27,1600,max-degree-R,0.8025830258302583
28,1800,max-degree-R,0.8007380073800738
29,2000,max-degree-R,0.8025830258302583
30,200,max-degree-U,0.8376383763837638
31,400,max-degree-U,0.8302583025830258
32,600,max-degree-U,0.8265682656826568
33,800,max-degree-U,0.8265682656826568
34,1000,max-degree-U,0.8247232472324724
35,1200,max-degree-U,0.8210332103321033
36,1400,max-degree-U,0.8173431734317343
37,1600,max-degree-U,0.8118081180811808
38,1800,max-degree-U,0.8081180811808119
39,2000,max-degree-U,0.7988929889298892
40,200,min-degree-R,0.8247232472324724
41,400,min-degree-R,0.8044280442804428
42,600,min-degree-R,0.8062730627306273
43,800,min-degree-R,0.7896678966789668
44,1000,min-degree-R,0.7933579335793358
45,1200,min-degree-R,0.8007380073800738
46,1400,min-degree-R,0.7804428044280443
47,1600,min-degree-R,0.7749077490774908
48,1800,min-degree-R,0.7952029520295203
49,2000,min-degree-R,0.7564575645756457
50,200,min-degree-U,0.8357933579335793
51,400,min-degree-U,0.8376383763837638
52,600,min-degree-U,0.8321033210332104
53,800,min-degree-U,0.8339483394833949
54,1000,min-degree-U,0.8284132841328413
55,1200,min-degree-U,0.8302583025830258
56,1400,min-degree-U,0.8321033210332104
57,1600,min-degree-U,0.8284132841328413
58,1800,min-degree-U,0.8228782287822878
59,2000,min-degree-U,0.8210332103321033
60,200,saliency-R,0.8357933579335793
61,400,saliency-R,0.8413284132841329
62,600,saliency-R,0.8450184501845018
63,800,saliency-R,0.8431734317343174
64,1000,saliency-R,0.8247232472324724
65,1200,saliency-R,0.8376383763837638
66,1400,saliency-R,0.8431734317343174
67,1600,saliency-R,0.8339483394833949
68,1800,saliency-R,0.8357933579335793
69,2000,saliency-R,0.8339483394833949
70,200,saliency-U,0.8394833948339483
71,400,saliency-U,0.8394833948339483
72,600,saliency-U,0.8394833948339483
73,800,saliency-U,0.8394833948339483
74,1000,saliency-U,0.8394833948339483
75,1200,saliency-U,0.8394833948339483
76,1400,saliency-U,0.8394833948339483
77,1600,saliency-U,0.8394833948339483
78,1800,saliency-U,0.8394833948339483
79,2000,saliency-U,0.8394833948339483
80,200,random-R,0.8302583025830258
81,400,random-R,0.8321033210332104
82,600,random-R,0.8265682656826568
83,800,random-R,0.8302583025830258
84,1000,random-R,0.8265682656826568
85,1200,random-R,0.8228782287822878
86,1400,random-R,0.7730627306273062
87,1600,random-R,0.8154981549815498
88,1800,random-R,0.7970479704797048
89,2000,random-R,0.7878228782287823
90,200,random-U,0.8247232472324724
91,400,random-U,0.8210332103321033
92,600,random-U,0.8228782287822878
93,800,random-U,0.8247232472324724
94,1000,random-U,0.8228782287822878
95,1200,random-U,0.8228782287822878
96,1400,random-U,0.8247232472324724
97,1600,random-U,0.8210332103321033
98,1800,random-U,0.8210332103321033
99,2000,random-U,0.8210332103321033
100,200,max-degree-R,0.8394833948339483
101,400,max-degree-R,0.8118081180811808
102,600,max-degree-R,0.8191881918819188
103,800,max-degree-R,0.8302583025830258
104,1000,max-degree-R,0.8339483394833949
105,1200,max-degree-R,0.8228782287822878
106,1400,max-degree-R,0.8173431734317343
107,1600,max-degree-R,0.8154981549815498
108,1800,max-degree-R,0.8044280442804428
109,2000,max-degree-R,0.7915129151291513
110,200,max-degree-U,0.8247232472324724
111,400,max-degree-U,0.8247232472324724
112,600,max-degree-U,0.8210332103321033
113,800,max-degree-U,0.8228782287822878
114,1000,max-degree-U,0.8228782287822878
115,1200,max-degree-U,0.8228782287822878
116,1400,max-degree-U,0.8173431734317343
117,1600,max-degree-U,0.8136531365313653
118,1800,max-degree-U,0.8136531365313653
119,2000,max-degree-U,0.8081180811808119
120,200,min-degree-R,0.8191881918819188
121,400,min-degree-R,0.8062730627306273
122,600,min-degree-R,0.7988929889298892
123,800,min-degree-R,0.7915129151291513
124,1000,min-degree-R,0.7822878228782287
125,1200,min-degree-R,0.7933579335793358
126,1400,min-degree-R,0.7859778597785978
127,1600,min-degree-R,0.7859778597785978
128,1800,min-degree-R,0.7785977859778598
129,2000,min-degree-R,0.7435424354243543
130,200,min-degree-U,0.8247232472324724
131,400,min-degree-U,0.8284132841328413
132,600,min-degree-U,0.8228782287822878
133,800,min-degree-U,0.8265682656826568
134,1000,min-degree-U,0.8228782287822878
135,1200,min-degree-U,0.8228782287822878
136,1400,min-degree-U,0.8228782287822878
