,# edges,setting,accuracy,privacy leakage
0,200,random-O,0.0,0.31
1,200,random-R,0.8120805369127517,0.885
2,200,random-U,0.8355704697986577,0.83
3,400,random-O,0.0,0.095
4,400,random-R,0.8590604026845637,0.8325
5,400,random-U,0.8288590604026845,0.8125
6,600,random-O,0.0,0.1
7,600,random-R,0.8187919463087249,0.875
8,600,random-U,0.8288590604026845,0.7633333333333333
9,800,random-O,0.0,0.17375
10,800,random-R,0.8221476510067114,0.82
11,800,random-U,0.8322147651006712,0.86875
12,1000,random-O,0.0,0.169
13,1000,random-R,0.8355704697986577,0.848
14,1000,random-U,0.8288590604026845,0.86
15,1200,random-O,0.0,0.2608333333333333
16,1200,random-R,0.8691275167785235,0.7991666666666667
17,1200,random-U,0.8288590604026845,0.845
18,1400,random-O,0.0,0.15714285714285714
19,1400,random-R,0.8154362416107382,0.845
20,1400,random-U,0.8288590604026845,0.82
21,1600,random-O,0.0,0.3025
22,1600,random-R,0.8389261744966443,0.85
23,1600,random-U,0.8322147651006712,0.820625
24,1800,random-O,0.0,0.17277777777777778
25,1800,random-R,0.8557046979865772,0.8277777777777777
26,1800,random-U,0.8322147651006712,0.8038888888888889
27,2000,random-O,0.0,0.2815
28,2000,random-R,0.8355704697986577,0.8475
29,2000,random-U,0.8288590604026845,0.847
30,200,max-degree-O,0.0,0.51
31,200,max-degree-R,0.8523489932885906,0.54
32,200,max-degree-U,0.7348993288590604,0.495
33,400,max-degree-O,0.0,0.59
34,400,max-degree-R,0.8624161073825504,0.6425
35,400,max-degree-U,0.6308724832214765,0.7025
36,600,max-degree-O,0.0,0.30833333333333335
37,600,max-degree-R,0.8355704697986577,0.5483333333333333
38,600,max-degree-U,0.6073825503355704,0.6566666666666666
39,800,max-degree-O,0.0,0.40875
40,800,max-degree-R,0.8523489932885906,0.63875
41,800,max-degree-U,0.6073825503355704,0.65375
42,1000,max-degree-O,0.0,0.329
43,1000,max-degree-R,0.8489932885906041,0.844
44,1000,max-degree-U,0.6040268456375839,0.73
45,1200,max-degree-O,0.0,0.3575
46,1200,max-degree-R,0.8389261744966443,0.67
47,1200,max-degree-U,0.6073825503355704,0.6533333333333333
48,1400,max-degree-O,0.0,0.36428571428571427
49,1400,max-degree-R,0.8389261744966443,0.7171428571428572
50,1400,max-degree-U,0.6040268456375839,0.6957142857142857
51,1600,max-degree-O,0.0,0.25375
52,1600,max-degree-R,0.8355704697986577,0.724375
53,1600,max-degree-U,0.6174496644295302,0.729375
54,1800,max-degree-O,0.0,0.315
