,# edges,setting,Accuracy
0,200,random-R,0.7684563758389261
1,400,random-R,0.7483221476510067
2,600,random-R,0.7516778523489933
3,800,random-R,0.761744966442953
4,1000,random-R,0.674496644295302
5,1200,random-R,0.761744966442953
6,1400,random-R,0.7483221476510067
7,1600,random-R,0.7583892617449665
8,1800,random-R,0.761744966442953
9,2000,random-R,0.761744966442953
10,200,random-U,0.761744966442953
11,400,random-U,0.7583892617449665
12,600,random-U,0.761744966442953
13,800,random-U,0.7583892617449665
14,1000,random-U,0.7583892617449665
15,1200,random-U,0.7583892617449665
16,1400,random-U,0.7684563758389261
17,1600,random-U,0.761744966442953
18,1800,random-U,0.7684563758389261
19,2000,random-U,0.761744966442953
20,200,max-degree-R,0.7483221476510067
21,400,max-degree-R,0.7483221476510067
22,600,max-degree-R,0.7516778523489933
23,800,max-degree-R,0.7315436241610739
24,1000,max-degree-R,0.7516778523489933
25,1200,max-degree-R,0.738255033557047
26,1400,max-degree-R,0.7449664429530202
27,1600,max-degree-R,0.7550335570469798
28,1800,max-degree-R,0.7416107382550335
29,2000,max-degree-R,0.7550335570469798
30,200,max-degree-U,0.7583892617449665
31,400,max-degree-U,0.7449664429530202
32,600,max-degree-U,0.7449664429530202
33,800,max-degree-U,0.7483221476510067
34,1000,max-degree-U,0.7449664429530202
35,1200,max-degree-U,0.738255033557047
36,1400,max-degree-U,0.7416107382550335
37,1600,max-degree-U,0.7416107382550335
38,1800,max-degree-U,0.7416107382550335
39,2000,max-degree-U,0.7416107382550335
40,200,min-degree-R,0.7516778523489933
41,400,min-degree-R,0.7718120805369127
42,600,min-degree-R,0.761744966442953
43,800,min-degree-R,0.7583892617449665
44,1000,min-degree-R,0.7684563758389261
45,1200,min-degree-R,0.7516778523489933
46,1400,min-degree-R,0.7416107382550335
47,1600,min-degree-R,0.7449664429530202
48,1800,min-degree-R,0.7248322147651006
49,2000,min-degree-R,0.6711409395973155
50,200,min-degree-U,0.761744966442953
51,400,min-degree-U,0.761744966442953
52,600,min-degree-U,0.7550335570469798
53,800,min-degree-U,0.761744966442953
54,1000,min-degree-U,0.7651006711409396
55,1200,min-degree-U,0.7583892617449665
56,1400,min-degree-U,0.7516778523489933
57,1600,min-degree-U,0.7416107382550335
58,1800,min-degree-U,0.7516778523489933
59,2000,min-degree-U,0.7449664429530202
60,200,saliency-R,0.7550335570469798
61,400,saliency-R,0.7785234899328859
62,600,saliency-R,0.7684563758389261
63,800,saliency-R,0.7651006711409396
64,1000,saliency-R,0.7684563758389261
65,1200,saliency-R,0.7550335570469798
66,1400,saliency-R,0.7516778523489933
67,1600,saliency-R,0.7718120805369127
68,1800,saliency-R,0.7583892617449665
69,2000,saliency-R,0.738255033557047
70,200,saliency-U,0.7583892617449665
71,400,saliency-U,0.7550335570469798
72,600,saliency-U,0.7583892617449665
73,800,saliency-U,0.7583892617449665
74,1000,saliency-U,0.7550335570469798
75,1200,saliency-U,0.7583892617449665
76,1400,saliency-U,0.7550335570469798
77,1600,saliency-U,0.7550335570469798
78,1800,saliency-U,0.7583892617449665
79,2000,saliency-U,0.7550335570469798
80,200,random-R,0.761744966442953
81,400,random-R,0.7718120805369127
82,600,random-R,0.7516778523489933
83,800,random-R,0.7550335570469798
84,1000,random-R,0.7583892617449665
85,1200,random-R,0.7516778523489933
86,1400,random-R,0.7516778523489933
87,1600,random-R,0.7483221476510067
88,1800,random-R,0.7550335570469798
89,2000,random-R,0.7449664429530202
90,200,random-U,0.7550335570469798
91,400,random-U,0.761744966442953
92,600,random-U,0.7583892617449665
93,800,random-U,0.7583892617449665
94,1000,random-U,0.7516778523489933
95,1200,random-U,0.7483221476510067
96,1400,random-U,0.7550335570469798
97,1600,random-U,0.7516778523489933
98,1800,random-U,0.7583892617449665
99,2000,random-U,0.7651006711409396
100,200,max-degree-R,0.7483221476510067
101,400,max-degree-R,0.7583892617449665
102,600,max-degree-R,0.7516778523489933
103,800,max-degree-R,0.7583892617449665
104,1000,max-degree-R,0.7483221476510067
105,1200,max-degree-R,0.7416107382550335
106,1400,max-degree-R,0.7583892617449665
107,1600,max-degree-R,0.7583892617449665
108,1800,max-degree-R,0.7516778523489933
109,2000,max-degree-R,0.7348993288590604
110,200,max-degree-U,0.7583892617449665
