,# edges,setting,Accuracy
0,200,random-R,0.6996996996996997
1,400,random-R,0.6981981981981982
2,600,random-R,0.6891891891891891
3,800,random-R,0.6981981981981982
4,1000,random-R,0.6906906906906907
5,1200,random-R,0.6936936936936937
6,1400,random-R,0.6321321321321322
7,1600,random-R,0.6486486486486487
8,1800,random-R,0.6756756756756757
9,2000,random-R,0.6411411411411412
10,200,random-U,0.6981981981981982
11,400,random-U,0.6966966966966966
12,600,random-U,0.6951951951951952
13,800,random-U,0.6936936936936937
14,1000,random-U,0.6936936936936937
15,1200,random-U,0.6936936936936937
16,1400,random-U,0.6951951951951952
17,1600,random-U,0.6951951951951952
18,1800,random-U,0.6891891891891891
19,2000,random-U,0.6876876876876877
20,200,max-degree-R,0.6921921921921922
21,400,max-degree-R,0.7177177177177178
22,600,max-degree-R,0.6981981981981982
23,800,max-degree-R,0.6891891891891891
24,1000,max-degree-R,0.7012012012012012
25,1200,max-degree-R,0.7027027027027027
26,1400,max-degree-R,0.6876876876876877
27,1600,max-degree-R,0.6696696696696697
28,1800,max-degree-R,0.6771771771771772
29,2000,max-degree-R,0.6861861861861862
30,200,max-degree-U,0.6921921921921922
31,400,max-degree-U,0.6906906906906907
32,600,max-degree-U,0.6891891891891891
33,800,max-degree-U,0.6816816816816816
34,1000,max-degree-U,0.6816816816816816
35,1200,max-degree-U,0.6771771771771772
36,1400,max-degree-U,0.6741741741741741
37,1600,max-degree-U,0.6681681681681682
38,1800,max-degree-U,0.6651651651651652
39,2000,max-degree-U,0.6696696696696697
40,200,min-degree-R,0.6921921921921922
41,400,min-degree-R,0.6606606606606606
42,600,min-degree-R,0.6306306306306306
43,800,min-degree-R,0.6336336336336337
44,1000,min-degree-R,0.6291291291291291
45,1200,min-degree-R,0.6141141141141141
46,1400,min-degree-R,0.5945945945945946
47,1600,min-degree-R,0.6171171171171171
48,1800,min-degree-R,0.5975975975975976
49,2000,min-degree-R,0.5900900900900901
50,200,min-degree-U,0.6966966966966966
51,400,min-degree-U,0.6996996996996997
52,600,min-degree-U,0.6996996996996997
53,800,min-degree-U,0.6981981981981982
54,1000,min-degree-U,0.6951951951951952
55,1200,min-degree-U,0.7027027027027027
56,1400,min-degree-U,0.6996996996996997
57,1600,min-degree-U,0.6966966966966966
58,1800,min-degree-U,0.6936936936936937
59,2000,min-degree-U,0.6966966966966966
60,200,saliency-R,0.6951951951951952
61,400,saliency-R,0.7132132132132132
62,600,saliency-R,0.7027027027027027
63,800,saliency-R,0.6906906906906907
64,1000,saliency-R,0.7042042042042042
65,1200,saliency-R,0.7267267267267268
66,1400,saliency-R,0.7207207207207207
67,1600,saliency-R,0.7012012012012012
68,1800,saliency-R,0.7042042042042042
69,2000,saliency-R,0.6891891891891891
70,200,saliency-U,0.6966966966966966
71,400,saliency-U,0.6981981981981982
72,600,saliency-U,0.6981981981981982
73,800,saliency-U,0.6981981981981982
74,1000,saliency-U,0.6996996996996997
75,1200,saliency-U,0.7012012012012012
76,1400,saliency-U,0.7012012012012012
77,1600,saliency-U,0.6966966966966966
78,1800,saliency-U,0.6966966966966966
79,2000,saliency-U,0.6966966966966966
