,# edges,setting,Accuracy
0,200,random-R,0.6831831831831832
1,400,random-R,0.7132132132132132
2,600,random-R,0.6921921921921922
3,800,random-R,0.7057057057057057
4,1000,random-R,0.6756756756756757
5,1200,random-R,0.6981981981981982
6,1400,random-R,0.6486486486486487
7,1600,random-R,0.6726726726726727
8,1800,random-R,0.6786786786786787
9,2000,random-R,0.6216216216216216
10,200,random-U,0.5795795795795796
11,400,random-U,0.5780780780780781
12,600,random-U,0.575075075075075
13,800,random-U,0.5765765765765766
14,1000,random-U,0.5825825825825826
15,1200,random-U,0.5825825825825826
16,1400,random-U,0.5840840840840841
17,1600,random-U,0.5825825825825826
18,1800,random-U,0.5795795795795796
19,2000,random-U,0.5825825825825826
20,200,max-degree-R,0.7177177177177178
21,400,max-degree-R,0.7117117117117117
22,600,max-degree-R,0.7192192192192193
23,800,max-degree-R,0.7162162162162162
24,1000,max-degree-R,0.7072072072072072
25,1200,max-degree-R,0.6936936936936937
26,1400,max-degree-R,0.7027027027027027
27,1600,max-degree-R,0.7012012012012012
28,1800,max-degree-R,0.6861861861861862
29,2000,max-degree-R,0.6711711711711712
30,200,max-degree-U,0.581081081081081
31,400,max-degree-U,0.575075075075075
32,600,max-degree-U,0.581081081081081
33,800,max-degree-U,0.5795795795795796
34,1000,max-degree-U,0.5780780780780781
35,1200,max-degree-U,0.581081081081081
36,1400,max-degree-U,0.5855855855855856
37,1600,max-degree-U,0.5885885885885885
38,1800,max-degree-U,0.5885885885885885
39,2000,max-degree-U,0.5765765765765766
40,200,min-degree-R,0.6921921921921922
41,400,min-degree-R,0.6606606606606606
42,600,min-degree-R,0.6351351351351351
43,800,min-degree-R,0.6276276276276276
44,1000,min-degree-R,0.6276276276276276
45,1200,min-degree-R,0.6111111111111112
46,1400,min-degree-R,0.6006006006006006
47,1600,min-degree-R,0.6171171171171171
48,1800,min-degree-R,0.5735735735735735
49,2000,min-degree-R,0.551051051051051
50,200,min-degree-U,0.5705705705705706
51,400,min-degree-U,0.5870870870870871
52,600,min-degree-U,0.5900900900900901
53,800,min-degree-U,0.5840840840840841
54,1000,min-degree-U,0.5855855855855856
55,1200,min-degree-U,0.5825825825825826
56,1400,min-degree-U,0.5885885885885885
57,1600,min-degree-U,0.5795795795795796
58,1800,min-degree-U,0.581081081081081
59,2000,min-degree-U,0.5795795795795796
60,200,saliency-R,0.7222222222222222
61,400,saliency-R,0.7222222222222222
62,600,saliency-R,0.7177177177177178
63,800,saliency-R,0.7162162162162162
64,1000,saliency-R,0.7132132132132132
65,1200,saliency-R,0.7192192192192193
66,1400,saliency-R,0.7237237237237237
67,1600,saliency-R,0.7072072072072072
68,1800,saliency-R,0.7012012012012012
69,2000,saliency-R,0.7192192192192193
70,200,saliency-U,0.5840840840840841
71,400,saliency-U,0.5840840840840841
72,600,saliency-U,0.5855855855855856
73,800,saliency-U,0.5855855855855856
74,1000,saliency-U,0.5840840840840841
75,1200,saliency-U,0.581081081081081
76,1400,saliency-U,0.5825825825825826
77,1600,saliency-U,0.5795795795795796
78,1800,saliency-U,0.5795795795795796
79,2000,saliency-U,0.581081081081081
