,# edges,setting,Accuracy
0,200,random-R,0.6471471471471472
1,400,random-R,0.5570570570570571
2,600,random-R,0.6936936936936937
3,800,random-R,0.43843843843843844
4,1000,random-R,0.5885885885885885
5,1200,random-R,0.6516516516516516
6,1400,random-R,0.6261261261261262
7,1600,random-R,0.56006006006006
8,1800,random-R,0.5945945945945946
9,2000,random-R,0.6291291291291291
10,200,random-U,0.6126126126126126
11,400,random-U,0.6036036036036037
12,600,random-U,0.6036036036036037
13,800,random-U,0.5930930930930931
14,1000,random-U,0.5825825825825826
15,1200,random-U,0.5870870870870871
16,1400,random-U,0.5765765765765766
17,1600,random-U,0.56006006006006
18,1800,random-U,0.5420420420420421
19,2000,random-U,0.527027027027027
20,200,max-degree-R,0.581081081081081
21,400,max-degree-R,0.6396396396396397
22,600,max-degree-R,0.5315315315315315
23,800,max-degree-R,0.6456456456456456
24,1000,max-degree-R,0.6726726726726727
25,1200,max-degree-R,0.6096096096096096
26,1400,max-degree-R,0.5315315315315315
27,1600,max-degree-R,0.5780780780780781
28,1800,max-degree-R,0.6216216216216216
29,2000,max-degree-R,0.6036036036036037
30,200,max-degree-U,0.5990990990990991
31,400,max-degree-U,0.5795795795795796
32,600,max-degree-U,0.551051051051051
33,800,max-degree-U,0.5015015015015015
34,1000,max-degree-U,0.45795795795795796
35,1200,max-degree-U,0.4009009009009009
36,1400,max-degree-U,0.3963963963963964
37,1600,max-degree-U,0.3918918918918919
38,1800,max-degree-U,0.3993993993993994
39,2000,max-degree-U,0.3948948948948949
40,200,min-degree-R,0.6396396396396397
41,400,min-degree-R,0.6336336336336337
42,600,min-degree-R,0.5405405405405406
43,800,min-degree-R,0.5900900900900901
44,1000,min-degree-R,0.5255255255255256
45,1200,min-degree-R,0.5195195195195195
46,1400,min-degree-R,0.43243243243243246
47,1600,min-degree-R,0.4264264264264264
48,1800,min-degree-R,0.527027027027027
49,2000,min-degree-R,0.48348348348348347
50,200,min-degree-U,0.6171171171171171
51,400,min-degree-U,0.6126126126126126
52,600,min-degree-U,0.6066066066066066
53,800,min-degree-U,0.6081081081081081
54,1000,min-degree-U,0.6066066066066066
55,1200,min-degree-U,0.5975975975975976
56,1400,min-degree-U,0.5915915915915916
57,1600,min-degree-U,0.5840840840840841
58,1800,min-degree-U,0.5795795795795796
59,2000,min-degree-U,0.56006006006006
60,200,saliency-R,0.6726726726726727
61,400,saliency-R,0.6891891891891891
62,600,saliency-R,0.6681681681681682
63,800,saliency-R,0.5480480480480481
64,1000,saliency-R,0.5825825825825826
65,1200,saliency-R,0.6936936936936937
66,1400,saliency-R,0.6591591591591591
67,1600,saliency-R,0.6861861861861862
68,1800,saliency-R,0.6846846846846847
69,2000,saliency-R,0.6891891891891891
70,200,saliency-U,0.6201201201201201
71,400,saliency-U,0.6186186186186187
72,600,saliency-U,0.6156156156156156
73,800,saliency-U,0.6156156156156156
74,1000,saliency-U,0.6141141141141141
75,1200,saliency-U,0.6081081081081081
76,1400,saliency-U,0.6066066066066066
77,1600,saliency-U,0.6081081081081081
78,1800,saliency-U,0.6096096096096096
79,2000,saliency-U,0.6096096096096096
