,# edges,setting,Accuracy
0,200,random-R,0.7072072072072072
1,400,random-R,0.6891891891891891
2,600,random-R,0.48348348348348347
3,800,random-R,0.43243243243243246
4,1000,random-R,0.6846846846846847
5,1200,random-R,0.6531531531531531
6,1400,random-R,0.4804804804804805
7,1600,random-R,0.6036036036036037
8,1800,random-R,0.6021021021021021
9,2000,random-R,0.6336336336336337
10,200,random-U,0.6651651651651652
11,400,random-U,0.6486486486486487
12,600,random-U,0.6441441441441441
13,800,random-U,0.6336336336336337
14,1000,random-U,0.6261261261261262
15,1200,random-U,0.6111111111111112
16,1400,random-U,0.6051051051051051
17,1600,random-U,0.5960960960960962
18,1800,random-U,0.5900900900900901
19,2000,random-U,0.5825825825825826
20,200,max-degree-R,0.6531531531531531
21,400,max-degree-R,0.7102102102102102
22,600,max-degree-R,0.6996996996996997
23,800,max-degree-R,0.6951951951951952
24,1000,max-degree-R,0.6786786786786787
25,1200,max-degree-R,0.6666666666666666
26,1400,max-degree-R,0.5960960960960962
27,1600,max-degree-R,0.6006006006006006
28,1800,max-degree-R,0.48348348348348347
29,2000,max-degree-R,0.6246246246246246
30,200,max-degree-U,0.6831831831831832
31,400,max-degree-U,0.6771771771771772
32,600,max-degree-U,0.6786786786786787
33,800,max-degree-U,0.6756756756756757
34,1000,max-degree-U,0.6651651651651652
35,1200,max-degree-U,0.6636636636636637
36,1400,max-degree-U,0.6636636636636637
37,1600,max-degree-U,0.6576576576576577
38,1800,max-degree-U,0.6501501501501501
39,2000,max-degree-U,0.6546546546546547
40,200,min-degree-R,0.5555555555555556
41,400,min-degree-R,0.6531531531531531
42,600,min-degree-R,0.6351351351351351
43,800,min-degree-R,0.6246246246246246
44,1000,min-degree-R,0.6126126126126126
45,1200,min-degree-R,0.47597597597597596
46,1400,min-degree-R,0.5900900900900901
47,1600,min-degree-R,0.5645645645645646
48,1800,min-degree-R,0.5765765765765766
49,2000,min-degree-R,0.47897897897897895
50,200,min-degree-U,0.6546546546546547
51,400,min-degree-U,0.6036036036036037
52,600,min-degree-U,0.5570570570570571
53,800,min-degree-U,0.527027027027027
54,1000,min-degree-U,0.5105105105105106
55,1200,min-degree-U,0.47897897897897895
56,1400,min-degree-U,0.45795795795795796
57,1600,min-degree-U,0.44594594594594594
58,1800,min-degree-U,0.4294294294294294
59,2000,min-degree-U,0.3978978978978979
60,200,saliency-R,0.6981981981981982
61,400,saliency-R,0.7027027027027027
62,600,saliency-R,0.7102102102102102
63,800,saliency-R,0.7027027027027027
64,1000,saliency-R,0.6981981981981982
65,1200,saliency-R,0.7012012012012012
66,1400,saliency-R,0.6546546546546547
67,1600,saliency-R,0.6861861861861862
68,1800,saliency-R,0.7087087087087087
69,2000,saliency-R,0.6996996996996997
70,200,saliency-U,0.6711711711711712
71,400,saliency-U,0.6696696696696697
72,600,saliency-U,0.6636636636636637
73,800,saliency-U,0.6621621621621622
74,1000,saliency-U,0.6591591591591591
75,1200,saliency-U,0.6561561561561562
76,1400,saliency-U,0.6561561561561562
77,1600,saliency-U,0.6531531531531531
78,1800,saliency-U,0.6531531531531531
79,2000,saliency-U,0.6531531531531531
