,# edges,setting,Accuracy
0,200,random-R,0.8118081180811808
1,400,random-R,0.8173431734317343
2,600,random-R,0.8154981549815498
3,800,random-R,0.8247232472324724
4,1000,random-R,0.8044280442804428
5,1200,random-R,0.7952029520295203
6,1400,random-R,0.7915129151291513
7,1600,random-R,0.7749077490774908
8,1800,random-R,0.7693726937269373
9,2000,random-R,0.7564575645756457
10,200,random-U,0.8136531365313653
11,400,random-U,0.8081180811808119
12,600,random-U,0.8099630996309963
13,800,random-U,0.8025830258302583
14,1000,random-U,0.7970479704797048
15,1200,random-U,0.7841328413284133
16,1400,random-U,0.7785977859778598
17,1600,random-U,0.7693726937269373
18,1800,random-U,0.7583025830258303
19,2000,random-U,0.7435424354243543
20,200,max-degree-R,0.8191881918819188
21,400,max-degree-R,0.8173431734317343
22,600,max-degree-R,0.8099630996309963
23,800,max-degree-R,0.8118081180811808
24,1000,max-degree-R,0.8099630996309963
25,1200,max-degree-R,0.7970479704797048
26,1400,max-degree-R,0.7952029520295203
27,1600,max-degree-R,0.7896678966789668
28,1800,max-degree-R,0.7952029520295203
29,2000,max-degree-R,0.7785977859778598
30,200,max-degree-U,0.8062730627306273
31,400,max-degree-U,0.8007380073800738
32,600,max-degree-U,0.7970479704797048
33,800,max-degree-U,0.8007380073800738
34,1000,max-degree-U,0.7896678966789668
35,1200,max-degree-U,0.7804428044280443
36,1400,max-degree-U,0.7767527675276753
37,1600,max-degree-U,0.7749077490774908
38,1800,max-degree-U,0.7767527675276753
39,2000,max-degree-U,0.7712177121771218
40,200,min-degree-R,0.7859778597785978
41,400,min-degree-R,0.7619926199261993
42,600,min-degree-R,0.7416974169741697
43,800,min-degree-R,0.7380073800738007
44,1000,min-degree-R,0.7177121771217713
45,1200,min-degree-R,0.7029520295202952
46,1400,min-degree-R,0.6974169741697417
47,1600,min-degree-R,0.6955719557195572
48,1800,min-degree-R,0.6697416974169742
49,2000,min-degree-R,0.6494464944649446
50,200,min-degree-U,0.7915129151291513
51,400,min-degree-U,0.7730627306273062
52,600,min-degree-U,0.7619926199261993
53,800,min-degree-U,0.7564575645756457
54,1000,min-degree-U,0.7472324723247232
55,1200,min-degree-U,0.7343173431734318
56,1400,min-degree-U,0.7250922509225092
57,1600,min-degree-U,0.7250922509225092
58,1800,min-degree-U,0.7214022140221402
59,2000,min-degree-U,0.7103321033210332
60,200,saliency-R,0.7915129151291513
61,400,saliency-R,0.7693726937269373
62,600,saliency-R,0.7656826568265682
63,800,saliency-R,0.7453874538745388
64,1000,saliency-R,0.7435424354243543
65,1200,saliency-R,0.7232472324723247
66,1400,saliency-R,0.7250922509225092
67,1600,saliency-R,0.7084870848708487
68,1800,saliency-R,0.6974169741697417
69,2000,saliency-R,0.6974169741697417
70,200,saliency-U,0.8191881918819188
71,400,saliency-U,0.8210332103321033
72,600,saliency-U,0.8154981549815498
73,800,saliency-U,0.8154981549815498
74,1000,saliency-U,0.8099630996309963
75,1200,saliency-U,0.8044280442804428
76,1400,saliency-U,0.7859778597785978
77,1600,saliency-U,0.7785977859778598
78,1800,saliency-U,0.7638376383763837
79,2000,saliency-U,0.7546125461254612
