,# edges,setting,Accuracy
0,200,random-R,0.8265682656826568
1,400,random-R,0.8302583025830258
2,600,random-R,0.8357933579335793
3,800,random-R,0.8321033210332104
4,1000,random-R,0.8025830258302583
5,1200,random-R,0.8357933579335793
6,1400,random-R,0.8154981549815498
7,1600,random-R,0.7952029520295203
8,1800,random-R,0.8136531365313653
9,2000,random-R,0.8173431734317343
10,200,random-U,0.8191881918819188
11,400,random-U,0.8228782287822878
12,600,random-U,0.8265682656826568
13,800,random-U,0.8228782287822878
14,1000,random-U,0.8210332103321033
15,1200,random-U,0.8228782287822878
16,1400,random-U,0.8265682656826568
17,1600,random-U,0.8247232472324724
18,1800,random-U,0.8247232472324724
19,2000,random-U,0.8247232472324724
20,200,max-degree-R,0.8284132841328413
21,400,max-degree-R,0.8081180811808119
22,600,max-degree-R,0.8339483394833949
23,800,max-degree-R,0.8431734317343174
24,1000,max-degree-R,0.8265682656826568
25,1200,max-degree-R,0.8210332103321033
26,1400,max-degree-R,0.8173431734317343
27,1600,max-degree-R,0.8025830258302583
28,1800,max-degree-R,0.8007380073800738
29,2000,max-degree-R,0.7952029520295203
30,200,max-degree-U,0.8247232472324724
31,400,max-degree-U,0.8210332103321033
32,600,max-degree-U,0.8210332103321033
33,800,max-degree-U,0.8173431734317343
34,1000,max-degree-U,0.8210332103321033
35,1200,max-degree-U,0.8228782287822878
36,1400,max-degree-U,0.8191881918819188
37,1600,max-degree-U,0.8191881918819188
38,1800,max-degree-U,0.8210332103321033
39,2000,max-degree-U,0.8210332103321033
40,200,min-degree-R,0.7841328413284133
41,400,min-degree-R,0.7822878228782287
42,600,min-degree-R,0.7693726937269373
43,800,min-degree-R,0.8118081180811808
44,1000,min-degree-R,0.7933579335793358
45,1200,min-degree-R,0.7767527675276753
46,1400,min-degree-R,0.7933579335793358
47,1600,min-degree-R,0.7878228782287823
48,1800,min-degree-R,0.7140221402214022
49,2000,min-degree-R,0.7601476014760148
50,200,min-degree-U,0.8191881918819188
51,400,min-degree-U,0.8173431734317343
52,600,min-degree-U,0.8118081180811808
53,800,min-degree-U,0.8118081180811808
54,1000,min-degree-U,0.8136531365313653
55,1200,min-degree-U,0.8118081180811808
56,1400,min-degree-U,0.8136531365313653
57,1600,min-degree-U,0.8191881918819188
58,1800,min-degree-U,0.8247232472324724
59,2000,min-degree-U,0.8284132841328413
60,200,saliency-R,0.8413284132841329
61,400,saliency-R,0.8431734317343174
62,600,saliency-R,0.8265682656826568
63,800,saliency-R,0.8487084870848709
64,1000,saliency-R,0.8247232472324724
65,1200,saliency-R,0.8394833948339483
66,1400,saliency-R,0.8450184501845018
67,1600,saliency-R,0.8450184501845018
68,1800,saliency-R,0.8321033210332104
69,2000,saliency-R,0.8265682656826568
70,200,saliency-U,0.8210332103321033
71,400,saliency-U,0.8210332103321033
72,600,saliency-U,0.8210332103321033
73,800,saliency-U,0.8210332103321033
74,1000,saliency-U,0.8210332103321033
75,1200,saliency-U,0.8228782287822878
76,1400,saliency-U,0.8228782287822878
77,1600,saliency-U,0.8228782287822878
78,1800,saliency-U,0.8228782287822878
79,2000,saliency-U,0.8228782287822878
